Feature	sample	counts
Conexivisphaeraceae	GSM1022678	1.611568120651954
Conexivisphaeraceae	GSM1022679	1.611568120651954
Conexivisphaeraceae	GSM1022680	1.611568120651954
Conexivisphaeraceae	GSM1022681	1.611568120651954
Conexivisphaeraceae	GSM1022682	1.611568120651954
Conexivisphaeraceae	GSM1022683	1.731976868048219
Conexivisphaeraceae	GSM1022684	1.5670194653898537
Conexivisphaeraceae	GSM1022685	1.611568120651954
Conexivisphaeraceae	GSM1022686	1.611568120651954
Conexivisphaeraceae	GSM1022687	1.611568120651954
Conexivisphaeraceae	GSM1022688	1.611568120651954
Conexivisphaeraceae	GSM1022689	1.611568120651954
Conexivisphaeraceae	GSM1022690	1.5670194653898537
Conexivisphaeraceae	GSM1022691	1.731976868048219
Conexivisphaeraceae	GSM1022692	1.611568120651954
Conexivisphaeraceae	GSM1022693	1.611568120651954
Conexivisphaeraceae	GSM1022694	1.611568120651954
Conexivisphaeraceae	GSM1022695	1.731976868048219
Conexivisphaeraceae	GSM1385778	1.731976868048219
Conexivisphaeraceae	GSM1385779	1.5670194653898537
Conexivisphaeraceae	GSM1385780	1.611568120651954
Conexivisphaeraceae	GSM1385781	1.611568120651954
Conexivisphaeraceae	GSM1385782	1.5670194653898537
Conexivisphaeraceae	GSM1385783	1.611568120651954
Conexivisphaeraceae	GSM1415906	1.3506502667756448
Conexivisphaeraceae	GSM1415907	1.4256982678853378
Conexivisphaeraceae	GSM1415908	1.731976868048219
Conexivisphaeraceae	GSM1415909	1.4256982678853378
Conexivisphaeraceae	GSM1415910	1.4690455508457871
Conexivisphaeraceae	GSM1415911	1.5090601405955255
Conexivisphaeraceae	GSM1415912	1.731976868048219
Conexivisphaeraceae	GSM1415913	1.611568120651954
Conexivisphaeraceae	GSM1415914	1.731976868048219
Conexivisphaeraceae	GSM1415915	1.731976868048219
Conexivisphaeraceae	GSM1415916	1.611568120651954
Conexivisphaeraceae	GSM1415917	1.731976868048219
Conexivisphaeraceae	GSM1415918	1.731976868048219
Conexivisphaeraceae	GSM1415919	1.5670194653898537
Conexivisphaeraceae	GSM1415920	1.731976868048219
Conexivisphaeraceae	GSM1415921	1.731976868048219
Conexivisphaeraceae	GSM3103946	0.2717440297230694
Conexivisphaeraceae	GSM3103947	0.8095399224211977
Conexivisphaeraceae	GSM3103948	0.5450389748940996
Conexivisphaeraceae	GSM3103949	0.8119277468711081
Conexivisphaeraceae	GSM3103950	0.2898827512819401
Conexivisphaeraceae	GSM3103951	0.2802347879963593
Conexivisphaeraceae	GSM3103952	0.5968222061207104
Conexivisphaeraceae	GSM3103953	0.27466538668514084
Conexivisphaeraceae	GSM3103954	0.271201794525119
Conexivisphaeraceae	GSM3103955	0.19209311975756657
Conexivisphaeraceae	GSM3103956	0.3171562698794775
Conexivisphaeraceae	GSM3103957	0.2635088292326546
Conexivisphaeraceae	GSM3103958	0.5777833384401619
Conexivisphaeraceae	GSM3103959	0.18638733459961832
Conexivisphaeraceae	GSM3103960	0.8026953348482005
Conexivisphaeraceae	GSM3103961	0.843569562127693
Conexivisphaeraceae	GSM3103962	0.7434061824737578
Conexivisphaeraceae	GSM3103963	0.9570551076156
Conexivisphaeraceae	GSM3103964	0.658688371512612
Conexivisphaeraceae	GSM3103965	0.5363400141233272
Conexivisphaeraceae	GSM4735785	1.731976868048219
Conexivisphaeraceae	GSM4735786	1.731976868048219
Conexivisphaeraceae	GSM4735787	1.731976868048219
Conexivisphaeraceae	GSM4735788	1.731976868048219
Conexivisphaeraceae	GSM4735789	1.731976868048219
Conexivisphaeraceae	GSM4735790	1.731976868048219
Conexivisphaeraceae	GSM4735791	1.731976868048219
Conexivisphaeraceae	GSM4735792	1.731976868048219
Conexivisphaeraceae	GSM4735793	1.731976868048219
Conexivisphaeraceae	GSM4735794	1.731976868048219
Conexivisphaeraceae	GSM4735795	1.731976868048219
Conexivisphaeraceae	GSM4735796	1.731976868048219
Conexivisphaeraceae	GSM4735797	1.731976868048219
Conexivisphaeraceae	GSM4735798	1.731976868048219
Conexivisphaeraceae	GSM4735799	1.731976868048219
Conexivisphaeraceae	GSM4735800	1.731976868048219
Conexivisphaeraceae	GSM4735801	1.731976868048219
Conexivisphaeraceae	GSM4735802	1.731976868048219
Conexivisphaeraceae	GSM4735803	1.731976868048219
Conexivisphaeraceae	GSM4735804	1.731976868048219
Conexivisphaeraceae	GSM5282507	3.2788040301235695
Conexivisphaeraceae	GSM5282508	2.949641499358322
Conexivisphaeraceae	GSM5282509	0.947802899333954
Conexivisphaeraceae	GSM5282510	1.159842194159381
Conexivisphaeraceae	GSM5282511	1.2961474114471496
Conexivisphaeraceae	GSM5282512	1.474473152548953
Conexivisphaeraceae	GSM5282513	2.681360136000344
Conexivisphaeraceae	GSM5282514	1.9678397137224812
Conexivisphaeraceae	GSM5282515	6.826730809470612
Conexivisphaeraceae	GSM5282516	1.2109795865506023
Conexivisphaeraceae	GSM5282517	1.1817370863047638
Conexivisphaeraceae	GSM5282518	2.6928995845991928
Conexivisphaeraceae	GSM5282519	1.0918244458299209
Conexivisphaeraceae	GSM5282520	1.2465534314041478
Conexivisphaeraceae	GSM5282521	2.319684388318762
Conexivisphaeraceae	GSM5282522	0.8408672138481965
Conexivisphaeraceae	GSM5282523	0.3910772256439507
Conexivisphaeraceae	GSM5282524	1.6420774153510598
Conexivisphaeraceae	GSM5282525	3.2255342157972406
Conexivisphaeraceae	GSM5282526	3.3329336103226317
Conexivisphaeraceae	GSM5282527	1.5680877704760947
Conexivisphaeraceae	GSM5282528	1.0365193579449803
