Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidilobaceae	Acidilobaceae	1.753541357535408	1.2456641945871705	0.6393427659502815	1.9483511207570925	0.05137296419174615	0.09760863196431767
Archaeoglobaceae	Archaeoglobaceae	1.2599300553375983	-0.1624248639602826	0.6633735036776459	-0.24484677645372155	0.8065750736318054	NA
Caldisphaeraceae	Caldisphaeraceae	1.2094877476177528	-0.3874452433055145	0.6720030245257823	-0.576552826646764	0.5642415740631916	NA
Candidatus Nitrosocaldaceae	Candidatus Nitrosocaldaceae	1.2427003719785839	-0.061908368780832765	0.6623558274282179	-0.09346693456477821	0.9255326170676695	NA
Cuniculiplasmataceae	Cuniculiplasmataceae	1.1267917474301434	-0.2736140831307734	0.6704098999224651	-0.40812953860379697	0.6831785748845123	NA
Desulfurococcaceae	Desulfurococcaceae	1.419040788027308	0.17131463579301795	0.652494297736123	0.2625534604477107	0.7928947749605296	0.836944484680559
Ferroplasmaceae	Ferroplasmaceae	1.2749185293015646	0.7502320108900351	0.6481793426307674	1.157445110553919	0.24709055268810118	NA
Haloarculaceae	Haloarculaceae	7.203115735682856	4.989031167217661	0.9073975239681794	5.498175866074565	3.837401199321243e-8	2.430354092903454e-7
Halobacteriaceae	Halobacteriaceae	1.741214492474035	1.8582078696872653	0.7092403761118694	2.6199972989047198	0.008793046342211027	0.023866840071715648
Haloferacaceae	Haloferacaceae	2.0097135428703727	2.204207640811112	0.7164929152727191	3.076384418919374	0.0020952751805580084	0.006635038071767027
Halorubraceae	Halorubraceae	2.184627062506659	1.4141734858197375	0.7812000306714428	1.8102578472817683	0.07025581062847593	0.12135094563100388
Methanobacteriaceae	Methanobacteriaceae	2.483918616778428	0.7810921107133681	0.6816120544082462	1.1459482056717547	0.25181658354203107	0.34175107766418505
Methanocaldococcaceae	Methanocaldococcaceae	1.96529426913712	-2.7843867220725347	0.44041720522808525	-6.322157011623885	2.579370889226579e-10	4.9008046895305e-9
Methanocellaceae	Methanocellaceae	1.2273837877686897	-0.03280510157066917	0.6620651269932835	-0.049549659441588394	0.9604812632610464	NA
Methanococcaceae	Methanococcaceae	1.4072106080496358	0.034057161946738274	0.6564999731434188	0.05187686723529866	0.9586268067227023	0.9586268067227023
Methanocorpusculaceae	Methanocorpusculaceae	1.1452381032000427	-0.38703867943277254	0.6734598691938617	-0.5747019193527623	0.5654929091661602	NA
Methanomassiliicoccaceae	Methanomassiliicoccaceae	1.3393808992418974	0.15573235257871942	0.6561989593397123	0.23732490026412437	0.8124047462047916	NA
Methanomicrobiaceae	Methanomicrobiaceae	1.3393541501651178	0.03071469150027607	0.6569854652753649	0.04675094522433993	0.9627117262884487	NA
Methanopyraceae	Methanopyraceae	1.8843809501324618	0.8884635740223983	0.6469533848750648	1.373303849695403	0.1696579063229574	0.24796155539509157
Methanoregulaceae	Methanoregulaceae	1.2452720715282137	-0.1301354392714376	0.6643133773367509	-0.19589465410609952	0.8446926216104702	NA
Methanosarcinaceae	Methanosarcinaceae	9.161818583117082	4.4981789401626555	0.7968725851470148	5.644790677963639	1.6538233968302026e-8	1.5711322269886925e-7
Methanospirillaceae	Methanospirillaceae	1.15161134378252	-0.38754341776449824	0.6716537915795586	-0.5769987791673071	0.5639402802330138	NA
Methanothermaceae	Methanothermaceae	1.1172308000232094	-0.3870370599452807	0.6734656839580527	-0.574694552617157	0.5654978922268277	NA
Methanotrichaceae	Methanotrichaceae	1.4882499606416604	-0.38661412439295884	0.6749873332780734	-0.5727724141360829	0.5667987994012413	0.633481011095505
Natrialbaceae	Natrialbaceae	2.209746664494488	2.422609183221215	0.7111594790830889	3.4065624581770746	6.578649638881477e-4	0.002499886862774961
Nitrososphaeraceae	Nitrososphaeraceae	3.2486501211655616	1.6908900377967013	0.7568466855549213	2.2341249160085015	0.025474855013087994	0.05378024947207465
Picrophilaceae	Picrophilaceae	1.165691683639536	-0.22222670579293355	0.7001812924266494	-0.3173845234035782	0.7509518491730065	NA
Pyrodictiaceae	Pyrodictiaceae	2.5765367633889884	1.6668276199574854	0.661237274706511	2.5207708090825705	0.011709809446088577	0.027810797434460372
Sulfolobaceae	Sulfolobaceae	6.128857902804505	3.0568489433996024	0.7618173871717988	4.012574397583613	6.006014122400982e-5	2.8528567081404665e-4
Thermococcaceae	Thermococcaceae	2.5153696842035154	0.9864989171860524	0.6716698495065143	1.4687259193052176	0.14190714430549048	0.22468631181702658
Thermofilaceae	Thermofilaceae	1.439200313632832	0.7068270196105098	0.6451015638039691	1.0956833144885967	0.2732173871284185	0.34607535702933007
Thermoplasmataceae	Thermoplasmataceae	1.1331832264088857	-0.3458305209943187	0.6718943435189364	-0.5147096776899298	0.6067559097307493	NA
Thermoproteaceae	Thermoproteaceae	1.6553310599754494	0.6752289486893397	0.6507896335108262	1.037553325867639	0.29947805710102166	0.3556301928074632
