Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidilobaceae	Acidilobaceae	1.753541357535408	-0.10914047231093421	0.3051393553644169	-0.35767419178228155	0.7205871490609157	0.9898771622837965
Archaeoglobaceae	Archaeoglobaceae	1.2599300553375983	-0.12990947443866588	0.33868103298187785	-0.38357469650689613	0.7012936972831372	0.9898771622837965
Caldisphaeraceae	Caldisphaeraceae	1.2094877476177528	-0.12985452369399622	0.36341635076118123	-0.35731612906797916	0.7208551566770467	0.9898771622837965
Candidatus Nitrosocaldaceae	Candidatus Nitrosocaldaceae	1.2427003719785839	0.12297866699609256	0.3807996195600798	0.3229485027799243	0.7467342427910932	0.9898771622837965
Cuniculiplasmataceae	Cuniculiplasmataceae	1.1267917474301434	0.25525934448565435	0.404035055252527	0.6317752412005786	0.5275337542217888	0.9898771622837965
Desulfurococcaceae	Desulfurococcaceae	1.419040788027308	0.07414373117473902	0.3472837808528802	0.21349609530468835	0.8309400344123176	0.9898771622837965
Ferroplasmaceae	Ferroplasmaceae	1.2749185293015646	0.06554553601309121	0.40046775498041715	0.16367244353118113	0.8699890118438005	0.9898771622837965
Haloarculaceae	Haloarculaceae	7.203115735682856	-1.6904776970928703	0.5098996129880584	-3.31531472869045	9.153999820374574e-4	0.030208199407236097
Halobacteriaceae	Halobacteriaceae	1.741214492474035	-0.31184720947273586	0.4027940403211062	-0.7742100881734303	0.438806563497111	0.9898771622837965
Haloferacaceae	Haloferacaceae	2.0097135428703727	-0.21131735925088604	0.415094833360584	-0.5090821235717939	0.6106946615560516	0.9898771622837965
Halorubraceae	Halorubraceae	2.184627062506659	-0.2193642539406548	0.43159597335390515	-0.5082629762182186	0.6112689310177819	0.9898771622837965
Methanobacteriaceae	Methanobacteriaceae	2.483918616778428	-0.1741641261019088	0.28005490185769527	-0.6218927965431831	0.5340123620728614	0.9898771622837965
Methanocaldococcaceae	Methanocaldococcaceae	1.96529426913712	-0.03669979046617682	0.3040862116846649	-0.12068876869772126	0.9039375552461726	0.9898771622837965
Methanocellaceae	Methanocellaceae	1.2273837877686897	0.07344572644344302	0.37851567689327686	0.19403615471427665	0.8461475724866302	0.9898771622837965
Methanococcaceae	Methanococcaceae	1.4072106080496358	0.008119888622439274	0.3009956998211506	0.0269767595592364	0.9784782704693549	0.9898771622837965
Methanocorpusculaceae	Methanocorpusculaceae	1.1452381032000427	0.00802729903293098	0.41226337025771675	0.01947128853071012	0.9844651411332396	0.9898771622837965
Methanomassiliicoccaceae	Methanomassiliicoccaceae	1.3393808992418974	0.1887626618451132	0.3814008258086321	0.4949193842066427	0.6206570270719323	0.9898771622837965
Methanomicrobiaceae	Methanomicrobiaceae	1.3393541501651178	-0.1337003794434391	0.3400481862796376	-0.3931806868497484	0.694186033096701	0.9898771622837965
Methanopyraceae	Methanopyraceae	1.8843809501324618	0.19157371116005456	0.4149330835500647	0.4616978466045593	0.644298015538721	0.9898771622837965
Methanoregulaceae	Methanoregulaceae	1.2452720715282137	-0.042286128827418806	0.3827674016748879	-0.11047473907753379	0.9120328825225961	0.9898771622837965
Methanosarcinaceae	Methanosarcinaceae	9.161818583117082	-0.40734726336570276	0.35962620895084624	-1.1326962641406901	0.25734182706570075	0.9898771622837965
Methanospirillaceae	Methanospirillaceae	1.15161134378252	-0.06426206284704815	0.3741849735306383	-0.17173875861636215	0.8636429135172685	0.9898771622837965
Methanothermaceae	Methanothermaceae	1.1172308000232094	0.12090200640141291	0.4045522023597708	0.2988539073478928	0.7650515172828072	0.9898771622837965
Methanotrichaceae	Methanotrichaceae	1.4882499606416604	0.11709271045384365	0.3836475740022839	0.30520904702279333	0.7602069424166029	0.9898771622837965
Natrialbaceae	Natrialbaceae	2.209746664494488	0.11869188470118426	0.4015629713732889	0.29557477447503366	0.7675548403499596	0.9898771622837965
Nitrososphaeraceae	Nitrososphaeraceae	3.2486501211655616	-0.005441946598046988	0.42892406311877007	-0.012687435996194273	0.9898771622837965	0.9898771622837965
Picrophilaceae	Picrophilaceae	1.165691683639536	-1.076770433211853	0.37884857089363827	-2.842218543076295	0.00448007694182477	0.07392126954010869
Pyrodictiaceae	Pyrodictiaceae	2.5765367633889884	0.07413212841595254	0.398967895326571	0.18580975884105277	0.8525939513579897	0.9898771622837965
Sulfolobaceae	Sulfolobaceae	6.128857902804505	-0.6060123591722627	0.3454663922757975	-1.754186145807383	0.07939861634256143	0.6550385848261318
Thermococcaceae	Thermococcaceae	2.5153696842035154	-0.46676796015064376	0.2514531115130746	-1.8562822998767055	0.06341333064778712	0.6550385848261318
Thermofilaceae	Thermofilaceae	1.439200313632832	0.18163793276421747	0.40585320974235145	0.44754588211715024	0.6544809675942701	0.9898771622837965
Thermoplasmataceae	Thermoplasmataceae	1.1331832264088857	-0.1419394791565097	0.38738154196041696	-0.36640744016402627	0.7140610687489859	0.9898771622837965
Thermoproteaceae	Thermoproteaceae	1.6553310599754494	0.06162144480629738	0.30336841348501836	0.20312412916824815	0.839038012492633	0.9898771622837965
