Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidilobaceae	Acidilobaceae	2.8917269168481865	0.8147875016149043	0.4645114355006662	1.7540741504817823	0.07941780231663056	0.15272654291659724
Archaeoglobaceae	Archaeoglobaceae	1.4827260508495785	-0.8819298144976611	0.5207641382936404	-1.69353023690808	0.09035458443366454	0.16106764065473192
Caldisphaeraceae	Caldisphaeraceae	1.2691578678709055	-0.8179658738452422	0.5846978957820703	-1.3989547076292472	0.1618265655139814	NA
Candidatus Nitrosocaldaceae	Candidatus Nitrosocaldaceae	1.3472211156163425	-0.0025782755460181934	0.6050810046327735	-0.004261041953519861	0.9966001907004505	0.9966001907004505
Cuniculiplasmataceae	Cuniculiplasmataceae	1.1877253805470778	0.09976071768701135	0.6732138435808223	0.14818577876590358	0.8821961548072381	NA
Desulfurococcaceae	Desulfurococcaceae	1.5850750587650368	0.11186516874012709	0.5516619822900235	0.20277846277490363	0.8393081924260668	0.9122915135065943
Ferroplasmaceae	Ferroplasmaceae	1.9789667620679445	1.0689405521669106	0.6434118353918012	1.661362899107982	0.09664058439283915	0.16106764065473192
Haloarculaceae	Haloarculaceae	12.319201779422874	-0.19609076645871157	0.9533953309222605	-0.20567623953960892	0.8370438198397984	0.9122915135065943
Halobacteriaceae	Halobacteriaceae	3.944639947732367	1.8717877367269906	0.8406798202771366	2.2265167922193507	0.02597958547677714	0.06494896369194285
Haloferacaceae	Haloferacaceae	4.732672188855336	1.5914492115264256	0.8011059567543295	1.986565195413303	0.04697060136763622	0.0978554195159088
Halorubraceae	Halorubraceae	3.1490598406720207	1.0406974049358695	0.7031532134383431	1.4800435880069036	0.1388616146839626	0.2042082568881803
Methanobacteriaceae	Methanobacteriaceae	3.084278107036341	-1.1721314049823257	0.4578106642730456	-2.560297294174099	0.010458265461410404	0.03268207956690751
Methanocaldococcaceae	Methanocaldococcaceae	2.4258718173211586	-1.6760864406436686	0.43913408703946194	-3.8167987640026912	1.3519434644560587e-4	0.00260859815062998
Methanocellaceae	Methanocellaceae	1.3724799945760846	0.34683037749372053	0.6242250267259242	0.5556175459879501	0.578472334135572	0.6886575406375857
Methanococcaceae	Methanococcaceae	1.764754946662209	-0.7717276734304045	0.4928924525574675	-1.5657120928229813	0.1174160339522026	0.18346255305031656
Methanocorpusculaceae	Methanocorpusculaceae	1.1316332826228914	-0.0497489677107884	0.6820634624488674	-0.07293891323861663	0.9418547281089567	NA
Methanomassiliicoccaceae	Methanomassiliicoccaceae	1.4824882019012489	0.43596978996372376	0.5915298190454765	0.737020816071838	0.461109690702164	0.5904823273896181
Methanomicrobiaceae	Methanomicrobiaceae	1.545149577187167	-0.3763123678025337	0.5236724875475394	-0.7186025173193231	0.4723858619116945	0.5904823273896181
Methanopyraceae	Methanopyraceae	2.0737213593505843	1.734296158197168	0.6257234256472305	2.771665702627741	0.005577027902176254	0.021783884841819888
Methanoregulaceae	Methanoregulaceae	1.3219599013787793	-0.26213388347039823	0.5948569774446538	-0.44066707361567004	0.6594540370033035	NA
Methanosarcinaceae	Methanosarcinaceae	25.38550050718656	1.3950561030289192	0.47937128541539875	2.9101786975413737	0.0036122216051195717	0.021783884841819888
Methanospirillaceae	Methanospirillaceae	1.2208964820765458	-0.4009627879538502	0.6309639634902959	-0.6354765266400463	0.5251176713016964	NA
Methanothermaceae	Methanothermaceae	1.1421745201639768	-0.2328539997588627	0.6560020733166053	-0.3549592436219035	0.7226201244665267	NA
Methanotrichaceae	Methanotrichaceae	1.176445110216496	-0.23640927824992689	0.6534497829837967	-0.36178645154709466	0.7175116174119198	NA
Natrialbaceae	Natrialbaceae	5.469430426056715	2.1880302344654683	0.7978568113847205	2.7423846024050755	0.0060994877557095685	0.021783884841819888
Nitrososphaeraceae	Nitrososphaeraceae	3.4882820185251053	1.709426546243934	0.5716474766227532	2.990350900074093	0.0027865713181970913	0.021783884841819888
Picrophilaceae	Picrophilaceae	1.511566857026814	0.02562770117888763	0.6874118488556669	0.037281436480255635	0.9702606067451197	0.9966001907004505
Pyrodictiaceae	Pyrodictiaceae	3.37170412203972	2.294117718596392	0.6186506245120477	3.708260571798253	2.086878520503984e-4	0.00260859815062998
Sulfolobaceae	Sulfolobaceae	10.317060325131406	0.7371716333270366	0.3620235979557831	2.0362529887266447	0.04172495783910834	0.09482944963433713
Thermococcaceae	Thermococcaceae	4.231527626760515	-1.2855022710429986	0.4598742622793463	-2.7953342391275906	0.005184608186025171	0.021783884841819888
Thermofilaceae	Thermofilaceae	1.8461873630516437	1.4397155069405299	0.6286586382299748	2.290138748421772	0.022013274774672013	0.061147985485200035
Thermoplasmataceae	Thermoplasmataceae	1.2391463621110999	-0.7303673113036074	0.5799234512028776	-1.2594202041470803	0.20787859555336707	NA
Thermoproteaceae	Thermoproteaceae	2.221091363017722	0.37960887117901493	0.48126426225180996	0.7887742784033976	0.4302439455141132	0.5904823273896181
