Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidilobales	Acidilobales	1.726968750617749	0.26660277661844733	1.5183376404132183	0.175588597372776	0.8606171611473924	0.9618662389294386
Archaeoglobales	Archaeoglobales	1.2832171090253746	-0.3534230398990517	1.522853699773355	-0.23207944397524946	0.8164763103738358	0.9618662389294386
Candidatus Nitrosocaldales	Candidatus Nitrosocaldales	1.273573138939311	-0.8547823571497051	1.5349555482261923	-0.5568775969685238	0.5776110621227284	0.9618662389294386
Desulfurococcales	Desulfurococcales	2.6967282833686905	-0.33177515904056576	1.5775867117601707	-0.21030549799091056	0.8334292444679143	0.9618662389294386
Halobacteriales	Halobacteriales	6.337510271414227	1.1918332272861067	2.0540663313545213	0.5802311293911192	0.561758763855027	0.9618662389294386
Haloferacales	Haloferacales	2.9343352868618813	0.3725526901979841	1.9168187891198536	0.19435989062328068	0.8458940936601262	0.9618662389294386
Methanobacteriales	Methanobacteriales	2.283290829891399	0.9393758951227518	1.5611971788920835	0.6017022755507332	0.5473723350209926	0.9618662389294386
Methanocellales	Methanocellales	1.2708978112696594	-0.8013793935876085	1.536537870033209	-0.5215487422840338	0.6019845598936163	0.9618662389294386
Methanococcales	Methanococcales	2.3088350117932177	1.3014347810384905	1.6409771331476628	0.7930852628897549	0.4277281483844317	0.9618662389294386
Methanomassiliicoccales	Methanomassiliicoccales	1.39246436173209	-0.8851379252466675	1.5354957655853132	-0.5764509060103225	0.5643104444222046	0.9618662389294386
Methanomicrobiales	Methanomicrobiales	1.5753962284314247	0.10014499287708677	1.5112828717643132	0.06626488974904794	0.9471669356835196	0.990590696805314
Methanopyrales	Methanopyrales	1.813931846780491	-1.131030696535992	1.5576295260572128	-0.7261230463439793	0.4677633419129028	0.9618662389294386
Methanosarcinales	Methanosarcinales	7.532675798285681	2.3233349204043736	1.7323797791340205	1.3411233197178962	0.17988041713052386	0.9618662389294386
Natrialbales	Natrialbales	2.0090371712754456	-0.39859788666905926	1.7118708984214739	-0.23284342705785155	0.815882989645165	0.9618662389294386
Nitrososphaerales	Nitrososphaerales	3.1365185146882393	-0.31814604303653915	1.7933491242765396	-0.17740329461218735	0.8591916196374678	0.9618662389294386
Sulfolobales	Sulfolobales	5.156023643431719	0.6566102900159997	1.30808442971133	0.5019632334901359	0.6156933837171268	0.9618662389294386
Thermococcales	Thermococcales	2.252439641172866	1.5366514208981354	1.5524497573620961	0.9898236085328745	0.322260343294658	0.9618662389294386
Thermoplasmatales	Thermoplasmatales	1.4424697305922025	0.3073342080650272	1.5763221275002015	0.19496916442606235	0.845417087572051	0.9618662389294386
Thermoproteales	Thermoproteales	1.8565466248793336	0.017926968222857848	1.5201252767391438	0.01179308606808605	0.990590696805314	0.990590696805314
