Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidilobales	Acidilobales	1.726968750617749	-0.046257339248525084	0.28830111116871826	-0.16044800889253102	0.8725281738203534	0.9751785472109833
Archaeoglobales	Archaeoglobales	1.2832171090253746	0.013240502663311227	0.3437244586261973	0.038520688100669505	0.9692725370047528	0.9812784982937043
Candidatus Nitrosocaldales	Candidatus Nitrosocaldales	1.273573138939311	0.2747522818227784	0.3855057177994153	0.712706113390869	0.47602763273234755	0.9131071514276397
Desulfurococcales	Desulfurococcales	2.6967282833686905	0.1969772494742641	0.3530952016139496	0.5578587547321747	0.5769408379491652	0.9131071514276397
Halobacteriales	Halobacteriales	6.337510271414227	-1.262715994127583	0.488289636070725	-2.5859979423046533	0.009709751020701192	0.18448526939332263
Haloferacales	Haloferacales	2.9343352868618813	-0.1444756504520015	0.4433430971697908	-0.32587774880065506	0.7445168514164997	0.9334219194371167
Methanobacteriales	Methanobacteriales	2.283290829891399	-0.006114166584269352	0.2605534274288639	-0.02346607620787732	0.9812784982937043	0.9812784982937043
Methanocellales	Methanocellales	1.2708978112696594	0.22120027998614206	0.3834201442376508	0.5769135589522862	0.5639978506077469	0.9131071514276397
Methanococcales	Methanococcales	2.3088350117932177	-0.07693230104335956	0.283405033863578	-0.2714570732727079	0.7860395111049404	0.9334219194371167
Methanomassiliicoccales	Methanomassiliicoccales	1.39246436173209	0.3632526362574744	0.38284830199066794	0.9488161090664281	0.3427141473144411	0.9131071514276397
Methanomicrobiales	Methanomicrobiales	1.5753962284314247	-0.1482285444465723	0.30305217359034986	-0.4891188955699091	0.6247575246610166	0.9131071514276397
Methanopyrales	Methanopyrales	1.813931846780491	0.34375967414172304	0.4136208208950907	0.8310985733208847	0.4059179456371392	0.9131071514276397
Methanosarcinales	Methanosarcinales	7.532675798285681	-0.32696071772355145	0.3123578044211693	-1.0467505952970917	0.29521462183783015	0.9131071514276397
Natrialbales	Natrialbales	2.0090371712754456	0.24545288285870398	0.40958397045485695	0.599273654645518	0.5489904132386094	0.9131071514276397
Nitrososphaerales	Nitrososphaerales	3.1365185146882393	0.1511954051621657	0.4331835809812477	0.34903309312804004	0.7270644652750968	0.9334219194371167
Sulfolobales	Sulfolobales	5.156023643431719	-0.45506260862667963	0.29357721235215434	-1.5500610724541484	0.12112685820952349	0.7361329889765623
Thermococcales	Thermococcales	2.252439641172866	-0.33545023638378985	0.23587122865909493	-1.4221753042572929	0.15497536610032892	0.7361329889765623
Thermoplasmatales	Thermoplasmatales	1.4424697305922025	-0.6946713163231418	0.34358638431913335	-2.0218243446978685	0.043194501810259994	0.41034776719746996
Thermoproteales	Thermoproteales	1.8565466248793336	0.2504048268207191	0.2955475821013127	0.847257233641929	0.39685175843302556	0.9131071514276397
