Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidilobales	Acidilobales	2.3838131476709465	0.015785156135640122	0.6857003539249982	0.023020487076147407	0.9816339309551919	0.9816339309551919
Archaeoglobales	Archaeoglobales	1.4682960955380016	-0.5953371382175302	1.003270912058118	-0.5933961914596435	0.5529160371129244	0.9816339309551919
Candidatus Nitrosocaldales	Candidatus Nitrosocaldales	1.4462108820747241	-0.24172980266255353	1.0039051365615892	-0.24078948683387227	0.8097182782192182	0.9816339309551919
Desulfurococcales	Desulfurococcales	3.0297379209329143	-0.23432952970694565	0.8053262964773296	-0.2909746406294609	0.771070714600857	0.9816339309551919
Halobacteriales	Halobacteriales	22.88146833551326	0.0919261501169382	1.4459965768646486	0.06357286842010476	0.9493103358930978	0.9816339309551919
Haloferacales	Haloferacales	5.208844074621946	0.7952045266238643	1.040541031817135	0.764222171263318	0.4447348562793246	0.9816339309551919
Methanobacteriales	Methanobacteriales	2.616232110068338	-0.2818621603583265	0.6978895309562572	-0.40387790310038807	0.686302506185126	0.9816339309551919
Methanocellales	Methanocellales	1.4344427882902586	-0.861151679706544	1.0584507690947702	-0.8135963474645455	0.41587623102510773	0.9816339309551919
Methanococcales	Methanococcales	2.8164595270522006	-0.45267103171428963	0.6931769861770369	-0.65303817169527	0.5137316701633972	0.9816339309551919
Methanomassiliicoccales	Methanomassiliicoccales	1.5270562331585908	-0.21597841448667776	0.9522257656477383	-0.2268142937087629	0.8205681485712206	0.9816339309551919
Methanomicrobiales	Methanomicrobiales	1.684923997505785	-0.3316626170134346	0.8635282512814705	-0.3840784786383646	0.7009202820188506	0.9816339309551919
Methanopyrales	Methanopyrales	1.8979342447167982	-0.5890244427860619	0.9645967566860917	-0.6106431923010787	0.5414358217034463	0.9816339309551919
Methanosarcinales	Methanosarcinales	15.960103898000108	0.8711035617273172	0.7217633160883364	1.2069102741995037	0.2274667005064692	0.9816339309551919
Natrialbales	Natrialbales	4.100011635709667	-0.4847590297710531	1.0949495645433438	-0.4427227020024664	0.6579663197443462	0.9816339309551919
Nitrososphaerales	Nitrososphaerales	2.785509633671869	-0.567965195970916	0.8229447675660451	-0.690161986995481	0.49009232536296765	0.9816339309551919
Sulfolobales	Sulfolobales	6.537447501136987	0.10407546006994887	0.6063692464912173	0.17163710176956726	0.8637228372763367	0.9816339309551919
Thermococcales	Thermococcales	3.055021643780987	0.039429524383914734	0.6339110396196816	0.06220040655479149	0.9504032387347207	0.9816339309551919
Thermoplasmatales	Thermoplasmatales	2.0988942567253406	-1.0832940441351697	0.9789464865386471	-1.1065916871160895	0.26847050300666936	0.9816339309551919
Thermoproteales	Thermoproteales	2.424254871740866	-0.16232359812235464	0.7049916497387804	-0.23024896561895478	0.8178983147374086	0.9816339309551919
