Feature	sample	counts
Methanosarcina_lacustris	GSM1022678	1.152097046831824
Methanosarcina_lacustris	GSM1022679	1.152097046831824
Methanosarcina_lacustris	GSM1022680	1.1515806283984071
Methanosarcina_lacustris	GSM1022681	1.152097046831824
Methanosarcina_lacustris	GSM1022682	1.152097046831824
Methanosarcina_lacustris	GSM1022683	1.152097046831824
Methanosarcina_lacustris	GSM1022684	1.152097046831824
Methanosarcina_lacustris	GSM1022685	1.152097046831824
Methanosarcina_lacustris	GSM1022686	1.152097046831824
Methanosarcina_lacustris	GSM1022687	1.152097046831824
Methanosarcina_lacustris	GSM1022688	1.152097046831824
Methanosarcina_lacustris	GSM1022689	1.152097046831824
Methanosarcina_lacustris	GSM1022690	1.152097046831824
Methanosarcina_lacustris	GSM1022691	1.152413493004701
Methanosarcina_lacustris	GSM1022692	1.152097046831824
Methanosarcina_lacustris	GSM1022693	1.1515806283984071
Methanosarcina_lacustris	GSM1022694	1.152097046831824
Methanosarcina_lacustris	GSM1022695	1.152097046831824
Methanosarcina_lacustris	GSM1385778	1.152097046831824
Methanosarcina_lacustris	GSM1385779	1.1515806283984071
Methanosarcina_lacustris	GSM1385780	1.152097046831824
Methanosarcina_lacustris	GSM1385781	1.152097046831824
Methanosarcina_lacustris	GSM1385782	1.1515806283984071
Methanosarcina_lacustris	GSM1385783	1.152097046831824
Methanosarcina_lacustris	GSM1415906	1.1233494236883803
Methanosarcina_lacustris	GSM1415907	1.1279881628198012
Methanosarcina_lacustris	GSM1415908	1.1515806283984071
Methanosarcina_lacustris	GSM1415909	1.1296800715363322
Methanosarcina_lacustris	GSM1415910	1.132449321522984
Methanosarcina_lacustris	GSM1415911	1.1310094918423883
Methanosarcina_lacustris	GSM1415912	1.1515806283984071
Methanosarcina_lacustris	GSM1415913	1.152097046831824
Methanosarcina_lacustris	GSM1415914	1.152413493004701
Methanosarcina_lacustris	GSM1415915	1.152097046831824
Methanosarcina_lacustris	GSM1415916	1.1515806283984071
Methanosarcina_lacustris	GSM1415917	1.152097046831824
Methanosarcina_lacustris	GSM1415918	1.152413493004701
Methanosarcina_lacustris	GSM1415919	1.1453206893494383
Methanosarcina_lacustris	GSM1415920	1.152413493004701
Methanosarcina_lacustris	GSM1415921	1.1515806283984071
Methanosarcina_lacustris	GSM3103946	2.4908639846839304
Methanosarcina_lacustris	GSM3103947	4.463674395198362
Methanosarcina_lacustris	GSM3103948	1.5567265343844794
Methanosarcina_lacustris	GSM3103949	3.073171200647794
Methanosarcina_lacustris	GSM3103950	3.2465315694989094
Methanosarcina_lacustris	GSM3103951	1.20334389807206
Methanosarcina_lacustris	GSM3103952	4.473429987389471
Methanosarcina_lacustris	GSM3103953	2.404948450765074
Methanosarcina_lacustris	GSM3103954	1.775003844480067
Methanosarcina_lacustris	GSM3103955	2.2954065028920345
Methanosarcina_lacustris	GSM3103956	2.776511181741987
Methanosarcina_lacustris	GSM3103957	2.2509587842438026
Methanosarcina_lacustris	GSM3103958	1.278319422447084
Methanosarcina_lacustris	GSM3103959	1.087183229126098
Methanosarcina_lacustris	GSM3103960	2.98319433311719
Methanosarcina_lacustris	GSM3103961	1.9188751384446772
Methanosarcina_lacustris	GSM3103962	4.054461965068157
Methanosarcina_lacustris	GSM3103963	2.045248915772987
Methanosarcina_lacustris	GSM3103964	3.5508830172683896
Methanosarcina_lacustris	GSM3103965	3.1592559636324364
Methanosarcina_lacustris	GSM4735785	1.152413493004701
Methanosarcina_lacustris	GSM4735786	1.152097046831824
Methanosarcina_lacustris	GSM4735787	1.152413493004701
Methanosarcina_lacustris	GSM4735788	1.152413493004701
Methanosarcina_lacustris	GSM4735789	1.152413493004701
Methanosarcina_lacustris	GSM4735790	1.152413493004701
Methanosarcina_lacustris	GSM4735791	1.152413493004701
Methanosarcina_lacustris	GSM4735792	1.152413493004701
Methanosarcina_lacustris	GSM4735793	1.152413493004701
Methanosarcina_lacustris	GSM4735794	1.152413493004701
Methanosarcina_lacustris	GSM4735795	1.152413493004701
Methanosarcina_lacustris	GSM4735796	1.152413493004701
Methanosarcina_lacustris	GSM4735797	1.152413493004701
Methanosarcina_lacustris	GSM4735798	1.152413493004701
Methanosarcina_lacustris	GSM4735799	1.152413493004701
Methanosarcina_lacustris	GSM4735800	1.152413493004701
Methanosarcina_lacustris	GSM4735801	1.152413493004701
Methanosarcina_lacustris	GSM4735802	1.152413493004701
Methanosarcina_lacustris	GSM4735803	1.152413493004701
Methanosarcina_lacustris	GSM4735804	1.152413493004701
Methanosarcina_lacustris	GSM5282507	7.234465936021027
Methanosarcina_lacustris	GSM5282508	4.215058671142278
Methanosarcina_lacustris	GSM5282509	4.207792349116159
Methanosarcina_lacustris	GSM5282510	1.1098635671367527
Methanosarcina_lacustris	GSM5282511	1.1084314434896467
Methanosarcina_lacustris	GSM5282512	7.376352674498985
Methanosarcina_lacustris	GSM5282513	3.06258467957297
Methanosarcina_lacustris	GSM5282514	6.063781043453212
Methanosarcina_lacustris	GSM5282515	9.169396752296848
Methanosarcina_lacustris	GSM5282516	1.1054329458063006
Methanosarcina_lacustris	GSM5282517	3.298604473228604
Methanosarcina_lacustris	GSM5282518	7.053575542702426
Methanosarcina_lacustris	GSM5282519	1.1003353316156663
Methanosarcina_lacustris	GSM5282520	2.2229497436338197
Methanosarcina_lacustris	GSM5282521	1.1006968143275078
Methanosarcina_lacustris	GSM5282522	2.174366458252196
Methanosarcina_lacustris	GSM5282523	9.296795440709449
Methanosarcina_lacustris	GSM5282524	4.151270758358612
Methanosarcina_lacustris	GSM5282525	12.417133098129057
Methanosarcina_lacustris	GSM5282526	8.257845797876847
Methanosarcina_lacustris	GSM5282527	2.072057200024368
Methanosarcina_lacustris	GSM5282528	7.294619410680993
Methanosarcina_lacustris	GSM5282529	12.225862336395798
Methanosarcina_lacustris	GSM5282530	1.0900952616733346
Methanosarcina_lacustris	GSM5282531	2.1662811457369564
Methanosarcina_lacustris	GSM5282532	11.46297335964156
Methanosarcina_lacustris	GSM5282533	5.121952001079656
Methanosarcina_lacustris	GSM5282534	7.145280195674196
Methanosarcina_lacustris	GSM5282535	2.0862811802743932
Methanosarcina_lacustris	GSM5282536	5.014769583549164
Methanosarcina_lacustris	GSM4260927	1.0744317402630212
Methanosarcina_lacustris	GSM4260928	6.397625263648596
Methanosarcina_lacustris	GSM4260929	4.269735627149583
Methanosarcina_lacustris	GSM4260930	1.0762150229807526
Methanosarcina_lacustris	GSM4260931	4.332562291473913
Methanosarcina_lacustris	GSM4260932	4.323154716370396
Methanosarcina_lacustris	GSM4260933	1.0836835837654129
Methanosarcina_lacustris	GSM4260934	2.1320688727380466
Methanosarcina_lacustris	GSM4260935	2.125677097647332
Methanosarcina_lacustris	GSM4260936	2.160494237542193
Methanosarcina_lacustris	GSM4260937	2.1552110442683174
Methanosarcina_lacustris	GSM4260938	2.21318955666006
Methanosarcina_lacustris	GSM4260939	4.323154716370396
Methanosarcina_lacustris	GSM4260940	1.0858531365152255
Methanosarcina_lacustris	GSM4260941	1.0995348244095349
Methanosarcina_lacustris	GSM4260942	2.1388411052727117
Methanosarcina_lacustris	GSM4260943	2.180190523346669
Methanosarcina_lacustris	GSM4260944	2.188327750483004
Methanosarcina_lacustris	GSM4260945	1.1052409370469285
Methanosarcina_lacustris	GSM4260946	5.49370087961257
Methanosarcina_lacustris	GSM4260947	2.161577358185198
Methanosarcina_lacustris	GSM4260948	2.160494237542193
Methanosarcina_lacustris	GSM4260949	1.087183229126098
Methanosarcina_lacustris	GSM4260950	2.1925929119785152
Methanosarcina_lacustris	GSM4260951	3.198812631824298
Methanosarcina_lacustris	GSM4260952	3.257559409545677
Methanosarcina_lacustris	GSM4260953	2.161577358185198
Methanosarcina_lacustris	GSM4260954	2.1893090910516437
Methanosarcina_lacustris	GSM4260955	1.10659477833003
Methanosarcina_lacustris	GSM4260956	2.141461033009057
Methanosarcina_lacustris	GSM4260957	1.059177261520868
Methanosarcina_lacustris	GSM4260958	2.1662811457369564
Methanosarcina_lacustris	GSM4260959	4.3786181821032875
Methanosarcina_lacustris	GSM4260960	3.2177385956298803
Methanosarcina_lacustris	GSM4260961	1.087183229126098
Methanosarcina_lacustris	GSM4260962	1.0744317402630212
Methanosarcina_lacustris	GSM4260963	2.197480351845028
Methanosarcina_lacustris	GSM4260964	2.152430045961505
Methanosarcina_lacustris	GSM4260965	1.10659477833003
Methanosarcina_lacustris	GSM4260966	2.1525742943552824
Methanosarcina_lacustris	GSM4260967	1.0836262998284647
Methanosarcina_lacustris	GSM4260968	2.1262609567798356
Methanosarcina_lacustris	GSM4260969	2.152430045961505
Methanosarcina_lacustris	GSM4260970	4.297726961052085
Methanosarcina_lacustris	GSM4260971	5.2817391097984014
Methanosarcina_lacustris	GSM4260972	2.152430045961505
Methanosarcina_lacustris	GSM4260973	1.087183229126098
Methanosarcina_lacustris	GSM4260974	1.080788679092599
Methanosarcina_lacustris	GSM4260975	2.1589328195325344
Methanosarcina_lacustris	GSM4260976	4.270307932061466
Methanosarcina_lacustris	GSM4260977	1.0936156128924277
Methanosarcina_lacustris	GSM4260978	5.353652582522642
Methanosarcina_lacustris	GSM4260979	3.2328165664024766
Methanosarcina_lacustris	GSM4260980	1.042088487240142
Methanosarcina_lacustris	GSM4260981	3.212191549513585
Methanosarcina_lacustris	GSM4260982	2.200670663231333
Methanosarcina_lacustris	GSM4260983	1.087183229126098
Methanosarcina_lacustris	GSM4260984	2.1552110442683174
Methanosarcina_lacustris	GSM4260985	5.388027610670794
Methanosarcina_lacustris	GSM4260986	3.2177385956298803
Methanosarcina_lacustris	GSM4260987	1.0514209783673985
Methanosarcina_lacustris	GSM4260988	2.1662811457369564
Methanosarcina_lacustris	GSM4260989	1.093542327479709
