Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidianus ambivalens	Acidianus ambivalens	1.040086731387588	0.041257952885324065	0.5096067132973274	0.0809603794627649	0.9354734616363541	0.9948152514137137
Acidianus brierleyi	Acidianus brierleyi	1.0534749678720214	0.0412675006352926	0.5098889595494206	0.08093428944168535	0.9354942103721424	0.9948152514137137
Acidianus sulfidivorans	Acidianus sulfidivorans	1.37826817714038	0.1286765835898633	0.51720393445988	0.24879273922044162	0.8035211078158574	0.9948152514137137
Acidilobus saccharovorans	Acidilobus saccharovorans	1.8616290266764317	-0.0839072715501358	0.4736815804999589	-0.17713855679499677	0.859399556839565	0.9948152514137137
Aciduliprofundum boonei	Aciduliprofundum boonei	1.0334423102908203	-0.004540136213607195	0.511525426372708	-0.008875680424728598	0.9929183246022978	0.9948152514137137
Aeropyrum pernix	Aeropyrum pernix	1.0467870714892094	-0.004540131509611905	0.5118003236250499	-0.008870903944441526	0.9929221355321435	0.9948152514137137
Archaeoglobus fulgidus	Archaeoglobus fulgidus	1.0469106335387224	0.08567281308149928	0.5078321323545902	0.16870301744057195	0.8660302452281884	0.9948152514137137
Archaeoglobus profundus	Archaeoglobus profundus	1.0467744120728362	-0.004540131506396305	0.5118005126212875	-0.008870900662336433	0.9929221381507815	0.9948152514137137
Archaeoglobus sulfaticallidus	Archaeoglobus sulfaticallidus	1.0334423102908203	-0.004540136213607195	0.511525426372708	-0.008875680424728598	0.9929183246022978	0.9948152514137137
Archaeoglobus veneficus	Archaeoglobus veneficus	1.0465401267430927	-0.004540131594459451	0.5117953635847203	-0.008870990082167669	0.9929220668068859	0.9948152514137137
Caldisphaera lagunensis	Caldisphaera lagunensis	1.1398139434858683	0.3266166727856745	0.5004129896584532	0.6526942336341033	0.5139534207112224	0.9948152514137137
Candidatus Mancarchaeum acidiphilum	Candidatus Mancarchaeum acidiphilum	1.1062619037252737	-0.13006008241220204	0.49753227307964726	-0.26141034350827214	0.7937760813198722	0.9948152514137137
Candidatus Methanomassiliicoccus intestinalis	Candidatus Methanomassiliicoccus intestinalis	1.2591404544786255	-0.13668317212388428	0.4667945345168908	-0.2928122803865829	0.76966564107919	0.9948152514137137
Candidatus Methanoplasma termitum	Candidatus Methanoplasma termitum	1.0666303169769273	0.041252988366393455	0.5101710338004457	0.08086109487456639	0.9355524203992729	0.9948152514137137
Candidatus Nitrosocosmicus exaquare	Candidatus Nitrosocosmicus exaquare	1.6502769344267514	-0.10669446718770997	0.46016622321201694	-0.23186070990384613	0.8166462019240079	0.9948152514137137
Candidatus Nitrosocosmicus franklandus	Candidatus Nitrosocosmicus franklandus	1.1532836116989107	0.04126687518578696	0.5124432426298801	0.08052965041358265	0.9358160151868125	0.9948152514137137
Candidatus Nitrosopelagicus brevis	Candidatus Nitrosopelagicus brevis	359.9439367182409	-0.5592343658252577	0.5770703764473115	-0.9690921396245292	0.3324992191972364	0.9948152514137137
Candidatus Nitrososphaera evergladensis	Candidatus Nitrososphaera evergladensis	1.0334423102908203	-0.004540136213607195	0.511525426372708	-0.008875680424728598	0.9929183246022978	0.9948152514137137
Candidatus Nitrososphaera gargensis	Candidatus Nitrososphaera gargensis	1.1398830170215157	-0.13007406826192736	0.4992056775543349	-0.2605620771365721	0.7944302376910024	0.9948152514137137
Candidatus Nitrosotalea devanaterra	Candidatus Nitrosotalea devanaterra	1.1926543756890347	-0.004540189563118186	0.5158609965164201	-0.008801187904838371	0.99297775871232	0.9948152514137137
Candidatus Nitrosotalea okcheonensis	Candidatus Nitrosotalea okcheonensis	1.0600893544566732	-0.0045401263452411675	0.512102604061881	-0.008865657603046579	0.9929263213423405	0.9948152514137137
Candidatus Nitrosotenuis aquarius	Candidatus Nitrosotenuis aquarius	1.1064850968991433	-0.1300600885573132	0.49752825891382363	-0.2614124649748604	0.7937744454931408	0.9948152514137137
Candidatus Prometheoarchaeum syntrophicum	Candidatus Prometheoarchaeum syntrophicum	2.2145422618896125	0.7674495429817983	0.4340840534817748	1.7679745128301978	0.07706516461895108	0.9948152514137137
Cuniculiplasma divulgatum	Cuniculiplasma divulgatum	1.0664783017392496	-0.004540197437627453	0.5122192501256801	-0.008863777447867201	0.992927821430188	0.9948152514137137
Desulfurococcus amylolyticus	Desulfurococcus amylolyticus	1.0533558235399045	-0.08424369974999538	0.49418629864843827	-0.17046951722537726	0.8646409051979005	0.9948152514137137
DPANN group archaeon LC1Nh	DPANN group archaeon LC1Nh	1.1133475389241696	-0.11226803142026368	0.47801650022220366	-0.23486225134085628	0.8143156491741489	0.9948152514137137
Ferroplasma acidarmanus	Ferroplasma acidarmanus	1.0400570844247667	-0.004540206826553877	0.5116604043839303	-0.008873476993046896	0.992920082617187	0.9948152514137137
Geoglobus ahangari	Geoglobus ahangari	1.066825915083779	0.08566422357246885	0.50826196583075	0.16854344674886576	0.8661557669444258	0.9948152514137137
Halalkaliarchaeum desulfuricum	Halalkaliarchaeum desulfuricum	1.1124044860302404	-0.13007358437388622	0.49775676884554265	-0.2613195691453248	0.7938460767339117	0.9948152514137137
Halalkalicoccus jeotgali	Halalkalicoccus jeotgali	1.1440139741223252	0.041258920307658514	0.5125203465665414	0.08050201437671468	0.9358379941956114	0.9948152514137137
Halanaeroarchaeum sulfurireducens	Halanaeroarchaeum sulfurireducens	1.111752286736795	-0.004540103285411873	0.5134584980283743	-0.008842201079240842	0.9929450362069719	0.9948152514137137
