Feature	sample	counts
Bradyrhizobiaceae	GSM1022678	5.539435237526825
Bradyrhizobiaceae	GSM1022679	10.820804011686906
Bradyrhizobiaceae	GSM1022680	2.9245617063120593
Bradyrhizobiaceae	GSM1022681	4.326817928780179
Bradyrhizobiaceae	GSM1022682	5.5764314748627
Bradyrhizobiaceae	GSM1022683	1.503809868509561
Bradyrhizobiaceae	GSM1022684	14.603107213593464
Bradyrhizobiaceae	GSM1022685	1.496314983121139
Bradyrhizobiaceae	GSM1022686	6.861558069750601
Bradyrhizobiaceae	GSM1022687	8.72134539877646
Bradyrhizobiaceae	GSM1022688	7.648160927269585
Bradyrhizobiaceae	GSM1022689	4.368214203851227
Bradyrhizobiaceae	GSM1022690	1.3848588093817062
Bradyrhizobiaceae	GSM1022691	1.4881588500326974
Bradyrhizobiaceae	GSM1022692	1.472644740003075
Bradyrhizobiaceae	GSM1022693	25.835340557315817
Bradyrhizobiaceae	GSM1022694	6.589643769327217
Bradyrhizobiaceae	GSM1022695	1.5128077271925144
Bradyrhizobiaceae	GSM1385778	5.8242856051349685
Bradyrhizobiaceae	GSM1385779	3.0076197370191227
Bradyrhizobiaceae	GSM1385780	1.5088548951846128
Bradyrhizobiaceae	GSM1385781	5.876731134559563
Bradyrhizobiaceae	GSM1385782	2.9245617063120593
Bradyrhizobiaceae	GSM1385783	1.534286620772014
Bradyrhizobiaceae	GSM1415906	65.99567785543682
Bradyrhizobiaceae	GSM1415907	39.92558049816888
Bradyrhizobiaceae	GSM1415908	1.5184631071440997
Bradyrhizobiaceae	GSM1415909	1.4691827836398907
Bradyrhizobiaceae	GSM1415910	1.4992187912345922
Bradyrhizobiaceae	GSM1415911	1.472644740003075
Bradyrhizobiaceae	GSM1415912	1.5578935692248153
Bradyrhizobiaceae	GSM1415913	1.5578935692248153
Bradyrhizobiaceae	GSM1415914	1.5480039283172808
Bradyrhizobiaceae	GSM1415915	3.087275999596022
Bradyrhizobiaceae	GSM1415916	1.534286620772014
Bradyrhizobiaceae	GSM1415917	1.5480039283172808
Bradyrhizobiaceae	GSM1415918	1.5578935692248153
Bradyrhizobiaceae	GSM1415919	1.543637999798011
Bradyrhizobiaceae	GSM1415920	1.534286620772014
Bradyrhizobiaceae	GSM1415921	1.534286620772014
Bradyrhizobiaceae	GSM2769390	NA
Bradyrhizobiaceae	GSM2769391	NA
Bradyrhizobiaceae	GSM2769392	NA
Bradyrhizobiaceae	GSM2769393	NA
Bradyrhizobiaceae	GSM2769394	NA
Bradyrhizobiaceae	GSM2769395	NA
Bradyrhizobiaceae	GSM2769396	NA
Bradyrhizobiaceae	GSM2769397	NA
Bradyrhizobiaceae	GSM2769398	NA
Bradyrhizobiaceae	GSM3103946	11.756870487359368
Bradyrhizobiaceae	GSM3103947	26.656941988879993
Bradyrhizobiaceae	GSM3103948	25.863789348050663
Bradyrhizobiaceae	GSM3103949	58.426783066445715
Bradyrhizobiaceae	GSM3103950	16.774678017165513
Bradyrhizobiaceae	GSM3103951	20.42286016916686
Bradyrhizobiaceae	GSM3103952	15.499840276834863
Bradyrhizobiaceae	GSM3103953	14.970223337762793
Bradyrhizobiaceae	GSM3103954	8.436058389529084
Bradyrhizobiaceae	GSM3103955	116.67613058249366
Bradyrhizobiaceae	GSM3103956	12.66219784839988
Bradyrhizobiaceae	GSM3103957	16.211963401181137
Bradyrhizobiaceae	GSM3103958	16.164832151342083
Bradyrhizobiaceae	GSM3103959	20.1718559117261
Bradyrhizobiaceae	GSM3103960	49.86934863208637
Bradyrhizobiaceae	GSM3103961	29.65167666067904
Bradyrhizobiaceae	GSM3103962	12.54460817449722
Bradyrhizobiaceae	GSM3103963	14.541365066876349
Bradyrhizobiaceae	GSM3103964	9.63920656502648
Bradyrhizobiaceae	GSM3103965	31.00682221211
Bradyrhizobiaceae	GSM4260265	NA
Bradyrhizobiaceae	GSM4260266	NA
Bradyrhizobiaceae	GSM4260267	NA
Bradyrhizobiaceae	GSM4260268	NA
Bradyrhizobiaceae	GSM4260269	NA
Bradyrhizobiaceae	GSM4260270	NA
Bradyrhizobiaceae	GSM4260271	NA
Bradyrhizobiaceae	GSM4260272	NA
Bradyrhizobiaceae	GSM4260273	NA
Bradyrhizobiaceae	GSM4260274	NA
Bradyrhizobiaceae	GSM4260275	NA
Bradyrhizobiaceae	GSM4260276	NA
Bradyrhizobiaceae	GSM4735785	1.5611295689879316
Bradyrhizobiaceae	GSM4735786	1.5611295689879316
Bradyrhizobiaceae	GSM4735787	1.5611295689879316
Bradyrhizobiaceae	GSM4735788	1.5611295689879316
Bradyrhizobiaceae	GSM4735789	1.5611295689879316
Bradyrhizobiaceae	GSM4735790	1.5611295689879316
Bradyrhizobiaceae	GSM4735791	1.5611295689879316
Bradyrhizobiaceae	GSM4735792	1.5611295689879316
Bradyrhizobiaceae	GSM4735793	1.5611295689879316
Bradyrhizobiaceae	GSM4735794	1.5611295689879316
Bradyrhizobiaceae	GSM4735795	1.5611295689879316
Bradyrhizobiaceae	GSM4735796	1.5611295689879316
Bradyrhizobiaceae	GSM4735797	1.5611295689879316
Bradyrhizobiaceae	GSM4735798	1.5611295689879316
Bradyrhizobiaceae	GSM4735799	1.5611295689879316
Bradyrhizobiaceae	GSM4735800	1.5611295689879316
Bradyrhizobiaceae	GSM4735801	1.5611295689879316
Bradyrhizobiaceae	GSM4735802	1.5611295689879316
Bradyrhizobiaceae	GSM4735803	1.5611295689879316
Bradyrhizobiaceae	GSM4735804	1.5611295689879316
Bradyrhizobiaceae	GSM5282507	49.540446879108366
Bradyrhizobiaceae	GSM5282508	31.740177298073032
Bradyrhizobiaceae	GSM5282509	59.617840259399806
Bradyrhizobiaceae	GSM5282510	24.922517357399897
Bradyrhizobiaceae	GSM5282511	9.830936386635008
Bradyrhizobiaceae	GSM5282512	36.287102918284624
Bradyrhizobiaceae	GSM5282513	34.49471844767936
