Feature	sample	counts
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022678	1.3848588093817062
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022679	1.2023115568541007
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022680	1.4622808531560296
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022681	1.4422726429267263
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022682	1.394107868715675
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022683	1.503809868509561
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022684	1.3275552012357694
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022685	1.496314983121139
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022686	1.3723116139501204
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022687	1.4535575664627434
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022688	1.2746934878782643
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022689	1.456071401283742
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022690	1.3848588093817062
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022691	1.4881588500326974
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022692	1.472644740003075
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022693	1.2302543122531342
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022694	1.3179287538654434
Clostridiales_Family_XVI._Incertae_Sedis	GSM1022695	1.5128077271925144
Clostridiales_Family_XVI._Incertae_Sedis	GSM1385778	1.456071401283742
Clostridiales_Family_XVI._Incertae_Sedis	GSM1385779	1.503809868509561
Clostridiales_Family_XVI._Incertae_Sedis	GSM1385780	1.5088548951846128
Clostridiales_Family_XVI._Incertae_Sedis	GSM1385781	1.4691827836398907
Clostridiales_Family_XVI._Incertae_Sedis	GSM1385782	1.4622808531560296
Clostridiales_Family_XVI._Incertae_Sedis	GSM1385783	1.534286620772014
Clostridiales_Family_XVI._Incertae_Sedis	GSM1415906	1.0818963582858496
Clostridiales_Family_XVI._Incertae_Sedis	GSM1415907	1.1090439027269132
Clostridiales_Family_XVI._Incertae_Sedis	GSM1415908	1.5184631071440997
Clostridiales_Family_XVI._Incertae_Sedis	GSM1415909	1.4691827836398907
Clostridiales_Family_XVI._Incertae_Sedis	GSM1415910	1.4992187912345922
Clostridiales_Family_XVI._Incertae_Sedis	GSM1415911	1.472644740003075
Clostridiales_Family_XVI._Incertae_Sedis	GSM1415912	1.5578935692248153
Clostridiales_Family_XVI._Incertae_Sedis	GSM1415913	1.5578935692248153
Clostridiales_Family_XVI._Incertae_Sedis	GSM1415914	1.5480039283172808
Clostridiales_Family_XVI._Incertae_Sedis	GSM1415915	1.543637999798011
