Feature	sample	counts
Oscillospiraceae	GSM1022678	1.5855806417831728
Oscillospiraceae	GSM1022679	1.3647160960940303
Oscillospiraceae	GSM1022680	1.7298159272457545
Oscillospiraceae	GSM1022681	1.697921919765187
Oscillospiraceae	GSM1022682	1.5983612533223506
Oscillospiraceae	GSM1022683	1.789815446181008
Oscillospiraceae	GSM1022684	1.5269325327109875
Oscillospiraceae	GSM1022685	1.7485882585591377
Oscillospiraceae	GSM1022686	1.5477231150354107
Oscillospiraceae	GSM1022687	1.6846928493930815
Oscillospiraceae	GSM1022688	1.4558067748296306
Oscillospiraceae	GSM1022689	1.7054242959879686
Oscillospiraceae	GSM1022690	1.6029702709447968
Oscillospiraceae	GSM1022691	1.742103711266452
Oscillospiraceae	GSM1022692	1.742103711266452
Oscillospiraceae	GSM1022693	1.382610660464101
Oscillospiraceae	GSM1022694	1.5297119136780868
Oscillospiraceae	GSM1022695	1.7839029021747566
Oscillospiraceae	GSM1385778	1.710139446345364
Oscillospiraceae	GSM1385779	1.8307828618519404
Oscillospiraceae	GSM1385780	1.8307828618519404
Oscillospiraceae	GSM1385781	1.710139446345364
Oscillospiraceae	GSM1385782	1.742103711266452
Oscillospiraceae	GSM1385783	1.8477822668312516
Oscillospiraceae	GSM1415906	2.3797792860982394
Oscillospiraceae	GSM1415907	1.2340292660607068
Oscillospiraceae	GSM1415908	1.7839029021747566
Oscillospiraceae	GSM1415909	1.7173452082376228
Oscillospiraceae	GSM1415910	1.742103711266452
Oscillospiraceae	GSM1415911	1.7298159272457545
Oscillospiraceae	GSM1415912	1.863692048614082
Oscillospiraceae	GSM1415913	1.8477822668312516
Oscillospiraceae	GSM1415914	1.824019980027911
Oscillospiraceae	GSM1415915	1.824019980027911
Oscillospiraceae	GSM1415916	1.824221879561311
Oscillospiraceae	GSM1415917	1.8307828618519404
Oscillospiraceae	GSM1415918	1.8477822668312516
Oscillospiraceae	GSM1415919	1.807610167258006
Oscillospiraceae	GSM1415920	1.824019980027911
Oscillospiraceae	GSM1415921	1.807610167258006
Oscillospiraceae	GSM3103946	62.669382159215886
Oscillospiraceae	GSM3103947	1.4148693720562824
Oscillospiraceae	GSM3103948	0.7196591316240135
Oscillospiraceae	GSM3103949	0.8898634722660081
Oscillospiraceae	GSM3103950	0.5741585807030446
Oscillospiraceae	GSM3103951	0.992745266252718
Oscillospiraceae	GSM3103952	1.7291130312918366
Oscillospiraceae	GSM3103953	3.13533564115769
Oscillospiraceae	GSM3103954	5.08940005260592
Oscillospiraceae	GSM3103955	1.0191042502373395
Oscillospiraceae	GSM3103956	1.6921669425740158
Oscillospiraceae	GSM3103957	0.428152547586971
Oscillospiraceae	GSM3103958	0.5468054002044976
Oscillospiraceae	GSM3103959	2.2326601706104103
Oscillospiraceae	GSM3103960	3.103276313155908
Oscillospiraceae	GSM3103961	4.420553494535636
Oscillospiraceae	GSM3103962	1.9833819400583521
Oscillospiraceae	GSM3103963	2.284294283379931
Oscillospiraceae	GSM3103964	2.2506337996043255
Oscillospiraceae	GSM3103965	10.890312280072273
Oscillospiraceae	GSM4735785	1.863692048614082
Oscillospiraceae	GSM4735786	1.863692048614082
Oscillospiraceae	GSM4735787	1.863692048614082
Oscillospiraceae	GSM4735788	1.863692048614082
Oscillospiraceae	GSM4735789	1.863692048614082
Oscillospiraceae	GSM4735790	1.863692048614082
Oscillospiraceae	GSM4735791	1.863692048614082
Oscillospiraceae	GSM4735792	1.863692048614082
Oscillospiraceae	GSM4735793	1.863692048614082
Oscillospiraceae	GSM4735794	1.863692048614082
Oscillospiraceae	GSM4735795	1.863692048614082
Oscillospiraceae	GSM4735796	1.863692048614082
Oscillospiraceae	GSM4735797	1.863692048614082
Oscillospiraceae	GSM4735798	1.863692048614082
Oscillospiraceae	GSM4735799	1.863692048614082
Oscillospiraceae	GSM4735800	1.863692048614082
Oscillospiraceae	GSM4735801	1.863692048614082
Oscillospiraceae	GSM4735802	1.863692048614082
Oscillospiraceae	GSM4735803	1.863692048614082
Oscillospiraceae	GSM4735804	1.863692048614082
Oscillospiraceae	GSM5282507	3.1709076007325305
Oscillospiraceae	GSM5282508	1.0909413254308649
Oscillospiraceae	GSM5282509	1.0139338843442611
Oscillospiraceae	GSM5282510	1.3688788394319673
Oscillospiraceae	GSM5282511	1.4131862337029786
Oscillospiraceae	GSM5282512	1.4942247720327246
Oscillospiraceae	GSM5282513	4.4553049487544465
Oscillospiraceae	GSM5282514	2.2426915567055508
Oscillospiraceae	GSM5282515	3.072759840144136
Oscillospiraceae	GSM5282516	1.3782001068542005
Oscillospiraceae	GSM5282517	1.3782001068542005
Oscillospiraceae	GSM5282518	0.9341169761004868
Oscillospiraceae	GSM5282519	1.3265893649109537
Oscillospiraceae	GSM5282520	1.3647160960940303
Oscillospiraceae	GSM5282521	1.2479205708707006
Oscillospiraceae	GSM5282522	1.2530519176284107
Oscillospiraceae	GSM5282523	2.1244404982546996
Oscillospiraceae	GSM5282524	2.199106003856277
Oscillospiraceae	GSM5282525	2.1236034957933625
Oscillospiraceae	GSM5282526	1.0569692002441768
Oscillospiraceae	GSM5282527	1.781896067228886
Oscillospiraceae	GSM5282528	2.22214632072789
Oscillospiraceae	GSM5282529	0.936758154975988
Oscillospiraceae	GSM5282530	1.250923709392323
Oscillospiraceae	GSM5282531	1.2602999937866612
Oscillospiraceae	GSM5282532	5.228328418531323
Oscillospiraceae	GSM5282533	0.9205423061705286
Oscillospiraceae	GSM5282534	2.1068989360238475
Oscillospiraceae	GSM5282535	2.1139384004883537
Oscillospiraceae	GSM5282536	1.0692737141630284
Oscillospiraceae	GSM4260927	2.131236847500152
Oscillospiraceae	GSM4260928	1.152861142018748
Oscillospiraceae	GSM4260929	1.1898896430491197
Oscillospiraceae	GSM4260930	1.223051986189916
Oscillospiraceae	GSM4260931	1.1713826875133302
Oscillospiraceae	GSM4260932	2.206604471429084
Oscillospiraceae	GSM4260933	1.1037512054230143
