Feature	sample	counts
Anoxybacillus_flavithermus	GSM1022678	1.077915778876077
Anoxybacillus_flavithermus	GSM1022679	1.0711448226586666
Anoxybacillus_flavithermus	GSM1022680	1.0808605893321108
Anoxybacillus_flavithermus	GSM1022681	1.079703871983604
Anoxybacillus_flavithermus	GSM1022682	1.080234698684874
Anoxybacillus_flavithermus	GSM1022683	1.0836910545499
Anoxybacillus_flavithermus	GSM1022684	1.074071135210637
Anoxybacillus_flavithermus	GSM1022685	1.0836910545499
Anoxybacillus_flavithermus	GSM1022686	1.0785483925329702
Anoxybacillus_flavithermus	GSM1022687	1.079703871983604
Anoxybacillus_flavithermus	GSM1022688	1.0748251011982124
Anoxybacillus_flavithermus	GSM1022689	1.0825313080889856
Anoxybacillus_flavithermus	GSM1022690	1.0785483925329702
Anoxybacillus_flavithermus	GSM1022691	1.0836910545499
Anoxybacillus_flavithermus	GSM1022692	2.165062616177971
Anoxybacillus_flavithermus	GSM1022693	1.0701193468413477
Anoxybacillus_flavithermus	GSM1022694	1.0757313593038504
Anoxybacillus_flavithermus	GSM1022695	1.0836910545499
Anoxybacillus_flavithermus	GSM1385778	1.0818963582858496
Anoxybacillus_flavithermus	GSM1385779	1.0836910545499
Anoxybacillus_flavithermus	GSM1385780	1.0840493982440995
Anoxybacillus_flavithermus	GSM1385781	1.0825313080889856
Anoxybacillus_flavithermus	GSM1385782	1.08305542450705
Anoxybacillus_flavithermus	GSM1385783	1.0840493982440995
Anoxybacillus_flavithermus	GSM1415906	1.0543061034933894
Anoxybacillus_flavithermus	GSM1415907	1.0567176057015448
Anoxybacillus_flavithermus	GSM1415908	1.0836910545499
Anoxybacillus_flavithermus	GSM1415909	1.08305542450705
Anoxybacillus_flavithermus	GSM1415910	1.0836910545499
Anoxybacillus_flavithermus	GSM1415911	1.0836910545499
Anoxybacillus_flavithermus	GSM1415912	1.0840493982440995
Anoxybacillus_flavithermus	GSM1415913	1.0847295358867397
Anoxybacillus_flavithermus	GSM1415914	1.0836910545499
Anoxybacillus_flavithermus	GSM1415915	1.0836910545499
Anoxybacillus_flavithermus	GSM1415916	1.0840493982440995
Anoxybacillus_flavithermus	GSM1415917	1.0840493982440995
Anoxybacillus_flavithermus	GSM1415918	1.0840493982440995
Anoxybacillus_flavithermus	GSM1415919	1.0840493982440995
Anoxybacillus_flavithermus	GSM1415920	1.0836910545499
Anoxybacillus_flavithermus	GSM1415921	1.0836910545499
Anoxybacillus_flavithermus	GSM2769390	NA
Anoxybacillus_flavithermus	GSM2769391	NA
Anoxybacillus_flavithermus	GSM2769392	NA
Anoxybacillus_flavithermus	GSM2769393	NA
Anoxybacillus_flavithermus	GSM2769394	NA
Anoxybacillus_flavithermus	GSM2769395	NA
Anoxybacillus_flavithermus	GSM2769396	NA
Anoxybacillus_flavithermus	GSM2769397	NA
Anoxybacillus_flavithermus	GSM2769398	NA
Anoxybacillus_flavithermus	GSM3103946	1.0164221069237995
Anoxybacillus_flavithermus	GSM3103947	1.0255256926759042
Anoxybacillus_flavithermus	GSM3103948	1.0126824243937012
Anoxybacillus_flavithermus	GSM3103949	2.058625606893894
Anoxybacillus_flavithermus	GSM3103950	2.058625606893894
Anoxybacillus_flavithermus	GSM3103951	2.0510513853518084
Anoxybacillus_flavithermus	GSM3103952	1.0228471480935892
Anoxybacillus_flavithermus	GSM3103953	2.0510513853518084
Anoxybacillus_flavithermus	GSM3103954	1.0126824243937012
Anoxybacillus_flavithermus	GSM3103955	3.0492663207713986
Anoxybacillus_flavithermus	GSM3103956	2.0552163255583524
Anoxybacillus_flavithermus	GSM3103957	1.0228471480935892
Anoxybacillus_flavithermus	GSM3103958	2.058625606893894
Anoxybacillus_flavithermus	GSM3103959	0.6214343502898367
Anoxybacillus_flavithermus	GSM3103960	1.050079806364539
Anoxybacillus_flavithermus	GSM3103961	1.006321233202252
Anoxybacillus_flavithermus	GSM3103962	1.029312803446947
Anoxybacillus_flavithermus	GSM3103963	4.128033118936838
Anoxybacillus_flavithermus	GSM3103964	1.0255256926759042
Anoxybacillus_flavithermus	GSM3103965	2.077063689474129
Anoxybacillus_flavithermus	GSM4260265	NA
Anoxybacillus_flavithermus	GSM4260266	NA
Anoxybacillus_flavithermus	GSM4260267	NA
Anoxybacillus_flavithermus	GSM4260268	NA
Anoxybacillus_flavithermus	GSM4260269	NA
Anoxybacillus_flavithermus	GSM4260270	NA
Anoxybacillus_flavithermus	GSM4260271	NA
Anoxybacillus_flavithermus	GSM4260272	NA
Anoxybacillus_flavithermus	GSM4260273	NA
Anoxybacillus_flavithermus	GSM4260274	NA
Anoxybacillus_flavithermus	GSM4260275	NA
Anoxybacillus_flavithermus	GSM4260276	NA
Anoxybacillus_flavithermus	GSM4735785	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735786	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735787	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735788	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735789	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735790	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735791	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735792	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735793	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735794	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735795	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735796	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735797	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735798	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735799	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735800	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735801	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735802	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735803	1.0847295358867397
Anoxybacillus_flavithermus	GSM4735804	1.0847295358867397
Anoxybacillus_flavithermus	GSM5282507	1.0517029463383931
Anoxybacillus_flavithermus	GSM5282508	1.0555867257351073
Anoxybacillus_flavithermus	GSM5282509	1.0517029463383931
Anoxybacillus_flavithermus	GSM5282510	1.074071135210637
Anoxybacillus_flavithermus	GSM5282511	1.0757313593038504
Anoxybacillus_flavithermus	GSM5282512	3.146868090150754
Anoxybacillus_flavithermus	GSM5282513	1.0567176057015448
Anoxybacillus_flavithermus	GSM5282514	6.2378667199577125
Anoxybacillus_flavithermus	GSM5282515	1.050079806364539
Anoxybacillus_flavithermus	GSM5282516	1.0748251011982124
Anoxybacillus_flavithermus	GSM5282517	3.225301193863635
Anoxybacillus_flavithermus	GSM5282518	1.0489560300502512
Anoxybacillus_flavithermus	GSM5282519	1.0744262978898975
Anoxybacillus_flavithermus	GSM5282520	1.0729216838124729
Anoxybacillus_flavithermus	GSM5282521	1.0661820981341006
Anoxybacillus_flavithermus	GSM5282522	1.0661820981341006
Anoxybacillus_flavithermus	GSM5282523	1.0488058650361531
Anoxybacillus_flavithermus	GSM5282524	1.0462162883631887
Anoxybacillus_flavithermus	GSM5282525	1.052829665501927
Anoxybacillus_flavithermus	GSM5282526	1.052829665501927
Anoxybacillus_flavithermus	GSM5282527	1.0517029463383931
