Feature	sample	counts
Desulfoglaeba_alkanexedens	GSM1022678	1.077915778876077
Desulfoglaeba_alkanexedens	GSM1022679	1.0711448226586666
Desulfoglaeba_alkanexedens	GSM1022680	1.0808605893321108
Desulfoglaeba_alkanexedens	GSM1022681	1.079703871983604
Desulfoglaeba_alkanexedens	GSM1022682	1.080234698684874
Desulfoglaeba_alkanexedens	GSM1022683	1.0836910545499
Desulfoglaeba_alkanexedens	GSM1022684	1.074071135210637
Desulfoglaeba_alkanexedens	GSM1022685	1.0836910545499
Desulfoglaeba_alkanexedens	GSM1022686	1.0785483925329702
Desulfoglaeba_alkanexedens	GSM1022687	1.079703871983604
Desulfoglaeba_alkanexedens	GSM1022688	1.0748251011982124
Desulfoglaeba_alkanexedens	GSM1022689	1.0825313080889856
Desulfoglaeba_alkanexedens	GSM1022690	1.0785483925329702
Desulfoglaeba_alkanexedens	GSM1022691	1.0836910545499
Desulfoglaeba_alkanexedens	GSM1022692	1.0825313080889856
Desulfoglaeba_alkanexedens	GSM1022693	1.0701193468413477
Desulfoglaeba_alkanexedens	GSM1022694	1.0757313593038504
Desulfoglaeba_alkanexedens	GSM1022695	1.0836910545499
Desulfoglaeba_alkanexedens	GSM1385778	1.0818963582858496
Desulfoglaeba_alkanexedens	GSM1385779	1.0836910545499
Desulfoglaeba_alkanexedens	GSM1385780	1.0840493982440995
Desulfoglaeba_alkanexedens	GSM1385781	1.0825313080889856
Desulfoglaeba_alkanexedens	GSM1385782	1.08305542450705
Desulfoglaeba_alkanexedens	GSM1385783	1.0840493982440995
Desulfoglaeba_alkanexedens	GSM1415906	1.0543061034933894
Desulfoglaeba_alkanexedens	GSM1415907	1.0567176057015448
Desulfoglaeba_alkanexedens	GSM1415908	1.0836910545499
Desulfoglaeba_alkanexedens	GSM1415909	1.08305542450705
Desulfoglaeba_alkanexedens	GSM1415910	1.0836910545499
Desulfoglaeba_alkanexedens	GSM1415911	1.0836910545499
Desulfoglaeba_alkanexedens	GSM1415912	1.0840493982440995
Desulfoglaeba_alkanexedens	GSM1415913	1.0847295358867397
Desulfoglaeba_alkanexedens	GSM1415914	1.0836910545499
Desulfoglaeba_alkanexedens	GSM1415915	1.0836910545499
Desulfoglaeba_alkanexedens	GSM1415916	1.0840493982440995
Desulfoglaeba_alkanexedens	GSM1415917	1.0840493982440995
Desulfoglaeba_alkanexedens	GSM1415918	1.0840493982440995
Desulfoglaeba_alkanexedens	GSM1415919	1.0840493982440995
Desulfoglaeba_alkanexedens	GSM1415920	1.0836910545499
Desulfoglaeba_alkanexedens	GSM1415921	1.0836910545499
Desulfoglaeba_alkanexedens	GSM2769390	NA
Desulfoglaeba_alkanexedens	GSM2769391	NA
Desulfoglaeba_alkanexedens	GSM2769392	NA
Desulfoglaeba_alkanexedens	GSM2769393	NA
Desulfoglaeba_alkanexedens	GSM2769394	NA
Desulfoglaeba_alkanexedens	GSM2769395	NA
Desulfoglaeba_alkanexedens	GSM2769396	NA
Desulfoglaeba_alkanexedens	GSM2769397	NA
Desulfoglaeba_alkanexedens	GSM2769398	NA
Desulfoglaeba_alkanexedens	GSM3103946	1.0164221069237995
Desulfoglaeba_alkanexedens	GSM3103947	2.0510513853518084
Desulfoglaeba_alkanexedens	GSM3103948	1.0126824243937012
Desulfoglaeba_alkanexedens	GSM3103949	1.029312803446947
Desulfoglaeba_alkanexedens	GSM3103950	1.029312803446947
Desulfoglaeba_alkanexedens	GSM3103951	1.0255256926759042
Desulfoglaeba_alkanexedens	GSM3103952	1.0228471480935892
Desulfoglaeba_alkanexedens	GSM3103953	1.0255256926759042
Desulfoglaeba_alkanexedens	GSM3103954	1.0126824243937012
Desulfoglaeba_alkanexedens	GSM3103955	1.0164221069237995
Desulfoglaeba_alkanexedens	GSM3103956	1.0276081627791762
Desulfoglaeba_alkanexedens	GSM3103957	1.0228471480935892
Desulfoglaeba_alkanexedens	GSM3103958	1.029312803446947
Desulfoglaeba_alkanexedens	GSM3103959	0.6214343502898367
Desulfoglaeba_alkanexedens	GSM3103960	0.5250399031822695
Desulfoglaeba_alkanexedens	GSM3103961	1.006321233202252
Desulfoglaeba_alkanexedens	GSM3103962	1.029312803446947
Desulfoglaeba_alkanexedens	GSM3103963	1.0320082797342096
Desulfoglaeba_alkanexedens	GSM3103964	1.0255256926759042
Desulfoglaeba_alkanexedens	GSM3103965	1.0385318447370644
Desulfoglaeba_alkanexedens	GSM4260265	NA
Desulfoglaeba_alkanexedens	GSM4260266	NA
Desulfoglaeba_alkanexedens	GSM4260267	NA
Desulfoglaeba_alkanexedens	GSM4260268	NA
Desulfoglaeba_alkanexedens	GSM4260269	NA
