Feature	sample	counts
Leptotrichia_shahii	GSM1022678	1.0915072827241796
Leptotrichia_shahii	GSM1022679	1.081963986934003
Leptotrichia_shahii	GSM1022680	1.0962609834282964
Leptotrichia_shahii	GSM1022681	1.0936156128924277
Leptotrichia_shahii	GSM1022682	1.0952617573694363
Leptotrichia_shahii	GSM1022683	1.0992910073689308
Leptotrichia_shahii	GSM1022684	1.086884694811669
Leptotrichia_shahii	GSM1022685	1.0992910073689308
Leptotrichia_shahii	GSM1022686	1.0928252422985416
Leptotrichia_shahii	GSM1022687	1.0941349558947029
Leptotrichia_shahii	GSM1022688	1.0880927781281384
Leptotrichia_shahii	GSM1022689	1.0987764213557447
Leptotrichia_shahii	GSM1022690	1.0928252422985416
Leptotrichia_shahii	GSM1022691	1.0992910073689308
Leptotrichia_shahii	GSM1022692	1.098277236515094
Leptotrichia_shahii	GSM1022693	1.0809764398662547
Leptotrichia_shahii	GSM1022694	1.0889282196551833
Leptotrichia_shahii	GSM1022695	1.0997839768804831
Leptotrichia_shahii	GSM1385778	1.0973959441958732
Leptotrichia_shahii	GSM1385779	1.0999333083524885
Leptotrichia_shahii	GSM1385780	1.1002458540818576
Leptotrichia_shahii	GSM1385781	1.098189620486071
Leptotrichia_shahii	GSM1385782	1.09925417388561
Leptotrichia_shahii	GSM1385783	1.1003353316156663
Leptotrichia_shahii	GSM1415906	1.0631304783899178
Leptotrichia_shahii	GSM1415907	1.067685275951563
Leptotrichia_shahii	GSM1415908	1.0992910073689308
Leptotrichia_shahii	GSM1415909	1.0989891483276475
Leptotrichia_shahii	GSM1415910	1.0992173416364528
Leptotrichia_shahii	GSM1415911	1.0992173416364528
Leptotrichia_shahii	GSM1415912	1.099985902466639
Leptotrichia_shahii	GSM1415913	1.1002458540818576
Leptotrichia_shahii	GSM1415914	1.0998421149636937
Leptotrichia_shahii	GSM1415915	1.099813045537928
Leptotrichia_shahii	GSM1415916	1.0999333083524885
Leptotrichia_shahii	GSM1415917	1.0999333083524885
Leptotrichia_shahii	GSM1415918	1.099985902466639
Leptotrichia_shahii	GSM1415919	1.099985902466639
Leptotrichia_shahii	GSM1415920	1.0998421149636937
Leptotrichia_shahii	GSM1415921	1.099985902466639
Leptotrichia_shahii	GSM3103946	5.091825912429068
Leptotrichia_shahii	GSM3103947	26.778308159006468
Leptotrichia_shahii	GSM3103948	7.124984308796547
Leptotrichia_shahii	GSM3103949	35.2289631297645
Leptotrichia_shahii	GSM3103950	6.219287953573846
Leptotrichia_shahii	GSM3103951	3.095140487327468
Leptotrichia_shahii	GSM3103952	4.102580821442112
Leptotrichia_shahii	GSM3103953	9.269414362733007
Leptotrichia_shahii	GSM3103954	29.481679183117105
Leptotrichia_shahii	GSM3103955	2.0392252143372445
Leptotrichia_shahii	GSM3103956	3.0999906175398264
Leptotrichia_shahii	GSM3103957	3.08070464265567
Leptotrichia_shahii	GSM3103958	6.2116790899248135
Leptotrichia_shahii	GSM3103959	5.377240229219622
Leptotrichia_shahii	GSM3103960	15.535135751908667
Leptotrichia_shahii	GSM3103961	3.0328850847844393
Leptotrichia_shahii	GSM3103962	10.340132558646774
Leptotrichia_shahii	GSM3103963	7.273622595439372
Leptotrichia_shahii	GSM3103964	5.143374379355011
Leptotrichia_shahii	GSM3103965	2.0889627334453476
Leptotrichia_shahii	GSM4735785	1.1003353316156663
Leptotrichia_shahii	GSM4735786	1.1003353316156663
Leptotrichia_shahii	GSM4735787	1.1003353316156663
