Feature	sample	counts
Leuconostoc_mesenteroides	GSM1022678	3.2337473366282303
Leuconostoc_mesenteroides	GSM1022679	3.2134344679759996
Leuconostoc_mesenteroides	GSM1022680	1.0808605893321108
Leuconostoc_mesenteroides	GSM1022681	1.079703871983604
Leuconostoc_mesenteroides	GSM1022682	1.080234698684874
Leuconostoc_mesenteroides	GSM1022683	1.0836910545499
Leuconostoc_mesenteroides	GSM1022684	1.074071135210637
Leuconostoc_mesenteroides	GSM1022685	1.0836910545499
Leuconostoc_mesenteroides	GSM1022686	1.0785483925329702
Leuconostoc_mesenteroides	GSM1022687	1.079703871983604
Leuconostoc_mesenteroides	GSM1022688	1.0748251011982124
Leuconostoc_mesenteroides	GSM1022689	1.0825313080889856
Leuconostoc_mesenteroides	GSM1022690	1.0785483925329702
Leuconostoc_mesenteroides	GSM1022691	1.0836910545499
Leuconostoc_mesenteroides	GSM1022692	1.0825313080889856
Leuconostoc_mesenteroides	GSM1022693	1.0701193468413477
Leuconostoc_mesenteroides	GSM1022694	1.0757313593038504
Leuconostoc_mesenteroides	GSM1022695	1.0836910545499
Leuconostoc_mesenteroides	GSM1385778	1.0818963582858496
Leuconostoc_mesenteroides	GSM1385779	1.0836910545499
Leuconostoc_mesenteroides	GSM1385780	1.0840493982440995
Leuconostoc_mesenteroides	GSM1385781	1.0825313080889856
Leuconostoc_mesenteroides	GSM1385782	1.08305542450705
Leuconostoc_mesenteroides	GSM1385783	1.0840493982440995
Leuconostoc_mesenteroides	GSM1415906	6.325836620960336
Leuconostoc_mesenteroides	GSM1415907	1.0567176057015448
Leuconostoc_mesenteroides	GSM1415908	1.0836910545499
Leuconostoc_mesenteroides	GSM1415909	1.08305542450705
Leuconostoc_mesenteroides	GSM1415910	1.0836910545499
Leuconostoc_mesenteroides	GSM1415911	1.0836910545499
Leuconostoc_mesenteroides	GSM1415912	1.0840493982440995
Leuconostoc_mesenteroides	GSM1415913	1.0847295358867397
Leuconostoc_mesenteroides	GSM1415914	1.0836910545499
Leuconostoc_mesenteroides	GSM1415915	1.0836910545499
Leuconostoc_mesenteroides	GSM1415916	1.0840493982440995
Leuconostoc_mesenteroides	GSM1415917	1.0840493982440995
Leuconostoc_mesenteroides	GSM1415918	1.0840493982440995
Leuconostoc_mesenteroides	GSM1415919	1.0840493982440995
Leuconostoc_mesenteroides	GSM1415920	1.0836910545499
Leuconostoc_mesenteroides	GSM1415921	1.0836910545499
Leuconostoc_mesenteroides	GSM2769390	NA
Leuconostoc_mesenteroides	GSM2769391	NA
Leuconostoc_mesenteroides	GSM2769392	NA
Leuconostoc_mesenteroides	GSM2769393	NA
Leuconostoc_mesenteroides	GSM2769394	NA
Leuconostoc_mesenteroides	GSM2769395	NA
Leuconostoc_mesenteroides	GSM2769396	NA
Leuconostoc_mesenteroides	GSM2769397	NA
Leuconostoc_mesenteroides	GSM2769398	NA
Leuconostoc_mesenteroides	GSM3103946	1.0164221069237995
Leuconostoc_mesenteroides	GSM3103947	1.0255256926759042
Leuconostoc_mesenteroides	GSM3103948	2.0253648487874023
Leuconostoc_mesenteroides	GSM3103949	1.029312803446947
Leuconostoc_mesenteroides	GSM3103950	1.029312803446947
Leuconostoc_mesenteroides	GSM3103951	1.0255256926759042
Leuconostoc_mesenteroides	GSM3103952	1.0228471480935892
Leuconostoc_mesenteroides	GSM3103953	1.0255256926759042
Leuconostoc_mesenteroides	GSM3103954	3.0380472731811037
Leuconostoc_mesenteroides	GSM3103955	1.0164221069237995
Leuconostoc_mesenteroides	GSM3103956	2.0552163255583524
Leuconostoc_mesenteroides	GSM3103957	1.0228471480935892
Leuconostoc_mesenteroides	GSM3103958	2.058625606893894
Leuconostoc_mesenteroides	GSM3103959	0.6214343502898367
Leuconostoc_mesenteroides	GSM3103960	1.5751197095468084
Leuconostoc_mesenteroides	GSM3103961	3.018963699606756
Leuconostoc_mesenteroides	GSM3103962	1.029312803446947
Leuconostoc_mesenteroides	GSM3103963	1.0320082797342096
Leuconostoc_mesenteroides	GSM3103964	2.0510513853518084
Leuconostoc_mesenteroides	GSM3103965	1.0385318447370644
Leuconostoc_mesenteroides	GSM4260265	NA
Leuconostoc_mesenteroides	GSM4260266	NA
Leuconostoc_mesenteroides	GSM4260267	NA
Leuconostoc_mesenteroides	GSM4260268	NA
Leuconostoc_mesenteroides	GSM4260269	NA
Leuconostoc_mesenteroides	GSM4260270	NA
Leuconostoc_mesenteroides	GSM4260271	NA
Leuconostoc_mesenteroides	GSM4260272	NA
Leuconostoc_mesenteroides	GSM4260273	NA
Leuconostoc_mesenteroides	GSM4260274	NA
Leuconostoc_mesenteroides	GSM4260275	NA
Leuconostoc_mesenteroides	GSM4260276	NA
Leuconostoc_mesenteroides	GSM4735785	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735786	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735787	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735788	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735789	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735790	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735791	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735792	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735793	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735794	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735795	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735796	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735797	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735798	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735799	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735800	1.0847295358867397
Leuconostoc_mesenteroides	GSM4735801	1.0847295358867397
