Feature	sample	counts
Mycoplasma_feriruminatoris	GSM1022678	1.2093176104345296
Mycoplasma_feriruminatoris	GSM1022679	1.199499154626049
Mycoplasma_feriruminatoris	GSM1022680	1.215830924890681
Mycoplasma_feriruminatoris	GSM1022681	1.2129842784797524
Mycoplasma_feriruminatoris	GSM1022682	1.2143834997994574
Mycoplasma_feriruminatoris	GSM1022683	1.2190472872044584
Mycoplasma_feriruminatoris	GSM1022684	1.2035619478871264
Mycoplasma_feriruminatoris	GSM1022685	1.218752787256299
Mycoplasma_feriruminatoris	GSM1022686	1.2121802920874214
Mycoplasma_feriruminatoris	GSM1022687	1.2135683052506967
Mycoplasma_feriruminatoris	GSM1022688	1.2056807444806514
Mycoplasma_feriruminatoris	GSM1022689	1.218341579360669
Mycoplasma_feriruminatoris	GSM1022690	1.2110703950254058
Mycoplasma_feriruminatoris	GSM1022691	1.2191939181960778
Mycoplasma_feriruminatoris	GSM1022692	1.217934026949798
Mycoplasma_feriruminatoris	GSM1022693	1.1991267197021511
Mycoplasma_feriruminatoris	GSM1022694	1.2063176587884112
Mycoplasma_feriruminatoris	GSM1022695	1.2191812829242796
Mycoplasma_feriruminatoris	GSM1385778	1.2165345867763722
Mycoplasma_feriruminatoris	GSM1385779	1.2195835105326498
Mycoplasma_feriruminatoris	GSM1385780	1.2195835105326498
Mycoplasma_feriruminatoris	GSM1385781	1.2165345867763722
Mycoplasma_feriruminatoris	GSM1385782	1.2182357645235222
Mycoplasma_feriruminatoris	GSM1385783	1.2199519642916723
Mycoplasma_feriruminatoris	GSM1415906	1.1509731740785691
Mycoplasma_feriruminatoris	GSM1415907	1.1555613289724065
Mycoplasma_feriruminatoris	GSM1415908	1.2139578065711292
Mycoplasma_feriruminatoris	GSM1415909	1.2059972538674455
Mycoplasma_feriruminatoris	GSM1415910	1.2089506817640154
Mycoplasma_feriruminatoris	GSM1415911	1.2062937244500198
Mycoplasma_feriruminatoris	GSM1415912	1.2168359373268305
Mycoplasma_feriruminatoris	GSM1415913	1.2165345867763722
Mycoplasma_feriruminatoris	GSM1415914	1.2158017090661477
Mycoplasma_feriruminatoris	GSM1415915	1.2154563375016754
Mycoplasma_feriruminatoris	GSM1415916	1.2146668690838511
Mycoplasma_feriruminatoris	GSM1415917	1.216135652980742
Mycoplasma_feriruminatoris	GSM1415918	1.2154242123290768
Mycoplasma_feriruminatoris	GSM1415919	1.2143834997994574
Mycoplasma_feriruminatoris	GSM1415920	1.214712006252526
Mycoplasma_feriruminatoris	GSM1415921	1.2154036067456198
Mycoplasma_feriruminatoris	GSM3103946	1.7228606195173102
Mycoplasma_feriruminatoris	GSM3103947	1.9708733348604697
Mycoplasma_feriruminatoris	GSM3103948	0.4624834000398538
Mycoplasma_feriruminatoris	GSM3103949	1.5940058025098771
Mycoplasma_feriruminatoris	GSM3103950	2.3110004910996187
Mycoplasma_feriruminatoris	GSM3103951	2.4198664482095356
Mycoplasma_feriruminatoris	GSM3103952	0.5832581398544066
Mycoplasma_feriruminatoris	GSM3103953	1.1407070053734971
Mycoplasma_feriruminatoris	GSM3103954	1.1555002455498091
Mycoplasma_feriruminatoris	GSM3103955	1.0728483563533664
Mycoplasma_feriruminatoris	GSM3103956	3.4907786782546486
Mycoplasma_feriruminatoris	GSM3103957	2.9914148585990903
Mycoplasma_feriruminatoris	GSM3103958	2.509969731889619
Mycoplasma_feriruminatoris	GSM3103959	5.3236891412011085
Mycoplasma_feriruminatoris	GSM3103960	0.4309483394237922
Mycoplasma_feriruminatoris	GSM3103961	1.115746994372498
Mycoplasma_feriruminatoris	GSM3103962	1.4105807675856683
Mycoplasma_feriruminatoris	GSM3103963	0.816048786274302
Mycoplasma_feriruminatoris	GSM3103964	1.3027977792404029
Mycoplasma_feriruminatoris	GSM3103965	1.0178549012566496
Mycoplasma_feriruminatoris	GSM4735785	1.2201574484091249
Mycoplasma_feriruminatoris	GSM4735786	1.2201574484091249
Mycoplasma_feriruminatoris	GSM4735787	1.2201574484091249
Mycoplasma_feriruminatoris	GSM4735788	1.2201574484091249
Mycoplasma_feriruminatoris	GSM4735789	1.220022158618647
Mycoplasma_feriruminatoris	GSM4735790	1.2201574484091249
Mycoplasma_feriruminatoris	GSM4735791	1.2199519642916723
Mycoplasma_feriruminatoris	GSM4735792	1.2201574484091249
Mycoplasma_feriruminatoris	GSM4735793	1.220022158618647
Mycoplasma_feriruminatoris	GSM4735794	1.2201574484091249
Mycoplasma_feriruminatoris	GSM4735795	1.220022158618647
Mycoplasma_feriruminatoris	GSM4735796	1.220022158618647
Mycoplasma_feriruminatoris	GSM4735797	1.220022158618647
Mycoplasma_feriruminatoris	GSM4735798	1.220022158618647
Mycoplasma_feriruminatoris	GSM4735799	1.220022158618647
Mycoplasma_feriruminatoris	GSM4735800	1.220022158618647
Mycoplasma_feriruminatoris	GSM4735801	1.220022158618647
Mycoplasma_feriruminatoris	GSM4735802	1.220022158618647
Mycoplasma_feriruminatoris	GSM4735803	1.220022158618647
Mycoplasma_feriruminatoris	GSM4735804	1.220022158618647
Mycoplasma_feriruminatoris	GSM5282507	2.0059078334196654
Mycoplasma_feriruminatoris	GSM5282508	1.023877099877746
Mycoplasma_feriruminatoris	GSM5282509	3.0678733736594808
Mycoplasma_feriruminatoris	GSM5282510	1.1562752507802476
Mycoplasma_feriruminatoris	GSM5282511	1.1561857840142578
Mycoplasma_feriruminatoris	GSM5282512	1.0226244578864936
Mycoplasma_feriruminatoris	GSM5282513	1.0690057853872617
Mycoplasma_feriruminatoris	GSM5282514	0.7066372691215227
Mycoplasma_feriruminatoris	GSM5282515	1.0178549012566496
Mycoplasma_feriruminatoris	GSM5282516	1.1556114059457727
Mycoplasma_feriruminatoris	GSM5282517	1.149726223242768
Mycoplasma_feriruminatoris	GSM5282518	2.009371781034714
Mycoplasma_feriruminatoris	GSM5282519	1.1481586265430848
Mycoplasma_feriruminatoris	GSM5282520	1.1528197539724772
Mycoplasma_feriruminatoris	GSM5282521	1.1227865370789805
Mycoplasma_feriruminatoris	GSM5282522	1.1180509785214856
Mycoplasma_feriruminatoris	GSM5282523	1.0029539167098327
Mycoplasma_feriruminatoris	GSM5282524	1.0177151430863012
Mycoplasma_feriruminatoris	GSM5282525	1.005916559043594
Mycoplasma_feriruminatoris	GSM5282526	2.4559564171148356
Mycoplasma_feriruminatoris	GSM5282527	1.0076536489574894
Mycoplasma_feriruminatoris	GSM5282528	1.023877099877746
Mycoplasma_feriruminatoris	GSM5282529	0.8259590764378865
Mycoplasma_feriruminatoris	GSM5282530	1.111223070811865
Mycoplasma_feriruminatoris	GSM5282531	1.1169898404189382
Mycoplasma_feriruminatoris	GSM5282532	2.0417231197153134
Mycoplasma_feriruminatoris	GSM5282533	1.0029539167098327
Mycoplasma_feriruminatoris	GSM5282534	1.0481803738327822
Mycoplasma_feriruminatoris	GSM5282535	3.143404615208501
Mycoplasma_feriruminatoris	GSM5282536	1.0529752665563306
Mycoplasma_feriruminatoris	GSM4260927	1.0740150294600077
Mycoplasma_feriruminatoris	GSM4260928	2.1596563050287583
Mycoplasma_feriruminatoris	GSM4260929	2.18559271666508
Mycoplasma_feriruminatoris	GSM4260930	1.1009670267857796
Mycoplasma_feriruminatoris	GSM4260931	1.0889769198550758
Mycoplasma_feriruminatoris	GSM4260932	3.2707348784239247
Mycoplasma_feriruminatoris	GSM4260933	1.108134915947438
Mycoplasma_feriruminatoris	GSM4260934	1.0757478424784617
Mycoplasma_feriruminatoris	GSM4260935	1.0690057853872617
Mycoplasma_feriruminatoris	GSM4260936	2.1889610533655963
Mycoplasma_feriruminatoris	GSM4260937	1.0914305505848276
Mycoplasma_feriruminatoris	GSM4260938	1.132785566327088
Mycoplasma_feriruminatoris	GSM4260939	2.174801682787181
Mycoplasma_feriruminatoris	GSM4260940	2.1770299020110193
Mycoplasma_feriruminatoris	GSM4260941	2.1985239050184777
Mycoplasma_feriruminatoris	GSM4260942	1.071267305867522
Mycoplasma_feriruminatoris	GSM4260943	1.0999272218024785
Mycoplasma_feriruminatoris	GSM4260944	1.1285019915961034
Mycoplasma_feriruminatoris	GSM4260945	1.130753265332926
Mycoplasma_feriruminatoris	GSM4260946	1.129731739516132
Mycoplasma_feriruminatoris	GSM4260947	1.110419975073231
Mycoplasma_feriruminatoris	GSM4260948	1.0845246711795964
Mycoplasma_feriruminatoris	GSM4260949	1.1090614539295625
Mycoplasma_feriruminatoris	GSM4260950	1.1274825510038886
Mycoplasma_feriruminatoris	GSM4260951	1.0594681854423624
Mycoplasma_feriruminatoris	GSM4260952	1.096233380256289
Mycoplasma_feriruminatoris	GSM4260953	1.107149547524515
Mycoplasma_feriruminatoris	GSM4260954	1.1230355653061426
Mycoplasma_feriruminatoris	GSM4260955	1.136111906654967
Mycoplasma_feriruminatoris	GSM4260956	1.0845246711795964
Mycoplasma_feriruminatoris	GSM4260957	1.0593507127104516
Mycoplasma_feriruminatoris	GSM4260958	1.1027827587004009
Mycoplasma_feriruminatoris	GSM4260959	1.1135568725025502
Mycoplasma_feriruminatoris	GSM4260960	1.0858531365152255
Mycoplasma_feriruminatoris	GSM4260961	1.1127840511362044
Mycoplasma_feriruminatoris	GSM4260962	1.0834380787859827
Mycoplasma_feriruminatoris	GSM4260963	1.120289335373265
Mycoplasma_feriruminatoris	GSM4260964	1.095504147914299
Mycoplasma_feriruminatoris	GSM4260965	1.1233769642616291
Mycoplasma_feriruminatoris	GSM4260966	1.107149547524515
Mycoplasma_feriruminatoris	GSM4260967	1.061297752201632
Mycoplasma_feriruminatoris	GSM4260968	2.0995101932478786
Mycoplasma_feriruminatoris	GSM4260969	1.0766478245149391
Mycoplasma_feriruminatoris	GSM4260970	1.0738933652689588
Mycoplasma_feriruminatoris	GSM4260971	1.0365479922623078
Mycoplasma_feriruminatoris	GSM4260972	1.0730888851335638
Mycoplasma_feriruminatoris	GSM4260973	1.087183229126098
