Feature	sample	counts
Pseudonocardia_broussonetiae	GSM1022678	1.2093176104345296
Pseudonocardia_broussonetiae	GSM1022679	1.199499154626049
Pseudonocardia_broussonetiae	GSM1022680	1.215830924890681
Pseudonocardia_broussonetiae	GSM1022681	1.2129842784797524
Pseudonocardia_broussonetiae	GSM1022682	1.2143834997994574
Pseudonocardia_broussonetiae	GSM1022683	1.2190472872044584
Pseudonocardia_broussonetiae	GSM1022684	1.2035619478871264
Pseudonocardia_broussonetiae	GSM1022685	1.218752787256299
Pseudonocardia_broussonetiae	GSM1022686	1.2121802920874214
Pseudonocardia_broussonetiae	GSM1022687	1.2135683052506967
Pseudonocardia_broussonetiae	GSM1022688	1.2056807444806514
Pseudonocardia_broussonetiae	GSM1022689	1.218341579360669
Pseudonocardia_broussonetiae	GSM1022690	1.2110703950254058
Pseudonocardia_broussonetiae	GSM1022691	1.2191939181960778
Pseudonocardia_broussonetiae	GSM1022692	1.217934026949798
Pseudonocardia_broussonetiae	GSM1022693	1.1991267197021511
Pseudonocardia_broussonetiae	GSM1022694	1.2063176587884112
Pseudonocardia_broussonetiae	GSM1022695	1.2191812829242796
Pseudonocardia_broussonetiae	GSM1385778	1.2165345867763722
Pseudonocardia_broussonetiae	GSM1385779	1.2195835105326498
Pseudonocardia_broussonetiae	GSM1385780	1.2195835105326498
Pseudonocardia_broussonetiae	GSM1385781	1.2165345867763722
Pseudonocardia_broussonetiae	GSM1385782	1.2182357645235222
Pseudonocardia_broussonetiae	GSM1385783	1.2199519642916723
Pseudonocardia_broussonetiae	GSM1415906	1.1509731740785691
Pseudonocardia_broussonetiae	GSM1415907	1.1555613289724065
Pseudonocardia_broussonetiae	GSM1415908	1.2139578065711292
Pseudonocardia_broussonetiae	GSM1415909	1.2059972538674455
Pseudonocardia_broussonetiae	GSM1415910	1.2089506817640154
Pseudonocardia_broussonetiae	GSM1415911	1.2062937244500198
Pseudonocardia_broussonetiae	GSM1415912	1.2168359373268305
Pseudonocardia_broussonetiae	GSM1415913	1.2165345867763722
Pseudonocardia_broussonetiae	GSM1415914	1.2158017090661477
Pseudonocardia_broussonetiae	GSM1415915	1.2154563375016754
Pseudonocardia_broussonetiae	GSM1415916	1.2146668690838511
Pseudonocardia_broussonetiae	GSM1415917	2.432271305961484
Pseudonocardia_broussonetiae	GSM1415918	1.2154242123290768
Pseudonocardia_broussonetiae	GSM1415919	1.2143834997994574
Pseudonocardia_broussonetiae	GSM1415920	1.214712006252526
Pseudonocardia_broussonetiae	GSM1415921	1.2154036067456198
Pseudonocardia_broussonetiae	GSM3103946	1.7228606195173102
Pseudonocardia_broussonetiae	GSM3103947	1.3139155565736462
Pseudonocardia_broussonetiae	GSM3103948	0.9249668000797076
Pseudonocardia_broussonetiae	GSM3103949	1.5940058025098771
Pseudonocardia_broussonetiae	GSM3103950	0.5777501227749047
Pseudonocardia_broussonetiae	GSM3103951	0.6049666120523839
Pseudonocardia_broussonetiae	GSM3103952	0.5832581398544066
Pseudonocardia_broussonetiae	GSM3103953	0.5703535026867486
Pseudonocardia_broussonetiae	GSM3103954	0.5777501227749047
Pseudonocardia_broussonetiae	GSM3103955	0.5364241781766832
Pseudonocardia_broussonetiae	GSM3103956	0.6981557356509297
Pseudonocardia_broussonetiae	GSM3103957	1.196565943439636
Pseudonocardia_broussonetiae	GSM3103958	0.6274924329724048
Pseudonocardia_broussonetiae	GSM3103959	1.451915220327575
Pseudonocardia_broussonetiae	GSM3103960	1.2928450182713769
Pseudonocardia_broussonetiae	GSM3103961	1.6736204915587471
Pseudonocardia_broussonetiae	GSM3103962	0.7052903837928342
Pseudonocardia_broussonetiae	GSM3103963	0.816048786274302
Pseudonocardia_broussonetiae	GSM3103964	1.3027977792404029
Pseudonocardia_broussonetiae	GSM3103965	2.035709802513299
Pseudonocardia_broussonetiae	GSM4735785	1.2201574484091249
