Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Aspergillaceae	Aspergillaceae	39.19288848874643	-0.9339694202874459	0.7390511938532267	-1.2637411698342096	0.20632294299599463	0.34387157165999105
Chaetomiaceae	Chaetomiaceae	53.516441407602905	-1.4004527434480811	0.671649535697038	-2.0850944860621263	0.037060724684542294	0.12353574894847431
Clavicipitaceae	Clavicipitaceae	30.91861989226618	0.3115510730160354	0.7031982735464056	0.4430486887358313	0.6577305179825715	0.8221631474782144
Cryptococcaceae	Cryptococcaceae	34.020525395686455	0.8577458797861914	0.6231411004011509	1.3764874106907927	0.16867078230249538	0.33734156460499076
Debaryomycetaceae	Debaryomycetaceae	37.691673457964725	0.7024670060879629	0.5382166529444439	1.3051751599378203	0.19183321048068389	0.34387157165999105
Dipodascaceae	Dipodascaceae	20.905011934056112	-0.04495538195550967	0.6728804641529991	-0.06681035391939652	0.9467326805926782	0.9918644789176279
Glomerellaceae	Glomerellaceae	62.755553906853784	1.1379437437131035	0.46716140740946455	2.4358684721482176	0.014856085285865711	0.059424341143462844
Malasseziaceae	Malasseziaceae	1037.685539078591	7.777119625945046	0.8933610758900012	8.70546057561012	3.1628769696316127e-18	6.325753939263225e-17
Mycosphaerellaceae	Mycosphaerellaceae	39.310249775928554	-0.006146148381875631	0.602768019126527	-0.010196540272295855	0.9918644789176279	0.9918644789176279
Nectriaceae	Nectriaceae	324.8393555034988	-2.31871590085823	0.4349265377165888	-5.331281721809247	9.752199128351619e-8	6.501466085567747e-7
Phaffomycetaceae	Phaffomycetaceae	10.440014625930646	3.0103776376149733	0.6930465856541554	4.343687278645961	1.4011092653887062e-5	7.005546326943531e-5
Pichiaceae	Pichiaceae	59.26189898279011	1.1866736385303802	0.6862599908443731	1.7291895992221535	0.08377516721152457	0.20943791802881143
Pyriculariaceae	Pyriculariaceae	31.701147446433634	-1.2823393479801275	0.6849334216516926	-1.8722102140786352	0.06117752654554639	0.1747929329872754
Saccharomycetaceae	Saccharomycetaceae	123.14226858551493	-0.8143688001443916	0.5013692930142015	-1.624289344184715	0.10431407036439565	0.23180904525421256
Schizosaccharomycetaceae	Schizosaccharomycetaceae	43.81863205188818	0.30544406207519287	0.6424120617935394	0.47546439464792856	0.634456005662866	0.8221631474782144
Sclerotiniaceae	Sclerotiniaceae	44.953163946460684	0.3280197170551445	0.6440186964239799	0.5093325999330891	0.6105191109900499	0.8221631474782144
Sordariaceae	Sordariaceae	35.66994171822854	-0.05061605659791782	0.7706420481287579	-0.0656803722569015	0.947632299335077	0.9918644789176279
Trichomonascaceae	Trichomonascaceae	35.98233524462975	-0.3672080496215888	0.675079567105353	-0.5439478063247059	0.5864773900433686	0.8221631474782144
Unikaryonidae	Unikaryonidae	634.2967836528323	-0.22845623800463022	0.7925659027159353	-0.2882488853252012	0.7731562308846088	0.9095955657465986
Ustilaginaceae	Ustilaginaceae	10069.715323668952	8.673008920862943	1.0532386912153355	8.234609109218281	1.8014486306638876e-16	1.8014486306638876e-15
