Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
[Candida] glabrata	[Candida] glabrata	4.142652441210756	0.07577710144905689	1.2174736498927314	0.06224126612985293	0.9503707005563004	0.9883855285785524
Aspergillus fumigatus	Aspergillus fumigatus	5.84162483516775	-0.8300044181777122	1.3290276418146443	-0.624520056666715	0.5322861026722524	0.8232200095417166
Aspergillus oryzae	Aspergillus oryzae	17.47690567064982	-1.5414489035692829	0.94789574714365	-1.6261797863469918	0.10391141491793483	0.5330075889694413
Botrytis cinerea	Botrytis cinerea	27.676615936871734	-3.036054207154183	1.2859152437505899	-2.361006467501712	0.01822541276287766	0.23693036591740957
Candida albicans	Candida albicans	7.916523034789491	-0.18115292775427852	1.1351353535642537	-0.15958707231297986	0.8732063632565059	0.9620620078636889
Candida dubliniensis	Candida dubliniensis	5.563965178137818	0.6521480452295033	1.1880987185362148	0.5489005543520624	0.5830736977275992	0.8232200095417166
Candida orthopsilosis	Candida orthopsilosis	51.53272720932571	0.8356486266026595	1.5376558158875078	0.543456226008769	NA	NA
Cercospora beticola	Cercospora beticola	8.579420068900793	-0.07185142194568216	1.1263285070460916	-0.06379259824837395	0.9491353719980816	0.9883855285785524
Colletotrichum higginsianum	Colletotrichum higginsianum	17.469386492401032	-1.0762372088071888	0.7402199113190243	-1.4539425275515803	0.14596224087741075	0.5622132601800921
Cryptococcus gattii VGI	Cryptococcus gattii VGI	4.2422145389635375	-1.088817638622814	1.2371510902561833	-0.8801007792810068	0.37880471702168567	0.8232200095417166
Cryptococcus neoformans	Cryptococcus neoformans	3.356990488731907	0.18953875065587275	1.3704103019093994	0.13830803109972792	NA	NA
Debaryomyces hansenii	Debaryomyces hansenii	4.52764842399855	0.9316439195729516	1.2856748609104711	0.7246341574363467	0.4686764981279174	0.8232200095417166
Encephalitozoon cuniculi	Encephalitozoon cuniculi	2.6369745067698442	0.7179995952194338	1.3571886028106317	0.5290345009768816	0.596781516682117	0.8232200095417166
Encephalitozoon hellem	Encephalitozoon hellem	3.676424401956756	-0.8565854828448104	1.2486149003596223	-0.6860285606059155	0.49269509836757547	0.8232200095417166
Encephalitozoon intestinalis	Encephalitozoon intestinalis	2.1215255777402278	0.9506696980074963	1.4629624263811065	0.6498250952070889	0.5158052068609392	0.8232200095417166
Encephalitozoon romaleae	Encephalitozoon romaleae	2.014334674054101	0.7681968514734779	1.4815451931451167	0.518510576003896	0.6041020830425089	0.8232200095417166
Eremothecium cymbalariae	Eremothecium cymbalariae	9.632676189275445	-1.845013966968377	1.1541288129979979	-1.5986204886226834	0.10990495439828125	0.5330075889694413
Eremothecium gossypii	Eremothecium gossypii	3.95696139987724	0.6348131601114327	1.2706775237477674	0.49958636101400394	0.6173663634539756	0.8232200095417166
Eremothecium sinecaudum	Eremothecium sinecaudum	3.7308274679092164	0.2612610734694527	1.2513858046659332	0.20877739902059886	0.8346220155074825	0.9620620078636889
Fusarium fujikuroi	Fusarium fujikuroi	3.77354252532575	0.025234998081975477	1.2667171819469096	0.019921572424864385	0.9841059362525622	0.9951833044010876
Fusarium graminearum	Fusarium graminearum	2.4274806337753163	0.6995404328820155	1.391867931004616	0.5025910988387414	0.6152517887095121	0.8232200095417166
Fusarium oxysporum	Fusarium oxysporum	11.345686139397836	-2.4610075666364715	1.1260678541468392	-2.1854878083710543	0.028853098892867225	0.30007222848581916
Fusarium pseudograminearum	Fusarium pseudograminearum	353.42719450537743	-0.792534032670081	1.1868614277648735	-0.6677561627077228	0.5042892532858069	0.8232200095417166
Fusarium venenatum	Fusarium venenatum	6.614475216280502	-1.3944237240904878	1.1456237437587293	-1.2171742526175822	0.22353792419321747	0.7106713734554826
Fusarium verticillioides	Fusarium verticillioides	7.8783089930695915	-1.3257322170364232	1.1099883409755562	-1.1943658938536708	0.23233487209121548	0.7106713734554826
Kazachstania africana	Kazachstania africana	2.8416487981404015	0.9609161714364869	1.439549215953131	0.6675118577312834	0.504445238061134	0.8232200095417166
Kazachstania naganishii	Kazachstania naganishii	3.097568420470487	0.2259594836966089	1.341545227375792	0.16843225191789485	0.8662432371708332	0.9620620078636889
Kluyveromyces lactis	Kluyveromyces lactis	2.882037551355453	0.9927180864262664	1.3763765753647554	0.7212547090633135	0.47075281706970706	0.8232200095417166
Kluyveromyces marxianus	Kluyveromyces marxianus	3.5692415933193504	0.007416031829546655	1.2284565709869542	0.006036869356796669	0.9951833044010876	0.9951833044010876
Komagataella phaffii	Komagataella phaffii	3.673524535004372	0.17670189935409303	1.2553156837358752	0.14076291855784062	0.8880572380280206	0.9620620078636889
Lachancea thermotolerans	Lachancea thermotolerans	5.457877517910898	-1.6775765700997776	1.618097641681004	-1.0367585533076868	0.2998483959569838	0.8232200095417166
Malassezia restricta	Malassezia restricta	232.24991098813013	-0.30635367295550486	0.8778711710554461	-0.3489733836312021	0.7271092917131637	0.9002305516448694
Naumovozyma castellii	Naumovozyma castellii	3.6104268300372517	0.2099765041559652	1.252410866705782	0.16765784275592135	0.8668524632451743	0.9620620078636889
Naumovozyma dairenensis	Naumovozyma dairenensis	3.16277845161067	0.9028110705127722	1.3430277568826612	0.6722207086831264	0.5014431993196775	0.8232200095417166
Neurospora crassa	Neurospora crassa	15.650213543151258	-2.1433119032153516	1.1303366942423019	-1.8961712152962327	0.05793740810544081	0.43039217449756034
Ogataea parapolymorpha	Ogataea parapolymorpha	5.918934292521588	0.5606408414067251	1.3348554440083409	0.42000116486262906	NA	NA
Pichia kudriavzevii	Pichia kudriavzevii	9.454697122093663	-1.6531585269338747	1.1522466231845947	-1.4347262935471687	0.1513651085100248	0.5622132601800921
Pochonia chlamydosporia	Pochonia chlamydosporia	18.92305943062337	-3.351406057673815	1.1333793154182146	-2.9570030192735195	0.0031064507604370694	0.053845146514242534
Pyricularia grisea	Pyricularia grisea	3.1731306472738705	0.6243988585576057	1.289887343441255	0.48407239727757084	0.6283344900034501	0.8232200095417166
Pyricularia oryzae	Pyricularia oryzae	3.025239447168455	0.30426105986920976	1.2991602186069613	0.23419825785264345	0.8148310674475348	0.9620620078636889
Pyricularia pennisetigena	Pyricularia pennisetigena	2.8799244986209973	0.64011638907800394	1.3270047521766308	0.482376862651055	0.6295382543942256	0.8232200095417166
Saccharomyces cerevisiae	Saccharomyces cerevisiae	20.736738938467028	-3.773394222633331	1.2469945765686532	-3.0259908852342847	0.002478197732385647	0.053845146514242534
Saccharomyces eubayanus	Saccharomyces eubayanus	2.605074279613475	0.6324555491269465	1.385639337439987	0.4564359079870151	0.6480765493554608	0.8232200095417166
Saccharomyces paradoxus	Saccharomyces paradoxus	2.7490789444675485	0.7886435838479336	1.3991031546950732	0.5636779398298292	0.5729733333017462	0.8232200095417166
Scheffersomyces stipitis	Scheffersomyces stipitis	9.618902687105953	-0.6766348546678401	1.1598963179803514	-0.5833580503523094	0.5596522914396154	0.8232200095417166
Schizosaccharomyces pombe	Schizosaccharomyces pombe	13.36094384456547	-1.2046760293050878	0.9533539075017226	-1.2636189140525562	0.20636684150887957	0.7106713734554826
Sporisorium graminicola	Sporisorium graminicola	22.688334743075934	-1.6716823951866928	1.0540602311331728	-1.5859457987420151	0.11275160535892027	0.5330075889694413
Sugiyamaella lignohabitans	Sugiyamaella lignohabitans	17.110217409377725	-0.7568723168078217	1.0103172900611224	-0.7491431892272499	0.4537709061223058	0.8232200095417166
Tetrapisispora blattae	Tetrapisispora blattae	8.149475449560471	-0.8860822304689405	1.1293173333877167	-0.7846175776040544	0.43267782094370016	0.8232200095417166
Tetrapisispora phaffii	Tetrapisispora phaffii	5.099642996722738	0.31121836007825243	1.2653805987471254	0.2459484208833255	NA	NA
Thermothelomyces thermophilus	Thermothelomyces thermophilus	14.406761047775458	-1.6937123697330194	1.1210280364684757	-1.510856387739102	0.13082504448414728	0.5622132601800921
Thermothielavioides terrestris	Thermothielavioides terrestris	12.171540655556582	-2.0166956393463416	1.1406317431706188	-1.7680514779823016	0.07705229812683956	0.5008399378244571
Torulaspora delbrueckii	Torulaspora delbrueckii	2.6551887518567936	0.6350026141053862	1.3954740460275215	0.45504437428488204	0.6490773152155842	0.8232200095417166
Ustilago maydis	Ustilago maydis	25.168451117816637	-3.8960844603378746	1.2962479314804576	-3.0056630106928064	0.002650025097881967	0.053845146514242534
Yarrowia lipolytica	Yarrowia lipolytica	11.746255182274293	-2.1868332496889527	1.14552370450686	-1.9090248775169336	0.056258882507524595	0.43039217449756034
Zygosaccharomyces rouxii	Zygosaccharomyces rouxii	5.580848969857204	-1.1918994585621945	1.1572592254450627	-1.0299329937109032	0.3030414612587689	0.8232200095417166
Zymoseptoria tritici	Zymoseptoria tritici	15.121771053961716	1.0905682197767037	1.1406146364680183	0.9561232908195126	NA	NA
