Gene	sample	counts
ABCC2	GSM1022678	88.30437909997447
ABCC2	GSM1022679	32.66044980555358
ABCC2	GSM1022680	38.14121347614567
ABCC2	GSM1022681	86.61314033566022
ABCC2	GSM1022682	84.97925921458163
ABCC2	GSM1022683	85.75256948520654
ABCC2	GSM1022684	46.5438574650902
ABCC2	GSM1022685	57.0413174997356
ABCC2	GSM1022686	43.47937043236339
ABCC2	GSM1022687	60.98842875559606
ABCC2	GSM1022688	65.69330387154356
ABCC2	GSM1022689	67.8620586408175
ABCC2	GSM1022690	48.53992868135244
ABCC2	GSM1022691	67.75562669207648
ABCC2	GSM1022692	78.77088239205759
ABCC2	GSM1022693	66.89004944003031
ABCC2	GSM1022694	35.855259215159386
ABCC2	GSM1022695	45.312128163908035
ABCC2	GSM1385778	87.56557277154174
ABCC2	GSM1385779	31.56118542783117
ABCC2	GSM1385780	21.5393824998113
ABCC2	GSM1385781	112.7825925139153
ABCC2	GSM1385782	96.04253270778918
ABCC2	GSM1385783	19.30684734385312
ABCC2	GSM1415906	63.39823769174187
ABCC2	GSM1415907	65.9170469553097
ABCC2	GSM1415908	61.44686938588694
ABCC2	GSM1415909	69.94851025551502
ABCC2	GSM1415910	51.76463602412296
ABCC2	GSM1415911	60.60703105183162
ABCC2	GSM1415912	57.94309299722349
ABCC2	GSM1415913	63.35811890364706
ABCC2	GSM1415914	61.41142064088577
ABCC2	GSM1415915	62.183926363448506
ABCC2	GSM1415916	64.33009236755201
ABCC2	GSM1415917	61.21297473198842
ABCC2	GSM1415918	60.55190115555354
ABCC2	GSM1415919	61.75256921818764
ABCC2	GSM1415920	89.36634027608824
ABCC2	GSM1415921	57.182156166204855
ABCC2	GSM2769390	34.62076864799704
ABCC2	GSM2769391	64.77572051278702
ABCC2	GSM2769392	60.946508601600144
ABCC2	GSM2769393	63.67212561559601
ABCC2	GSM2769394	77.34361173761198
ABCC2	GSM2769395	56.10185248474043
ABCC2	GSM2769396	83.66761151645831
ABCC2	GSM2769397	55.53465075242395
ABCC2	GSM2769398	50.45573883622642
ABCC2	GSM3103946	50.48384941575837
ABCC2	GSM3103947	41.94204624747532
ABCC2	GSM3103948	49.49089605515097
ABCC2	GSM3103949	80.35578592383868
ABCC2	GSM3103950	45.5019199982343
ABCC2	GSM3103951	59
ABCC2	GSM3103952	38.206884958026784
ABCC2	GSM3103953	56.566562315042844
ABCC2	GSM3103954	53.23261458957569
ABCC2	GSM3103955	46.49567801140689
ABCC2	GSM3103956	29.633064147657365
ABCC2	GSM3103957	58.7716753805598
ABCC2	GSM3103958	59.19009216776683
ABCC2	GSM3103959	43.13569241580531
ABCC2	GSM3103960	46.09672206024997
ABCC2	GSM3103961	66.68707763350055
ABCC2	GSM3103962	23.169708951659928
ABCC2	GSM3103963	78.73016713443266
ABCC2	GSM3103964	49.495742025662494
ABCC2	GSM3103965	68.18485633032645
ABCC2	GSM4260265	96.06196602684824
ABCC2	GSM4260266	43.33513325074627
ABCC2	GSM4260267	58.19493392977325
ABCC2	GSM4260268	56.16612314323935
ABCC2	GSM4260269	45.50515459202936
ABCC2	GSM4260270	68.57372810732933
ABCC2	GSM4260271	50.87028684305891
ABCC2	GSM4260272	37.144610130606296
ABCC2	GSM4260273	70.41178840822799
ABCC2	GSM4260274	54.03395187054035
ABCC2	GSM4260275	27.811903931970797
ABCC2	GSM4260276	61.52564669562155
ABCC2	GSM4735785	184.3619650478629
ABCC2	GSM4735786	50.499599733077766
ABCC2	GSM4735787	59.34252576422144
ABCC2	GSM4735788	50.95437888510623
ABCC2	GSM4735789	31.59476258409557
ABCC2	GSM4735790	135.99650423285576
ABCC2	GSM4735791	42.397005374739976
ABCC2	GSM4735792	63.81279125612653
ABCC2	GSM4735793	32.85212098792381
ABCC2	GSM4735794	32.19013830393708
ABCC2	GSM4735795	60.81305652415002
ABCC2	GSM4735796	65.80228825326141
ABCC2	GSM4735797	64.76615160146802
ABCC2	GSM4735798	76.58980315506702
ABCC2	GSM4735799	65.55742350359272
ABCC2	GSM4735800	65.7491119060407
ABCC2	GSM4735801	62.97538825347984
ABCC2	GSM4735802	60.34591146441889
ABCC2	GSM4735803	59.68207525498981
ABCC2	GSM4735804	61.3626104354995
ABCC2	GSM5282507	122.26141696674132
ABCC2	GSM5282508	62.53426385456617
ABCC2	GSM5282509	79
ABCC2	GSM5282510	31.08812769166766
ABCC2	GSM5282511	45.79518041418626
ABCC2	GSM5282512	44.49185794927709
ABCC2	GSM5282513	91.28716301949495
ABCC2	GSM5282514	82.53365579061156
ABCC2	GSM5282515	52.60421089569997
ABCC2	GSM5282516	17.348820118138555
ABCC2	GSM5282517	25.390415164965873
ABCC2	GSM5282518	84.2365204089378
ABCC2	GSM5282519	57.413729636095646
ABCC2	GSM5282520	1.0134855975762167
ABCC2	GSM5282521	86.87007784095866
ABCC2	GSM5282522	57.63717961610895
ABCC2	GSM5282523	93.68288261439744
ABCC2	GSM5282524	13
ABCC2	GSM5282525	113
ABCC2	GSM5282526	88.40807869307551
ABCC2	GSM5282527	63
ABCC2	GSM5282528	56.35398905932611
ABCC2	GSM5282529	102
ABCC2	GSM5282530	24.141184597106736
ABCC2	GSM5282531	1.0128631629599931
ABCC2	GSM5282532	80
ABCC2	GSM5282533	90.2338507939072
ABCC2	GSM5282534	51
ABCC2	GSM5282535	107
ABCC2	GSM5282536	66.06883961873338
ABCC2	GSM4260927	53.11144063463583
ABCC2	GSM4260928	64.54556071292703
ABCC2	GSM4260929	30.261390502858877
ABCC2	GSM4260930	56
ABCC2	GSM4260931	83.57599075142792
ABCC2	GSM4260932	65.27363232773904
ABCC2	GSM4260933	64.19635473386776
ABCC2	GSM4260934	90.28400738191807
ABCC2	GSM4260935	27.311054128718265
