Gene	sample	counts
AC231657.1	GSM1022678	2.0299857264361947
AC231657.1	GSM1022679	1.0886816601851197
AC231657.1	GSM1022680	1.0308436074633964
AC231657.1	GSM1022681	2.062217627039529
AC231657.1	GSM1022682	3.0349735433779155
AC231657.1	GSM1022683	1.020863922442935
AC231657.1	GSM1022684	1.0578149423884136
AC231657.1	GSM1022685	2.0742297272631127
AC231657.1	GSM1022686	2.1209448991396775
AC231657.1	GSM1022687	1.1088805228290193
AC231657.1	GSM1022688	2.1191388345659217
AC231657.1	GSM1022689	1.028213009709356
AC231657.1	GSM1022690	1.1031801973034647
AC231657.1	GSM1022691	1.0928326885818789
AC231657.1	GSM1022692	2.0459969452482487
AC231657.1	GSM1022693	1.0134855975762167
AC231657.1	GSM1022694	1.0545664475046876
AC231657.1	GSM1022695	1.0298210946342734
AC231657.1	GSM1385778	1.0065008364545027
AC231657.1	GSM1385779	1.08831673889073
AC231657.1	GSM1385780	1.076969124990565
AC231657.1	GSM1385781	1.0160593920172551
AC231657.1	GSM1385782	1.010974028503044
AC231657.1	GSM1385783	1.072602630214062
AC231657.1	GSM1415906	1.006321233202252
AC231657.1	GSM1415907	1.0141084146970722
AC231657.1	GSM1415908	4.096457959059129
AC231657.1	GSM1415909	1.0137465254422466
AC231657.1	GSM1415910	1.0149928632180971
AC231657.1	GSM1415911	1.0101171841971937
AC231657.1	GSM1415912	1.182512101984153
AC231657.1	GSM1415913	1.1954362057291898
AC231657.1	GSM1415914	1.1372485303867734
AC231657.1	GSM1415915	1.1104272564901518
AC231657.1	GSM1415916	1.1091395235784829
AC231657.1	GSM1415917	1.1335736061479336
AC231657.1	GSM1415918	2.28497740209636
AC231657.1	GSM1415919	1.1435660966331045
AC231657.1	GSM1415920	1.1170792534511031
AC231657.1	GSM1415921	1.0789086069095255
AC231657.1	GSM2769390	1.049114201454456
AC231657.1	GSM2769391	1.0447696856901132
AC231657.1	GSM2769392	1.0329916712135618
AC231657.1	GSM2769393	1.026969767993484
AC231657.1	GSM2769394	1.017679101810684
AC231657.1	GSM2769395	1.0389231941618595
AC231657.1	GSM2769396	1.0203367258104672
AC231657.1	GSM2769397	1.0478235991023386
AC231657.1	GSM2769398	1.0511612257547172
AC231657.1	GSM3103946	6.058061929891005
AC231657.1	GSM3103947	7.294268912604403
AC231657.1	GSM3103948	1.8794011160183912
AC231657.1	GSM3103949	4.8700476317477985
AC231657.1	GSM3103950	6.911684050364704
AC231657.1	GSM3103951	10
AC231657.1	GSM3103952	10.054443410007048
AC231657.1	GSM3103953	10.101171841971937
AC231657.1	GSM3103954	5.02194477260148
AC231657.1	GSM3103955	1.878613252986137
AC231657.1	GSM3103956	5.109148990975408
AC231657.1	GSM3103957	2.0266094958813725
AC231657.1	GSM3103958	7.14363181335117
AC231657.1	GSM3103959	8.025245100614942
AC231657.1	GSM3103960	13.027334495288034
AC231657.1	GSM3103961	11.258857262798792
AC231657.1	GSM3103962	4.0295146002886835
AC231657.1	GSM3103963	5.1123485152229
AC231657.1	GSM3103964	10.101171841971937
AC231657.1	GSM3103965	9.0244662790137955
AC231657.1	GSM4260265	2.022357179512595
AC231657.1	GSM4260266	3.023381389586949
AC231657.1	GSM4260267	4.0838550126156665
AC231657.1	GSM4260268	1.0212022389679882
AC231657.1	GSM4260269	2.022451315201305
AC231657.1	GSM4260270	4.033748712195843
AC231657.1	GSM4260271	2.0763382384922004
AC231657.1	GSM4260272	4.1271789034007
AC231657.1	GSM4260273	2.011765383092228
AC231657.1	GSM4260274	1.5586716885732794
AC231657.1	GSM4260275	1.0300705159989183
AC231657.1	GSM4260276	2.017234317889231
AC231657.1	GSM4735785	1.1241583234625787
AC231657.1	GSM4735786	1.05207499443912
AC231657.1	GSM4735787	2.08219388646391
AC231657.1	GSM4735788	1.0615495601063798
AC231657.1	GSM4735789	1.0531587528031856
AC231657.1	GSM4735790	1.0624726893191856
AC231657.1	GSM4735791	2.1742054038328193
