Gene	sample	counts
ADAMTS7P3	GSM1022678	9.090140849663092
ADAMTS7P3	GSM1022679	18.940760241400735
ADAMTS7P3	GSM1022680	5.092388785583511
ADAMTS7P3	GSM1022681	6.119215808934082
ADAMTS7P3	GSM1022682	29.04392246017754
ADAMTS7P3	GSM1022683	6.078464644769783
ADAMTS7P3	GSM1022684	9.245114140866791
ADAMTS7P3	GSM1022685	5.099346507445069
ADAMTS7P3	GSM1022686	6.189864523179311
ADAMTS7P3	GSM1022687	6.328111208539305
ADAMTS7P3	GSM1022688	9.267317170102125
ADAMTS7P3	GSM1022689	5.083934919190311
ADAMTS7P3	GSM1022690	5.261322289277982
ADAMTS7P3	GSM1022691	5.2137629492666315
ADAMTS7P3	GSM1022692	9.125772392693037
ADAMTS7P3	GSM1022693	9.062668014124611
ADAMTS7P3	GSM1022694	5.1380801842305
ADAMTS7P3	GSM1022695	6.102291016454016
ADAMTS7P3	GSM1385778	9.027282861896849
ADAMTS7P3	GSM1385779	9.408637456279571
ADAMTS7P3	GSM1385780	9.376468692392407
ADAMTS7P3	GSM1385781	9.10962868758652
ADAMTS7P3	GSM1385782	9.06836230692696
ADAMTS7P3	GSM1385783	10.406685081874068
ADAMTS7P3	GSM1415906	12
ADAMTS7P3	GSM1415907	10.054403053779655
ADAMTS7P3	GSM1415908	16.184726190939905
ADAMTS7P3	GSM1415909	8.043522443023724
ADAMTS7P3	GSM1415910	7.042504334331798
ADAMTS7P3	GSM1415911	8.024251432797197
ADAMTS7P3	GSM1415912	7.5798684241965395
ADAMTS7P3	GSM1415913	7.626198735078991
ADAMTS7P3	GSM1415914	7.402316301513496
ADAMTS7P3	GSM1415915	10.462657064923926
ADAMTS7P3	GSM1415916	8.375899976585622
ADAMTS7P3	GSM1415917	7.402976106715634
ADAMTS7P3	GSM1415918	7.453603167027574
ADAMTS7P3	GSM1415919	7.436408295190083
ADAMTS7P3	GSM1415920	7.346161992626987
ADAMTS7P3	GSM1415921	7.233339063086261
ADAMTS7P3	GSM2769390	11.502091471835111
ADAMTS7P3	GSM2769391	8.272973436163173
ADAMTS7P3	GSM2769392	11.353615240715852
ADAMTS7P3	GSM2769393	8.237615262313
ADAMTS7P3	GSM2769394	11.167358524434158
ADAMTS7P3	GSM2769395	8.307027037275498
ADAMTS7P3	GSM2769396	9.193343314995348
ADAMTS7P3	GSM2769397	12.547736151092847
ADAMTS7P3	GSM2769398	9.427735254270097
ADAMTS7P3	GSM3103946	4
ADAMTS7P3	GSM3103947	9.576160922394743
ADAMTS7P3	GSM3103948	8.961270086713588
ADAMTS7P3	GSM3103949	11.57078480435938
ADAMTS7P3	GSM3103950	4.8168792518841
ADAMTS7P3	GSM3103951	2.8479655007386717
ADAMTS7P3	GSM3103952	4
ADAMTS7P3	GSM3103953	8
ADAMTS7P3	GSM3103954	8.989218998899487
ADAMTS7P3	GSM3103955	7.6489630372641555
ADAMTS7P3	GSM3103956	4.050696932638388
ADAMTS7P3	GSM3103957	4.021761221511862
ADAMTS7P3	GSM3103958	19.19029734928875
ADAMTS7P3	GSM3103959	8.864969045290453
ADAMTS7P3	GSM3103960	13
ADAMTS7P3	GSM3103961	10.05687362042802
ADAMTS7P3	GSM3103962	5
ADAMTS7P3	GSM3103963	1.011545386933744
ADAMTS7P3	GSM3103964	2
ADAMTS7P3	GSM3103965	9
ADAMTS7P3	GSM4260265	13.342236713619751
