Gene	sample	counts
ADAT1	GSM1022678	665.0637258270771
ADAT1	GSM1022679	157.29446343947004
ADAT1	GSM1022680	461.29038753607
ADAT1	GSM1022681	587.6996500665191
ADAT1	GSM1022682	200.9931143425506
ADAT1	GSM1022683	570.211840061085
ADAT1	GSM1022684	349.6039054537255
ADAT1	GSM1022685	441.98854662852426
ADAT1	GSM1022686	353.43374022439474
ADAT1	GSM1022687	296.6766461836287
ADAT1	GSM1022688	379.91970158097496
ADAT1	GSM1022689	564.6324271456128
ADAT1	GSM1022690	329.29423806365406
ADAT1	GSM1022691	294.1510342564062
ADAT1	GSM1022692	533.4779694453239
ADAT1	GSM1022693	656.5258353718494
ADAT1	GSM1022694	282.51328907331225
ADAT1	GSM1022695	384.15042846539575
ADAT1	GSM1385778	644
ADAT1	GSM1385779	302.0109142894248
ADAT1	GSM1385780	277.9424668965631
ADAT1	GSM1385781	443.4561853937339
ADAT1	GSM1385782	624.8304657336683
ADAT1	GSM1385783	300.63254145801045
ADAT1	GSM1415906	651
ADAT1	GSM1415907	608.6735888958196
ADAT1	GSM1415908	456.8979257985287
ADAT1	GSM1415909	635.8375341853852
ADAT1	GSM1415910	531.6765234953104
ADAT1	GSM1415911	541.6369717138108
ADAT1	GSM1415912	311.6786397914572
ADAT1	GSM1415913	346.6941772172051
ADAT1	GSM1415914	306.99974104513444
ADAT1	GSM1415915	383.39842401655454
ADAT1	GSM1415916	341.80549792184473
ADAT1	GSM1415917	306.7521508712244
ADAT1	GSM1415918	331.58641529432003
ADAT1	GSM1415919	338.5079520849396
ADAT1	GSM1415920	310.09274199908657
ADAT1	GSM1415921	389.53904567311247
ADAT1	GSM2769390	320.3697401164443
ADAT1	GSM2769391	325.351002509062
ADAT1	GSM2769392	353.8560719143269
ADAT1	GSM2769393	461.4883023661191
ADAT1	GSM2769394	616.8772693548763
ADAT1	GSM2769395	390.9056167569293
ADAT1	GSM2769396	595.7532167633844
ADAT1	GSM2769397	426.8635421806149
ADAT1	GSM2769398	346.7334851279213
ADAT1	GSM3103946	351.48544618697287
ADAT1	GSM3103947	361.0825882417246
ADAT1	GSM3103948	393.34508908235944
ADAT1	GSM3103949	551.7113714360503
ADAT1	GSM3103950	332.6872398177561
ADAT1	GSM3103951	384
ADAT1	GSM3103952	345.4646662371519
ADAT1	GSM3103953	298.9646323889195
ADAT1	GSM3103954	296.8973030134963
ADAT1	GSM3103955	490.63144996999335
ADAT1	GSM3103956	391.6224099196924
ADAT1	GSM3103957	407.4755538049045
ADAT1	GSM3103958	242.85645521955905
ADAT1	GSM3103959	308.9336801626921
ADAT1	GSM3103960	345
ADAT1	GSM3103961	322.6862132451272
ADAT1	GSM3103962	400.015537316667
ADAT1	GSM3103963	326.66069964396
ADAT1	GSM3103964	344.6317410966475
ADAT1	GSM3103965	376
ADAT1	GSM4260265	427.8073344066548
ADAT1	GSM4260266	704.4232362004789
ADAT1	GSM4260267	354.571899358319
ADAT1	GSM4260268	358.20257768106933
