Gene	sample	counts
ADPGK-AS1	GSM1022678	37.39405988438697
ADPGK-AS1	GSM1022679	40.138509188625896
ADPGK-AS1	GSM1022680	43.982316357666384
ADPGK-AS1	GSM1022681	30.71600958535814
ADPGK-AS1	GSM1022682	66.66103289752934
ADPGK-AS1	GSM1022683	37.54063715704652
ADPGK-AS1	GSM1022684	41.86873119206293
ADPGK-AS1	GSM1022685	41.11521363986272
ADPGK-AS1	GSM1022686	31.465287743193755
ADPGK-AS1	GSM1022687	32.844198001358585
ADPGK-AS1	GSM1022688	28.336552327862773
ADPGK-AS1	GSM1022689	37.77829982710249
ADPGK-AS1	GSM1022690	37.070941551757926
ADPGK-AS1	GSM1022691	36.50049330188982
ADPGK-AS1	GSM1022692	30.48445539687565
ADPGK-AS1	GSM1022693	40.33952905510595
ADPGK-AS1	GSM1022694	28.147843916226588
ADPGK-AS1	GSM1022695	43.94220438509371
ADPGK-AS1	GSM1385778	38
ADPGK-AS1	GSM1385779	37.75642901935911
ADPGK-AS1	GSM1385780	37.27512363822209
ADPGK-AS1	GSM1385781	36.28277880494186
ADPGK-AS1	GSM1385782	37.1683717558613
ADPGK-AS1	GSM1385783	37.1876429803964
ADPGK-AS1	GSM1415906	37
ADPGK-AS1	GSM1415907	36.218593719420674
ADPGK-AS1	GSM1415908	36.4707878686187
ADPGK-AS1	GSM1415909	36.218593719420674
ADPGK-AS1	GSM1415910	34.23674583113742
ADPGK-AS1	GSM1415911	36.10913144758739
ADPGK-AS1	GSM1415912	39.105326488071576
ADPGK-AS1	GSM1415913	39.561285833003936
ADPGK-AS1	GSM1415914	37.548021987939215
ADPGK-AS1	GSM1415915	39.96084195584189
ADPGK-AS1	GSM1415916	40.1463434091582
ADPGK-AS1	GSM1415917	48.72597342358799
ADPGK-AS1	GSM1415918	40.19406571280851
ADPGK-AS1	GSM1415919	37.85777203928795
ADPGK-AS1	GSM1415920	42.58053908812211
ADPGK-AS1	GSM1415921	39.27329729945582
ADPGK-AS1	GSM2769390	38.70133498579183
ADPGK-AS1	GSM2769391	38.02870086239351
ADPGK-AS1	GSM2769392	37.577635955503744
ADPGK-AS1	GSM2769393	37.16776761030637
ADPGK-AS1	GSM2769394	38.685144680830106
ADPGK-AS1	GSM2769395	38.03536783465996
ADPGK-AS1	GSM2769396	40.66435031441172
ADPGK-AS1	GSM2769397	41.75076681147905
ADPGK-AS1	GSM2769398	36.667587059568966
ADPGK-AS1	GSM3103946	25.250391249064144
ADPGK-AS1	GSM3103947	41.15506347144456
ADPGK-AS1	GSM3103948	32.246523203695254
ADPGK-AS1	GSM3103949	25.424487162951625
ADPGK-AS1	GSM3103950	41.25784690320281
ADPGK-AS1	GSM3103951	44
ADPGK-AS1	GSM3103952	16.07280940794002
ADPGK-AS1	GSM3103953	48.48075119820316
ADPGK-AS1	GSM3103954	45.13641430948423
ADPGK-AS1	GSM3103955	37.09092854009844
