Gene	sample	counts
AKAP1	GSM1022678	1079.3744853114945
AKAP1	GSM1022679	19.526842307980164
AKAP1	GSM1022680	663.8261236308252
AKAP1	GSM1022681	983.9361737176392
AKAP1	GSM1022682	80.80125199700527
AKAP1	GSM1022683	745.7396840656538
AKAP1	GSM1022684	332.8564129769003
AKAP1	GSM1022685	705.1259139236457
AKAP1	GSM1022686	501.34691804155386
AKAP1	GSM1022687	356.9069516147633
AKAP1	GSM1022688	490.11740507821906
AKAP1	GSM1022689	742.2925398460408
AKAP1	GSM1022690	364.1674846555043
AKAP1	GSM1022691	389.6964431937061
AKAP1	GSM1022692	640.1735633343886
AKAP1	GSM1022693	976.216603133564
AKAP1	GSM1022694	446.19545170907327
AKAP1	GSM1022695	546.7227754889566
AKAP1	GSM1385778	750
AKAP1	GSM1385779	402.3756578348843
AKAP1	GSM1385780	220.45573123177064
AKAP1	GSM1385781	536.1788423396964
AKAP1	GSM1385782	1036.696206812131
AKAP1	GSM1385783	345.3138276751094
AKAP1	GSM1415906	992
AKAP1	GSM1415907	961.8048776601712
AKAP1	GSM1415908	795.2657910240466
AKAP1	GSM1415909	885.3434020302832
AKAP1	GSM1415910	964.6706619479309
AKAP1	GSM1415911	981.967769088557
AKAP1	GSM1415912	342.74668510133324
AKAP1	GSM1415913	331.61666065900357
AKAP1	GSM1415914	488.1242858432098
AKAP1	GSM1415915	602.6526976043183
AKAP1	GSM1415916	478.50101198483145
AKAP1	GSM1415917	347.7262648865143
AKAP1	GSM1415918	384.0766279223925
AKAP1	GSM1415919	303.9756401978121
AKAP1	GSM1415920	371.2149561528595
AKAP1	GSM1415921	416.08466328072114
AKAP1	GSM2769390	376.2629790285317
AKAP1	GSM2769391	220.77773556222897
AKAP1	GSM2769392	491.6407370845073
AKAP1	GSM2769393	806.3340695458132
AKAP1	GSM2769394	591.4755015674288
AKAP1	GSM2769395	487.0640158827289
AKAP1	GSM2769396	991.1935389137858
AKAP1	GSM2769397	440.470589861104
AKAP1	GSM2769398	385.5334867977537
AKAP1	GSM3103946	420.16651038442734
AKAP1	GSM3103947	470.0822805405001
AKAP1	GSM3103948	704.4073846496096
AKAP1	GSM3103949	680.5287730616718
AKAP1	GSM3103950	664.1182453128453
AKAP1	GSM3103951	577
AKAP1	GSM3103952	507.29804693810695
AKAP1	GSM3103953	339.3652583874221
AKAP1	GSM3103954	370.1185973377707
AKAP1	GSM3103955	664.9873616831935
AKAP1	GSM3103956	347.42355525684
AKAP1	GSM3103957	275.37624708511004
AKAP1	GSM3103958	262.34209583175397
AKAP1	GSM3103959	407.23076021445775
AKAP1	GSM3103960	621
AKAP1	GSM3103961	513.4188207003318
AKAP1	GSM3103962	311.34710587115893
AKAP1	GSM3103963	217.77379976264
AKAP1	GSM3103964	236.49216251206897
AKAP1	GSM3103965	627
AKAP1	GSM4260265	640.6924127185378
AKAP1	GSM4260266	573.0387014715517
AKAP1	GSM4260267	534.531964361573
AKAP1	GSM4260268	571.8672731399528
AKAP1	GSM4260269	550.5332931477667
AKAP1	GSM4260270	811.7691341604877
AKAP1	GSM4260271	391.44579955248946
AKAP1	GSM4260272	261.9679562716011
AKAP1	GSM4260273	629.3519454253202
AKAP1	GSM4260274	254.3667322090535
AKAP1	GSM4260275	269.7947419163746
AKAP1	GSM4260276	518.5969365390893
AKAP1	GSM4735785	322.2264155917694
AKAP1	GSM4735786	385.1836180178643
AKAP1	GSM4735787	340.93593077219185
AKAP1	GSM4735788	392.9986847451135
AKAP1	GSM4735789	360.5239289479126
AKAP1	GSM4735790	289.87823452211643
AKAP1	GSM4735791	301.89215929589983
AKAP1	GSM4735792	166.7570830701711
AKAP1	GSM4735793	263.0859091885681
AKAP1	GSM4735794	282.49340730303715
AKAP1	GSM4735795	1031.6808296908673
AKAP1	GSM4735796	341.78431226264456
AKAP1	GSM4735797	744.3670396106429
AKAP1	GSM4735798	598.81682036442
AKAP1	GSM4735799	620.3773277008553
AKAP1	GSM4735800	475.85655127989696
AKAP1	GSM4735801	747.5812685437726
AKAP1	GSM4735802	1006.3983054751004
AKAP1	GSM4735803	1080.5818050461398
AKAP1	GSM4735804	943.2542854581357
AKAP1	GSM5282507	501
AKAP1	GSM5282508	475.59995648542304
AKAP1	GSM5282509	783.3675461268264
AKAP1	GSM5282510	377.10979880336527
AKAP1	GSM5282511	155.18883810006483
AKAP1	GSM5282512	199.46015852111415
AKAP1	GSM5282513	448.46071397677304
AKAP1	GSM5282514	345
AKAP1	GSM5282515	329.94958945989833
AKAP1	GSM5282516	50.52706717559103
AKAP1	GSM5282517	206.5472191578903
AKAP1	GSM5282518	681
AKAP1	GSM5282519	148.779236326336
AKAP1	GSM5282520	280.1060900157797
AKAP1	GSM5282521	362.5628275967075
AKAP1	GSM5282522	79.19447459464577
AKAP1	GSM5282523	842
AKAP1	GSM5282524	552.4785605295235
AKAP1	GSM5282525	941
AKAP1	GSM5282526	328
AKAP1	GSM5282527	563.4003467465438
AKAP1	GSM5282528	565.3421943905684
AKAP1	GSM5282529	1029
AKAP1	GSM5282530	365.1556584170404
AKAP1	GSM5282531	330.5795197081881
AKAP1	GSM5282532	812.1711189945195
AKAP1	GSM5282533	579.8701352444476
AKAP1	GSM5282534	703.1250317988544
AKAP1	GSM5282535	951
AKAP1	GSM5282536	576.803255629968
AKAP1	GSM4260927	782
AKAP1	GSM4260928	716.3602324977998
AKAP1	GSM4260929	606.7224270672871
AKAP1	GSM4260930	784
AKAP1	GSM4260931	568.8602743924429
AKAP1	GSM4260932	416
AKAP1	GSM4260933	417.9000945551449
AKAP1	GSM4260934	786
AKAP1	GSM4260935	665.8266794133915
AKAP1	GSM4260936	376.4209833855205
AKAP1	GSM4260937	534
AKAP1	GSM4260938	344.6267522724133
AKAP1	GSM4260939	574
AKAP1	GSM4260940	597.6067963704411
AKAP1	GSM4260941	521
AKAP1	GSM4260942	402.95040204066305
AKAP1	GSM4260943	337.6535785296423
AKAP1	GSM4260944	357.1414682272114
AKAP1	GSM4260945	518.3481034060657
AKAP1	GSM4260946	624.1916831670377
AKAP1	GSM4260947	185.13486652878177
AKAP1	GSM4260948	466.7948795529521
AKAP1	GSM4260949	360.9074511472443
AKAP1	GSM4260950	608
AKAP1	GSM4260951	759.5992495096312
AKAP1	GSM4260952	397.84345483971686
AKAP1	GSM4260953	1102.9771559716398
AKAP1	GSM4260954	467.82350220918374
AKAP1	GSM4260955	247.38610337373296
AKAP1	GSM4260956	169.448249351679
AKAP1	GSM4260957	542.1249721782433
AKAP1	GSM4260958	258.86815880458136
AKAP1	GSM4260959	231.7414498853063
AKAP1	GSM4260960	384.0781966543828
AKAP1	GSM4260961	398.9558352120933
AKAP1	GSM4260962	533.6127202810136
AKAP1	GSM4260963	451
AKAP1	GSM4260964	373
AKAP1	GSM4260965	316.22698475717914
AKAP1	GSM4260966	940.0252294967676
AKAP1	GSM4260967	706.2693163964926
AKAP1	GSM4260968	612
AKAP1	GSM4260969	481.72850701191027
AKAP1	GSM4260970	507.79736277548506
AKAP1	GSM4260971	231.14392945275608
AKAP1	GSM4260972	454.0031122879713
AKAP1	GSM4260973	439.32776594564655
AKAP1	GSM4260974	472.0244144143171
AKAP1	GSM4260975	306
AKAP1	GSM4260976	724
AKAP1	GSM4260977	247.3739834442895
AKAP1	GSM4260978	615
AKAP1	GSM4260979	596.0490156671476
