Gene	sample	counts
AMZ1	GSM1022678	17.181054541475095
AMZ1	GSM1022679	23.77825214859961
AMZ1	GSM1022680	17.388357629775083
AMZ1	GSM1022681	17.399283154084433
AMZ1	GSM1022682	92.83921331361252
AMZ1	GSM1022683	15.228739801795122
AMZ1	GSM1022684	17.712994372591744
AMZ1	GSM1022685	12.32191274634592
AMZ1	GSM1022686	10.48277755164012
AMZ1	GSM1022687	20.527845315710938
AMZ1	GSM1022688	17.735432856205026
AMZ1	GSM1022689	10.212700412974677
AMZ1	GSM1022690	16.197650775778726
AMZ1	GSM1022691	16.018629663691247
AMZ1	GSM1022692	40.69129985476505
AMZ1	GSM1022693	10.091218838436143
AMZ1	GSM1022694	15.634720479873728
AMZ1	GSM1022695	40.90326228725827
AMZ1	GSM1385778	22.033320487031236
AMZ1	GSM1385779	24.204239782450447
AMZ1	GSM1385780	23.032308210117357
AMZ1	GSM1385781	23.185997441034445
AMZ1	GSM1385782	23.115923158905275
AMZ1	GSM1385783	24.02028541317353
AMZ1	GSM1415906	21.03180591943891
AMZ1	GSM1415907	26.18104092969332
AMZ1	GSM1415908	25.34936775748065
AMZ1	GSM1415909	20.139262253610244
AMZ1	GSM1415910	26.197491108900103
AMZ1	GSM1415911	21.095562347921277
AMZ1	GSM1415912	22.47185006865781
AMZ1	GSM1415913	22.66837780856709
AMZ1	GSM1415914	24.995798607991187
AMZ1	GSM1415915	24.652641070097605
AMZ1	GSM1415916	24.65039906132141
AMZ1	GSM1415917	22.83320710189316
AMZ1	GSM1415918	25.148938503722512
AMZ1	GSM1415919	21.87059143779823
AMZ1	GSM1415920	21.520524557613545
AMZ1	GSM1415921	22.098152984016696
AMZ1	GSM2769390	27.238778958536948
AMZ1	GSM2769391	17.626343156459384
AMZ1	GSM2769392	20.666534073795265
AMZ1	GSM2769393	17.515931203483444
AMZ1	GSM2769394	26.40327153190705
AMZ1	GSM2769395	40.54876277737649
AMZ1	GSM2769396	31.69187708156893
AMZ1	GSM2769397	21.966525970112755
AMZ1	GSM2769398	25.155741488342834
AMZ1	GSM3103946	9.062668014124611
AMZ1	GSM3103947	14.34723766507014
AMZ1	GSM3103948	34.48124610411332
AMZ1	GSM3103949	28.478537237777896
AMZ1	GSM3103950	27.685359050221177
AMZ1	GSM3103951	49
AMZ1	GSM3103952	25
AMZ1	GSM3103953	4.027852450722049
AMZ1	GSM3103954	10
AMZ1	GSM3103955	19.98509597949724
AMZ1	GSM3103956	21.479153299905697
AMZ1	GSM3103957	11.156590564714897
AMZ1	GSM3103958	16.30766232642811
AMZ1	GSM3103959	25
AMZ1	GSM3103960	30
AMZ1	GSM3103961	19.924925036869844
AMZ1	GSM3103962	1.0060720477616854
AMZ1	GSM3103963	1.0226627588381034
AMZ1	GSM3103964	7.048741788763586
AMZ1	GSM3103965	35
AMZ1	GSM4260265	13.342236713619751
AMZ1	GSM4260266	33.592326549027916
AMZ1	GSM4260267	12.453482185113154
AMZ1	GSM4260268	11.428431481643464
AMZ1	GSM4260269	32.7507034967746
AMZ1	GSM4260270	11.24133392787528
AMZ1	GSM4260271	11.557404566004456
AMZ1	GSM4260272	110.10018919261356
AMZ1	GSM4260273	15.25572754113504
AMZ1	GSM4260274	9.6238460939329
AMZ1	GSM4260275	52.36283917939282
AMZ1	GSM4260276	12.270978686177482
AMZ1	GSM4735785	24.758457175980865
AMZ1	GSM4735786	42.67121583441211
AMZ1	GSM4735787	30.030717833594473
AMZ1	GSM4735788	80.54669811242155
AMZ1	GSM4735789	11.447353590061477
AMZ1	GSM4735790	5.206019497777946
AMZ1	GSM4735791	36.86706993064615
AMZ1	GSM4735792	24.52489004300586
AMZ1	GSM4735793	5.316568933812253
AMZ1	GSM4735794	49.33382252087535
AMZ1	GSM4735795	17.686815567747264
AMZ1	GSM4735796	51.24345094686245
AMZ1	GSM4735797	11.83766460727574
AMZ1	GSM4735798	5.512640634057843
AMZ1	GSM4735799	11.918741233938158
AMZ1	GSM4735800	5.500983327689002
AMZ1	GSM4735801	11.7048479632599
AMZ1	GSM4735802	11.41275662751361
AMZ1	GSM4735803	17.55287904878769
AMZ1	GSM4735804	30.701794605097128
AMZ1	GSM5282507	19.057597152893344
AMZ1	GSM5282508	1.0203939923164922
AMZ1	GSM5282509	38.322552602350655
AMZ1	GSM5282510	1.0507016405848535
AMZ1	GSM5282511	11.332240855892604
AMZ1	GSM5282512	10.225815571814568
AMZ1	GSM5282513	13.209930671979448
AMZ1	GSM5282514	41.16071184026613
AMZ1	GSM5282515	2.0477339723572094
AMZ1	GSM5282516	1.0330890196011069
AMZ1	GSM5282517	23.64732840190719
AMZ1	GSM5282518	21.063660011092644
AMZ1	GSM5282519	2.1103658571272397
AMZ1	GSM5282520	24.53218960515287
AMZ1	GSM5282521	84.90575992629311
AMZ1	GSM5282522	25.564538929536425
AMZ1	GSM5282523	31.0469515953622
AMZ1	GSM5282524	91.00285101540626
AMZ1	GSM5282525	58.35217877017776
AMZ1	GSM5282526	73.29675444571859
AMZ1	GSM5282527	38.43872470348227
AMZ1	GSM5282528	3.058745744000545
AMZ1	GSM5282529	15.06825881994377
AMZ1	GSM5282530	12.223066697332994
AMZ1	GSM5282531	68.72065652493434
AMZ1	GSM5282532	19.19029734928875
AMZ1	GSM5282533	41
AMZ1	GSM5282534	53.449875998015386
AMZ1	GSM5282535	40.31419867215762
AMZ1	GSM5282536	19.269951937959817
AMZ1	GSM4260927	30
AMZ1	GSM4260928	28.600946866465105
AMZ1	GSM4260929	15.610934018084096
AMZ1	GSM4260930	14
AMZ1	GSM4260931	41.12428859308564
AMZ1	GSM4260932	13.009414582319971
AMZ1	GSM4260933	20.740369123943843
AMZ1	GSM4260934	30
AMZ1	GSM4260935	33.20037757613562
AMZ1	GSM4260936	20.243619305747824
AMZ1	GSM4260937	8
AMZ1	GSM4260938	1.0402543192305806
AMZ1	GSM4260939	6
AMZ1	GSM4260940	12.08277320995751
AMZ1	GSM4260941	18
AMZ1	GSM4260942	27.111108123224874
AMZ1	GSM4260943	1.0137139817749876
AMZ1	GSM4260944	24.722888452978538
AMZ1	GSM4260945	7.0318541159737595
AMZ1	GSM4260946	29.64274791228367
AMZ1	GSM4260947	1.020131613169304
AMZ1	GSM4260948	31.05358184766739
AMZ1	GSM4260949	26.66086025030288
AMZ1	GSM4260950	24
AMZ1	GSM4260951	27.480136409097778
AMZ1	GSM4260952	5.513368454202254
