Gene	sample	counts
ANKRD28	GSM1022678	1648.3924896484175
ANKRD28	GSM1022679	262.443269262535
ANKRD28	GSM1022680	1634.0949809626477
ANKRD28	GSM1022681	1394.6093319139088
ANKRD28	GSM1022682	290.5477694067045
ANKRD28	GSM1022683	1822.758674154098
ANKRD28	GSM1022684	925.2321514120669
ANKRD28	GSM1022685	1617.825541114188
ANKRD28	GSM1022686	1392.3240476141198
ANKRD28	GSM1022687	863.2183124826581
ANKRD28	GSM1022688	1184.7530752792995
ANKRD28	GSM1022689	1457.0420645218971
ANKRD28	GSM1022690	1063.4034914007718
ANKRD28	GSM1022691	1082.069964989741
ANKRD28	GSM1022692	1740.707863180332
ANKRD28	GSM1022693	1844.415429184773
ANKRD28	GSM1022694	1334.0241571922156
ANKRD28	GSM1022695	1276.323668922282
ANKRD28	GSM1385778	1768
ANKRD28	GSM1385779	768.5328071978261
ANKRD28	GSM1385780	979.77718557880155
ANKRD28	GSM1385781	1389.6049886664516
ANKRD28	GSM1385782	1584.3610314033544
ANKRD28	GSM1385783	1094.5278410006165
ANKRD28	GSM1415906	2037
ANKRD28	GSM1415907	1856.504197485441
ANKRD28	GSM1415908	1724.6864124387089
ANKRD28	GSM1415909	1729.124983511275
ANKRD28	GSM1415910	1699.197079015195
ANKRD28	GSM1415911	1834.6820319233009
ANKRD28	GSM1415912	884.1401312442312
ANKRD28	GSM1415913	872.5644521864028
ANKRD28	GSM1415914	1144.488136211217
ANKRD28	GSM1415915	945.4629638751944
ANKRD28	GSM1415916	1141.54432997011
ANKRD28	GSM1415917	873.6285533038374
ANKRD28	GSM1415918	977.8621470211202
ANKRD28	GSM1415919	956.4041226928048
ANKRD28	GSM1415920	1161.7809255813013
ANKRD28	GSM1415921	1179.2312461830595
ANKRD28	GSM2769390	1046.403951738556
ANKRD28	GSM2769391	1219.5654693006038
ANKRD28	GSM2769392	1002.72949128307
ANKRD28	GSM2769393	1329.0452711210717
ANKRD28	GSM2769394	1968.476734885742
ANKRD28	GSM2769395	1341.5519307194256
ANKRD28	GSM2769396	1468.7593409785118
ANKRD28	GSM2769397	929.6350127424344
ANKRD28	GSM2769398	993.0438181327232
ANKRD28	GSM3103946	1017.7130614734612
ANKRD28	GSM3103947	1230.6823963979332
ANKRD28	GSM3103948	1226.6135099928338
ANKRD28	GSM3103949	1272.8816790892165
ANKRD28	GSM3103950	1452.8016064464534
ANKRD28	GSM3103951	1828
ANKRD28	GSM3103952	974.1407610595496
ANKRD28	GSM3103953	1156.5816919273589
ANKRD28	GSM3103954	1123.9312392823288
ANKRD28	GSM3103955	1325.5018738717342
ANKRD28	GSM3103956	718.4505357978085
ANKRD28	GSM3103957	903.7463443042092
ANKRD28	GSM3103958	728.6624789324007
ANKRD28	GSM3103959	936
ANKRD28	GSM3103960	1115
ANKRD28	GSM3103961	1120.5086252140627
ANKRD28	GSM3103962	1307.9228376635615
ANKRD28	GSM3103963	853.6761395183729
ANKRD28	GSM3103964	1055.893113209731
ANKRD28	GSM3103965	994
ANKRD28	GSM4260265	1114.3368852625567
ANKRD28	GSM4260266	1142.021608207558
ANKRD28	GSM4260267	1149.8615597176884
ANKRD28	GSM4260268	913.4074659671788
ANKRD28	GSM4260269	1512.4183073534032
ANKRD28	GSM4260270	1459.5198842668458
ANKRD28	GSM4260271	848.823296188934
ANKRD28	GSM4260272	585.608824921889
ANKRD28	GSM4260273	1827.644895362499
ANKRD28	GSM4260274	691.2485408888882
ANKRD28	GSM4260275	1362.500490537714
ANKRD28	GSM4260276	2174.5526435038373
ANKRD28	GSM4735786	1466.2063458311447
ANKRD28	GSM4735787	1638.4954563099473
ANKRD28	GSM4735788	1490.939055714577
ANKRD28	GSM4735790	1275.163488232604
ANKRD28	GSM4735793	1466.7766145621065
ANKRD28	GSM4735798	819.8822806613141
ANKRD28	GSM4735800	970.2250890906322
ANKRD28	GSM4735803	2037.055148715785
ANKRD28	GSM4735804	1055.6626204151205
ANKRD28	GSM4735785	934.1563545396876
ANKRD28	GSM4735789	1223.9740672326573
ANKRD28	GSM4735791	1114.9477286086765
ANKRD28	GSM4735792	1131.3142985120144
ANKRD28	GSM4735794	1061.2631459992815
ANKRD28	GSM4735795	1172.6542758950918
ANKRD28	GSM4735796	854.1022080449752
ANKRD28	GSM4735797	1549.7339181595628
ANKRD28	GSM4735799	1332.8995355726574
ANKRD28	GSM4735801	1283.0139292482572
ANKRD28	GSM4735802	1741.7049909736525
ANKRD28	GSM5282507	1746
ANKRD28	GSM5282509	2049
ANKRD28	GSM5282510	700.6172659047658
ANKRD28	GSM5282511	795.2346713042937
ANKRD28	GSM5282512	1140.6362880438191
ANKRD28	GSM5282515	728.2202028044211
ANKRD28	GSM5282516	639.102132673884
ANKRD28	GSM5282519	508.62224795513765
ANKRD28	GSM5282521	1182.665975396557
ANKRD28	GSM5282523	1786
ANKRD28	GSM5282524	1290.5854811336742
ANKRD28	GSM5282526	1331
ANKRD28	GSM5282528	1292.1987208926394
ANKRD28	GSM5282529	1567
ANKRD28	GSM5282513	1046.6668474743565
ANKRD28	GSM5282533	2025.4103216667131
ANKRD28	GSM5282534	1411
ANKRD28	GSM5282536	1402.046010568119
ANKRD28	GSM5282525	1229
ANKRD28	GSM5282530	928.4454703496972
ANKRD28	GSM5282514	1862
ANKRD28	GSM5282520	389.31522008081134
ANKRD28	GSM5282535	1503
ANKRD28	GSM5282522	730.4092660909287
ANKRD28	GSM5282531	801.3626685711866
ANKRD28	GSM5282508	1098.460291881998
ANKRD28	GSM5282518	1429
ANKRD28	GSM5282517	948.3035894177094
ANKRD28	GSM5282527	1471.7668464305273
ANKRD28	GSM5282532	1483
