Gene	sample	counts
ANKS1A	GSM1022678	1135.05556854682
ANKS1A	GSM1022679	180.0750409031174
ANKS1A	GSM1022680	731.3140290205988
ANKS1A	GSM1022681	1020.7953852200689
ANKS1A	GSM1022682	259.5740220403794
ANKS1A	GSM1022683	798.4994984485301
ANKS1A	GSM1022684	486.7240001077316
ANKS1A	GSM1022685	689.7077088086971
ANKS1A	GSM1022686	392.23803811253305
ANKS1A	GSM1022687	454.32032533655314
ANKS1A	GSM1022688	524.7509690344958
ANKS1A	GSM1022689	656.5255888872134
ANKS1A	GSM1022690	452.5069827695909
ANKS1A	GSM1022691	483.0947642897182
ANKS1A	GSM1022692	600.5437713184502
ANKS1A	GSM1022693	776.5359343107896
ANKS1A	GSM1022694	476.41539891698784
ANKS1A	GSM1022695	579.2906727124453
ANKS1A	GSM1385778	864
ANKS1A	GSM1385779	406.63612388254694
ANKS1A	GSM1385780	392.9531428537616
ANKS1A	GSM1385781	629.9093542524629
ANKS1A	GSM1385782	815.6950774529561
ANKS1A	GSM1385783	439.79460128486335
ANKS1A	GSM1415906	952
ANKS1A	GSM1415907	1000.0356154751152
ANKS1A	GSM1415908	840.8542758598201
ANKS1A	GSM1415909	811.9001425436801
ANKS1A	GSM1415910	830.7445679614226
ANKS1A	GSM1415911	832.5160861527091
ANKS1A	GSM1415912	432.4397363896233
ANKS1A	GSM1415913	404.8643411798234
ANKS1A	GSM1415914	484.7945551036476
ANKS1A	GSM1415915	550.7977359111065
ANKS1A	GSM1415916	529.5272475741594
ANKS1A	GSM1415917	394.2374213363028
ANKS1A	GSM1415918	427.6013368946955
ANKS1A	GSM1415919	406.4322451019834
ANKS1A	GSM1415920	422.55595476636097
ANKS1A	GSM1415921	416.07440300779314
ANKS1A	GSM2769390	465.5036827866456
ANKS1A	GSM2769391	108.80244564426424
ANKS1A	GSM2769392	735.8953707952817
ANKS1A	GSM2769393	911.6200693272554
ANKS1A	GSM2769394	630.1106101166145
ANKS1A	GSM2769395	532.4768401229524
ANKS1A	GSM2769396	826.5313399806
ANKS1A	GSM2769397	628.293037635037
ANKS1A	GSM2769398	566.7154545444273
ANKS1A	GSM3103946	591.8691708780635
ANKS1A	GSM3103947	420.50124200302105
ANKS1A	GSM3103948	659.8740019031931
ANKS1A	GSM3103949	814.4310721198838
ANKS1A	GSM3103950	538.2879540251294
ANKS1A	GSM3103951	513
ANKS1A	GSM3103952	613.6014856712204
ANKS1A	GSM3103953	387.84600958562527
ANKS1A	GSM3103954	325.9852144573861
ANKS1A	GSM3103955	586.0025741542254
ANKS1A	GSM3103956	483.10376026838696
ANKS1A	GSM3103957	339.3936034185489
ANKS1A	GSM3103958	473.4163810609126
ANKS1A	GSM3103959	524.5854374191167
ANKS1A	GSM3103960	659
ANKS1A	GSM3103961	640.8906735285165
ANKS1A	GSM3103962	387.92438757409775
ANKS1A	GSM3103963	324.6062298348785
ANKS1A	GSM3103964	353.7275935009578
ANKS1A	GSM3103965	606
ANKS1A	GSM4260265	477.71819008743114
ANKS1A	GSM4260266	1017.724819015613
ANKS1A	GSM4260267	392.449016203718
ANKS1A	GSM4260268	465.03492541051105
ANKS1A	GSM4260269	1138.6491173775764
ANKS1A	GSM4260270	584.0284169708247
ANKS1A	GSM4260271	411.06145890560833
ANKS1A	GSM4260272	572.0328062201321
ANKS1A	GSM4260273	607.1987569463489
ANKS1A	GSM4260274	302.0758233363503
ANKS1A	GSM4260275	519.3986916952967
ANKS1A	GSM4260276	552.9678836001594
ANKS1A	GSM4735785	600.9579189824756
ANKS1A	GSM4735786	521.2722192102375
ANKS1A	GSM4735787	891.9777547720977
ANKS1A	GSM4735788	637.488162914385
ANKS1A	GSM4735789	922.0194214185868
ANKS1A	GSM4735790	518.8703873690837
ANKS1A	GSM4735791	621.6794580554449
ANKS1A	GSM4735792	484.1937557066032
ANKS1A	GSM4735793	655.0302228776594
ANKS1A	GSM4735794	440.0176121188571
ANKS1A	GSM4735795	701.5461630947077
ANKS1A	GSM4735796	413.6219781570629
ANKS1A	GSM4735797	475.7822190131606
ANKS1A	GSM4735798	343.33611190555456
ANKS1A	GSM4735799	540.4895561948072
ANKS1A	GSM4735800	321.728649616223
ANKS1A	GSM4735801	505.801511599096
ANKS1A	GSM4735802	1099.3318031392992
ANKS1A	GSM4735803	856.4075682440248
ANKS1A	GSM4735804	529.0061735068068
ANKS1A	GSM5282507	654
ANKS1A	GSM5282508	442.7718203493237
ANKS1A	GSM5282509	880.6615947494923
ANKS1A	GSM5282510	418.08189894055533
ANKS1A	GSM5282511	394.3649397146951
ANKS1A	GSM5282512	321.4098927464585
ANKS1A	GSM5282513	443.4467988976157
ANKS1A	GSM5282514	582
ANKS1A	GSM5282515	471.7970765174247
ANKS1A	GSM5282516	491.69225854534847
ANKS1A	GSM5282517	456.9970394135675
ANKS1A	GSM5282518	803
ANKS1A	GSM5282519	385.1747124434591
ANKS1A	GSM5282520	306.1843744895923
ANKS1A	GSM5282521	616.3409427244529
ANKS1A	GSM5282522	667.513492764188
ANKS1A	GSM5282523	821
ANKS1A	GSM5282524	594.8992178279512
ANKS1A	GSM5282525	837
ANKS1A	GSM5282526	766
ANKS1A	GSM5282527	794.7969177317315
ANKS1A	GSM5282528	351.7680556704212
ANKS1A	GSM5282529	743
ANKS1A	GSM5282530	606.978309835736
ANKS1A	GSM5282531	490.70397456684174
ANKS1A	GSM5282532	541.1127727293523
ANKS1A	GSM5282533	740.5025461514549
ANKS1A	GSM5282534	533.6127202810136
ANKS1A	GSM5282535	782
ANKS1A	GSM5282536	634.7481686473155
ANKS1A	GSM4260927	826
ANKS1A	GSM4260928	453.8946796456708
ANKS1A	GSM4260929	543.5461312019542
ANKS1A	GSM4260930	582
ANKS1A	GSM4260931	571.8648180952199
ANKS1A	GSM4260932	528
ANKS1A	GSM4260933	501.46960549623543
ANKS1A	GSM4260934	669
ANKS1A	GSM4260935	616.5617486893697
ANKS1A	GSM4260936	544.8465446847022
ANKS1A	GSM4260937	583
ANKS1A	GSM4260938	305.87763269409646
ANKS1A	GSM4260939	568
ANKS1A	GSM4260940	451.72634944499674
ANKS1A	GSM4260941	518
ANKS1A	GSM4260942	455.03182984996874
ANKS1A	GSM4260943	570.8677618984642
ANKS1A	GSM4260944	437.3968412507748
ANKS1A	GSM4260945	822.7269315689299
ANKS1A	GSM4260946	578.7160419039325
ANKS1A	GSM4260947	359.0184428265326
ANKS1A	GSM4260948	486.68207423993266
ANKS1A	GSM4260949	601.5124185787405
ANKS1A	GSM4260950	1054
ANKS1A	GSM4260951	795.2534548833613
ANKS1A	GSM4260952	474.7654184612852
ANKS1A	GSM4260953	1032.9758977721904
ANKS1A	GSM4260954	463.799214018137
ANKS1A	GSM4260955	347.5931325884096
ANKS1A	GSM4260956	586.9442372121412
ANKS1A	GSM4260957	660.3594718556844
ANKS1A	GSM4260958	291.226678655154
ANKS1A	GSM4260959	443.1547024122525
ANKS1A	GSM4260960	380.05643543287096
ANKS1A	GSM4260961	911.1830507733488
ANKS1A	GSM4260962	640.9370831946761
ANKS1A	GSM4260963	833
ANKS1A	GSM4260964	417
ANKS1A	GSM4260965	357.10487717149306
ANKS1A	GSM4260966	498.2792766630924
ANKS1A	GSM4260967	583.6490516952541
ANKS1A	GSM4260968	971
ANKS1A	GSM4260969	692.0465662062993
ANKS1A	GSM4260970	359.58155858499333
ANKS1A	GSM4260971	530.3205215252806
ANKS1A	GSM4260972	394.3456877334271
ANKS1A	GSM4260973	423.27926308005215
ANKS1A	GSM4260974	294.39924335224117
ANKS1A	GSM4260975	530
ANKS1A	GSM4260976	697
ANKS1A	GSM4260977	304.3010507641051
ANKS1A	GSM4260978	770
ANKS1A	GSM4260979	561.0682046521425
ANKS1A	GSM4260980	567.5266171605183
ANKS1A	GSM4260981	613.0563398189755
ANKS1A	GSM4260982	369.11556590867104
ANKS1A	GSM4260983	607.3708514692364
ANKS1A	GSM4260984	867.705592052256
ANKS1A	GSM4260985	397.1915483191728
ANKS1A	GSM4260986	611.1110302223838
ANKS1A	GSM4260987	453.8748953746994
ANKS1A	GSM4260988	857.6020285816396
ANKS1A	GSM4260989	534
ANKS1A	GSM4260990	656.1150513988791
ANKS1A	GSM4260991	480
ANKS1A	GSM4260992	591.8397327199333
ANKS1A	GSM4260993	618.9936095620683
ANKS1A	GSM4260994	592.7789071479932
ANKS1A	GSM4260995	400.8733329886616
ANKS1A	GSM4260996	630.3350765083181
ANKS1A	GSM4260997	574
ANKS1A	GSM4260998	520.9493424443294
ANKS1A	GSM4260999	807
ANKS1A	GSM4261000	452.5376295583801
ANKS1A	GSM4261001	604
ANKS1A	GSM4261002	115.2530193796733
ANKS1A	GSM4261003	469.7103322008022
ANKS1A	GSM4261004	450.3743795331898
ANKS1A	GSM4261005	818
ANKS1A	GSM4261006	777.1404077346284
ANKS1A	GSM4261007	263.62135339723625
ANKS1A	GSM4261008	517
ANKS1A	GSM4261009	574.0652224501798
ANKS1A	GSM4261010	7.422981990674421
ANKS1A	GSM4261011	515.9804167234687
ANKS1A	GSM4261012	1.1829871654168171
ANKS1A	GSM4261013	243.2897942073231
ANKS1A	GSM4261014	398.68883738458527
ANKS1A	GSM4261015	570.0044516285444
ANKS1A	GSM4261016	805
ANKS1A	GSM4261017	729.782475972209
ANKS1A	GSM4261018	540.3329880093854
ANKS1A	GSM4261019	705.700594681295
ANKS1A	GSM4261020	104.48634029541368
ANKS1A	GSM4261021	364.2818948832659
ANKS1A	GSM4261022	658.9851857255409
ANKS1A	GSM4261023	461
ANKS1A	GSM4261024	470.3109082507526
ANKS1A	GSM4261025	936.5871449392027
ANKS1A	GSM4261026	272.55893740047935
ANKS1A	GSM4261027	742.6208138767223
ANKS1A	GSM4818000	800.7396517438532
ANKS1A	GSM4818001	451.2763882079926
ANKS1A	GSM4818002	670.7956621986127
ANKS1A	GSM4818003	650.0610173041499
ANKS1A	GSM4818004	610.7357157100148
ANKS1A	GSM4818005	447.8059617668109
ANKS1A	GSM4818006	312.12492815068316
ANKS1A	GSM4818007	294.7688921567245
ANKS1A	GSM4818008	817.1026608197157
ANKS1A	GSM4818009	491.0122957042932
ANKS1A	GSM4818010	614.4550890278812
ANKS1A	GSM4818011	476.4962475668012
ANKS1A	GSM4818012	734.7427442148467
ANKS1A	GSM4818013	691.1077669141819
ANKS1A	GSM4818014	206.54900586233168
ANKS1A	GSM4818015	196.4588447759327
ANKS1A	GSM4818016	627.2493614927861
ANKS1A	GSM4818017	875.9200184035603
ANKS1A	GSM4818018	700.5051430308383
ANKS1A	GSM4818019	1103.6300917229885
ANKS1A	GSM4818020	847.3880777917303
ANKS1A	GSM4818021	647.7958177839304
ANKS1A	GSM4818022	650.3464626080588
ANKS1A	GSM4818023	375.44002768777335
ANKS1A	GSM3056394	601.0697304856371
ANKS1A	GSM3056395	336.7395741759441
ANKS1A	GSM3056396	367.4224608157769
ANKS1A	GSM3056397	470.4722917165823
ANKS1A	GSM3056398	709.2136587236627
ANKS1A	GSM3056399	353.94318103599187
ANKS1A	GSM3056400	449.8537503720795
ANKS1A	GSM3056401	681.1731387948073
ANKS1A	GSM3056402	456.8733044098574
ANKS1A	GSM3056403	498.3184813822067
ANKS1A	GSM3056404	704.1405996483861
