Gene	sample	counts
AP001628.7	GSM1022678	1.0149928632180971
AP001628.7	GSM1022679	2.177363320370239
AP001628.7	GSM1022680	1.0308436074633964
AP001628.7	GSM1022681	1.0311088135197646
AP001628.7	GSM1022682	5.058289238963193
AP001628.7	GSM1022683	1.020863922442935
AP001628.7	GSM1022684	1.0578149423884136
AP001628.7	GSM1022685	1.0371148636315564
AP001628.7	GSM1022686	1.0604724495698388
AP001628.7	GSM1022687	1.1088805228290193
AP001628.7	GSM1022688	2.1191388345659217
AP001628.7	GSM1022689	1.028213009709356
AP001628.7	GSM1022690	1.1031801973034647
AP001628.7	GSM1022691	1.0928326885818789
AP001628.7	GSM1022692	1.0229984726241244
AP001628.7	GSM1022693	1.0134855975762167
AP001628.7	GSM1022694	1.0545664475046876
AP001628.7	GSM1022695	1.0298210946342734
AP001628.7	GSM1385778	1.0065008364545027
AP001628.7	GSM1385779	1.08831673889073
AP001628.7	GSM1385780	1.076969124990565
AP001628.7	GSM1385781	1.0160593920172551
AP001628.7	GSM1385782	1.010974028503044
AP001628.7	GSM1385783	1.072602630214062
AP001628.7	GSM1415906	1.006321233202252
AP001628.7	GSM1415907	1.0141084146970722
AP001628.7	GSM1415908	1.0241144897647825
AP001628.7	GSM1415909	1.0137465254422466
AP001628.7	GSM1415910	1.0149928632180971
AP001628.7	GSM1415911	2.0202343683943873
AP001628.7	GSM1415912	2.365024203968306
AP001628.7	GSM1415913	1.1954362057291898
AP001628.7	GSM1415914	1.1372485303867734
AP001628.7	GSM1415915	1.1104272564901518
AP001628.7	GSM1415916	1.1091395235784829
AP001628.7	GSM1415917	1.1335736061479336
AP001628.7	GSM1415918	1.14248870104818
AP001628.7	GSM1415919	1.1435660966331045
AP001628.7	GSM1415920	1.1170792534511031
AP001628.7	GSM1415921	1.0789086069095255
AP001628.7	GSM2769390	1.049114201454456
AP001628.7	GSM2769391	1.0447696856901132
AP001628.7	GSM2769392	1.0329916712135618
AP001628.7	GSM2769393	1.026969767993484
AP001628.7	GSM2769394	1.017679101810684
AP001628.7	GSM2769395	1.0389231941618595
AP001628.7	GSM2769396	1.0203367258104672
AP001628.7	GSM2769397	1.0478235991023386
AP001628.7	GSM2769398	1.0511612257547172
AP001628.7	GSM3103946	1.0096769883151675
AP001628.7	GSM3103947	0.9117836140755504
AP001628.7	GSM3103948	0.6264670386727971
AP001628.7	GSM3103949	0.8116746052912999
AP001628.7	GSM3103950	1.727921012591176
AP001628.7	GSM3103951	1
AP001628.7	GSM3103952	2.0108886820014096
AP001628.7	GSM3103953	2.0202343683943873
AP001628.7	GSM3103954	1.004388954520296
AP001628.7	GSM3103955	0.46965331324653425
AP001628.7	GSM3103956	1.0218297981950817
AP001628.7	GSM3103957	2.0266094958813725
AP001628.7	GSM3103958	1.0205188304787385
AP001628.7	GSM3103959	1.0031556375768678
AP001628.7	GSM3103960	2.00420530696739
AP001628.7	GSM3103961	0.8660659432922149
AP001628.7	GSM3103962	1.0073786500721709
AP001628.7	GSM3103963	1.02246970304458
AP001628.7	GSM3103964	1.0101171841971937
AP001628.7	GSM3103965	1.0027184754459773
AP001628.7	GSM4260265	1.0111785897562977
AP001628.7	GSM4260266	1.007793796528983
AP001628.7	GSM4260267	1.0209637531539166
AP001628.7	GSM4260268	1.0212022389679882
AP001628.7	GSM4260269	1.0112256576006524
AP001628.7	GSM4260270	1.0084371780489607
AP001628.7	GSM4260271	1.0381691192461002
AP001628.7	GSM4260272	1.031794725850175
AP001628.7	GSM4260273	1.005882691546114
AP001628.7	GSM4260274	2.078228918097706
AP001628.7	GSM4260275	1.0300705159989183
AP001628.7	GSM4260276	1.0086171589446156
AP001628.7	GSM4735785	1.1241583234625787
AP001628.7	GSM4735786	1.05207499443912
AP001628.7	GSM4735787	1.041096943231955
AP001628.7	GSM4735788	1.0615495601063798
AP001628.7	GSM4735789	1.0531587528031856
AP001628.7	GSM4735790	1.0624726893191856
AP001628.7	GSM4735791	1.0871027019164097
AP001628.7	GSM4735792	1.119522653616255
AP001628.7	GSM4735793	1.0950706995974604
AP001628.7	GSM4735794	1.073004610131236
AP001628.7	GSM4735795	1.0485009745543108
AP001628.7	GSM4735796	1.1345222112631277
AP001628.7	GSM4735797	1.1166577862322071
AP001628.7	GSM4735798	1.1431313903741345
AP001628.7	GSM4735799	1.1303004052343573
AP001628.7	GSM4735800	1.1336053776903567
AP001628.7	GSM4735801	1.08578255609448
AP001628.7	GSM4735802	1.0404467493865326
AP001628.7	GSM4735803	1.0290012974998244
AP001628.7	GSM4735804	1.0579760419913706
AP001628.7	GSM5282507	1.8809448764114047
AP001628.7	GSM5282508	5.043085794723078
AP001628.7	GSM5282509	2
