Gene	sample	counts
APITD1	GSM1022678	15.159754007183906
APITD1	GSM1022679	14.10271944465234
APITD1	GSM1022680	11.251290231030936
APITD1	GSM1022681	11.262536847964652
APITD1	GSM1022682	4.040062599850263
APITD1	GSM1022683	10.146118150553114
APITD1	GSM1022684	6.28030967880944
APITD1	GSM1022685	5.13940170498284
APITD1	GSM1022686	14.683800946823752
APITD1	GSM1022687	2.189613200090572
APITD1	GSM1022688	4.1980077522759665
APITD1	GSM1022689	19.39966747878236
APITD1	GSM1022690	2.1806436206916424
APITD1	GSM1022691	6.44126352386291
APITD1	GSM1022692	22.355267291042143
APITD1	GSM1022693	7.059417584643542
APITD1	GSM1022694	15.637691064570326
APITD1	GSM1022695	12.2629407586308
APITD1	GSM1385778	19
APITD1	GSM1385779	8.630040918710655
APITD1	GSM1385780	8.520028260165049
APITD1	GSM1385781	12.094259601647288
APITD1	GSM1385782	18.08191058393252
APITD1	GSM1385783	5.312520425770914
APITD1	GSM1415906	17
APITD1	GSM1415907	18.109296859710337
APITD1	GSM1415908	11.143851848744603
APITD1	GSM1415909	18.109296859710337
APITD1	GSM1415910	11.076594239485637
APITD1	GSM1415911	15.045471436494744
APITD1	GSM1415912	6.90093996848322
APITD1	GSM1415913	1.163567230382469
APITD1	GSM1415914	6.626121527283391
APITD1	GSM1415915	8.640182044506355
APITD1	GSM1415916	3.2551089250668808
APITD1	GSM1415917	5.537042434498635
APITD1	GSM1415918	5.582509126778961
APITD1	GSM1415919	6.680783301050814
APITD1	GSM1415920	7.6426608619706355
APITD1	GSM1415921	9.55296420797574
APITD1	GSM2769390	15.050519161141269
APITD1	GSM2769391	6.338116810398918
APITD1	GSM2769392	1.043823220986215
APITD1	GSM2769393	6.194627935051062
APITD1	GSM2769394	18.32454221723531
APITD1	GSM2769395	16.904607926515535
APITD1	GSM2769396	8.132870062882345
APITD1	GSM2769397	2.087538340573953
APITD1	GSM2769398	5.238226722795567
APITD1	GSM3103946	8.080125199700525
APITD1	GSM3103947	4.572784830160507
APITD1	GSM3103948	17.91473511316403
APITD1	GSM3103949	7.627346148885487
APITD1	GSM3103950	9.316288010400635
APITD1	GSM3103951	16
APITD1	GSM3103952	7.0318541159737595
APITD1	GSM3103953	6.060093899775395
APITD1	GSM3103954	9.027282861896849
APITD1	GSM3103955	4.238963261725536
APITD1	GSM3103956	4.111521363986272
APITD1	GSM3103957	15.242227698437825
APITD1	GSM3103958	6.148642871056734
APITD1	GSM3103959	3.009094287298949
APITD1	GSM3103960	1
APITD1	GSM3103961	8.960188842937727
APITD1	GSM3103962	8.060766495046186
APITD1	GSM3103963	10.272349045407548
APITD1	GSM3103964	10.10650267145594
APITD1	GSM3103965	1
APITD1	GSM4260265	10.185888914444162
APITD1	GSM4260266	10.10650267145594
APITD1	GSM4260267	2.1044565526046184
APITD1	GSM4260268	6.28425574879069
APITD1	GSM4260269	4.06297633319385
APITD1	GSM4260270	8.09744772229913
APITD1	GSM4260271	4.361513086935815
APITD1	GSM4260272	1.069256964373882
APITD1	GSM4260273	14.097483577527171
APITD1	GSM4260274	4.4756609772854
APITD1	GSM4260275	3.1865520698784406
APITD1	GSM4260276	21.229114361249263
APITD1	GSM4735785	4.354411021510398
APITD1	GSM4735786	4.186778456715917
APITD1	GSM4735787	6.236632879979119
APITD1	GSM4735788	4.214463107186204
APITD1	GSM4735789	3.1259300197795894
APITD1	GSM4735790	4.201133833653861
APITD1	GSM4735791	3.1667009716353127
APITD1	GSM4735792	6.413733964237349
APITD1	GSM4735793	8.590560300034877
APITD1	GSM4735794	4.200645461755199
APITD1	GSM4735795	10.379082793670696
APITD1	GSM4735796	4.353940283600568
APITD1	GSM4735797	13.96359525965131
APITD1	GSM4735798	8.887819226188052
APITD1	GSM4735799	3.236751274960984
APITD1	GSM4735800	14.41989549333021
APITD1	GSM4735801	11.6643885872078
APITD1	GSM4735802	28.93136812454087
APITD1	GSM4735803	9.297548991792793
APITD1	GSM4735804	9.560009649913535
APITD1	GSM5282507	4
APITD1	GSM5282508	4.117748540999334
APITD1	GSM5282509	10.030314290996497
APITD1	GSM5282510	6.4647394080576905
APITD1	GSM5282511	3.14571969121753
APITD1	GSM5282512	4.133889295774386
APITD1	GSM5282513	5.096144477008784
APITD1	GSM5282514	3
APITD1	GSM5282515	1.027880340996568
APITD1	GSM5282516	6.315883396948879
APITD1	GSM5282517	8.34534218819759
APITD1	GSM5282518	7
APITD1	GSM5282519	32.81894918963294
APITD1	GSM5282520	10.412865799843113
APITD1	GSM5282521	1.0270901631634777
APITD1	GSM5282522	4.113998680241338
APITD1	GSM5282523	3
APITD1	GSM5282524	4.040062599850263
APITD1	GSM5282525	6
APITD1	GSM5282526	10
APITD1	GSM5282527	2.0121440955233707
APITD1	GSM5282528	6.13391169320689
APITD1	GSM5282529	7
APITD1	GSM5282530	4.079951490693189
APITD1	GSM5282531	1.033060999088088
APITD1	GSM5282532	10.039198009821009
APITD1	GSM5282533	5.638931623122668
APITD1	GSM5282534	3.009094287298949
APITD1	GSM5282535	5
APITD1	GSM5282536	5.068569908874939
APITD1	GSM4260927	17
APITD1	GSM4260928	9.822765186061895
APITD1	GSM4260929	4.51334430336983
APITD1	GSM4260930	4
APITD1	GSM4260931	1.001514567592329
APITD1	GSM4260932	17
APITD1	GSM4260933	5.815707081284322
APITD1	GSM4260934	4
APITD1	GSM4260935	4.029208347433534
APITD1	GSM4260936	1.0146118150553114
APITD1	GSM4260937	4
APITD1	GSM4260938	4.189990909087092
APITD1	GSM4260939	17
APITD1	GSM4260940	4.024288191046741
APITD1	GSM4260941	1
APITD1	GSM4260942	6.63683015125798
APITD1	GSM4260943	11.153721813291488
APITD1	GSM4260944	5.617955679978606
APITD1	GSM4260945	1.0045505879962513
APITD1	GSM4260946	6.666124771686811
APITD1	GSM4260947	1.0228445664573578
APITD1	GSM4260948	5.356662552246991
APITD1	GSM4260949	1.0282263565448555
APITD1	GSM4260950	7
APITD1	GSM4260951	5.921152279028306
APITD1	GSM4260952	15.583729797869092
APITD1	GSM4260953	6.661639423469784
APITD1	GSM4260954	7.042504334331798
APITD1	GSM4260955	7.306762546903506
APITD1	GSM4260956	4.0830903458235905
APITD1	GSM4260957	3.491948291003178
APITD1	GSM4260958	1.043823220986215
APITD1	GSM4260959	1.0164098679180102
APITD1	GSM4260960	1.0054403053779657
APITD1	GSM4260961	4.009606384041138
APITD1	GSM4260962	7.021220003697548
APITD1	GSM4260963	4
APITD1	GSM4260964	14
APITD1	GSM4260965	1.047109221050262
APITD1	GSM4260966	6.633242546852189
APITD1	GSM4260967	3.407813348113354
APITD1	GSM4260968	7
APITD1	GSM4260969	11.016660243515618
APITD1	GSM4260970	5.545369016268947
APITD1	GSM4260971	7.68152031413993
APITD1	GSM4260972	1.0111427890600695
APITD1	GSM4260973	1.0030314290996496
APITD1	GSM4260974	7.105743872903699
APITD1	GSM4260975	1
APITD1	GSM4260976	4
APITD1	GSM4260977	7.245263113431074
APITD1	GSM4260978	1
APITD1	GSM4260979	10.407205035458132
APITD1	GSM4260980	14.03208237352893
APITD1	GSM4260981	10.156706868895258
APITD1	GSM4260982	11.033345720096143
APITD1	GSM4260983	7.0978229720945825
APITD1	GSM4260984	8.728994057527192
APITD1	GSM4260985	10.435273582788328
APITD1	GSM4260986	8.587193046420728
APITD1	GSM4260987	7.371518022326905
APITD1	GSM4260988	7.095997872424914
APITD1	GSM4260989	14
APITD1	GSM4260990	6.426069965584102
APITD1	GSM4260991	4
APITD1	GSM4260992	14.89037293083077
APITD1	GSM4260993	4.065639471672041
APITD1	GSM4260994	3.77673540042479
APITD1	GSM4260995	7.195162386975976
APITD1	GSM4260996	5.814854030754225
APITD1	GSM4260997	11
APITD1	GSM4260998	0.8141332769912427
APITD1	GSM4260999	4
APITD1	GSM4261000	1.019228895401757
APITD1	GSM4261001	4
APITD1	GSM4261002	4.308300987255349
APITD1	GSM4261003	4.006058270369316
APITD1	GSM4261004	4.179859925568138
APITD1	GSM4261005	11
APITD1	GSM4261006	7.139085110423096
APITD1	GSM4261007	4.251876439406954
APITD1	GSM4261008	4
APITD1	GSM4261009	4.116109665642531
APITD1	GSM4261010	1.060370214615556
APITD1	GSM4261011	11.150853799524866
APITD1	GSM4261012	4.730822966524409
APITD1	GSM4261013	1.035037587633011
APITD1	GSM4261014	1.030203714172055
APITD1	GSM4261015	4.049765198071364
APITD1	GSM4261016	4
APITD1	GSM4261017	14.170533514023475
APITD1	GSM4261018	2.8464747781697644
APITD1	GSM4261019	4.07330790580834
APITD1	GSM4261020	4.352991983378667
APITD1	GSM4261021	7.243400101720725
APITD1	GSM4261022	4.018202351985005
APITD1	GSM4261023	7
APITD1	GSM4261024	1.0452285097710037
APITD1	GSM4261025	7.212442260257888
APITD1	GSM4261026	1.048277755164012
APITD1	GSM4261027	12.441021192874622
APITD1	GSM4818000	20.169764527552974
APITD1	GSM4818001	5.1751879381650525
APITD1	GSM4818002	5.128407203353309
APITD1	GSM4818003	7.280105291643289
APITD1	GSM4818004	1.1393931266558035
APITD1	GSM4818005	4.223972189799257
APITD1	GSM4818006	1.1431211699566652
APITD1	GSM4818007	2.2932552435774314
APITD1	GSM4818008	11.110172149588225
APITD1	GSM4818009	2.0670146191487677
APITD1	GSM4818010	4.281632810114718
APITD1	GSM4818011	5.5148491425145085
APITD1	GSM4818012	18.19170480862069
APITD1	GSM4818013	10.252732166083357
APITD1	GSM4818014	1.128499003786275
APITD1	GSM4818015	11.680494012142107
APITD1	GSM4818016	4.174219269444581
APITD1	GSM4818017	7.113039592604318
APITD1	GSM4818018	4.095944088553331
APITD1	GSM4818019	3.031523587823909
APITD1	GSM4818020	6.04557487128464
APITD1	GSM4818021	19.231438340460432
APITD1	GSM4818022	12.56659178549787
APITD1	GSM4818023	4.28988757683143
APITD1	GSM3056394	1.0507016405848535
APITD1	GSM3056395	1.096871577120339
APITD1	GSM3056396	4.6651176358304385
APITD1	GSM3056397	4.200645461755199
APITD1	GSM3056398	22.32145993121685
APITD1	GSM3056399	4.302756477364403
APITD1	GSM3056400	1.0560845490630812
APITD1	GSM3056401	4.153656339900101
APITD1	GSM3056402	4.201133833653861
APITD1	GSM3056403	35.1532396125367
APITD1	GSM3056404	4.058447260221246
APITD1	GSM3056405	14.455569097204844
APITD1	GSM3056406	4.273592963608071
APITD1	GSM3056407	1.0728989109545082
APITD1	GSM3056408	10.363386743961522
APITD1	GSM3056409	7.258102867402794
APITD1	GSM3056410	18.71407349197552
APITD1	GSM3056411	4.818038017325079
APITD1	GSM3056412	4.633517189647282
APITD1	GSM3056413	7.863182217749779
APITD1	GSM3056414	4.0830903458235905
APITD1	GSM3056415	7.287852217364476
APITD1	GSM3056416	4.6714967431919465
APITD1	GSM3056417	10.48544789913982
APITD1	GSM3056418	22.25554405626129
APITD1	GSM3056419	10.81757038590094
APITD1	GSM3056420	10.19834233825935
APITD1	GSM3056421	7.67839479230285
APITD1	GSM3056422	11.031779301846182
APITD1	GSM3056423	1.1819236845187782
APITD1	GSM3056424	17.175637677445355
APITD1	GSM3056425	8.111082425699305
APITD1	GSM3056426	4.136486718081587
APITD1	GSM3056427	4.547853686093764
APITD1	GSM3056428	7.187782435368453
APITD1	GSM3056429	7.530246806117526
APITD1	GSM3056430	7.275941367352626
APITD1	GSM3056431	4.406722255477004
APITD1	GSM3056432	7.299268128973284
APITD1	GSM3056433	4.602406779712014
APITD1	GSM3056434	4.102725762682647
APITD1	GSM3056435	1.124013143941097
APITD1	GSM3056436	4.454789533837531
APITD1	GSM3056437	11.049360412464244
APITD1	GSM3056438	13.851579678154724
APITD1	GSM3056439	4.3114547902628
APITD1	GSM3056440	4.7713425463355215
APITD1	GSM3056441	1.2043120458555034
APITD1	GSM3056442	10.121809652873912
APITD1	GSM3056443	16.38754579022282
APITD1	GSM3056444	7.822434875439851
APITD1	GSM3056445	4.140150350532043
APITD1	GSM3056446	10.121809652873912
APITD1	GSM3056447	1.0091218838436145
APITD1	GSM3056448	19.31895269292318
APITD1	GSM3056449	10.663104823234804
APITD1	GSM3056450	7.11096606501621
APITD1	GSM3056451	10.816679028184687
APITD1	GSM3056452	10.317360427558338
APITD1	GSM3056453	10.192288954017569
APITD1	GSM3056454	1.0727741889868294
APITD1	GSM3056455	4.0830903458235905
APITD1	GSM3056456	4.067147935352248
APITD1	GSM3056457	1.0974061174125247
APITD1	GSM3056458	1.213313348540165
APITD1	GSM3056459	4.471112970439946
APITD1	GSM3056460	1.1375442566079967
APITD1	GSM3056461	11.160877262182137
APITD1	GSM3056462	1.0886560454249763
APITD1	GSM3056463	1.159506316454928
APITD1	GSM3056464	4.570795676188106
APITD1	GSM3056465	1.1493996158052484
APITD1	GSM3056466	4.316834222405872
APITD1	GSM3056467	1.0941683972690208
APITD1	GSM3056468	1.023224069826938
APITD1	GSM3056469	1.137762457124916
APITD1	GSM3056470	1.14348706506126
APITD1	GSM3056471	4.569946461223925
APITD1	GSM3056472	1.100852804682313
APITD1	GSM3056473	1.1241759499901376
APITD1	GSM3056474	7.259772748248182
APITD1	GSM3056475	1.063621223790182
APITD1	GSM3056476	1.0693708770413288
APITD1	GSM3056477	4.734953853324317
APITD1	GSM3056478	10.197255979537386
APITD1	GSM3056479	4.215328785234739
APITD1	GSM3056480	4.253623779842419
APITD1	GSM3056481	7.368330772835396
APITD1	GSM3056482	1.0207725864558976
APITD1	GSM3056483	7.177923913543084
APITD1	GSM3056484	7.134602267812298
APITD1	GSM3056485	4.055898841196904
APITD1	GSM3056486	25.037864189808225
APITD1	GSM3056487	4.143333309927886
APITD1	GSM3056488	4.086706685802083
APITD1	GSM3056489	1.0280259135107803
APITD1	GSM3056490	4.5962777952999705
APITD1	GSM3056491	1.0924645272439812
APITD1	GSM3056492	4.601135563001892
APITD1	GSM3056493	10.238669861786049
APITD1	GSM3056494	10.770243066571942
APITD1	GSM3056495	1.0184453683238763
APITD1	GSM3056496	7.657547109337522
APITD1	GSM3056497	4.159027285305865
APITD1	GSM3056498	1.0325465110599132
APITD1	GSM3056499	11.057145412404289
APITD1	GSM3056500	7.238851756642777
APITD1	GSM3056501	1.0542415382098045
APITD1	GSM3056502	1.065646108000719
APITD1	GSM3056503	1.065110943734784
APITD1	GSM3056504	1.132868413339689
APITD1	GSM3056505	4.334922965918774
APITD1	GSM3056506	1.111966853631142
APITD1	GSM3056507	10.472567835878564
APITD1	GSM3056508	4.16600856401896
APITD1	GSM3056509	1.13226694522499
APITD1	GSM3056510	4.165840929447046
APITD1	GSM3056511	7.14092129218513
APITD1	GSM3056512	7.195162386975976
APITD1	GSM3056513	16.19489544459826
APITD1	GSM3056514	7.14092129218513
APITD1	GSM3056515	7.151736700153645
APITD1	GSM3056516	1.033060999088088
APITD1	GSM3056517	11.147140051679363
