Gene	sample	counts
ARL6IP4	GSM1022678	10.10650267145594
ARL6IP4	GSM1022679	1.0848245726655648
ARL6IP4	GSM1022680	6.137067398744146
ARL6IP4	GSM1022681	6.143201917071628
ARL6IP4	GSM1022682	6.060093899775395
ARL6IP4	GSM1022683	8.116894520442491
ARL6IP4	GSM1022684	4.186873119206293
ARL6IP4	GSM1022685	1.027880340996568
ARL6IP4	GSM1022686	4.195371699092501
ARL6IP4	GSM1022687	4.379226400181144
ARL6IP4	GSM1022688	4.1980077522759665
ARL6IP4	GSM1022689	6.126210782773376
ARL6IP4	GSM1022690	6.541930862074928
ARL6IP4	GSM1022691	10.735439206438183
ARL6IP4	GSM1022692	20.32297026458377
ARL6IP4	GSM1022693	13.110346942909436
ARL6IP4	GSM1022694	14.595178326932304
ARL6IP4	GSM1022695	8.175293839087201
ARL6IP4	GSM1385778	15
ARL6IP4	GSM1385779	4.315020459355328
ARL6IP4	GSM1385780	1.065003532520631
ARL6IP4	GSM1385781	11.086404634843348
ARL6IP4	GSM1385782	10.045505879962514
ARL6IP4	GSM1385783	3.1875122554625483
ARL6IP4	GSM1415906	15
ARL6IP4	GSM1415907	15.091080716425282
ARL6IP4	GSM1415908	10.13077440794964
ARL6IP4	GSM1415909	6.036432286570113
ARL6IP4	GSM1415910	9.062668014124611
ARL6IP4	GSM1415911	14.042440007395095
ARL6IP4	GSM1415912	6.90093996848322
ARL6IP4	GSM1415913	3.490701691147406
ARL6IP4	GSM1415914	4.417414351522261
ARL6IP4	GSM1415915	6.480136533379767
ARL6IP4	GSM1415916	6.5102178501337615
ARL6IP4	GSM1415917	4.429633947598908
ARL6IP4	GSM1415918	4.4660073014231685
ARL6IP4	GSM1415919	3.340391650525407
ARL6IP4	GSM1415920	4.3672347782689345
ARL6IP4	GSM1415921	5.3072023377643
ARL6IP4	GSM2769390	7.5252595805706335
ARL6IP4	GSM2769391	6.338116810398918
ARL6IP4	GSM2769392	4.17529288394486
ARL6IP4	GSM2769393	6.194627935051062
ARL6IP4	GSM2769394	13.234391601336617
ARL6IP4	GSM2769395	4.226151981628884
ARL6IP4	GSM2769396	13.21591385218381
ARL6IP4	GSM2769397	9.393922532582788
ARL6IP4	GSM2769398	3.14293603367734
ARL6IP4	GSM3103946	5.050078249812829
ARL6IP4	GSM3103947	1.829113932064203
ARL6IP4	GSM3103948	7.165894045265612
ARL6IP4	GSM3103949	14.407209392339254
ARL6IP4	GSM3103950	6.654491436000454
ARL6IP4	GSM3103951	10
ARL6IP4	GSM3103952	3.013651763988754
ARL6IP4	GSM3103953	5.050078249812829
ARL6IP4	GSM3103954	3.009094287298949
ARL6IP4	GSM3103955	9.007796931166764
ARL6IP4	GSM3103956	6.167282045979408
ARL6IP4	GSM3103957	4.064594052916753
ARL6IP4	GSM3103958	3.074321435528367
ARL6IP4	GSM3103959	10.030314290996497
ARL6IP4	GSM3103960	7
ARL6IP4	GSM3103961	4.480094421468864
ARL6IP4	GSM3103962	2.0151916237615466
ARL6IP4	GSM3103963	5.136174522703774
ARL6IP4	GSM3103964	6.063901602873563
ARL6IP4	GSM3103965	10
ARL6IP4	GSM4260265	16.297422263110658
ARL6IP4	GSM4260266	14.149103740038314
ARL6IP4	GSM4260267	6.313369657813855
ARL6IP4	GSM4260268	11.5211355394496
ARL6IP4	GSM4260269	4.06297633319385
ARL6IP4	GSM4260270	11.133990618161302
ARL6IP4	GSM4260271	6.542269630403723
ARL6IP4	GSM4260272	3.2077708931216464
ARL6IP4	GSM4260273	12.083557352166148
ARL6IP4	GSM4260274	3.729717481071166
ARL6IP4	GSM4260275	1.0621840232928137
ARL6IP4	GSM4260276	6.0654612460712185
ARL6IP4	GSM4735785	15.240438575286392
ARL6IP4	GSM4735786	8.373556913431834
ARL6IP4	GSM4735787	17.670459826607505
ARL6IP4	GSM4735788	6.321694660779306
ARL6IP4	GSM4735789	4.167906693039453
ARL6IP4	GSM4735790	6.301700750480792
ARL6IP4	GSM4735791	10.555669905451042
ARL6IP4	GSM4735792	4.2758226428249
ARL6IP4	GSM4735793	3.221460112513079
ARL6IP4	GSM4735794	13.652097750704396
ARL6IP4	GSM4735795	7.265357955569487
ARL6IP4	GSM4735796	2.176970141800284
ARL6IP4	GSM4735797	13.96359525965131
ARL6IP4	GSM4735798	3.332932209820519
ARL6IP4	GSM4735799	7.552419641575629
ARL6IP4	GSM4735800	18.85678641435489
ARL6IP4	GSM4735801	7.4227927373140545
ARL6IP4	GSM4735802	4.133052589220124
ARL6IP4	GSM4735803	6.198365994528527
ARL6IP4	GSM4735804	1.0622232944348375
ARL6IP4	GSM5282507	12
ARL6IP4	GSM5282508	4.117748540999334
ARL6IP4	GSM5282509	5.015157145498248
ARL6IP4	GSM5282510	10.774565680096153
ARL6IP4	GSM5282511	5.242866152029217
ARL6IP4	GSM5282512	2.066944647887193
ARL6IP4	GSM5282513	9.173060058615812
ARL6IP4	GSM5282514	12
ARL6IP4	GSM5282515	14.390324773951953
ARL6IP4	GSM5282516	2.105294465649626
ARL6IP4	GSM5282517	4.172671094098795
ARL6IP4	GSM5282518	13
ARL6IP4	GSM5282519	7.657754810914353
ARL6IP4	GSM5282520	4.165146319937246
ARL6IP4	GSM5282521	5.135450815817387
ARL6IP4	GSM5282522	2.056999340120669
