Gene	sample	counts
ASTL	GSM1022678	18.19170480862069
ASTL	GSM1022679	13.017894871986776
ASTL	GSM1022680	5.114222832286789
ASTL	GSM1022681	8.190935889428838
ASTL	GSM1022682	31.31048514883954
ASTL	GSM1022683	18.263012670995604
ASTL	GSM1022684	15.7007741970236
ASTL	GSM1022685	12.334564091958816
ASTL	GSM1022686	5.244214623865626
ASTL	GSM1022687	8.758452800362289
ASTL	GSM1022688	5.247509690344958
ASTL	GSM1022689	21.441737739706817
ASTL	GSM1022690	27.25804525864553
ASTL	GSM1022691	5.367719603219092
ASTL	GSM1022692	18.29067323812539
ASTL	GSM1022693	25.21220565944122
ASTL	GSM1022694	5.212563688190109
ASTL	GSM1022695	21.460146327603905
ASTL	GSM1385778	13
ASTL	GSM1385779	14.023816492904814
ASTL	GSM1385780	14.910049455288837
ASTL	GSM1385781	13.102114568451228
ASTL	GSM1385782	13.059157643951268
ASTL	GSM1385783	13.812553107004376
ASTL	GSM1415906	18
ASTL	GSM1415907	19.115368907472025
ASTL	GSM1415908	16.209239052719422
ASTL	GSM1415909	19.115368907472025
ASTL	GSM1415910	18.125336028249222
ASTL	GSM1415911	23.06972286929194
ASTL	GSM1415912	12.65172327555257
ASTL	GSM1415913	10.47210507344222
ASTL	GSM1415914	15.460950230327912
ASTL	GSM1415915	11.88025031119624
ASTL	GSM1415916	17.36058093369003
ASTL	GSM1415917	9.966676382097544
ASTL	GSM1415918	10.048516428202127
ASTL	GSM1415919	12.24810271859316
ASTL	GSM1415920	14.19351302937404
ASTL	GSM1415921	9.55296420797574
ASTL	GSM2769390	13.975482078202605
ASTL	GSM2769391	13.73258642253099
ASTL	GSM2769392	16.70117153577944
ASTL	GSM2769393	16.51900782680283
ASTL	GSM2769394	21.378632586774533
ASTL	GSM2769395	13.734993940293872
ASTL	GSM2769396	13.21591385218381
ASTL	GSM2769397	13.568999213730692
ASTL	GSM2769398	13.619389479268474
ASTL	GSM3103946	8.080125199700525
ASTL	GSM3103947	8.231012694288912
ASTL	GSM3103948	13.615198686004662
ASTL	GSM3103949	27.966935879246787
ASTL	GSM3103950	10.647186297600726
ASTL	GSM3103951	6
ASTL	GSM3103952	13.059157643951268
ASTL	GSM3103953	18.180281699326184
ASTL	GSM3103954	13.039408578295443
ASTL	GSM3103955	13.2467601928923
