Gene	sample	counts
ATP6V1E1	GSM1022678	1793.904224183429
ATP6V1E1	GSM1022679	234.32210769576196
ATP6V1E1	GSM1022680	1803.2749706643217
ATP6V1E1	GSM1022681	1401.6739040785098
ATP6V1E1	GSM1022682	282.8043819895184
ATP6V1E1	GSM1022683	1792.8190772027351
ATP6V1E1	GSM1022684	2149.9593467124314
ATP6V1E1	GSM1022685	1643.5806652535125
ATP6V1E1	GSM1022686	2709.1612746889823
ATP6V1E1	GSM1022687	1330.1900190550227
ATP6V1E1	GSM1022688	1461.9561997301053
ATP6V1E1	GSM1022689	1347.766372210143
ATP6V1E1	GSM1022690	1657.2891517256485
ATP6V1E1	GSM1022691	1527.6529990761535
ATP6V1E1	GSM1022692	2091.2336402256697
ATP6V1E1	GSM1022693	2959.9129444183995
ATP6V1E1	GSM1022694	2014.134609116658
ATP6V1E1	GSM1022695	2064.2616943695184
ATP6V1E1	GSM1385778	2576
ATP6V1E1	GSM1385779	1293.4273826917592
ATP6V1E1	GSM1385780	1103.343659691374
ATP6V1E1	GSM1385781	1628.693626355168
ATP6V1E1	GSM1385782	2175.8565735998804
ATP6V1E1	GSM1385783	1096.5042158791166
ATP6V1E1	GSM1415906	2810
ATP6V1E1	GSM1415907	3140.956933111982
ATP6V1E1	GSM1415908	2312.8557973349025
ATP6V1E1	GSM1415909	2355.214663810106
ATP6V1E1	GSM1415910	2136.775725108047
ATP6V1E1	GSM1415911	2785.418278609727
ATP6V1E1	GSM1415912	1314.6290639960534
ATP6V1E1	GSM1415913	1327.6302098663969
ATP6V1E1	GSM1415914	1409.155178135601
ATP6V1E1	GSM1415915	1340.3082396540483
ATP6V1E1	GSM1415916	1391.0165473119137
ATP6V1E1	GSM1415917	1259.1234496049894
ATP6V1E1	GSM1415918	1256.064553525266
ATP6V1E1	GSM1415919	1343.9509073947222
ATP6V1E1	GSM1415920	1392.056085573223
ATP6V1E1	GSM1415921	1391.5484529617995
ATP6V1E1	GSM2769390	1308.3201299363516
ATP6V1E1	GSM2769391	2608.1350674791547
ATP6V1E1	GSM2769392	1743.1847790469792
ATP6V1E1	GSM2769393	1457.8024407153498
ATP6V1E1	GSM2769394	3308.5979003341536
ATP6V1E1	GSM2769395	1507.6797194461044
ATP6V1E1	GSM2769396	1589.9760972934985
ATP6V1E1	GSM2769397	1050.0317853086983
ATP6V1E1	GSM2769398	970.1195890617388
ATP6V1E1	GSM3103946	1203.9386547553784
ATP6V1E1	GSM3103947	2097.0791231116086
ATP6V1E1	GSM3103948	881.4049675676703
ATP6V1E1	GSM3103949	1783.9515159337725
ATP6V1E1	GSM3103950	1171.85594187968
ATP6V1E1	GSM3103951	847
ATP6V1E1	GSM3103952	802.6359198090048
ATP6V1E1	GSM3103953	1581.684507841378
ATP6V1E1	GSM3103954	1652.9957951562226
ATP6V1E1	GSM3103955	1731.0866220071655
ATP6V1E1	GSM3103956	1217.010323739937
ATP6V1E1	GSM3103957	895.2268401549148
ATP6V1E1	GSM3103958	695.8214182412537
ATP6V1E1	GSM3103959	1471.447106489186
ATP6V1E1	GSM3103960	2021
ATP6V1E1	GSM3103961	1368.220836316591
ATP6V1E1	GSM3103962	2301.348834335686
ATP6V1E1	GSM3103963	2052.415339272428
ATP6V1E1	GSM3103964	1526.0819033898467
ATP6V1E1	GSM3103965	2303
ATP6V1E1	GSM4260265	1530.9391038409574
ATP6V1E1	GSM4260266	2716.627918087356
ATP6V1E1	GSM4260267	1028.027025947356
ATP6V1E1	GSM4260268	1220.1929912235255
ATP6V1E1	GSM4260269	2232.6054950900207
ATP6V1E1	GSM4260270	1536.4907053062598
ATP6V1E1	GSM4260271	1059.8476801254033
ATP6V1E1	GSM4260272	1569.669223700859
ATP6V1E1	GSM4260273	1930.348287008542
ATP6V1E1	GSM4260274	898.861912938151
ATP6V1E1	GSM4260275	1481.746712493475
ATP6V1E1	GSM4260276	1646.772728308336
ATP6V1E1	GSM4735785	1684.0684625691465
ATP6V1E1	GSM4735786	2014.887132294535
ATP6V1E1	GSM4735787	2148.5200271528065
ATP6V1E1	GSM4735788	1760.5919630270366
ATP6V1E1	GSM4735789	1871.390105174714
ATP6V1E1	GSM4735790	1916.7673116045744
ATP6V1E1	GSM4735791	1964.410169404439
ATP6V1E1	GSM4735792	1243.1954334013396
ATP6V1E1	GSM4735793	2201.3310768839374
ATP6V1E1	GSM4735794	1898.69174871335
ATP6V1E1	GSM4735795	1390.7970943518733
ATP6V1E1	GSM4735796	917.5929147688196
ATP6V1E1	GSM4735797	855.0016789755725
ATP6V1E1	GSM4735798	902.1136514580872
ATP6V1E1	GSM4735799	954.8416261134904
ATP6V1E1	GSM4735800	2411.4502155769137
ATP6V1E1	GSM4735801	1044.4929780363348
ATP6V1E1	GSM4735802	1911.5368225143077
ATP6V1E1	GSM4735803	2153.9321830986632
ATP6V1E1	GSM4735804	2051.153181553671
ATP6V1E1	GSM5282507	1897
ATP6V1E1	GSM5282508	722.6648689453831
ATP6V1E1	GSM5282509	1829.529326677761
ATP6V1E1	GSM5282510	1340.3559706039612
ATP6V1E1	GSM5282511	1194.3249094322557
ATP6V1E1	GSM5282512	1238.0998440844287
ATP6V1E1	GSM5282513	1092.6133758706833
ATP6V1E1	GSM5282514	1818
ATP6V1E1	GSM5282515	1931.3871607325511
ATP6V1E1	GSM5282516	1090.5425332065065
ATP6V1E1	GSM5282517	1696.19079975116
ATP6V1E1	GSM5282518	1558
ATP6V1E1	GSM5282519	1460.443238938666
ATP6V1E1	GSM5282520	859.0614284870568
ATP6V1E1	GSM5282521	1437.9262284288684
ATP6V1E1	GSM5282522	1177.6321222190832
ATP6V1E1	GSM5282523	1883
ATP6V1E1	GSM5282524	2043.2616598742704
ATP6V1E1	GSM5282525	1877
ATP6V1E1	GSM5282526	2021
ATP6V1E1	GSM5282527	1581.5452590813695
ATP6V1E1	GSM5282528	1611.174138082343
ATP6V1E1	GSM5282529	1568
ATP6V1E1	GSM5282530	1327.0042223479595
ATP6V1E1	GSM5282531	1951.452227277398
ATP6V1E1	GSM5282532	1488.8130648564552
ATP6V1E1	GSM5282533	1906.8987105526487
ATP6V1E1	GSM5282534	1375.1560892956195
ATP6V1E1	GSM5282535	1564
ATP6V1E1	GSM5282536	1517.5298307171563
ATP6V1E1	GSM4260927	1506
ATP6V1E1	GSM4260928	1737.2261857635183
ATP6V1E1	GSM4260929	1301.7774497862408
ATP6V1E1	GSM4260930	2793
