Gene	sample	counts
AURKC	GSM1022678	1.0149928632180971
AURKC	GSM1022679	1.0886816601851197
AURKC	GSM1022680	1.0308436074633964
AURKC	GSM1022681	1.0311088135197646
AURKC	GSM1022682	14.16320986909694
AURKC	GSM1022683	4.08345568977174
AURKC	GSM1022684	1.0578149423884136
AURKC	GSM1022685	1.0371148636315564
AURKC	GSM1022686	1.0604724495698388
AURKC	GSM1022687	1.1088805228290193
AURKC	GSM1022688	1.0595694172829608
AURKC	GSM1022689	1.028213009709356
AURKC	GSM1022690	1.1031801973034647
AURKC	GSM1022691	1.0928326885818789
AURKC	GSM1022692	4.091993890496497
AURKC	GSM1022693	16.215769561219467
AURKC	GSM1022694	1.0545664475046876
AURKC	GSM1022695	12.357853135611284
AURKC	GSM1385778	10.065008364545028
AURKC	GSM1385779	1.08831673889073
AURKC	GSM1385780	1.076969124990565
AURKC	GSM1385781	1.0160593920172551
AURKC	GSM1385782	1.010974028503044
AURKC	GSM1385783	1.072602630214062
AURKC	GSM1415906	1.006321233202252
AURKC	GSM1415907	25.35271036742681
AURKC	GSM1415908	1.0241144897647825
AURKC	GSM1415909	8.109972203537973
AURKC	GSM1415910	9.134935768962876
AURKC	GSM1415911	10.101171841971937
AURKC	GSM1415912	1.182512101984153
AURKC	GSM1415913	1.1954362057291898
AURKC	GSM1415914	1.1372485303867734
AURKC	GSM1415915	1.1104272564901518
AURKC	GSM1415916	1.1091395235784829
AURKC	GSM1415917	1.1335736061479336
AURKC	GSM1415918	1.14248870104818
AURKC	GSM1415919	1.1435660966331045
AURKC	GSM1415920	1.1170792534511031
AURKC	GSM1415921	1.0789086069095255
AURKC	GSM2769390	14.68759882036238
AURKC	GSM2769391	6.26861811414068
AURKC	GSM2769392	21.692825095484796
AURKC	GSM2769393	11.296667447928323
AURKC	GSM2769394	8.141432814485471
AURKC	GSM2769395	1.0389231941618595
AURKC	GSM2769396	16.325387612967475
AURKC	GSM2769397	1.0478235991023386
AURKC	GSM2769398	1.0511612257547172
AURKC	GSM3103946	1.0096769883151675
AURKC	GSM3103947	0.9117836140755504
AURKC	GSM3103948	0.6264670386727971
AURKC	GSM3103949	0.8116746052912999
AURKC	GSM3103950	0.5759736708637253
AURKC	GSM3103951	1
AURKC	GSM3103952	1.0054443410007048
AURKC	GSM3103953	1.0101171841971937
AURKC	GSM3103954	1.004388954520296
AURKC	GSM3103955	13.15029277090296
AURKC	GSM3103956	1.0218297981950817
AURKC	GSM3103957	1.0133047479406865
AURKC	GSM3103958	1.0205188304787385
AURKC	GSM3103959	1.0031556375768678
AURKC	GSM3103960	1.002102653483695
AURKC	GSM3103961	7.794593489629934
AURKC	GSM3103962	1.0073786500721709
AURKC	GSM3103963	1.02246970304458
AURKC	GSM3103964	1.0101171841971937
AURKC	GSM3103965	1.0027184754459773
AURKC	GSM4260265	11.122964487319273
AURKC	GSM4260266	18.140288337521696
AURKC	GSM4260267	11.230601284693083
AURKC	GSM4260268	22.466449257295743
AURKC	GSM4260269	19.213287494412395
AURKC	GSM4260270	34.286864053664665
AURKC	GSM4260271	9.343522073214904
AURKC	GSM4260272	6.190768355101049
AURKC	GSM4260273	16.094123064737826
AURKC	GSM4260274	12.988930738110662
AURKC	GSM4260275	12.36084619198702
AURKC	GSM4260276	11.094788748390773
AURKC	GSM4735785	23.607324792714152
AURKC	GSM4735786	1.05207499443912
AURKC	GSM4735787	1.041096943231955
AURKC	GSM4735788	1.0615495601063798
AURKC	GSM4735789	1.0531587528031856
AURKC	GSM4735790	1.0624726893191856
AURKC	GSM4735791	1.0871027019164097
AURKC	GSM4735792	1.119522653616255
