Gene	sample	counts
BBS10	GSM1022678	355.7787712631172
BBS10	GSM1022679	3.2543682090924833
BBS10	GSM1022680	286.3887106654093
BBS10	GSM1022681	290.7782240747237
BBS10	GSM1022682	5.050078249812829
BBS10	GSM1022683	344.96801711880585
BBS10	GSM1022684	216.67068391892568
BBS10	GSM1022685	275.47193138708025
BBS10	GSM1022686	284.21526291041835
BBS10	GSM1022687	197.0545989411556
BBS10	GSM1022688	201.5043721092464
BBS10	GSM1022689	270.5743095724908
BBS10	GSM1022690	153.7433363144875
BBS10	GSM1022691	249.06218958936583
BBS10	GSM1022692	359.71657368313265
BBS10	GSM1022693	303.5549561396723
BBS10	GSM1022694	298.1505559961893
BBS10	GSM1022695	258.48419787698174
BBS10	GSM1385778	269
BBS10	GSM1385779	138.0621322465942
BBS10	GSM1385780	252.3845389060745
BBS10	GSM1385781	214.67310792923936
BBS10	GSM1385782	373.6928187346055
BBS10	GSM1385783	208.2119368401769
BBS10	GSM1415906	403
BBS10	GSM1415907	339.04628009568796
BBS10	GSM1415908	339.3809426663129
BBS10	GSM1415909	358.16164900316
BBS10	GSM1415910	348.40923698745723
BBS10	GSM1415911	407.23076021445775
BBS10	GSM1415912	157.56447841855956
BBS10	GSM1415913	155.89603941981704
BBS10	GSM1415914	192.15091705702665
BBS10	GSM1415915	169.559303015772
BBS10	GSM1415916	190.97704010871325
BBS10	GSM1415917	177.18535790395632
BBS10	GSM1415918	167.46788651228283
BBS10	GSM1415919	195.97828804917555
BBS10	GSM1415920	185.61889485860817
BBS10	GSM1415921	204.85295862373488
BBS10	GSM2769390	222.53871209430864
BBS10	GSM2769391	339.08335001756143
BBS10	GSM2769392	185.80053333554628
BBS10	GSM2769393	163.1211449079347
BBS10	GSM2769394	424.4848536649891
BBS10	GSM2769395	163.75775837114605
BBS10	GSM2769396	364.975093546169
BBS10	GSM2769397	162.81347819113915
BBS10	GSM2769398	183.3183078470883
BBS10	GSM3103946	175.74272309348643
BBS10	GSM3103947	276.9823398411204
BBS10	GSM3103948	227.83923192748688
BBS10	GSM3103949	176.27644432979793
BBS10	GSM3103950	288.1071496821768
BBS10	GSM3103951	241
BBS10	GSM3103952	183.7791683761593
BBS10	GSM3103953	249.47386554075376
BBS10	GSM3103954	231.70026012201907
BBS10	GSM3103955	232.0697355149645
BBS10	GSM3103956	115.12259819161562
BBS10	GSM3103957	178.84213832833714
BBS10	GSM3103958	178.29967598398008
BBS10	GSM3103959	166.50321723054185
BBS10	GSM3103960	101
BBS10	GSM3103961	146.10514655265482
BBS10	GSM3103962	301.2711477523512
BBS10	GSM3103963	248.59084689886265
BBS10	GSM3103964	268.83297106072797
BBS10	GSM3103965	210
BBS10	GSM4260265	247.51710062099312
BBS10	GSM4260266	271.86492186216475
BBS10	GSM4260267	225.1584168032055
BBS10	GSM4260268	224.13845504020128
BBS10	GSM4260269	268.1564379907941
BBS10	GSM4260270	328.95881371840215
BBS10	GSM4260271	183.17858115687585
BBS10	GSM4260272	127.23720362653404
BBS10	GSM4260273	394.7295401707608
BBS10	GSM4260274	84.28288404199404
BBS10	GSM4260275	126.3976366293258
BBS10	GSM4260276	379.0913278794512
BBS10	GSM4735785	123.02218269025316
BBS10	GSM4735786	242.84167641922713
BBS10	GSM4735787	283.811103791122
BBS10	GSM4735788	277.12295346526156
BBS10	GSM4735789	176.0692454460352
BBS10	GSM4735790	158.6020819690924
BBS10	GSM4735791	204.7636924664793
BBS10	GSM4735792	199.8768925323064
BBS10	GSM4735793	151.4086252881147
BBS10	GSM4735794	118.66823429458437
BBS10	GSM4735795	237.6539516992427
BBS10	GSM4735796	237.2883979953677
BBS10	GSM4735797	354.42016314750117
BBS10	GSM4735798	133.33441239050663
BBS10	GSM4735799	303.1488329156503
BBS10	GSM4735800	214.11596336527944
BBS10	GSM4735801	208.8949639098992
BBS10	GSM4735802	391.5852945392804
BBS10	GSM4735803	506.199889553163
BBS10	GSM4735804	356.91982790820697
BBS10	GSM5282507	379
BBS10	GSM5282508	159.60379570731436
BBS10	GSM5282509	230.69722869291945
BBS10	GSM5282510	192.8779894596892
BBS10	GSM5282511	282.1387467639707
BBS10	GSM5282512	182.9246013380166
BBS10	GSM5282513	185.5340629870484
BBS10	GSM5282514	234
BBS10	GSM5282515	255.94220490814544
BBS10	GSM5282516	229.52657893551597
BBS10	GSM5282517	307.79480965069047
BBS10	GSM5282518	183
BBS10	GSM5282519	56.90080979278373
BBS10	GSM5282520	254.1122019573487
BBS10	GSM5282521	243.4546723761589
BBS10	GSM5282522	429.92394449218887
BBS10	GSM5282523	180
BBS10	GSM5282524	130.292018845171
BBS10	GSM5282525	193
BBS10	GSM5282526	294
BBS10	GSM5282527	184.11118474038844
BBS10	GSM5282528	164.63563070621456
BBS10	GSM5282529	249
BBS10	GSM5282530	331.5427742800239
BBS10	GSM5282531	287.19095774648844
BBS10	GSM5282532	301.1759402946302
BBS10	GSM5282533	380.5620680221401
BBS10	GSM5282534	255.77301442041065
BBS10	GSM5282535	199
BBS10	GSM5282536	111.53721813291486
BBS10	GSM4260927	204
BBS10	GSM4260928	261.67343973390297
BBS10	GSM4260929	219.223825158558
BBS10	GSM4260930	498
BBS10	GSM4260931	286.4331663314061
BBS10	GSM4260932	349
BBS10	GSM4260933	218.35514279057932
BBS10	GSM4260934	195
BBS10	GSM4260935	145.07335263279288
BBS10	GSM4260936	155.23560770346265
BBS10	GSM4260937	268
BBS10	GSM4260938	268.16669167701605
BBS10	GSM4260939	262
BBS10	GSM4260940	204.23262569562215
BBS10	GSM4260941	384
BBS10	GSM4260942	299.56262131789606
BBS10	GSM4260943	196.71109379804983
BBS10	GSM4260944	284.9098690716056
BBS10	GSM4260945	291.3196705189129
BBS10	GSM4260946	175.12977603166124
BBS10	GSM4260947	251.61976334851
BBS10	GSM4260948	345.8809710007069
BBS10	GSM4260949	169.65734882990117
BBS10	GSM4260950	249
BBS10	GSM4260951	164.12677685890648
BBS10	GSM4260952	234.63310256001745
BBS10	GSM4260953	155.18439754549956
BBS10	GSM4260954	248.4997957971363
BBS10	GSM4260955	114.82055430848364
BBS10	GSM4260956	216.4037883286503
BBS10	GSM4260957	173.82478161280582
BBS10	GSM4260958	247.38610337373296
BBS10	GSM4260959	167.7076282064717
BBS10	GSM4260960	165.8976503873643
BBS10	GSM4260961	117.2809867332033
BBS10	GSM4260962	253.76695156221135
BBS10	GSM4260963	134
BBS10	GSM4260964	185
BBS10	GSM4260965	120.43126356223372
BBS10	GSM4260966	208.40578111384093
BBS10	GSM4260967	84.35219871216081
BBS10	GSM4260968	77
BBS10	GSM4260969	111.16811700274852
BBS10	GSM4260970	106.9240317378284
BBS10	GSM4260971	145.33157902142077
BBS10	GSM4260972	288.17569488211984
BBS10	GSM4260973	355.07312590127594
BBS10	GSM4260974	302.52060178954434
BBS10	GSM4260975	413
BBS10	GSM4260976	278
BBS10	GSM4260977	254.6192465577206
BBS10	GSM4260978	260
BBS10	GSM4260979	328.3147841725016
BBS10	GSM4260980	325.00797552506424
BBS10	GSM4260981	305.4399042175014
BBS10	GSM4260982	336.0155287483826
BBS10	GSM4260983	306.2203625103663
BBS10	GSM4260984	179.41579487997242
BBS10	GSM4260985	239.95436877818693
BBS10	GSM4260986	289.5558010376812
BBS10	GSM4260987	131.63425039869472
BBS10	GSM4260988	233.1542158082472
BBS10	GSM4260989	249
BBS10	GSM4260990	303.7399748433972
BBS10	GSM4260991	240
BBS10	GSM4260992	328.30354984841586
BBS10	GSM4260993	100.624576923883
BBS10	GSM4260994	407.7714775285558
BBS10	GSM4260995	131.5686836475607
BBS10	GSM4260996	281.53305788711447
BBS10	GSM4260997	381
BBS10	GSM4260998	206.75177028259324
BBS10	GSM4260999	298
BBS10	GSM4261000	306.7878975159288
BBS10	GSM4261001	236
BBS10	GSM4261002	129.2557226687925
BBS10	GSM4261003	313.474059656399
BBS10	GSM4261004	154.65291919005125
BBS10	GSM4261005	202
BBS10	GSM4261006	200.91425239333572
BBS10	GSM4261007	157.32242057577002
BBS10	GSM4261008	239
BBS10	GSM4261009	92.59116491131932
BBS10	GSM4261010	58.32342992672759
BBS10	GSM4261011	185.50965866482275
BBS10	GSM4261012	80.44312724834356
BBS10	GSM4261013	152.18553084458082
BBS10	GSM4261014	109.20159370223784
BBS10	GSM4261015	135.66713413539068
BBS10	GSM4261016	230
BBS10	GSM4261017	142.71751610552215
BBS10	GSM4261018	127.43030942513832
BBS10	GSM4261019	108.96098648037312
BBS10	GSM4261020	141.49191915003937
BBS10	GSM4261021	82.7913397461968
BBS10	GSM4261022	182.82820701531773
BBS10	GSM4261023	259
BBS10	GSM4261024	135.8675957168841
BBS10	GSM4261025	116.42942505844876
BBS10	GSM4261026	129.9896470679209
BBS10	GSM4261027	318.3931154106187
BBS10	GSM4818000	289.4361209703852
BBS10	GSM4818001	209.07759270186813
BBS10	GSM4818002	326.1666981332704
BBS10	GSM4818003	235.0620638571806
BBS10	GSM4818004	120.779824375488
BBS10	GSM4818005	306.28237951031883
BBS10	GSM4818006	128.05125257463925
BBS10	GSM4818007	145.66400507355647
BBS10	GSM4818008	383.805946985775
BBS10	GSM4818009	277.03430578684333
BBS10	GSM4818010	157.3604496290915
BBS10	GSM4818011	145.59607564541147
BBS10	GSM4818012	414.36660952969345
BBS10	GSM4818013	364.01076743996225
BBS10	GSM4818014	117.38304158296444
BBS10	GSM4818015	132.74246268644103
BBS10	GSM4818016	187.86170560516055
BBS10	GSM4818017	252.0048312808387
BBS10	GSM4818018	240.67062662609212
BBS10	GSM4818019	278.9394737321839
BBS10	GSM4818020	264.9976985246434
BBS10	GSM4818021	462.56670113633777
BBS10	GSM4818022	215.7348974190984
BBS10	GSM4818023	90.1056066450656
BBS10	GSM3056394	202.8084929785454
BBS10	GSM3056395	230.3430311952712
BBS10	GSM3056396	163.29887147367862
BBS10	GSM3056397	288.7943754956699
BBS10	GSM3056398	424.10773869312015
BBS10	GSM3056399	135.5527076308054
BBS10	GSM3056400	254.49472732317173
BBS10	GSM3056401	230.51895855555975
BBS10	GSM3056402	264.67143152019327
BBS10	GSM3056403	332.90155810180613
BBS10	GSM3056404	403.8155023920139
BBS10	GSM3056405	209.08500393236048
BBS10	GSM3056406	239.36316237409707
BBS10	GSM3056407	197.44121984833953
BBS10	GSM3056408	352.3551492946917
BBS10	GSM3056409	269.5866779321038
BBS10	GSM3056410	217.55263097086976
BBS10	GSM3056411	149.35556864107247
BBS10	GSM3056412	125.10858972409105
BBS10	GSM3056413	185.370621576736
BBS10	GSM3056414	363.3950407782996
BBS10	GSM3056415	217.5944447755965
BBS10	GSM3056416	183.368431904758
BBS10	GSM3056417	330.2910618868434
BBS10	GSM3056418	530.1235046373475
BBS10	GSM3056419	275.86994951699245
BBS10	GSM3056420	389.54574408245446
BBS10	GSM3056421	231.46110248010356
BBS10	GSM3056422	243.8034293315251
