Gene	sample	counts
BCAP31P2	GSM1022678	1.013771518848965
BCAP31P2	GSM1022679	1.121552432745876
BCAP31P2	GSM1022680	1.0277326924293382
BCAP31P2	GSM1022681	1.0299921210590168
BCAP31P2	GSM1022682	1.012361565877019
BCAP31P2	GSM1022683	1.0177323697119474
BCAP31P2	GSM1022684	2.1245284762619217
BCAP31P2	GSM1022685	2.075465735874519
BCAP31P2	GSM1022686	3.1934037789314673
BCAP31P2	GSM1022687	9.050781782255918
BCAP31P2	GSM1022688	4.261701709637768
BCAP31P2	GSM1022689	1.0268090659069042
BCAP31P2	GSM1022690	1.1264867493652244
BCAP31P2	GSM1022691	1.1019042413337483
BCAP31P2	GSM1022692	2.0382996055975786
BCAP31P2	GSM1022693	1.0106385913341225
BCAP31P2	GSM1022694	3.16870346126417
BCAP31P2	GSM1022695	1.0268090659069042
BCAP31P2	GSM1385778	1
BCAP31P2	GSM1385779	1.1010498670455962
BCAP31P2	GSM1385780	1.0838243203305329
BCAP31P2	GSM1385781	1.0084216173196312
BCAP31P2	GSM1385782	3.0159156689150146
BCAP31P2	GSM1385783	2.16096316090941
BCAP31P2	GSM1415906	2
BCAP31P2	GSM1415907	42.35370792742451
BCAP31P2	GSM1415908	40.67656633110162
BCAP31P2	GSM1415909	7.037136560801701
BCAP31P2	GSM1415910	1.0066333406488122
BCAP31P2	GSM1415911	1.0053052229716717
BCAP31P2	GSM1415912	1.2144782022585594
BCAP31P2	GSM1415913	1.2376800740232663
BCAP31P2	GSM1415914	1.1433447914197967
BCAP31P2	GSM1415915	1.107099489315216
BCAP31P2	GSM1415916	1.1147893847364354
BCAP31P2	GSM1415917	2.3050885311446896
BCAP31P2	GSM1415918	1.1641216035965718
BCAP31P2	GSM1415919	1.1635086650764048
BCAP31P2	GSM1415920	1.1301370871413436
BCAP31P2	GSM1415921	1.0828569753747104
BCAP31P2	GSM2769390	1.0945648030738035
BCAP31P2	GSM2769391	1.0688566777393549
BCAP31P2	GSM2769392	1.052182047516338
BCAP31P2	GSM2769393	1.0383166180633372
BCAP31P2	GSM2769394	1.0194079414219277
BCAP31P2	GSM2769395	1.069818126570515
BCAP31P2	GSM2769396	1.0213903622938192
BCAP31P2	GSM2769397	1.0576052477160802
BCAP31P2	GSM2769398	2.126432158742448
BCAP31P2	GSM3103946	10.106385913341224
BCAP31P2	GSM3103947	2.755259096413283
BCAP31P2	GSM3103948	4.954584287334009
BCAP31P2	GSM3103949	4.184357919425431
BCAP31P2	GSM3103950	6.570789717080296
BCAP31P2	GSM3103951	7
BCAP31P2	GSM3103952	3.0159156689150146
BCAP31P2	GSM3103953	7.08317746587184
BCAP31P2	GSM3103954	7.037136560801701
BCAP31P2	GSM3103955	2.6185339270480723
BCAP31P2	GSM3103956	4.129026067803497
BCAP31P2	GSM3103957	5.088661848559737
