Gene	sample	counts
BIK	GSM1022678	152.7826392115877
BIK	GSM1022679	132.65462156478995
BIK	GSM1022680	119.81211410130966
BIK	GSM1022681	132.2788835495797
BIK	GSM1022682	139.46973686609195
BIK	GSM1022683	119.8302323371166
BIK	GSM1022684	47.02993108074784
BIK	GSM1022685	84.45498263325834
BIK	GSM1022686	68.334315146086
BIK	GSM1022687	46.752612925056226
BIK	GSM1022688	57.60883146017663
BIK	GSM1022689	96.12266637505694
BIK	GSM1022690	52.221987449682885
BIK	GSM1022691	76.39786217952808
BIK	GSM1022692	80.36531721316096
BIK	GSM1022693	77.74025189149101
BIK	GSM1022694	89.82520090418093
BIK	GSM1022695	82.85040988304598
BIK	GSM1385778	163.4941229432429
BIK	GSM1385779	60.32635004133293
BIK	GSM1385780	84.25784931171617
BIK	GSM1385781	117.37876482263908
BIK	GSM1385782	80.55704901444098
BIK	GSM1385783	94.62392593481364
BIK	GSM1415906	131.1984083545951
BIK	GSM1415907	110.83553930688508
BIK	GSM1415908	125.88269686143404
BIK	GSM1415909	103.78236862371963
BIK	GSM1415910	99.84033441138725
BIK	GSM1415911	129.58702585151642
BIK	GSM1415912	39.697032958168464
BIK	GSM1415913	66.54386294753448
BIK	GSM1415914	106.13988352571388
BIK	GSM1415915	114.0280573054202
BIK	GSM1415916	80.70196709105079
BIK	GSM1415917	89.8217108114818
BIK	GSM1415918	73.86280073823959
BIK	GSM1415919	72.75660323762212
BIK	GSM1415920	85.50492307958024
BIK	GSM1415921	68.57111411426202
BIK	GSM2769390	55.92321334772417
BIK	GSM2769391	60.33588819601751
BIK	GSM2769392	53.42991257251478
BIK	GSM2769393	91.16397901190967
BIK	GSM2769394	90.81260213567536
BIK	GSM2769395	76.25342684460277
BIK	GSM2769396	139.49113816238437
BIK	GSM2769397	128.56659381847834
BIK	GSM2769398	123.81112698855534
BIK	GSM3103946	80.72975070748915
BIK	GSM3103947	72.49079915317854
BIK	GSM3103948	118.17502039077142
BIK	GSM3103949	141.24226684692033
BIK	GSM3103950	73.51812881578364
BIK	GSM3103951	120
BIK	GSM3103952	80.24251432797197
BIK	GSM3103953	89.81184766208168
BIK	GSM3103954	68.20613717877617
BIK	GSM3103955	68.08926646531098
BIK	GSM3103956	62.6452167476353
BIK	GSM3103957	50.80742566145941
BIK	GSM3103958	69.57923674823179
BIK	GSM3103959	81.12267997497865
BIK	GSM3103960	110
BIK	GSM3103961	75.75006401405643
BIK	GSM3103962	67.5089193960118
BIK	GSM3103963	63.64465734358783
BIK	GSM3103964	65.65101724756677
BIK	GSM3103965	60.09087405553974
BIK	GSM4260265	89.8844286983685
BIK	GSM4260266	88.08239305805216
BIK	GSM4260267	92.79677401829628
BIK	GSM4260268	91.44495873324551
BIK	GSM4260269	89.6127739277835
BIK	GSM4260270	89.25799843194339
BIK	GSM4260271	94.87627807595968
BIK	GSM4260272	93.2385552876158
BIK	GSM4260273	88.80272577823807
BIK	GSM4260274	68.72742686948483
BIK	GSM4260275	92.692199081992
BIK	GSM4260276	89.25981194173944
BIK	GSM4735785	32.21626933086639
BIK	GSM4735786	48.47881253428814
BIK	GSM4735787	48.17545039353403
BIK	GSM4735788	25.940395234483155
BIK	GSM4735789	31.9965520420174
BIK	GSM4735790	28.00198060038585
BIK	GSM4735791	26.30033568946324
BIK	GSM4735792	32.157612741210045
