Gene	sample	counts
BMP2	GSM1022678	65.89514872518275
BMP2	GSM1022679	75.1440129939737
BMP2	GSM1022680	66.80262500790698
BMP2	GSM1022681	81.36937756366234
BMP2	GSM1022682	30.370846976310578
BMP2	GSM1022683	59.02847744329295
BMP2	GSM1022684	100.91510262244128
BMP2	GSM1022685	14.528260151121636
BMP2	GSM1022686	29.805101936693696
BMP2	GSM1022687	75.80029742639331
BMP2	GSM1022688	39.420740814149354
BMP2	GSM1022689	139.64603296333897
BMP2	GSM1022690	51.81839047080032
BMP2	GSM1022691	25.343797550676214
BMP2	GSM1022692	87.64688304069588
BMP2	GSM1022693	63.6702312540497
BMP2	GSM1022694	36.96820704808198
BMP2	GSM1022695	83.17153433845924
BMP2	GSM1385778	119
BMP2	GSM1385779	25.32414694204871
BMP2	GSM1385780	89.95741858743422
BMP2	GSM1385781	60.50529703917787
BMP2	GSM1385782	26.13793579726346
BMP2	GSM1385783	27.01203951136763
BMP2	GSM1415906	71
BMP2	GSM1415907	72.60635644701344
BMP2	GSM1415908	163.72317948268403
BMP2	GSM1415909	90.47747006745044
BMP2	GSM1415910	64.42453380152398
BMP2	GSM1415911	72.38197605396036
BMP2	GSM1415912	46.150171685825256
BMP2	GSM1415913	42.08112251679106
BMP2	GSM1415914	49.163826031051265
BMP2	GSM1415915	54.24787497644559
BMP2	GSM1415916	73.57609939260473
BMP2	GSM1415917	42.64413782617676
BMP2	GSM1415918	51.22135055824915
BMP2	GSM1415919	43.04982060782698
BMP2	GSM1415920	47.46575765993643
BMP2	GSM1415921	38.98285111348957
BMP2	GSM2769390	61.295628972132995
BMP2	GSM2769391	63.06254398662193
BMP2	GSM2769392	41.035099853137176
BMP2	GSM2769393	80.9886962089403
BMP2	GSM2769394	141.69770385764792
BMP2	GSM2769395	35.30399817682699
BMP2	GSM2769396	89.88235188185608
BMP2	GSM2769397	42.30420990864321
BMP2	GSM2769398	48.9079396510763
BMP2	GSM3103946	44.46809801870138
BMP2	GSM3103947	54.18676222946123
BMP2	GSM3103948	33.97429225600463
BMP2	GSM3103949	73.64469938188759
BMP2	GSM3103950	99.21892472791248
BMP2	GSM3103951	103
BMP2	GSM3103952	62.32892382424364
BMP2	GSM3103953	40.47529980498194
BMP2	GSM3103954	66.35014471613033
BMP2	GSM3103955	58.1314531804672
BMP2	GSM3103956	35.09672157632972
BMP2	GSM3103957	56.993012703869056
BMP2	GSM3103958	40.08157500474419
BMP2	GSM3103959	33
BMP2	GSM3103960	43
BMP2	GSM3103961	42.43666831995241
BMP2	GSM3103962	30.252648519588934
BMP2	GSM3103963	61.93539101705245
BMP2	GSM3103964	37.457377937449706
BMP2	GSM3103965	39
BMP2	GSM4260265	55.15507956386623
BMP2	GSM4260266	1.0106385913341225
BMP2	GSM4260267	1.061737358926767
BMP2	GSM4260268	67.58159285768723
BMP2	GSM4260269	1.0191498027987893
BMP2	GSM4260270	56.838048344188714
BMP2	GSM4260271	56.8110080126452
BMP2	GSM4260272	16.266911803385806
BMP2	GSM4260273	89.47216484447877
BMP2	GSM4260274	46.83869894547658
BMP2	GSM4260275	3.2235816022185664
BMP2	GSM4260276	47.5809935962199
BMP2	GSM4735786	30.0282373086887
BMP2	GSM4735787	29.8282286459438
BMP2	GSM4735788	30.214697844669978
BMP2	GSM4735790	31.22849358936989
BMP2	GSM4735793	34.01221135216478
BMP2	GSM4735798	45.48737957660877
BMP2	GSM4735800	41.94374674111947
BMP2	GSM4735803	60.36476834466666
BMP2	GSM4735804	39.678713724801746
BMP2	GSM4735785	31.35478504820711
BMP2	GSM4735789	30.055248052283712
BMP2	GSM4735791	34.87514222188277
BMP2	GSM4735792	31.305452916840093
BMP2	GSM4735794	30.44177174478651
BMP2	GSM4735795	207.73326410896223
BMP2	GSM4735796	79.24659662272965
BMP2	GSM4735797	45.70844421538036
BMP2	GSM4735799	48.190287235165925
BMP2	GSM4735801	44.793503764278306
BMP2	GSM4735802	42.27939883358185
BMP2	GSM5282507	17
BMP2	GSM5282509	17
BMP2	GSM5282510	18.38039123515589
BMP2	GSM5282511	17.81158025319235
BMP2	GSM5282512	17.564145739805188
BMP2	GSM5282515	20.571192169616413
BMP2	GSM5282516	17.89907126104782
BMP2	GSM5282519	18.715537262418486
BMP2	GSM5282521	17.467699028446113
BMP2	GSM5282523	20
BMP2	GSM5282524	66.70214702805207
BMP2	GSM5282526	20
BMP2	GSM5282528	17.379254948714294
BMP2	GSM5282529	17
BMP2	GSM5282513	17.32554664757942
BMP2	GSM5282533	16.388374806441753
BMP2	GSM5282534	20
BMP2	GSM5282536	20.27543037697931
BMP2	GSM5282525	17
BMP2	GSM5282530	25.478745069969733
BMP2	GSM5282514	17
BMP2	GSM5282520	20.818995726246595
BMP2	GSM5282535	17
BMP2	GSM5282522	17.488672568374348
BMP2	GSM5282531	17.578277891238933
BMP2	GSM5282508	17.50124176381815
BMP2	GSM5282518	17
BMP2	GSM5282517	17.735050627173884
BMP2	GSM5282527	17.090188790518418
BMP2	GSM5282532	20
