Gene	sample	counts
BNIP3P27	GSM1022678	3.0413145565468964
BNIP3P27	GSM1022679	1.121552432745876
BNIP3P27	GSM1022680	1.0277326924293382
BNIP3P27	GSM1022681	2.0599842421180337
BNIP3P27	GSM1022682	1.012361565877019
BNIP3P27	GSM1022683	3.053197109135842
BNIP3P27	GSM1022684	2.1245284762619217
BNIP3P27	GSM1022685	1.0377328679372595
BNIP3P27	GSM1022686	1.064467926310489
BNIP3P27	GSM1022687	2.2626954455639794
BNIP3P27	GSM1022688	2.130850854818884
BNIP3P27	GSM1022689	5.134045329534521
BNIP3P27	GSM1022690	1.1264867493652244
BNIP3P27	GSM1022691	1.1019042413337483
BNIP3P27	GSM1022692	1.0191498027987893
BNIP3P27	GSM1022693	4.042554365336489
BNIP3P27	GSM1022694	2.1124689741761133
BNIP3P27	GSM1022695	5.134045329534521
BNIP3P27	GSM1385778	1
BNIP3P27	GSM1385779	1.1010498670455962
BNIP3P27	GSM1385780	1.0838243203305329
BNIP3P27	GSM1385781	1.0084216173196312
BNIP3P27	GSM1385782	1.0053052229716717
BNIP3P27	GSM1385783	1.080481580454705
BNIP3P27	GSM1415906	4
BNIP3P27	GSM1415907	1.0084216173196312
BNIP3P27	GSM1415908	1.0169141582775405
BNIP3P27	GSM1415909	1.0053052229716717
BNIP3P27	GSM1415910	5.033166703244061
BNIP3P27	GSM1415911	2.0106104459433434
BNIP3P27	GSM1415912	1.2144782022585594
BNIP3P27	GSM1415913	1.2376800740232663
BNIP3P27	GSM1415914	1.1433447914197967
BNIP3P27	GSM1415915	3.321298467945648
BNIP3P27	GSM1415916	3.344368154209306
BNIP3P27	GSM1415917	1.1525442655723448
BNIP3P27	GSM1415918	1.1641216035965718
BNIP3P27	GSM1415919	2.3270173301528096
BNIP3P27	GSM1415920	1.1301370871413436
BNIP3P27	GSM1415921	2.1657139507494207
BNIP3P27	GSM2769390	1.0945648030738035
BNIP3P27	GSM2769391	1.0688566777393549
BNIP3P27	GSM2769392	1.052182047516338
BNIP3P27	GSM2769393	1.0383166180633372
BNIP3P27	GSM2769394	1.0194079414219277
BNIP3P27	GSM2769395	1.069818126570515
BNIP3P27	GSM2769396	1.0213903622938192
BNIP3P27	GSM2769397	1.0576052477160802
BNIP3P27	GSM2769398	1.063216079371224
BNIP3P27	GSM3103946	33.351073514026034
BNIP3P27	GSM3103947	32.14468945815497
BNIP3P27	GSM3103948	25.480719192003473
BNIP3P27	GSM3103949	17.574303261586813
BNIP3P27	GSM3103950	30.225632698569363
BNIP3P27	GSM3103951	34
BNIP3P27	GSM3103952	27.143241020235138
BNIP3P27	GSM3103953	21.24953239761552
