Gene	sample	counts
BRAFP1	GSM1022678	2.0275430376979307
BRAFP1	GSM1022679	1.121552432745876
BRAFP1	GSM1022680	1.0277326924293382
BRAFP1	GSM1022681	1.0299921210590168
BRAFP1	GSM1022682	5.061807829385096
BRAFP1	GSM1022683	1.0177323697119474
BRAFP1	GSM1022684	1.0622642381309608
BRAFP1	GSM1022685	1.0377328679372595
BRAFP1	GSM1022686	3.1934037789314673
BRAFP1	GSM1022687	1.1313477227819897
BRAFP1	GSM1022688	2.130850854818884
BRAFP1	GSM1022689	1.0268090659069042
BRAFP1	GSM1022690	1.1264867493652244
BRAFP1	GSM1022691	1.1019042413337483
BRAFP1	GSM1022692	1.0191498027987893
BRAFP1	GSM1022693	1.0106385913341225
BRAFP1	GSM1022694	1.056234487088057
BRAFP1	GSM1022695	1.0268090659069042
BRAFP1	GSM1385778	1
BRAFP1	GSM1385779	1.1010498670455962
BRAFP1	GSM1385780	1.0838243203305329
BRAFP1	GSM1385781	1.0084216173196312
BRAFP1	GSM1385782	1.0053052229716717
BRAFP1	GSM1385783	1.080481580454705
BRAFP1	GSM1415906	3
BRAFP1	GSM1415907	1.0084216173196312
BRAFP1	GSM1415908	1.0169141582775405
BRAFP1	GSM1415909	4.021220891886687
BRAFP1	GSM1415910	3.0199000219464365
BRAFP1	GSM1415911	2.0106104459433434
BRAFP1	GSM1415912	1.2144782022585594
BRAFP1	GSM1415913	1.2376800740232663
BRAFP1	GSM1415914	1.1433447914197967
BRAFP1	GSM1415915	1.107099489315216
BRAFP1	GSM1415916	1.1147893847364354
BRAFP1	GSM1415917	1.1525442655723448
BRAFP1	GSM1415918	1.1641216035965718
BRAFP1	GSM1415919	1.1635086650764048
BRAFP1	GSM1415920	1.1301370871413436
BRAFP1	GSM1415921	1.0828569753747104
BRAFP1	GSM2769390	1.0945648030738035
BRAFP1	GSM2769391	1.0688566777393549
BRAFP1	GSM2769392	1.052182047516338
BRAFP1	GSM2769393	1.0383166180633372
BRAFP1	GSM2769394	1.0194079414219277
BRAFP1	GSM2769395	1.069818126570515
BRAFP1	GSM2769396	1.0213903622938192
BRAFP1	GSM2769397	1.0576052477160802
BRAFP1	GSM2769398	1.063216079371224
BRAFP1	GSM3103946	27.287241966021305
BRAFP1	GSM3103947	26.6341712653284
BRAFP1	GSM3103948	12.740359596001737
BRAFP1	GSM3103949	4.184357919425431
BRAFP1	GSM3103950	17.7411322361168
BRAFP1	GSM3103951	12
BRAFP1	GSM3103952	38.20159847292352
BRAFP1	GSM3103953	17.202002417117324
BRAFP1	GSM3103954	34.180377581036836
BRAFP1	GSM3103955	17.80603070392689
BRAFP1	GSM3103956	14.451591237312238
BRAFP1	GSM3103957	20.35464739423895
BRAFP1	GSM3103958	15.415990386440072
BRAFP1	GSM3103959	32
BRAFP1	GSM3103960	28
BRAFP1	GSM3103961	19.86397240508411
BRAFP1	GSM3103962	23.193697198351515
BRAFP1	GSM3103963	19.61287382206661
BRAFP1	GSM3103964	24.29667758104846
BRAFP1	GSM3103965	21
BRAFP1	GSM4260265	1.0213903622938192
BRAFP1	GSM4260266	2.0212771826682445
BRAFP1	GSM4260267	1.061737358926767
BRAFP1	GSM4260268	1.055962388401363
BRAFP1	GSM4260269	3.057449408396368
BRAFP1	GSM4260270	1.0149651490033698
BRAFP1	GSM4260271	1.1139413335812782
BRAFP1	GSM4260272	1.084460786892387
BRAFP1	GSM4260273	2.0106104459433434
BRAFP1	GSM4260274	8.310091748391006
BRAFP1	GSM4260275	1.074527200739522
BRAFP1	GSM4260276	3.0370846976310575
BRAFP1	GSM4735786	1.0354564589203
BRAFP1	GSM4735787	1.0285596084808206
BRAFP1	GSM4735788	1.0418861325748268
BRAFP1	GSM4735790	1.0409497863123298
BRAFP1	GSM4735793	1.0628816047551497
BRAFP1	GSM4735798	1.1094482823563114
BRAFP1	GSM4735800	1.1037828089768285
BRAFP1	GSM4735803	1.023131666858757
BRAFP1	GSM4735804	1.044176676968467
BRAFP1	GSM4735785	1.0811994844209347
BRAFP1	GSM4735789	1.0363878638718522
BRAFP1	GSM4735791	2.11364498314441
BRAFP1	GSM4735792	1.079498376442762
BRAFP1	GSM4735794	1.0497162670616038
BRAFP1	GSM4735795	1.0386663205448112
BRAFP1	GSM4735796	1.1006471753156897
BRAFP1	GSM4735797	1.0882962908423894
BRAFP1	GSM4735799	1.0952338007992255
BRAFP1	GSM4735801	1.0665119943875787
BRAFP1	GSM4735802	1.0312048495995574
BRAFP1	GSM5282507	29
BRAFP1	GSM5282509	17
BRAFP1	GSM5282510	100.55155205114694
BRAFP1	GSM5282511	35.6231605063847
BRAFP1	GSM5282512	3.0995551305538567
BRAFP1	GSM5282515	17.485513344173953
BRAFP1	GSM5282516	2.1057730895350377
BRAFP1	GSM5282519	5.504569783064261
BRAFP1	GSM5282521	3.082535122666961
BRAFP1	GSM5282523	21
BRAFP1	GSM5282524	8.085108730672978
BRAFP1	GSM5282526	16
BRAFP1	GSM5282528	3.066927343890758
BRAFP1	GSM5282529	14
BRAFP1	GSM5282513	16.30639684478063
BRAFP1	GSM5282533	13.496308664128502
BRAFP1	GSM5282534	16
BRAFP1	GSM5282536	15.20657278273448
BRAFP1	GSM5282525	17
BRAFP1	GSM5282530	10.191498027987892
BRAFP1	GSM5282514	22
BRAFP1	GSM5282520	19.778045939934263
BRAFP1	GSM5282535	9
BRAFP1	GSM5282522	21.603654349168313
BRAFP1	GSM5282531	34.1225394359344
