Gene	sample	counts
BRWD1-IT1	GSM1022678	1.013771518848965
BRWD1-IT1	GSM1022679	1.121552432745876
BRWD1-IT1	GSM1022680	1.0277326924293382
BRWD1-IT1	GSM1022681	2.0599842421180337
BRWD1-IT1	GSM1022682	3.0370846976310575
BRWD1-IT1	GSM1022683	1.0177323697119474
BRWD1-IT1	GSM1022684	2.1245284762619217
BRWD1-IT1	GSM1022685	2.075465735874519
BRWD1-IT1	GSM1022686	1.064467926310489
BRWD1-IT1	GSM1022687	1.1313477227819897
BRWD1-IT1	GSM1022688	2.130850854818884
BRWD1-IT1	GSM1022689	1.0268090659069042
BRWD1-IT1	GSM1022690	2.252973498730449
BRWD1-IT1	GSM1022691	1.1019042413337483
BRWD1-IT1	GSM1022692	2.0382996055975786
BRWD1-IT1	GSM1022693	1.0106385913341225
BRWD1-IT1	GSM1022694	3.16870346126417
BRWD1-IT1	GSM1022695	2.0536181318138085
BRWD1-IT1	GSM1385778	1
BRWD1-IT1	GSM1385779	1.1010498670455962
BRWD1-IT1	GSM1385780	1.0838243203305329
BRWD1-IT1	GSM1385781	1.0084216173196312
BRWD1-IT1	GSM1385782	1.0053052229716717
BRWD1-IT1	GSM1385783	1.080481580454705
BRWD1-IT1	GSM1415906	2
BRWD1-IT1	GSM1415907	3.025264851958893
BRWD1-IT1	GSM1415908	1.0169141582775405
BRWD1-IT1	GSM1415909	2.0106104459433434
BRWD1-IT1	GSM1415910	1.0066333406488122
BRWD1-IT1	GSM1415911	1.0053052229716717
BRWD1-IT1	GSM1415912	1.2144782022585594
BRWD1-IT1	GSM1415913	1.2376800740232663
BRWD1-IT1	GSM1415914	1.1433447914197967
BRWD1-IT1	GSM1415915	1.107099489315216
BRWD1-IT1	GSM1415916	1.1147893847364354
BRWD1-IT1	GSM1415917	1.1525442655723448
BRWD1-IT1	GSM1415918	1.1641216035965718
BRWD1-IT1	GSM1415919	1.1635086650764048
BRWD1-IT1	GSM1415920	1.1301370871413436
BRWD1-IT1	GSM1415921	1.0828569753747104
BRWD1-IT1	GSM2769390	2.189129606147607
BRWD1-IT1	GSM2769391	1.0688566777393549
BRWD1-IT1	GSM2769392	1.052182047516338
BRWD1-IT1	GSM2769393	1.0383166180633372
BRWD1-IT1	GSM2769394	4.07763176568771
BRWD1-IT1	GSM2769395	2.13963625314103
BRWD1-IT1	GSM2769396	1.0213903622938192
BRWD1-IT1	GSM2769397	1.0576052477160802
BRWD1-IT1	GSM2769398	1.063216079371224
BRWD1-IT1	GSM3103946	45.478736610035504
BRWD1-IT1	GSM3103947	50.51308343424352
BRWD1-IT1	GSM3103948	36.09768552200491
BRWD1-IT1	GSM3103949	42.6804507781394
BRWD1-IT1	GSM3103950	34.82518550052557
BRWD1-IT1	GSM3103951	47
BRWD1-IT1	GSM3103952	49.259955925611905
BRWD1-IT1	GSM3103953	46.54659477572923
BRWD1-IT1	GSM3103954	38.20159847292352
BRWD1-IT1	GSM3103955	35.61206140785378
BRWD1-IT1	GSM3103956	27.8709259576736
BRWD1-IT1	GSM3103957	33.585168200494266
BRWD1-IT1	GSM3103958	32.88744615773882
BRWD1-IT1	GSM3103959	49
BRWD1-IT1	GSM3103960	26
BRWD1-IT1	GSM3103961	49.65993101271027
BRWD1-IT1	GSM3103962	41.345286310104875
