Gene	sample	counts
C2orf61	GSM1022678	9.106250019233704
C2orf61	GSM1022679	11.960662600104012
C2orf61	GSM1022680	4.096140653036228
C2orf61	GSM1022681	4.1016708077389055
C2orf61	GSM1022682	11.117152938601532
C2orf61	GSM1022683	4.062041774139546
C2orf61	GSM1022684	7.315767057005219
C2orf61	GSM1022685	7.2095716882049805
C2orf61	GSM1022686	4.2051886243745225
C2orf61	GSM1022687	4.349080272098254
C2orf61	GSM1022688	16.75893278841502
C2orf61	GSM1022689	7.158070900270198
C2orf61	GSM1022690	9.791622646815542
C2orf61	GSM1022691	4.304104911522709
C2orf61	GSM1022692	7.120977474583883
C2orf61	GSM1022693	9.086522948356093
C2orf61	GSM1022694	4.177916321124695
C2orf61	GSM1022695	9.20560109811622
C2orf61	GSM1385778	10.030314290996497
C2orf61	GSM1385779	5.3862812536904405
C2orf61	GSM1385780	6.399330327472114
C2orf61	GSM1385781	8.095087229147522
C2orf61	GSM1385782	5.034815563402561
C2orf61	GSM1385783	12.7582821485142
C2orf61	GSM1415906	11.016660243515618
C2orf61	GSM1415907	8.060766495046186
C2orf61	GSM1415908	10.151830392051131
C2orf61	GSM1415909	6.04557487128464
C2orf61	GSM1415910	8.067905811021191
C2orf61	GSM1415911	6.027303527977508
C2orf61	GSM1415912	6.805205649971737
C2orf61	GSM1415913	6.8838478911242555
C2orf61	GSM1415914	8.753804826863
C2orf61	GSM1415915	6.454418338042652
C2orf61	GSM1415916	6.456157367284063
C2orf61	GSM1415917	6.572320303279156
C2orf61	GSM1415918	6.61457917058862
C2orf61	GSM1415919	6.614236657965647
C2orf61	GSM1415920	8.658726387805594
C2orf61	GSM1415921	6.329641302854955
C2orf61	GSM2769390	10.754464105331571
C2orf61	GSM2769391	7.409670480212677
C2orf61	GSM2769392	7.333517411913793
C2orf61	GSM2769393	7.251680148674635
C2orf61	GSM2769394	7.142564212918287
C2orf61	GSM2769395	7.413527609891935
C2orf61	GSM2769396	7.127284431654676
C2orf61	GSM2769397	7.316798022189825
C2orf61	GSM2769398	7.344727872202435
C2orf61	GSM3103946	10.091218838436143
C2orf61	GSM3103947	9.176050525718804
C2orf61	GSM3103948	5.013485713547879
C2orf61	GSM3103949	7.75110000989197
C2orf61	GSM3103950	6.68346625598033
C2orf61	GSM3103951	16
C2orf61	GSM3103952	13.039408578295443
C2orf61	GSM3103953	4.036487535374458
C2orf61	GSM3103954	10.030314290996497
C2orf61	GSM3103955	5.3194739426024205
C2orf61	GSM3103956	1.026970766354677
C2orf61	GSM3103957	3.048445539687565
C2orf61	GSM3103958	1.023224069826938
C2orf61	GSM3103959	9.01363110833096
C2orf61	GSM3103960	9
C2orf61	GSM3103961	8.020595013253034
C2orf61	GSM3103962	4.030383247523093
C2orf61	GSM3103963	1.026526731348191
C2orf61	GSM3103964	9.090140849663092
C2orf61	GSM3103965	9.01363110833096
C2orf61	GSM4260265	8.171311699851682
C2orf61	GSM4260266	7.0870890966248865
C2orf61	GSM4260267	8.436070365299662
C2orf61	GSM4260268	7.357640357847342
C2orf61	GSM4260269	8.14661581161668
C2orf61	GSM4260270	7.100068057086405
C2orf61	GSM4260271	5.452659659537913
C2orf61	GSM4260272	8.573660256332486
C2orf61	GSM4260273	8.072975070748916
C2orf61	GSM4260274	8.681359183513873
C2orf61	GSM4260275	7.457993029585563
C2orf61	GSM4260276	7.1002123135474555
C2orf61	GSM4735785	13.960383376708767
C2orf61	GSM4735786	7.22024867531951
C2orf61	GSM4735787	7.175067079888047
C2orf61	GSM4735788	7.2633106656552835
C2orf61	GSM4735789	7.225027880455542
C2orf61	GSM4735790	7.259772748248182
C2orf61	GSM4735791	7.364093993049707
C2orf61	GSM4735792	7.503442972949011
C2orf61	GSM4735793	7.401036758342119
C2orf61	GSM4735794	7.313234051394887
C2orf61	GSM4735795	19.67023868059208
C2orf61	GSM4735796	5.472625434010741
C2orf61	GSM4735797	12.97643782808858
C2orf61	GSM4735798	5.4950535793961945
C2orf61	GSM4735799	5.4433117679151986
C2orf61	GSM4735800	5.475716286549627
C2orf61	GSM4735801	5.307364016835229
C2orf61	GSM4735802	5.149694063003557
C2orf61	GSM4735803	5.108207708209939
C2orf61	GSM4735804	5.207951073704825
C2orf61	GSM5282507	9
C2orf61	GSM5282508	11.34095916110545
C2orf61	GSM5282509	6.027303527977508
C2orf61	GSM5282510	5.40241847987269
C2orf61	GSM5282511	1.0511851686944027
C2orf61	GSM5282512	3.105827160093486
C2orf61	GSM5282513	8.163151938531938
C2orf61	GSM5282514	4
C2orf61	GSM5282515	5.147185676249167
C2orf61	GSM5282516	6.3302054952089675
C2orf61	GSM5282517	1.0452285097710037
C2orf61	GSM5282518	15
C2orf61	GSM5282519	3.294263010518386
C2orf61	GSM5282520	6.260616465609611
C2orf61	GSM5282521	1.0286457606390047
C2orf61	GSM5282522	4.119755250402846
C2orf61	GSM5282523	14
C2orf61	GSM5282524	15.159754007183906
C2orf61	GSM5282525	11
C2orf61	GSM5282526	13
C2orf61	GSM5282527	5.034815563402561
C2orf61	GSM5282528	6.143201917071628
C2orf61	GSM5282529	16
C2orf61	GSM5282530	4.08508016518987
C2orf61	GSM5282531	3.103162970791282
C2orf61	GSM5282532	3.013651763988754
C2orf61	GSM5282533	14.50067598454328
C2orf61	GSM5282534	10.039198009821009
C2orf61	GSM5282535	5.007572837961645
C2orf61	GSM5282536	10.146118150553114
C2orf61	GSM4260927	13
C2orf61	GSM4260928	9.216926330729896
C2orf61	GSM4260929	3.896131705039838
C2orf61	GSM4260930	8
C2orf61	GSM4260931	11.033345720096143
C2orf61	GSM4260932	7.0106019731463025
C2orf61	GSM4260933	5.88460871254407
C2orf61	GSM4260934	6
C2orf61	GSM4260935	3.0254646791329467
C2orf61	GSM4260936	7.108573104744205
C2orf61	GSM4260937	4
C2orf61	GSM4260938	6.300099029755169
C2orf61	GSM4260939	3.004543702776987
C2orf61	GSM4260940	11.076594239485637
C2orf61	GSM4260941	1
C2orf61	GSM4260942	7.695097514728044
C2orf61	GSM4260943	4.059539322521994
C2orf61	GSM4260944	12.201237573370102
C2orf61	GSM4260945	9.04896274840169
C2orf61	GSM4260946	6.07975800306135
C2orf61	GSM4260947	6.14706183894069
C2orf61	GSM4260948	9.31685440304312
C2orf61	GSM4260949	11.330923509623236
C2orf61	GSM4260950	7
C2orf61	GSM4260951	4.291404188319877
C2orf61	GSM4260952	7.430975743853039
C2orf61	GSM4260953	3.9047139459850433
C2orf61	GSM4260954	2.0151916237615466
C2orf61	GSM4260955	1.0463629120445648
C2orf61	GSM4260956	8.175515583909295
C2orf61	GSM4260957	11.594600051430517
C2orf61	GSM4260958	9.416970564022602
C2orf61	GSM4260959	9.159187849526866
C2orf61	GSM4260960	3.0182161432850565
C2orf61	GSM4260961	17.051534294694044
C2orf61	GSM4260962	13.050957412767309
C2orf61	GSM4260963	8
C2orf61	GSM4260964	8
C2orf61	GSM4260965	2.1003227308775996
C2orf61	GSM4260966	10.716799861392277
C2orf61	GSM4260967	8.696775977051797
C2orf61	GSM4260968	13
C2orf61	GSM4260969	1.0030314290996496
C2orf61	GSM4260970	9.678629394193155
C2orf61	GSM4260971	5.65768484194119
C2orf61	GSM4260972	6.073085791724347
C2orf61	GSM4260973	3.013651763988754
C2orf61	GSM4260974	3.048445539687565
C2orf61	GSM4260975	9
C2orf61	GSM4260976	5
C2orf61	GSM4260977	2.0732104440401637
C2orf61	GSM4260978	6
C2orf61	GSM4260979	9.714086728805798
C2orf61	GSM4260980	16.091305580910095
C2orf61	GSM4260981	7.352219526586359
C2orf61	GSM4260982	11.033345720096143
C2orf61	GSM4260983	8.121994560957399
C2orf61	GSM4260984	8.133898570334111
C2orf61	GSM4260985	6.79819712914754
C2orf61	GSM4260986	7.122304809256889
C2orf61	GSM4260987	11.614620203592208
C2orf61	GSM4260988	6.090637605346028
C2orf61	GSM4260989	6
C2orf61	GSM4260990	9.359104067350822
C2orf61	GSM4260991	11.016660243515618
C2orf61	GSM4260992	14.360097375962855
C2orf61	GSM4260993	8.141500310690548
C2orf61	GSM4260994	11.54318944281306
C2orf61	GSM4260995	6.1766228114990005
C2orf61	GSM4260996	5.0399722699592555
C2orf61	GSM4260997	16
C2orf61	GSM4260998	8.220681451390465
C2orf61	GSM4260999	13
C2orf61	GSM4261000	2.0415451729117953
C2orf61	GSM4261001	3
C2orf61	GSM4261002	1.0812007946294453
C2orf61	GSM4261003	9.027282861896849
C2orf61	GSM4261004	4.190104557453376
C2orf61	GSM4261005	4
C2orf61	GSM4261006	1.0212700412974676
C2orf61	GSM4261007	4.264747805395838
C2orf61	GSM4261008	9
C2orf61	GSM4261009	7.212442260257888
C2orf61	GSM4261010	1.063957723525122
C2orf61	GSM4261011	10.146118150553114
C2orf61	GSM4261012	1.1919642751404345
C2orf61	GSM4261013	4.149508554870869
C2orf61	GSM4261014	12.38291312840026
C2orf61	GSM4261015	8.109711854199901
C2orf61	GSM4261016	13.019689378700276
C2orf61	GSM4261017	13.17000673033453
C2orf61	GSM4261018	7.92648766689523
C2orf61	GSM4261019	4.077964169475152
C2orf61	GSM4261020	1.0930683835753756
C2orf61	GSM4261021	4.1467904791597645
C2orf61	GSM4261022	9.054648429855169
C2orf61	GSM4261023	3
C2orf61	GSM4261024	1.0480082061216938
C2orf61	GSM4261025	5.159547136833441
C2orf61	GSM4261026	3.1515446443573327
C2orf61	GSM4261027	3.624147208189081
C2orf61	GSM4818000	8.076909287427638
C2orf61	GSM4818001	4.1464208880803275
C2orf61	GSM4818002	8.215766130837416
C2orf61	GSM4818003	4.167906693039453
C2orf61	GSM4818004	6.8755379961504515
C2orf61	GSM4818005	4.234615431606478
C2orf61	GSM4818006	4.596459241510661
C2orf61	GSM4818007	6.91963220868174
C2orf61	GSM4818008	6.069272321602464
C2orf61	GSM4818009	6.211602003414049
C2orf61	GSM4818010	8.589794648992168
C2orf61	GSM4818011	6.642595758267715
C2orf61	GSM4818012	8.092363095469953
C2orf61	GSM4818013	6.159539240241449
C2orf61	GSM4818014	6.808204749757612
C2orf61	GSM4818015	4.259686493564145
C2orf61	GSM4818016	12.546912255985374
C2orf61	GSM4818017	10.176875388363184
C2orf61	GSM4818018	25.644072212109336
C2orf61	GSM4818019	8.092363095469953
C2orf61	GSM4818020	8.067905811021191
C2orf61	GSM4818021	8.107526781145689
C2orf61	GSM4818022	6.298805214323083
C2orf61	GSM4818023	8.611982298890199
C2orf61	GSM3056394	4.2107337151367705
C2orf61	GSM3056395	11.000145175299089
C2orf61	GSM3056396	8.195869687946205
C2orf61	GSM3056397	14.722451938486332
C2orf61	GSM3056398	7.108573104744205
C2orf61	GSM3056399	7.5530928262336845
C2orf61	GSM3056400	14.8151475673111
C2orf61	GSM3056401	10.397476172549622
C2orf61	GSM3056402	4.208089670944977
C2orf61	GSM3056403	4.141215202463086
C2orf61	GSM3056404	4.064021335869569
C2orf61	GSM3056405	7.819686894076382
C2orf61	GSM3056406	4.2844912168191565
C2orf61	GSM3056407	4.3043925021327825
C2orf61	GSM3056408	7.265474882822261
C2orf61	GSM3056409	7.270768164780352
C2orf61	GSM3056410	16.438584886529917
C2orf61	GSM3056411	8.476034746977502
C2orf61	GSM3056412	4.65595393324611
C2orf61	GSM3056413	4.51018015323582
C2orf61	GSM3056414	7.155221968169586
C2orf61	GSM3056415	7.300185021464929
C2orf61	GSM3056416	8.210463427452888
C2orf61	GSM3056417	10.507016405848535
C2orf61	GSM3056418	4.050835408369576
C2orf61	GSM3056419	7.594113890079582
C2orf61	GSM3056420	4.0841405218489175
C2orf61	GSM3056421	4.4019863587099906
C2orf61	GSM3056422	4.427780402470694
C2orf61	GSM3056423	8.320111919727253
C2orf61	GSM3056424	10.75874611616937
C2orf61	GSM3056425	8.147833621941851
C2orf61	GSM3056426	17.606694753946293
C2orf61	GSM3056427	7.986926801550524
C2orf61	GSM3056428	17.473965796941656
C2orf61	GSM3056429	7.551212363022493
C2orf61	GSM3056430	7.288573968497337
C2orf61	GSM3056431	11.04569686551275
C2orf61	GSM3056432	7.310323363929146
C2orf61	GSM3056433	4.619632130520144
C2orf61	GSM3056434	7.188795364482739
C2orf61	GSM3056435	4.5110954581165315
C2orf61	GSM3056436	11.174241590720149
C2orf61	GSM3056437	7.754258593399541
C2orf61	GSM3056438	4.2717740629123515
C2orf61	GSM3056439	4.321595722671325
C2orf61	GSM3056440	4.797400179554956
C2orf61	GSM3056441	4.837205198147111
C2orf61	GSM3056442	7.091542085564747
C2orf61	GSM3056443	4.102985008375623
C2orf61	GSM3056444	7.85185734846543
C2orf61	GSM3056445	7.2579060056009235
C2orf61	GSM3056446	14.189996037673462
C2orf61	GSM3056447	10.10650267145594
C2orf61	GSM3056448	7.1238127718542295
C2orf61	GSM3056449	4.275938619271728
