Gene	sample	counts
C4BPA	GSM1022678	1.0100156499625657
C4BPA	GSM1022679	4.209057831422386
C4BPA	GSM1022680	1.0184777571167023
C4BPA	GSM1022681	1.0198693014890137
C4BPA	GSM1022682	2.003029135184658
C4BPA	GSM1022683	1.013077440794964
C4BPA	GSM1022684	1.0272349045407547
C4BPA	GSM1022685	1.0198693014890137
C4BPA	GSM1022686	1.0316440871965518
C4BPA	GSM1022687	1.0546852014232175
C4BPA	GSM1022688	1.029701907789125
C4BPA	GSM1022689	1.016786983838062
C4BPA	GSM1022690	1.0522644578555964
C4BPA	GSM1022691	1.0427525898533263
C4BPA	GSM1022692	1.013974710299226
C4BPA	GSM1022693	1.0069631126805123
C4BPA	GSM1022694	1.0276160368461
C4BPA	GSM1022695	1.017048502742336
C4BPA	GSM1385778	1.0030314290996496
C4BPA	GSM1385779	1.0454041618088412
C4BPA	GSM1385780	1.0418298547102676
C4BPA	GSM1385781	1.0121809652873912
C4BPA	GSM1385782	1.0075958118807733
C4BPA	GSM1385783	1.0406685081874067
C4BPA	GSM1415906	1
C4BPA	GSM1415907	1.0054403053779657
C4BPA	GSM1415908	1.011545386933744
C4BPA	GSM1415909	1.0054403053779657
C4BPA	GSM1415910	1.0060720477616854
C4BPA	GSM1415911	1.0030314290996496
C4BPA	GSM1415912	1.0828383463137914
C4BPA	GSM1415913	1.0894569621541417
C4BPA	GSM1415914	1.057473757359071
C4BPA	GSM1415915	1.0462657064923926
C4BPA	GSM1415916	1.0469874970732027
C4BPA	GSM1415917	1.0575680152450906
C4BPA	GSM1415918	1.0648004524325103
C4BPA	GSM1415919	1.062344042170012
C4BPA	GSM1415920	1.0494517132324268
C4BPA	GSM1415921	1.033334151869466
C4BPA	GSM2769390	1.0456446792577374
C4BPA	GSM2769391	1.034121679520397
C4BPA	GSM2769392	1.0321468400650773
C4BPA	GSM2769393	1.029701907789125
C4BPA	GSM2769394	1.0152144113121964
C4BPA	GSM2769395	1.0383783796594372
C4BPA	GSM2769396	1.0214825905550386
C4BPA	GSM2769397	1.0456446792577374
C4BPA	GSM2769398	1.047526139363344
C4BPA	GSM3103946	1
C4BPA	GSM3103947	3.192053640798248
C4BPA	GSM3103948	5.120725763836336
C4BPA	GSM3103949	3.0855426144958344
C4BPA	GSM3103950	1.8063297194565375
C4BPA	GSM3103951	3.7972873343182294
C4BPA	GSM3103952	8
C4BPA	GSM3103953	2
C4BPA	GSM3103954	3.995208443955328
C4BPA	GSM3103955	3.569516084056606
C4BPA	GSM3103956	4.050696932638388
C4BPA	GSM3103957	2.010880610755931
C4BPA	GSM3103958	5.050078249812829
C4BPA	GSM3103959	1.969993121175656
C4BPA	GSM3103960	1
C4BPA	GSM3103961	1.5472113262196954
C4BPA	GSM3103962	2
C4BPA	GSM3103963	4.046181547734976
C4BPA	GSM3103964	3
C4BPA	GSM3103965	1
C4BPA	GSM4260265	3.0789777031430203
C4BPA	GSM4260266	7.1238127718542295
C4BPA	GSM4260267	2.0758165587341395
C4BPA	GSM4260268	2.077896633026084
C4BPA	GSM4260269	4.092319574367235
C4BPA	GSM4260270	7.151736700153645
C4BPA	GSM4260271	6.300968192632798
C4BPA	GSM4260272	3.143744400818929
C4BPA	GSM4260273	7.1175088868664345
C4BPA	GSM4260274	5.75569605707153
C4BPA	GSM4260275	5.23272492824195
C4BPA	GSM4260276	6.13391169320689
C4BPA	GSM4735785	4.225296600942722
C4BPA	GSM4735786	2.0656467522327233
C4BPA	GSM4735787	1.0290274164106328
C4BPA	GSM4735788	1.036605295870177
C4BPA	GSM4735789	96.08821211649888
C4BPA	GSM4735790	5.154981436866114
C4BPA	GSM4735791	25.009219008670744
C4BPA	GSM4735792	1.0501613654387998
C4BPA	GSM4735793	1.0468399724791213
C4BPA	GSM4735794	1.0392155353402404
C4BPA	GSM4735795	15.460436112906049
C4BPA	GSM4735796	1.063226737528289
C4BPA	GSM4735797	1.0534673182521803
C4BPA	GSM4735798	1.0698070636077792
C4BPA	GSM4735799	1.0562880644173278
C4BPA	GSM4735800	1.0691353001232575
C4BPA	GSM4735801	1.0450994152455737
C4BPA	GSM4735802	1.0285261829956671
C4BPA	GSM4735803	1.0256814406706618
C4BPA	GSM4735804	3.124770644222895
C4BPA	GSM5282507	5.022752939981257
C4BPA	GSM5282508	3.0603948395079126
C4BPA	GSM5282509	2.0200312999251313
C4BPA	GSM5282510	1.0488429247731252
C4BPA	GSM5282511	2.059057788185063
C4BPA	GSM5282512	1.0223186155344817
C4BPA	GSM5282513	2.0328197358360205
C4BPA	GSM5282514	6.027303527977508
C4BPA	GSM5282515	2.048260652136954
C4BPA	GSM5282516	13.4182728651745
C4BPA	GSM5282517	11.303387730972142
C4BPA	GSM5282518	11.050056467958765
C4BPA	GSM5282519	23.16356716731547
C4BPA	GSM5282520	1.0210351304622294
C4BPA	GSM5282521	4.092896279307753
C4BPA	GSM5282522	2.045163114362914
C4BPA	GSM5282523	2.006062858199299
C4BPA	GSM5282524	5.057726934668721
C4BPA	GSM5282525	3.020889338041537
C4BPA	GSM5282526	6.027303527977508
C4BPA	GSM5282527	3.0365428958621736
C4BPA	GSM5282528	3.0603948395079126
C4BPA	GSM5282529	5.030360238808427
C4BPA	GSM5282530	2.038457790803514
C4BPA	GSM5282531	5.127088509673631
C4BPA	GSM5282532	9.095852404310344
C4BPA	GSM5282533	12
C4BPA	GSM5282534	4.036487535374458
C4BPA	GSM5282535	10.091218838436143
C4BPA	GSM5282536	1.0148727745034103
C4BPA	GSM4260927	10.01514567592329
C4BPA	GSM4260928	15.110027656774587
C4BPA	GSM4260929	29.376997893125026
C4BPA	GSM4260930	13.019689378700276
C4BPA	GSM4260931	602.3475592187739
C4BPA	GSM4260932	17.13747636946024
C4BPA	GSM4260933	40
C4BPA	GSM4260934	9.062668014124611
C4BPA	GSM4260935	18.19170480862069
C4BPA	GSM4260936	869.1246678982956
C4BPA	GSM4260937	59.32097801729997
C4BPA	GSM4260938	678.7144197076228
C4BPA	GSM4260939	655.5173471454717
C4BPA	GSM4260940	22.28456327370175
C4BPA	GSM4260941	25.037864189808225
C4BPA	GSM4260942	759
C4BPA	GSM4260943	37.711469129865
C4BPA	GSM4260944	20.77129968730978
C4BPA	GSM4260945	55.50170361139879
C4BPA	GSM4260946	1138.3845517046936
C4BPA	GSM4260947	25.493139948843467
C4BPA	GSM4260948	18.454483148815775
C4BPA	GSM4260949	15.344414444510804
C4BPA	GSM4260950	27.08184858569054
C4BPA	GSM4260951	29
C4BPA	GSM4260952	28
C4BPA	GSM4260953	20
C4BPA	GSM4260954	32.3205007988021
C4BPA	GSM4260955	14.437660452997903
C4BPA	GSM4260956	1486.333110764621
C4BPA	GSM4260957	389
C4BPA	GSM4260958	43.36742763939137
C4BPA	GSM4260959	438.0426277127102
C4BPA	GSM4260960	42.44731122011494
C4BPA	GSM4260961	173.36722606243464
C4BPA	GSM4260962	18.15278807479768
C4BPA	GSM4260963	791.1965083979399
C4BPA	GSM4260964	39.236809862705734
C4BPA	GSM4260965	363.6887168280387
C4BPA	GSM4260966	10
C4BPA	GSM4260967	2.770681877368972
C4BPA	GSM4260968	19.057597152893344
C4BPA	GSM4260969	19.144320425734698
C4BPA	GSM4260970	5.643810444965698
C4BPA	GSM4260971	7.2426524525672065
C4BPA	GSM4260972	345.9826289338612
C4BPA	GSM4260973	23.239965995710488
C4BPA	GSM4260974	12.249271037470772
C4BPA	GSM4260975	19.132299140929735
C4BPA	GSM4260976	24.036349622215894
C4BPA	GSM4260977	882.6918237186428
C4BPA	GSM4260978	781.0496051640744
C4BPA	GSM4260979	37
C4BPA	GSM4260980	491
C4BPA	GSM4260981	12.66904903837893
C4BPA	GSM4260982	31.282778399152047
C4BPA	GSM4260983	1313.437896062169
C4BPA	GSM4260984	23.80987116718022
C4BPA	GSM4260985	11.229924529499044
C4BPA	GSM4260986	745.134778307077
C4BPA	GSM4260987	17.65351826162691
C4BPA	GSM4260988	2076.9953407697267
C4BPA	GSM4260989	31.0469515953622
C4BPA	GSM4260990	55
C4BPA	GSM4260991	23.174703673257785
C4BPA	GSM4260992	27.66305586126653
C4BPA	GSM4260993	40.58447260221246
C4BPA	GSM4260994	19
C4BPA	GSM4260995	31.679263626462905
C4BPA	GSM4260996	2231.1208920808645
C4BPA	GSM4260997	976
C4BPA	GSM4260998	28.63119753984767
C4BPA	GSM4260999	12.072864573140226
C4BPA	GSM4261000	2132.7752606355043
C4BPA	GSM4261001	72.10904886664768
C4BPA	GSM4261002	233.6027096439424
C4BPA	GSM4261003	12.09114974256928
C4BPA	GSM4261004	29.93647652739569
C4BPA	GSM4261005	43.06512640647015
C4BPA	GSM4261006	71.31956116611313
C4BPA	GSM4261007	374.91515537865195
C4BPA	GSM4261008	38.26459828185947
C4BPA	GSM4261009	26.69061275756583
C4BPA	GSM4261010	1.0469874970732027
C4BPA	GSM4261011	10.16786983838062
C4BPA	GSM4261012	198.82142055285425
C4BPA	GSM4261013	356.13506091512255
C4BPA	GSM4261014	1.0277355086747937
C4BPA	GSM4261015	423.4663702522949
C4BPA	GSM4261016	918.3503587646272
C4BPA	GSM4261017	21.242453125608627
C4BPA	GSM4261018	10.874627708655224
C4BPA	GSM4261019	439.7540930054563
C4BPA	GSM4261020	109.34298110578209
C4BPA	GSM4261021	3.0929888621196686
C4BPA	GSM4261022	428.6074962105008
C4BPA	GSM4261023	730.5069636135606
C4BPA	GSM4261024	519.3765738717585
C4BPA	GSM4261025	92.41398454437235
C4BPA	GSM4261026	947.4107175943597
C4BPA	GSM4261027	739
C4BPA	GSM4818000	9.177530381583647
C4BPA	GSM4818001	5.2736334768205895
C4BPA	GSM4818002	22.83279976894827
C4BPA	GSM4818003	17.948763552521747
C4BPA	GSM4818004	184.5621326955884
C4BPA	GSM4818005	238.8007788062823
C4BPA	GSM4818006	3.326902766069381
C4BPA	GSM4818007	6.659518089836998
C4BPA	GSM4818008	13.28968502748956
C4BPA	GSM4818009	10.541578291291042
C4BPA	GSM4818010	31.043898226147306
C4BPA	GSM4818011	25.02437170670424
C4BPA	GSM4818012	53.13940995406681
C4BPA	GSM4818013	47.97600518745421
C4BPA	GSM4818014	12.100301940847448
C4BPA	GSM4818015	9.567951834784708
C4BPA	GSM4818016	20.041039867607587
C4BPA	GSM4818017	21.631763063826178
C4BPA	GSM4818018	81.15127142848743
C4BPA	GSM4818019	71.3807918567617
C4BPA	GSM4818020	76.37452323390639
C4BPA	GSM4818021	17.394809187057948
C4BPA	GSM4818022	62.390951684185175
C4BPA	GSM4818023	36.31521461230768
C4BPA	GSM3056394	76.52104170741042
C4BPA	GSM3056395	11.637880076291813
C4BPA	GSM3056396	27.5395593590803
C4BPA	GSM3056397	13.419338389951804
C4BPA	GSM3056398	11.150853799524866
C4BPA	GSM3056399	30.489492830943597
C4BPA	GSM3056400	28.957352519659032
C4BPA	GSM3056401	12.309154661812482
C4BPA	GSM3056402	648.3406421159046
C4BPA	GSM3056403	3.083641022989704
C4BPA	GSM3056404	576.9516101602596
C4BPA	GSM3056405	10.724053948760846
C4BPA	GSM3056406	21.88713809066956
C4BPA	GSM3056407	2733.3466897180556
C4BPA	GSM3056408	21.55838734084507
C4BPA	GSM3056409	317.57027218051127
C4BPA	GSM3056410	26.474941080601425
C4BPA	GSM3056411	11.306247489382692
C4BPA	GSM3056412	6.6128783298791936
C4BPA	GSM3056413	741.8801210105682
C4BPA	GSM3056414	73.33840018399796
C4BPA	GSM3056415	26.72488886591077
C4BPA	GSM3056416	4.4128834872566225
C4BPA	GSM3056417	8.278171544823687
C4BPA	GSM3056418	7.076371453749755
C4BPA	GSM3056419	926.0928530156845
C4BPA	GSM3056420	23.3981320449209
C4BPA	GSM3056421	8.493646092986454
C4BPA	GSM3056422	189.18416676876396
C4BPA	GSM3056423	57.17219934086284
C4BPA	GSM3056424	406.15166882791993
C4BPA	GSM3056425	34.03079453979649
C4BPA	GSM3056426	510.0169023821016
C4BPA	GSM3056427	357.6531427075675
C4BPA	GSM3056428	14.332118070956993
C4BPA	GSM3056429	150.34066270505343
C4BPA	GSM3056430	16.506305395144828
C4BPA	GSM3056431	59.64889819866336
C4BPA	GSM3056432	316.16121406073825
C4BPA	GSM3056433	842.9574302008941
C4BPA	GSM3056434	24.520240114812495
C4BPA	GSM3056435	266.28700072240656
C4BPA	GSM3056436	28.95494566165428
