Gene	sample	counts
CAHM	GSM1022678	6.064410873803134
CAHM	GSM1022679	1.0847894030308278
CAHM	GSM1022680	13.296618709465433
CAHM	GSM1022681	11.262536847964652
CAHM	GSM1022682	6.060093899775395
CAHM	GSM1022683	34.496801711880586
CAHM	GSM1022684	18.84092903642832
CAHM	GSM1022685	20.55760681993136
CAHM	GSM1022686	15.731472116812824
CAHM	GSM1022687	14.231721034639014
CAHM	GSM1022688	8.396015504551933
CAHM	GSM1022689	11.231386435084522
CAHM	GSM1022690	4.361513086935815
CAHM	GSM1022691	13.956070968369636
CAHM	GSM1022692	29.46830688364646
CAHM	GSM1022693	6.050929358265893
CAHM	GSM1022694	20.84968923050275
CAHM	GSM1022695	11.238443385955728
CAHM	GSM1385778	14
CAHM	GSM1385779	16.179156122647758
CAHM	GSM1385780	13.843877661514636
CAHM	GSM1385781	10.078549668039406
CAHM	GSM1385782	16.07280940794002
CAHM	GSM1385783	10.62305800204984
CAHM	GSM1415906	19
CAHM	GSM1415907	20.12144095523371
CAHM	GSM1415908	13.17000673033453
CAHM	GSM1415909	19.115368907472025
CAHM	GSM1415910	17.11837291556871
CAHM	GSM1415911	26.07881715659089
CAHM	GSM1415912	8.050739773211072
CAHM	GSM1415913	8.143822954766563
CAHM	GSM1415914	13.251787383243215
CAHM	GSM1415915	12.959946727320151
CAHM	GSM1415916	6.510580912797042
CAHM	GSM1415917	14.39631032969645
CAHM	GSM1415918	11.164525767485523
CAHM	GSM1415919	10.02161700251466
CAHM	GSM1415920	9.82688266898514
CAHM	GSM1415921	10.614142933872277
CAHM	GSM2769390	15.050927388020874
CAHM	GSM2769391	16.901350779691533
CAHM	GSM2769392	14.613525093807011
CAHM	GSM2769393	9.291710785895017
CAHM	GSM2769394	16.287188629831714
CAHM	GSM2769395	9.508515002195578
CAHM	GSM2769396	13.216368289972694
CAHM	GSM2769397	11.480437564759812
CAHM	GSM2769398	24.093263317045892
CAHM	GSM3103946	12.12018779955079
CAHM	GSM3103947	10.055464482680938
CAHM	GSM3103948	5.015329004693108
CAHM	GSM3103949	19.49210682492958
CAHM	GSM3103950	16.634361990887804
CAHM	GSM3103951	3
