Gene	sample	counts
CALML3	GSM1022678	297.03505502274686
CALML3	GSM1022679	223.18893411642935
CALML3	GSM1022680	387.4552250458605
CALML3	GSM1022681	285.3078175333477
CALML3	GSM1022682	145.78006548629077
CALML3	GSM1022683	361.29499124774134
CALML3	GSM1022684	284.6868158190975
CALML3	GSM1022685	540.6588241953123
CALML3	GSM1022686	588.6507632497005
CALML3	GSM1022687	286.2309738638434
CALML3	GSM1022688	398.4691098511313
CALML3	GSM1022689	360.40998213332335
CALML3	GSM1022690	425.81199126005487
CALML3	GSM1022691	731.664416245609
CALML3	GSM1022692	558.4940919337365
CALML3	GSM1022693	771.1172451879353
CALML3	GSM1022694	594.6600162305759
CALML3	GSM1022695	650.9969477849772
CALML3	GSM1385778	269
CALML3	GSM1385779	256.5446190216239
CALML3	GSM1385780	262.2854855199889
CALML3	GSM1385781	251.09698271258816
CALML3	GSM1385782	266.40588408749295
CALML3	GSM1385783	245.26931876321805
CALML3	GSM1415906	567
CALML3	GSM1415907	530.4297707101259
CALML3	GSM1415908	405.74874915273864
CALML3	GSM1415909	566.9921457560228
CALML3	GSM1415910	510.36310370894773
CALML3	GSM1415911	464.45101301291226
CALML3	GSM1415912	179.74277393426678
CALML3	GSM1415913	148.52160888279198
CALML3	GSM1415914	163.49830517303096
CALML3	GSM1415915	199.2779080767389
CALML3	GSM1415916	160.5296714020467
CALML3	GSM1415917	127.93241347853028
CALML3	GSM1415918	138.53047082799202
CALML3	GSM1415919	151.25612645993263
CALML3	GSM1415920	128.83562793411318
CALML3	GSM1415921	137.52283587258822
CALML3	GSM2769390	147.76624841496348
CALML3	GSM2769391	117.57423455132904
CALML3	GSM2769392	166.24476350758138
CALML3	GSM2769393	290.7286530577344
CALML3	GSM2769394	166.16349445177417
CALML3	GSM2769395	198.98617154211576
CALML3	GSM2769396	829.3689741825812
CALML3	GSM2769397	450.5398355270502
CALML3	GSM2769398	424.2232156691184
CALML3	GSM3103946	150.5851501087842
CALML3	GSM3103947	33.0631091569594
CALML3	GSM3103948	138.72836004535225
CALML3	GSM3103949	117.16202174391208
CALML3	GSM3103950	356.79388163746006
CALML3	GSM3103951	1
CALML3	GSM3103952	308.62870345230317
CALML3	GSM3103953	338.98063586672373
CALML3	GSM3103954	326.7241974657933
CALML3	GSM3103955	123.0710945712594
CALML3	GSM3103956	460.3864065600899
CALML3	GSM3103957	210.67060053037312
CALML3	GSM3103958	252.8222423376172
CALML3	GSM3103959	502
CALML3	GSM3103960	417
CALML3	GSM3103961	272.6781666516091
CALML3	GSM3103962	158.3221939191821
CALML3	GSM3103963	464.5154326278934
CALML3	GSM3103964	301.6837466313517
CALML3	GSM3103965	274
CALML3	GSM4260265	218.5775375308773
CALML3	GSM4260266	216.27665854550216
CALML3	GSM4260267	227.2117948103281
CALML3	GSM4260268	225.97595111789164
CALML3	GSM4260269	218.09805779894091
CALML3	GSM4260270	217.20254188672115
CALML3	GSM4260271	238.38344538639356
CALML3	GSM4260272	232.0746083949708
CALML3	GSM4260273	215.13531771593773
CALML3	GSM4260274	170.73461228512429
CALML3	GSM4260275	229.94882095825773
CALML3	GSM4260276	216.6453750976821
CALML3	GSM4735786	102.5101894331097
CALML3	GSM4735787	101.82740123960124
CALML3	GSM4735788	103.14672712490784
CALML3	GSM4735790	103.05402884492064
CALML3	GSM4735793	105.2252788707598
CALML3	GSM4735798	398.2919333659158
CALML3	GSM4735800	848.8089801031812
CALML3	GSM4735803	712.0996401336948
CALML3	GSM4735804	321.60641650628787
CALML3	GSM4735785	107.03874895767257
CALML3	GSM4735789	102.60239852331335
CALML3	GSM4735791	104.6254266656483
CALML3	GSM4735792	106.87033926783344
CALML3	GSM4735794	103.92191043909878
CALML3	GSM4735795	52.97198234778537
CALML3	GSM4735796	237.73978986818895
CALML3	GSM4735797	58.76799970548903
CALML3	GSM4735799	300.0940614189878
CALML3	GSM4735801	742.2923480937548
CALML3	GSM4735802	419.7003737870198
CALML3	GSM5282507	177
CALML3	GSM5282509	177
CALML3	GSM5282510	191.37230874250545
CALML3	GSM5282511	188.59320268086017
CALML3	GSM5282512	182.8737527026775
CALML3	GSM5282515	185.14072952654772
CALML3	GSM5282516	186.36091842385085
CALML3	GSM5282519	194.8617703204748
CALML3	GSM5282521	181.8695722373507
CALML3	GSM5282523	177
CALML3	GSM5282524	178.88303066613963
CALML3	GSM5282526	177
CALML3	GSM5282528	180.94871328955472
CALML3	GSM5282529	177
CALML3	GSM5282513	180.3895150953857
CALML3	GSM5282533	170.6319023964818
CALML3	GSM5282534	177
CALML3	GSM5282536	179.43755883626687
CALML3	GSM5282525	177
CALML3	GSM5282530	180.3895150953857
CALML3	GSM5282514	177
CALML3	GSM5282520	184.24811217728237
CALML3	GSM5282535	177
CALML3	GSM5282522	195.4616345877133
CALML3	GSM5282531	183.0208933381936
CALML3	GSM5282508	182.21881130563605
CALML3	GSM5282518	177
CALML3	GSM5282517	184.6531741770457
CALML3	GSM5282527	177.93902446598588
CALML3	GSM5282532	177
