Gene	sample	counts
CBX5P1	GSM1022678	2.0299857264361947
CBX5P1	GSM1022679	3.266044980555358
CBX5P1	GSM1022680	3.0925308223901897
CBX5P1	GSM1022681	1.0311088135197646
CBX5P1	GSM1022682	4.046631391170554
CBX5P1	GSM1022683	2.04172784488587
CBX5P1	GSM1022684	2.115629884776827
CBX5P1	GSM1022685	2.0742297272631127
CBX5P1	GSM1022686	1.0604724495698388
CBX5P1	GSM1022687	1.1088805228290193
CBX5P1	GSM1022688	1.0595694172829608
CBX5P1	GSM1022689	1.028213009709356
CBX5P1	GSM1022690	2.2063603946069295
CBX5P1	GSM1022691	1.0928326885818789
CBX5P1	GSM1022692	1.0229984726241244
CBX5P1	GSM1022693	3.0404567927286505
CBX5P1	GSM1022694	1.0545664475046876
CBX5P1	GSM1022695	1.0298210946342734
CBX5P1	GSM1385778	1.0065008364545027
CBX5P1	GSM1385779	1.08831673889073
CBX5P1	GSM1385780	1.076969124990565
CBX5P1	GSM1385781	1.0160593920172551
CBX5P1	GSM1385782	1.010974028503044
CBX5P1	GSM1385783	1.072602630214062
CBX5P1	GSM1415906	1.006321233202252
CBX5P1	GSM1415907	1.0141084146970722
CBX5P1	GSM1415908	1.0241144897647825
CBX5P1	GSM1415909	2.0274930508844933
CBX5P1	GSM1415910	1.0149928632180971
CBX5P1	GSM1415911	1.0101171841971937
CBX5P1	GSM1415912	1.182512101984153
CBX5P1	GSM1415913	1.1954362057291898
CBX5P1	GSM1415914	1.1372485303867734
CBX5P1	GSM1415915	1.1104272564901518
CBX5P1	GSM1415916	1.1091395235784829
CBX5P1	GSM1415917	1.1335736061479336
CBX5P1	GSM1415918	1.14248870104818
CBX5P1	GSM1415919	1.1435660966331045
CBX5P1	GSM1415920	2.2341585069022063
CBX5P1	GSM1415921	2.157817213819051
CBX5P1	GSM2769390	1.049114201454456
CBX5P1	GSM2769391	1.0447696856901132
CBX5P1	GSM2769392	1.0329916712135618
CBX5P1	GSM2769393	1.026969767993484
CBX5P1	GSM2769394	1.017679101810684
CBX5P1	GSM2769395	1.0389231941618595
CBX5P1	GSM2769396	2.0406734516209344
CBX5P1	GSM2769397	1.0478235991023386
CBX5P1	GSM2769398	1.0511612257547172
CBX5P1	GSM3103946	69.66771219374655
CBX5P1	GSM3103947	77.50160719642179
CBX5P1	GSM3103948	54.50263236453335
CBX5P1	GSM3103949	43.01875408043889
CBX5P1	GSM3103950	60.47723544069116
CBX5P1	GSM3103951	84
CBX5P1	GSM3103952	93.50632371306556
CBX5P1	GSM3103953	66.66773415701478
CBX5P1	GSM3103954	83.36428322518458
CBX5P1	GSM3103955	46.02602469816035
CBX5P1	GSM3103956	56.20063890072949
CBX5P1	GSM3103957	59.784980128500486
CBX5P1	GSM3103958	50.005422693458186
CBX5P1	GSM3103959	74.23351718068821
CBX5P1	GSM3103960	59.124056555538
CBX5P1	GSM3103961	84.87446244263705
CBX5P1	GSM3103962	64.47223360461894
CBX5P1	GSM3103963	62.37065188571938
CBX5P1	GSM3103964	77.77902318318391
CBX5P1	GSM3103965	62.16854547765058
CBX5P1	GSM4260265	1.0111785897562977
CBX5P1	GSM4260266	2.015587593057966
CBX5P1	GSM4260267	1.0209637531539166
CBX5P1	GSM4260268	3.0636067169039647
CBX5P1	GSM4260269	2.022451315201305
CBX5P1	GSM4260270	2.0168743560979214
CBX5P1	GSM4260271	1.0381691192461002
CBX5P1	GSM4260272	2.06358945170035
CBX5P1	GSM4260273	4.023530766184456
CBX5P1	GSM4260274	2.078228918097706
CBX5P1	GSM4260275	3.090211547996755
CBX5P1	GSM4260276	2.017234317889231
CBX5P1	GSM4735785	1.1241583234625787
CBX5P1	GSM4735786	1.05207499443912
CBX5P1	GSM4735787	2.08219388646391
CBX5P1	GSM4735788	2.1230991202127596
CBX5P1	GSM4735789	1.0531587528031856
CBX5P1	GSM4735790	1.0624726893191856
CBX5P1	GSM4735791	1.0871027019164097
CBX5P1	GSM4735792	1.119522653616255
CBX5P1	GSM4735793	1.0950706995974604
CBX5P1	GSM4735794	1.073004610131236
CBX5P1	GSM4735795	1.0485009745543108
CBX5P1	GSM4735796	1.1345222112631277
CBX5P1	GSM4735797	1.1166577862322071
CBX5P1	GSM4735798	2.286262780748269
CBX5P1	GSM4735799	1.1303004052343573
CBX5P1	GSM4735800	1.1336053776903567
CBX5P1	GSM4735801	1.08578255609448
CBX5P1	GSM4735802	2.080893498773065
CBX5P1	GSM4735803	1.0290012974998244
CBX5P1	GSM4735804	3.173928125974112
CBX5P1	GSM5282507	58.309291168753546
CBX5P1	GSM5282508	56.48256090089848
CBX5P1	GSM5282509	74
CBX5P1	GSM5282510	283.9382329172313
CBX5P1	GSM5282511	91.59036082837252
CBX5P1	GSM5282512	51.57010807757117
CBX5P1	GSM5282513	88.27769610676435
CBX5P1	GSM5282514	80.61426844664386
CBX5P1	GSM5282515	29.33696376875575
CBX5P1	GSM5282516	58.16957333728809
CBX5P1	GSM5282517	82.26494513448944
CBX5P1	GSM5282518	116.78244874875467
CBX5P1	GSM5282519	180.5922768553554
CBX5P1	GSM5282520	84.11930459882599
CBX5P1	GSM5282521	90.91054657774744
CBX5P1	GSM5282522	84.93900153952899
CBX5P1	GSM5282523	140.04142246482093
CBX5P1	GSM5282524	61
CBX5P1	GSM5282525	83
CBX5P1	GSM5282526	71.11084590529987
CBX5P1	GSM5282527	106
CBX5P1	GSM5282528	71.44880755735988
CBX5P1	GSM5282529	81
CBX5P1	GSM5282530	97.57062107997308
CBX5P1	GSM5282531	124.58216904407918
CBX5P1	GSM5282532	71
CBX5P1	GSM5282533	61.986732284510175
CBX5P1	GSM5282534	120
CBX5P1	GSM5282535	60
CBX5P1	GSM5282536	69.07196869231217
CBX5P1	GSM4260927	62.13036451598908
CBX5P1	GSM4260928	74.87285042699536
CBX5P1	GSM4260929	58.77693155362974
CBX5P1	GSM4260930	109
CBX5P1	GSM4260931	113.78418017965488
CBX5P1	GSM4260932	97.40834362754904
CBX5P1	GSM4260933	87.54048372800149
