Gene	sample	counts
CCDC120	GSM1022678	269.9881016160139
CCDC120	GSM1022679	1.0886816601851197
CCDC120	GSM1022680	548.408799170527
CCDC120	GSM1022681	159.8218660955635
CCDC120	GSM1022682	1.0116578477926386
CCDC120	GSM1022683	506.34850553169576
CCDC120	GSM1022684	192.52231951469128
CCDC120	GSM1022685	325.6540671803087
CCDC120	GSM1022686	56.20503982720145
CCDC120	GSM1022687	98.69036653178271
CCDC120	GSM1022688	215.09259170844103
CCDC120	GSM1022689	200.5015368933244
CCDC120	GSM1022690	166.58020979282315
CCDC120	GSM1022691	215.28803965063008
CCDC120	GSM1022692	394.877410432912
CCDC120	GSM1022693	584.7811898014771
CCDC120	GSM1022694	90.69271448540314
CCDC120	GSM1022695	407.8091534751723
CCDC120	GSM1385778	472.0488922971618
CCDC120	GSM1385779	64.21068759455306
CCDC120	GSM1385780	121.69751112393384
CCDC120	GSM1385781	207.27611597152003
CCDC120	GSM1385782	271.95201366731885
CCDC120	GSM1385783	77.22738937541247
CCDC120	GSM1415906	689.3300447435425
CCDC120	GSM1415907	541.5338934482365
CCDC120	GSM1415908	408.62168141614814
CCDC120	GSM1415909	425.7735406857436
CCDC120	GSM1415910	469.9416956699791
CCDC120	GSM1415911	503.0383577302025
CCDC120	GSM1415912	173.82927899167046
CCDC120	GSM1415913	143.45234468750277
CCDC120	GSM1415914	179.68526780111023
CCDC120	GSM1415915	146.57639785670003
CCDC120	GSM1415916	199.64511424412692
CCDC120	GSM1415917	123.55952307012475
CCDC120	GSM1415918	149.66601983731158
CCDC120	GSM1415919	102.9209486969794
CCDC120	GSM1415920	144.1032236951923
CCDC120	GSM1415921	154.28393078806215
CCDC120	GSM2769390	282.2117201912486
CCDC120	GSM2769391	1.0447696856901132
CCDC120	GSM2769392	269.61082618673964
CCDC120	GSM2769393	575.1030700763511
CCDC120	GSM2769394	261.5435291653458
CCDC120	GSM2769395	136.09893843520362
CCDC120	GSM2769396	286.7146199527413
CCDC120	GSM2769397	172.8908938518859
CCDC120	GSM2769398	170.28811857226418
CCDC120	GSM3103946	135.29671643423242
CCDC120	GSM3103947	283.56470397749615
CCDC120	GSM3103948	241.1898098890269
CCDC120	GSM3103949	401.77892961919343
CCDC120	GSM3103950	191.2232587267568
CCDC120	GSM3103951	154
CCDC120	GSM3103952	307.66596834621566
CCDC120	GSM3103953	79.79925755157831
CCDC120	GSM3103954	38.16678027177125
CCDC120	GSM3103955	317.01598644141063
CCDC120	GSM3103956	83.7900434519967
CCDC120	GSM3103957	38.505580421746075
CCDC120	GSM3103958	4.082075321914954
CCDC120	GSM3103959	134.42285543530028
CCDC120	GSM3103960	193.40581212235313
CCDC120	GSM3103961	300.5248823223986
CCDC120	GSM3103962	1.0073786500721709
CCDC120	GSM3103963	1.02246970304458
CCDC120	GSM3103964	1.0101171841971937
CCDC120	GSM3103965	236.6415602052506
CCDC120	GSM4260265	313.4653628244522
CCDC120	GSM4260266	238.847129777369
CCDC120	GSM4260267	222.57009818755384
CCDC120	GSM4260268	235.89771720160527
CCDC120	GSM4260269	261.907445318569
CCDC120	GSM4260270	336.8180174683529
CCDC120	GSM4260271	149.49635317143844
CCDC120	GSM4260272	115.5610092952196
CCDC120	GSM4260273	371.1707131805161
CCDC120	GSM4260274	72.21845490389528
CCDC120	GSM4260275	67.98465405592862
CCDC120	GSM4260276	206.76651758364625
CCDC120	GSM4735785	140.51979043282233
CCDC120	GSM4735786	167.2799241158201
CCDC120	GSM4735787	139.506990393082
CCDC120	GSM4735788	150.74003753510593
CCDC120	GSM4735789	149.54854289805235
CCDC120	GSM4735790	177.432939116304
CCDC120	GSM4735791	127.19101612421991
CCDC120	GSM4735792	167.92839804243823
CCDC120	GSM4735793	164.26060493961907
CCDC120	GSM4735794	152.36665463863554
CCDC120	GSM4735795	53.47354970226985
CCDC120	GSM4735796	1.1345222112631277
CCDC120	GSM4735797	27.916444655805183
CCDC120	GSM4735798	116.59940181816172
CCDC120	GSM4735799	115.29064133390445
CCDC120	GSM4735800	221.05304864961957
CCDC120	GSM4735801	230.18590189202976
CCDC120	GSM4735802	291.3250898282291
CCDC120	GSM4735803	829.3750457848585
CCDC120	GSM4735804	224.2909209021706
CCDC120	GSM5282507	234.17763711321987
CCDC120	GSM5282508	197.68896315314467
CCDC120	GSM5282509	216
CCDC120	GSM5282510	247.66875061028568
CCDC120	GSM5282511	111.94377434578864
CCDC120	GSM5282512	81.9054657702601
CCDC120	GSM5282513	136.429166710454
CCDC120	GSM5282514	207.29383314851276
CCDC120	GSM5282515	179.05664093344026
CCDC120	GSM5282516	30.615564914362153
CCDC120	GSM5282517	53.827680149727655
CCDC120	GSM5282518	313.01525197412116
CCDC120	GSM5282519	1.0438859933835571
CCDC120	GSM5282520	1.0134855975762167
CCDC120	GSM5282521	225.2561320759742
CCDC120	GSM5282522	148.64325269417571
CCDC120	GSM5282523	254.00616626377865
CCDC120	GSM5282524	173
CCDC120	GSM5282525	290
CCDC120	GSM5282526	214.29349509299823
CCDC120	GSM5282527	131
CCDC120	GSM5282528	222.39699253769768
CCDC120	GSM5282529	265
CCDC120	GSM5282530	127.74710182635648
CCDC120	GSM5282531	37.47593702951976
