Gene	sample	counts
CCDC28B	GSM1022678	95.10972242310756
CCDC28B	GSM1022679	16.30999445468729
CCDC28B	GSM1022680	58.37000430576624
CCDC28B	GSM1022681	88.18592236638646
CCDC28B	GSM1022682	69.73486843304597
CCDC28B	GSM1022683	59.9151161685583
CCDC28B	GSM1022684	56.43591729689741
CCDC28B	GSM1022685	43.25743012922988
CCDC28B	GSM1022686	21.025943121872615
CCDC28B	GSM1022687	43.490802720982536
CCDC28B	GSM1022688	41.89733197103755
CCDC28B	GSM1022689	73.62587211706489
CCDC28B	GSM1022690	5.439790359341967
CCDC28B	GSM1022691	34.43283929218167
CCDC28B	GSM1022692	45.77771233661067
CCDC28B	GSM1022693	69.66334260406337
CCDC28B	GSM1022694	36.55676780984108
CCDC28B	GSM1022695	65.4620522532709
CCDC28B	GSM1385778	77.23342004067302
CCDC28B	GSM1385779	30.163175020666465
CCDC28B	GSM1385780	42.66220218314743
CCDC28B	GSM1385781	55.65372470038921
CCDC28B	GSM1385782	71.49438100031638
CCDC28B	GSM1385783	30.83251519224265
CCDC28B	GSM1415906	91.13782565090196
CCDC28B	GSM1415907	60.4557487128464
CCDC28B	GSM1415908	50.75915196025566
CCDC28B	GSM1415909	63.47853614848872
CCDC28B	GSM1415910	59.50080535628128
CCDC28B	GSM1415911	65.29578821975633
CCDC28B	GSM1415912	40.83123389983042
CCDC28B	GSM1415913	36.71385541932936
CCDC28B	GSM1415914	45.957475341030744
CCDC28B	GSM1415915	50.559610314667445
CCDC28B	GSM1415916	45.19310157098844
CCDC28B	GSM1415917	39.433921819674936
CCDC28B	GSM1415918	39.68747502353172
CCDC28B	GSM1415919	45.197283829431925
CCDC28B	GSM1415920	42.21129114055227
CCDC28B	GSM1415921	52.74701085712462
CCDC28B	GSM2769390	25.81071385279577
CCDC28B	GSM2769391	30.697206275166803
CCDC28B	GSM2769392	25.14348826941872
CCDC28B	GSM2769393	37.29435505032669
CCDC28B	GSM2769394	33.67208843232907
CCDC28B	GSM2769395	31.772261185251153
CCDC28B	GSM2769396	95.70924808221994
CCDC28B	GSM2769397	99.29940172971904
CCDC28B	GSM2769398	83.93974711088498
CCDC28B	GSM3103946	49.4469723083371
CCDC28B	GSM3103947	44.045042523450256
CCDC28B	GSM3103948	65.17531427612242
CCDC28B	GSM3103949	58.563866741405995
CCDC28B	GSM3103950	59.482849678224945
CCDC28B	GSM3103951	74
CCDC28B	GSM3103952	49.14854002588283
CCDC28B	GSM3103953	32.29190028299566
CCDC28B	GSM3103954	56.16976002958038
CCDC28B	GSM3103955	48.93916027194227
CCDC28B	GSM3103956	28.755181457930956
CCDC28B	GSM3103957	22.355267291042143
CCDC28B	GSM3103958	47.06830721203915
CCDC28B	GSM3103959	36.05452443332384
CCDC28B	GSM3103960	40
CCDC28B	GSM3103961	50.79710175060255
CCDC28B	GSM3103962	27.20508692078088
CCDC28B	GSM3103963	24.63664155235658
CCDC28B	GSM3103964	30.30046949887697
CCDC28B	GSM3103965	42.06361183887782
CCDC28B	GSM4260265	116.44119172288646
CCDC28B	GSM4260266	33.41056288408875
CCDC28B	GSM4260267	34.7987902568611
CCDC28B	GSM4260268	110.36460536771013
CCDC28B	GSM4260269	35.64144417582298
CCDC28B	GSM4260270	58.8291353301445
CCDC28B	GSM4260271	44.71180920821089
CCDC28B	GSM4260272	10.717075320415608
CCDC28B	GSM4260273	68.62028810136577
CCDC28B	GSM4260274	57.15228129146633
CCDC28B	GSM4260275	8.523420605240643
CCDC28B	GSM4260276	35.50106156773728
CCDC28B	GSM4735785	62.28478737300834
CCDC28B	GSM4735786	64.98223807787559
CCDC28B	GSM4735787	56.37552705626322
CCDC28B	GSM4735788	76.78356989407014
CCDC28B	GSM4735789	165.1434944104124
CCDC28B	GSM4735790	26.964870207778965
CCDC28B	GSM4735791	91.52516819933209
CCDC28B	GSM4735792	36.445294440038055
CCDC28B	GSM4735793	49.69267537743995
CCDC28B	GSM4735794	160.89114913068752
CCDC28B	GSM4735795	40.37575308121532
CCDC28B	GSM4735796	33.930277690866596
CCDC28B	GSM4735797	50.82438149334695
CCDC28B	GSM4735798	48.35647149868652
CCDC28B	GSM4735799	47.90114355765375
CCDC28B	GSM4735800	45.996016807016865
CCDC28B	GSM4735801	53.07364016835229
CCDC28B	GSM4735802	71.0657780694491
CCDC28B	GSM4735803	64.36341712344523
CCDC28B	GSM4735804	73.95290524660851
CCDC28B	GSM5282507	107
CCDC28B	GSM5282508	76.29372526561849
CCDC28B	GSM5282509	103.46871056361388
CCDC28B	GSM5282510	94.0020815497848
CCDC28B	GSM5282511	51.50807326602574
CCDC28B	GSM5282512	35.199374481059515
CCDC28B	GSM5282513	82.65191337763586
CCDC28B	GSM5282514	92
CCDC28B	GSM5282515	55.589605303491005
CCDC28B	GSM5282516	31.65102747604484
CCDC28B	GSM5282517	68.98508164488624
CCDC28B	GSM5282518	133
CCDC28B	GSM5282519	38.433068456047835
CCDC28B	GSM5282520	62.60616465609611
CCDC28B	GSM5282521	153.26821833521169
CCDC28B	GSM5282522	40.167613691427746
CCDC28B	GSM5282523	93
CCDC28B	GSM5282524	58.61771549444444
CCDC28B	GSM5282525	82
CCDC28B	GSM5282526	103
CCDC28B	GSM5282527	80.55704901444098
CCDC28B	GSM5282528	66.5513541016093
CCDC28B	GSM5282529	99
CCDC28B	GSM5282530	63.31874256044299
CCDC28B	GSM5282531	25.85969142326068
CCDC28B	GSM5282532	97.44140703563636
CCDC28B	GSM5282533	83.13720897804814
CCDC28B	GSM5282534	58.22734845696184
CCDC28B	GSM5282535	100.1514567592329
CCDC28B	GSM5282536	72.03743886892711
CCDC28B	GSM4260927	92
CCDC28B	GSM4260928	77.98937664463757
CCDC28B	GSM4260929	62.98746256481071
CCDC28B	GSM4260930	181
CCDC28B	GSM4260931	58.17582288777968
CCDC28B	GSM4260932	76.115107137017
CCDC28B	GSM4260933	105.92295682579326
CCDC28B	GSM4260934	67
CCDC28B	GSM4260935	61.51778180903658
CCDC28B	GSM4260936	51.79103262027921
CCDC28B	GSM4260937	66
CCDC28B	GSM4260938	26.250412623979873
CCDC28B	GSM4260939	95.14388392127124
CCDC28B	GSM4260940	54.37600808474767
CCDC28B	GSM4260941	115
CCDC28B	GSM4260942	63.48455449650636
CCDC28B	GSM4260943	62.92285949909091
CCDC28B	GSM4260944	91.10257388116344
CCDC28B	GSM4260945	78.42434381948131
CCDC28B	GSM4260946	58.36567682938896
CCDC28B	GSM4260947	35.857860727154026
CCDC28B	GSM4260948	82.29888056021423
