Gene	sample	counts
CCDC88C	GSM1022678	4714.002093289981
CCDC88C	GSM1022679	1085.1582977185276
CCDC88C	GSM1022680	2427.987372087224
CCDC88C	GSM1022681	3257.752039046625
CCDC88C	GSM1022682	1335.0690028993297
CCDC88C	GSM1022683	2816.01045992224
CCDC88C	GSM1022684	1509.1382329022194
CCDC88C	GSM1022685	2493.4818653063226
CCDC88C	GSM1022686	1548.560710925918
CCDC88C	GSM1022687	1605.8978904722803
CCDC88C	GSM1022688	1951.368236551074
CCDC88C	GSM1022689	2973.6671682836763
CCDC88C	GSM1022690	1285.966440948441
CCDC88C	GSM1022691	1477.38401088017
CCDC88C	GSM1022692	2149.5179148279635
CCDC88C	GSM1022693	2099.9964147311857
CCDC88C	GSM1022694	1379.7568650514304
CCDC88C	GSM1022695	1960.7930338987549
CCDC88C	GSM1385778	2419.311806988355
CCDC88C	GSM1385779	1697.755851163227
CCDC88C	GSM1385780	1990.1917318438277
CCDC88C	GSM1385781	2036.9263240342452
CCDC88C	GSM1385782	2433.829843348798
CCDC88C	GSM1385783	2081.7263705659
CCDC88C	GSM1415906	3008.549761047356
CCDC88C	GSM1415907	2951.248132998785
CCDC88C	GSM1415908	2248.6304318393254
CCDC88C	GSM1415909	2928.0734293255273
CCDC88C	GSM1415910	2533.3224246606537
CCDC88C	GSM1415911	2535.4856841025385
CCDC88C	GSM1415912	1652.53077200147
CCDC88C	GSM1415913	1757.6758282003934
CCDC88C	GSM1415914	2097.630481637046
CCDC88C	GSM1415915	1864.251163304653
CCDC88C	GSM1415916	1944.3793937803837
CCDC88C	GSM1415917	1664.9878101640527
CCDC88C	GSM1415918	1821.2141316354
CCDC88C	GSM1415919	1616.078490096273
CCDC88C	GSM1415920	1856.2144693858245
CCDC88C	GSM1415921	1831.376216959367
CCDC88C	GSM2769390	2090.6678220764575
CCDC88C	GSM2769391	2057.771344790492
CCDC88C	GSM2769392	2078.528363605281
CCDC88C	GSM2769393	2154.78495846332
CCDC88C	GSM2769394	2150.9321944045355
CCDC88C	GSM2769395	2023.8930375004984
CCDC88C	GSM2769396	2260.367348324769
