Gene	sample	counts
CD209	GSM1022678	160.17589997813653
CD209	GSM1022679	43.74054487708917
CD209	GSM1022680	213.76840002530233
CD209	GSM1022681	144.19889694826236
CD209	GSM1022682	93.13726406068577
CD209	GSM1022683	203.54647394238947
CD209	GSM1022684	10.622642381309609
CD209	GSM1022685	14.528260151121636
CD209	GSM1022686	8.515743410483912
CD209	GSM1022687	5.6567386139099485
CD209	GSM1022688	18.112232265960515
CD209	GSM1022689	43.125980768089974
CD209	GSM1022690	1.1264867493652244
CD209	GSM1022691	7.713329689336239
CD209	GSM1022692	25.478745069969733
CD209	GSM1022693	1.0106385913341225
CD209	GSM1022694	5.281172435440284
CD209	GSM1022695	20.536181318138084
CD209	GSM1385778	1
CD209	GSM1385779	1.1010498670455962
CD209	GSM1385780	2.1676486406610653
CD209	GSM1385781	1.0084216173196312
CD209	GSM1385782	2.0106104459433434
CD209	GSM1385783	2.16096316090941
CD209	GSM1415906	17
CD209	GSM1415907	12.101059407835573
CD209	GSM1415908	9.152227424497864
CD209	GSM1415909	12.063662675660058
CD209	GSM1415910	20.132666812976243
CD209	GSM1415911	7.037136560801701
CD209	GSM1415912	17.00269483161983
CD209	GSM1415913	58.17096347909352
CD209	GSM1415914	76.60410102512638
CD209	GSM1415915	87.46085965590207
CD209	GSM1415916	60.19862677576751
CD209	GSM1415917	93.35608551135994
CD209	GSM1415918	83.81675545895317
CD209	GSM1415919	13.962103980916858
CD209	GSM1415920	66.67808814133927
CD209	GSM1415921	72.5514173501056
CD209	GSM2769390	1.0945648030738035
CD209	GSM2769391	1.0688566777393549
CD209	GSM2769392	1.052182047516338
CD209	GSM2769393	1.0383166180633372
CD209	GSM2769394	1.0194079414219277
CD209	GSM2769395	1.069818126570515
CD209	GSM2769396	1.0213903622938192
CD209	GSM2769397	1.0576052477160802
CD209	GSM2769398	1.063216079371224
CD209	GSM3103946	7.074470139338856
CD209	GSM3103947	22.042072771306263
CD209	GSM3103948	143.68294433268625
CD209	GSM3103949	193.31733587745492
CD209	GSM3103950	45.33844904785404
CD209	GSM3103951	117
CD209	GSM3103952	6.031831337830029
CD209	GSM3103953	20.23764990249097
CD209	GSM3103954	13.06896789863173
CD209	GSM3103955	59.178866751286435
CD209	GSM3103956	13.419334720361364
CD209	GSM3103957	15.26598554567921
CD209	GSM3103958	10.277326924293382
CD209	GSM3103959	21
CD209	GSM3103960	32
CD209	GSM3103961	8.12617052935259
CD209	GSM3103962	7.0589513212374175
CD209	GSM3103963	9.290308652557869
CD209	GSM3103964	8.098892527016153
CD209	GSM3103965	13
CD209	GSM4260265	1.0213903622938192
CD209	GSM4260266	1.0106385913341225
CD209	GSM4260267	1.061737358926767
CD209	GSM4260268	1.055962388401363
CD209	GSM4260269	1.0191498027987893
CD209	GSM4260270	1.0149651490033698
CD209	GSM4260271	2.2278826671625565
CD209	GSM4260272	1.084460786892387
CD209	GSM4260273	1.0053052229716717
CD209	GSM4260274	15.109257724347284
CD209	GSM4260275	1.074527200739522
CD209	GSM4260276	1.012361565877019
CD209	GSM4735786	1.0354564589203
CD209	GSM4735787	3.085678825442462
CD209	GSM4735788	1.0418861325748268
CD209	GSM4735790	1.0409497863123298
CD209	GSM4735793	1.0628816047551497
CD209	GSM4735798	2.218896564712623
CD209	GSM4735800	3.311348426930486
CD209	GSM4735803	7.161921668011298
CD209	GSM4735804	5.2208833848423355
CD209	GSM4735785	9.730795359788411
CD209	GSM4735789	1.0363878638718522
CD209	GSM4735791	1.056822491572205
CD209	GSM4735792	5.397491882213809
CD209	GSM4735794	4.198865068246415
CD209	GSM4735795	21.81199273144103
CD209	GSM4735796	82.54853814867673
CD209	GSM4735797	30.472296143586902
CD209	GSM4735799	12.04757180879148
CD209	GSM4735801	6.399071966325472
CD209	GSM4735802	21.655301841590703
CD209	GSM5282507	1
CD209	GSM5282509	1
CD209	GSM5282510	3.2435984532628046
CD209	GSM5282511	1.0477400148936675
CD209	GSM5282512	1.0331850435179522
CD209	GSM5282515	3.085678825442462
CD209	GSM5282516	1.0528865447675189
CD209	GSM5282519	1.100913956612852
CD209	GSM5282521	28.7703278115583
CD209	GSM5282523	17
CD209	GSM5282524	11.117024504675346
CD209	GSM5282526	1
CD209	GSM5282528	4.08923645852101
CD209	GSM5282529	1
CD209	GSM5282513	3.057449408396368
CD209	GSM5282533	0.9640220474377502
CD209	GSM5282534	12
CD209	GSM5282536	1.013771518848965
CD209	GSM5282525	6
CD209	GSM5282530	2.0382996055975786
CD209	GSM5282514	4
CD209	GSM5282520	5.204748931561649
CD209	GSM5282535	3
CD209	GSM5282522	4.114981780793964
CD209	GSM5282531	57.904915406434135
CD209	GSM5282508	2.0589696192727236
CD209	GSM5282518	7
CD209	GSM5282517	6.259429633120194
CD209	GSM5282527	10.053052229716716
CD209	GSM5282532	3
