Gene	sample	counts
CDKL1	GSM1022678	287.35277838470796
CDKL1	GSM1022679	51.1046492913535
CDKL1	GSM1022680	193.54264585596175
CDKL1	GSM1022681	181.49893324244655
CDKL1	GSM1022682	76.80942030306512
CDKL1	GSM1022683	267.07924664967516
CDKL1	GSM1022684	205.88658717571832
CDKL1	GSM1022685	190.5386803311316
CDKL1	GSM1022686	166.10495066279364
CDKL1	GSM1022687	173.96321088393017
CDKL1	GSM1022688	187.49056057039303
CDKL1	GSM1022689	211.67438233656156
CDKL1	GSM1022690	133.8188428398124
CDKL1	GSM1022691	165.70803909362428
CDKL1	GSM1022692	292.97735895430833
CDKL1	GSM1022693	394.7589414230258
CDKL1	GSM1022694	134.7378013562714
CDKL1	GSM1022695	197.40900132627004
CDKL1	GSM1385778	288.8730515806991
CDKL1	GSM1385779	157.27941260776086
CDKL1	GSM1385780	131.18627171317834
CDKL1	GSM1385781	205.4128384396184
CDKL1	GSM1385782	259.7964830715722
CDKL1	GSM1385783	123.33006076897058
CDKL1	GSM1415906	279.42256435825976
CDKL1	GSM1415907	222.6786744256509
CDKL1	GSM1415908	279.1753357814061
CDKL1	GSM1415909	304.29393518799355
CDKL1	GSM1415910	244.05415078339104
CDKL1	GSM1415911	285.29236699093536
CDKL1	GSM1415912	132.70151017444886
CDKL1	GSM1415913	113.58349020355024
CDKL1	GSM1415914	160.85116369360762
CDKL1	GSM1415915	146.30014899563346
CDKL1	GSM1415916	147.41559321965278
CDKL1	GSM1415917	154.44952712706015
CDKL1	GSM1415918	137.80373272059626
CDKL1	GSM1415919	153.22981590953748
CDKL1	GSM1415920	177.50389095001466
CDKL1	GSM1415921	209.933103211356
CDKL1	GSM2769390	188.2031218433025
CDKL1	GSM2769391	208.52929780027105
CDKL1	GSM2769392	190.67145270975865
CDKL1	GSM2769393	222.73017599500665
CDKL1	GSM2769394	221.4194906004669
CDKL1	GSM2769395	192.75171785719033
CDKL1	GSM2769396	215.85489993011305
CDKL1	GSM2769397	170.37686823099162
CDKL1	GSM2769398	155.2885321551372
CDKL1	GSM3103946	147.3317950411677
CDKL1	GSM3103947	148.6520185166446
CDKL1	GSM3103948	139.66138773454804
CDKL1	GSM3103949	232.5330002967591
CDKL1	GSM3103950	158.39815026673384
CDKL1	GSM3103951	230
CDKL1	GSM3103952	171.51837437604007
CDKL1	GSM3103953	118.06726040970288
CDKL1	GSM3103954	220.66691440192292
CDKL1	GSM3103955	234.58880086876673
CDKL1	GSM3103956	75.9958367102461
CDKL1	GSM3103957	129.05086118010692
CDKL1	GSM3103958	146.32104198525215
CDKL1	GSM3103959	137.20749576014907
CDKL1	GSM3103960	194
CDKL1	GSM3103961	236.16196427911711
CDKL1	GSM3103962	215.62550374248548
CDKL1	GSM3103963	113.94446717964918
CDKL1	GSM3103964	133.32206579505868
CDKL1	GSM3103965	239.36198165456665
CDKL1	GSM4260265	258.41773250780943
CDKL1	GSM4260266	250.0730009809067
CDKL1	GSM4260267	240.42800541104037
CDKL1	GSM4260268	204.9628385400331
CDKL1	GSM4260269	207.73870319622537
CDKL1	GSM4260270	325.588835189248
CDKL1	GSM4260271	115.59638478220376
