Gene	sample	counts
CDT1	GSM1022678	393.142953919636
CDT1	GSM1022679	1.0848245726655648
CDT1	GSM1022680	98.19307837990634
CDT1	GSM1022681	249.8235446275795
CDT1	GSM1022682	1.0100156499625657
CDT1	GSM1022683	132.9141477722458
CDT1	GSM1022684	41.86873119206293
CDT1	GSM1022685	68.86798284677006
CDT1	GSM1022686	83.90743398185002
CDT1	GSM1022687	1.094806600045286
CDT1	GSM1022688	1.0495019380689916
CDT1	GSM1022689	254.2377474850951
CDT1	GSM1022690	1.0903218103458212
CDT1	GSM1022691	35.426949381246004
CDT1	GSM1022692	137.1800492859404
CDT1	GSM1022693	48.40743486612715
CDT1	GSM1022694	19.80774201512241
CDT1	GSM1022695	143.06764218402603
CDT1	GSM1385778	270
CDT1	GSM1385779	152.1044711922753
CDT1	GSM1385780	115.02038151222816
CDT1	GSM1385781	182.42174899151323
CDT1	GSM1385782	293.3287716949054
CDT1	GSM1385783	115.81294528180592
CDT1	GSM1415906	251
CDT1	GSM1415907	250.51193989265968
CDT1	GSM1415908	105.36005384267624
CDT1	GSM1415909	237.43300327175777
CDT1	GSM1415910	156.0792824654794
CDT1	GSM1415911	126.38196006655583
CDT1	GSM1415912	42.55579647231319
CDT1	GSM1415913	1.163567230382469
CDT1	GSM1415914	62.948154509192214
CDT1	GSM1415915	91.80193422288004
CDT1	GSM1415916	35.80619817573569
CDT1	GSM1415917	1.107408486899727
CDT1	GSM1415918	1.116501825355792
CDT1	GSM1415919	1.1134638835084691
CDT1	GSM1415920	30.570643447882546
CDT1	GSM1415921	4.245761870211441
CDT1	GSM2769390	48.376668732239786
CDT1	GSM2769391	40.141406465859816
CDT1	GSM2769392	68.89233258509019
CDT1	GSM2769393	197.1956559324588
CDT1	GSM2769394	52.93756640534646
CDT1	GSM2769395	144.74570537078927
CDT1	GSM2769396	82.34530938668374
CDT1	GSM2769397	57.4073043657837
CDT1	GSM2769398	50.28697653883744
CDT1	GSM3103946	8.080125199700525
CDT1	GSM3103947	23.778481116834637
CDT1	GSM3103948	120.38701996046228
CDT1	GSM3103949	347.46799122700554
CDT1	GSM3103950	107.80276126320734
CDT1	GSM3103951	145
CDT1	GSM3103952	22.10011293591753
CDT1	GSM3103953	10.100156499625658
CDT1	GSM3103954	9.027282861896849
CDT1	GSM3103955	148.36371416039376
