Gene	sample	counts
CECR1	GSM1022678	346.7098594463462
CECR1	GSM1022679	31.40346811688453
CECR1	GSM1022680	267.21050003162793
CECR1	GSM1022681	326.5075023757084
CECR1	GSM1022682	137.68117295927462
CECR1	GSM1022683	392.8446947088117
CECR1	GSM1022684	57.36226885907188
CECR1	GSM1022685	90.2827595105416
CECR1	GSM1022686	90.47977373639156
CECR1	GSM1022687	1.1313477227819897
CECR1	GSM1022688	1.065425427409442
CECR1	GSM1022689	1.0268090659069042
CECR1	GSM1022690	885.4185850010664
CECR1	GSM1022691	14.32475513733873
CECR1	GSM1022692	485.1153061322237
CECR1	GSM1022693	1968.72397591887
CECR1	GSM1022694	9.50611038379251
CECR1	GSM1022695	740.3293365188779
CECR1	GSM1385778	490
CECR1	GSM1385779	538.4133849852965
CECR1	GSM1385780	536.4930385636137
CECR1	GSM1385781	492.10974925198
CECR1	GSM1385782	491.5942540331474
CECR1	GSM1385783	534.838382325079
CECR1	GSM1415906	809
CECR1	GSM1415907	918.672093378184
CECR1	GSM1415908	334.5647580733108
CECR1	GSM1415909	978.1619819514364
CECR1	GSM1415910	941.2021735066394
CECR1	GSM1415911	607.2043546748896
CECR1	GSM1415912	1.2144782022585594
CECR1	GSM1415913	94.06368562576826
CECR1	GSM1415914	37.730378116853295
CECR1	GSM1415915	132.85193871782593
CECR1	GSM1415916	1.1147893847364354
CECR1	GSM1415917	1.1525442655723448
CECR1	GSM1415918	81.48851225176001
CECR1	GSM1415919	1.1635086650764048
CECR1	GSM1415920	13.561645045696125
CECR1	GSM1415921	221.98567995181563
CECR1	GSM2769390	791.37035262236
CECR1	GSM2769391	772.7833780055536
CECR1	GSM2769392	763.8841664968613
CECR1	GSM2769393	763.1627142765528
CECR1	GSM2769394	737.0319416480536
CECR1	GSM2769395	776.6879598901937
CECR1	GSM2769396	292.11764361603224
CECR1	GSM2769397	292.9566536173542
CECR1	GSM2769398	294.51085398582904
CECR1	GSM3103946	149.5745115174501
CECR1	GSM3103947	262.66803385806634
CECR1	GSM3103948	610.8294628527499
CECR1	GSM3103949	699.6246441279321
CECR1	GSM3103950	282.5439578344527
CECR1	GSM3103951	381
CECR1	GSM3103952	473.4987600196573
CECR1	GSM3103953	4.047529980498194
CECR1	GSM3103954	403.1273944116403
CECR1	GSM3103955	247.189602713338
CECR1	GSM3103956	143.4836558561715
CECR1	GSM3103957	1.0177323697119474
CECR1	GSM3103958	183.96415194485152
CECR1	GSM3103959	166
CECR1	GSM3103960	296
CECR1	GSM3103961	194.1251848678674
CECR1	GSM3103962	57.480032187218974
CECR1	GSM3103963	73.29021270351207
CECR1	GSM3103964	149.82951174979883
CECR1	GSM3103965	122
CECR1	GSM4260265	1085.7379551183296
CECR1	GSM4260266	1205.691839461608
CECR1	GSM4260267	1013.9591777750622
CECR1	GSM4260268	842.6579859442876
CECR1	GSM4260269	923.3497213357032
CECR1	GSM4260270	1131.6861411387574
CECR1	GSM4260271	577.0216107951022
CECR1	GSM4260272	535.7236287248393
CECR1	GSM4260273	653.4483949315866
CECR1	GSM4260274	747.9082573551905
CECR1	GSM4260275	927.3169742382076
CECR1	GSM4260276	1827.3126264080197
CECR1	GSM4735786	1379.2280032818396
CECR1	GSM4735787	1485.240074646305
CECR1	GSM4735788	930.4043163893205
CECR1	GSM4735790	641.2250683683951
CECR1	GSM4735793	1328.6020059439368
CECR1	GSM4735798	117.601517929769
CECR1	GSM4735800	201.9922540427596
CECR1	GSM4735803	329.44839672851975
CECR1	GSM4735804	381.1244870934905
CECR1	GSM4735785	1473.6748972657342
CECR1	GSM4735789	610.4324518205209
CECR1	GSM4735791	1050.481556622772
CECR1	GSM4735792	3275.1980741273396
CECR1	GSM4735794	756.8454285514164
CECR1	GSM4735795	321.98655936889145
CECR1	GSM4735796	947.6572179468088
CECR1	GSM4735797	222.01244333184744
CECR1	GSM4735799	132.5232898967063
CECR1	GSM4735801	200.5042549448648
CECR1	GSM4735802	186.6480777775199
CECR1	GSM5282507	1395
CECR1	GSM5282509	1211
CECR1	GSM5282510	1754.7867632151772
CECR1	GSM5282511	1515.0320615362434
CECR1	GSM5282512	1034.21822856147
CECR1	GSM5282515	674.7351031634183
CECR1	GSM5282516	1319.266840593701
CECR1	GSM5282519	1545.6831950844444
CECR1	GSM5282521	2963.343764590505
CECR1	GSM5282523	1961
CECR1	GSM5282524	1810.053717079413
CECR1	GSM5282526	1399
CECR1	GSM5282528	830.1150010797651
CECR1	GSM5282529	923
CECR1	GSM5282513	903.985875082526
CECR1	GSM5282533	1233.9482207203205
CECR1	GSM5282534	1311
CECR1	GSM5282536	898.2015657001833
CECR1	GSM5282525	1605
CECR1	GSM5282530	1494.0736109030252
CECR1	GSM5282514	1508
CECR1	GSM5282520	1617.6359679293605
CECR1	GSM5282535	1464
CECR1	GSM5282522	1354.8577513264129
CECR1	GSM5282531	2926.266260718011
CECR1	GSM5282508	969.7746906774528
CECR1	GSM5282518	1188
CECR1	GSM5282517	1993.6283381487815
CECR1	GSM5282527	1736.1621200720767
CECR1	GSM5282532	755
