Gene	sample	counts
CENPU	GSM1022678	149.7472225385098
CENPU	GSM1022679	34.79465483666622
CENPU	GSM1022680	444.4312608544307
CENPU	GSM1022681	47.16921428899741
CENPU	GSM1022682	67.71356789875479
CENPU	GSM1022683	598.1356512420481
CENPU	GSM1022684	242.4654224607444
CENPU	GSM1022685	234.82604927296225
CENPU	GSM1022686	388.9799477546434
CENPU	GSM1022687	182.66137142812667
CENPU	GSM1022688	174.92136097908178
CENPU	GSM1022689	355.858381899147
CENPU	GSM1022690	39.16649058726217
CENPU	GSM1022691	263.6264258307659
CENPU	GSM1022692	371.30811117473104
CENPU	GSM1022693	194.85543655919176
CENPU	GSM1022694	442.8591300392176
CENPU	GSM1022695	329.3559503992692
CENPU	GSM1385778	260.7881715659089
CENPU	GSM1385779	200.3696626372844
CENPU	GSM1385780	190.91335476958471
CENPU	GSM1385781	220.59112699427
CENPU	GSM1385782	224.55277412775425
CENPU	GSM1385783	193.50061258579868
CENPU	GSM1415906	395.5982541989699
CENPU	GSM1415907	509.84348081167127
CENPU	GSM1415908	423.33132734853217
CENPU	GSM1415909	569.2916337126369
CENPU	GSM1415910	439.7008667006549
CENPU	GSM1415911	385.7474257905605
CENPU	GSM1415912	141.77511770774453
CENPU	GSM1415913	117.02541414911236
CENPU	GSM1415914	194.77215739770173
CENPU	GSM1415915	169.9663495684565
CENPU	GSM1415916	142.03546208024937
CENPU	GSM1415917	180.73880834017675
CENPU	GSM1415918	164.26204940295074
CENPU	GSM1415919	207.24608194959023
CENPU	GSM1415920	232.70327167227535
CENPU	GSM1415921	237.3615488570608
CENPU	GSM2769390	221.54196056983037
CENPU	GSM2769391	352.4886099872602
CENPU	GSM2769392	242.0060745931552
CENPU	GSM2769393	282.8155257983108
CENPU	GSM2769394	295.9062316780433
CENPU	GSM2769395	433.1618274922574
CENPU	GSM2769396	84.50922968961973
CENPU	GSM2769397	56.44387045689293
CENPU	GSM2769398	47.2161077498728
CENPU	GSM3103946	220.99769256175156
CENPU	GSM3103947	211.96676714410435
CENPU	GSM3103948	296.51186934411743
CENPU	GSM3103949	449.5638005737342
CENPU	GSM3103950	177.7802024090768
CENPU	GSM3103951	242
CENPU	GSM3103952	120.36377149195796
CENPU	GSM3103953	51.46521607602433
CENPU	GSM3103954	254.769982991311
CENPU	GSM3103955	317.0406469791043
CENPU	GSM3103956	176.63897181300445
CENPU	GSM3103957	288.58617775708944
CENPU	GSM3103958	1.023224069826938
CENPU	GSM3103959	144.21809773329537
CENPU	GSM3103960	291
CENPU	GSM3103961	324.3885094249005
CENPU	GSM3103962	76.57728170293878
CENPU	GSM3103963	66.7242375376324
CENPU	GSM3103964	131.30203449513354
CENPU	GSM3103965	64.09693232590905
CENPU	GSM4260265	205.3042064587735
CENPU	GSM4260266	226.78685109199637
CENPU	GSM4260267	202.46568876719184
CENPU	GSM4260268	218.62702777603528
CENPU	GSM4260269	207.73870319622537
CENPU	GSM4260270	205.90197365550577
CENPU	GSM4260271	232.2833014963151
CENPU	GSM4260272	229.345411856894
CENPU	GSM4260273	223.01593632943877
CENPU	GSM4260274	166.3927176840159
CENPU	GSM4260275	218.41265300929143
CENPU	GSM4260276	219.09226567517865
CENPU	GSM4735785	142.82546070017432
CENPU	GSM4735786	128.93301205927696
CENPU	GSM4735787	160.92650450606047
CENPU	GSM4735788	117.25058645986388
CENPU	GSM4735789	220.87942377392656
CENPU	GSM4735790	121.34191593500532
CENPU	GSM4735791	118.87751731637384
CENPU	GSM4735792	146.85309818485922
CENPU	GSM4735793	136.3905345465905
CENPU	GSM4735794	151.48841963603695
CENPU	GSM4735795	221.5490040866687
CENPU	GSM4735796	1.094525086802148
CENPU	GSM4735797	323.32957588320716
CENPU	GSM4735798	87.92085727033911
CENPU	GSM4735799	166.56534009820507
CENPU	GSM4735800	1.0951432573099251
CENPU	GSM4735801	15.922092050505686
CENPU	GSM4735802	545.8675706783771
CENPU	GSM4735803	476.0849584051663
CENPU	GSM4735804	451.0085629828378
CENPU	GSM5282507	193
CENPU	GSM5282508	93.82066215096329
CENPU	GSM5282509	178.81000466333273
CENPU	GSM5282510	68.07047284639589
CENPU	GSM5282511	51.50807326602574
CENPU	GSM5282512	142.86804936430036
CENPU	GSM5282513	107.14136919323168
CENPU	GSM5282514	173
CENPU	GSM5282515	173.97487585722186
CENPU	GSM5282516	227.88739782752285
CENPU	GSM5282517	128.56310670183342
CENPU	GSM5282518	187
CENPU	GSM5282519	25.256016413974297
CENPU	GSM5282520	65.73647288890092
CENPU	GSM5282521	112.12238790965152
CENPU	GSM5282522	134.9219844506932
CENPU	GSM5282523	169
CENPU	GSM5282524	222.34305877203064
CENPU	GSM5282525	140
CENPU	GSM5282526	145
CENPU	GSM5282527	172.1906922683676
CENPU	GSM5282528	238.5610077796149
CENPU	GSM5282529	138
CENPU	GSM5282530	107.2333543362341
CENPU	GSM5282531	67.23519770047777
CENPU	GSM5282532	151.68713878743395
CENPU	GSM5282533	202.04275205130304
CENPU	GSM5282534	96.37630089428168
CENPU	GSM5282535	111.16811700274852
CENPU	GSM5282536	112.62191147113955
CENPU	GSM4260927	16
CENPU	GSM4260928	80.82535397716985
CENPU	GSM4260929	142.8581625181274
CENPU	GSM4260930	151
CENPU	GSM4260931	174.52746866333902
CENPU	GSM4260932	141.2135540305184
CENPU	GSM4260933	212.6865720390928
CENPU	GSM4260934	165
CENPU	GSM4260935	67.56871116730247
CENPU	GSM4260936	119.8302323371166
CENPU	GSM4260937	160
CENPU	GSM4260938	75.60118835706204
CENPU	GSM4260939	183.2771658693962
CENPU	GSM4260940	141.98179888795224
CENPU	GSM4260941	118
CENPU	GSM4260942	74.06531357925742
CENPU	GSM4260943	49.72935670089443
CENPU	GSM4260944	104.11722729275822
CENPU	GSM4260945	169.91941160887615
CENPU	GSM4260946	201.2399899013307
CENPU	GSM4260947	92.20592758411034
CENPU	GSM4260948	131.2123661761906
CENPU	GSM4260949	1.030083955420294
CENPU	GSM4260950	81
CENPU	GSM4260951	117.58447475996464
CENPU	GSM4260952	153.26387471696893
CENPU	GSM4260953	142.5220590284541
CENPU	GSM4260954	58.440557089084855
CENPU	GSM4260955	46.03996812996085
CENPU	GSM4260956	78.68933749512696
CENPU	GSM4260957	196.21630856267024
CENPU	GSM4260958	41.853202506767126
CENPU	GSM4260959	186.23681960704627
CENPU	GSM4260960	151.9168792120145
CENPU	GSM4260961	21.063660011092644
CENPU	GSM4260962	192.75260178856337
CENPU	GSM4260963	239
CENPU	GSM4260964	216
CENPU	GSM4260965	66.16016602264438
CENPU	GSM4260966	462.7709031055756
CENPU	GSM4260967	134.80002764430284
CENPU	GSM4260968	368
CENPU	GSM4260969	123.3728657792569
CENPU	GSM4260970	195.99224523241145
CENPU	GSM4260971	44.55426813028688
CENPU	GSM4260972	72.87702950069216
CENPU	GSM4260973	160.72809407940022
CENPU	GSM4260974	180.8744353547955
CENPU	GSM4260975	165
CENPU	GSM4260976	188
CENPU	GSM4260977	69.45254987534548
CENPU	GSM4260978	90
CENPU	GSM4260979	97.14086728805798
CENPU	GSM4260980	131.27117710742448
CENPU	GSM4260981	178.65893449604854
CENPU	GSM4260982	137.415305786652
CENPU	GSM4260983	167.51613781974635
CENPU	GSM4260984	107.36746112841026
CENPU	GSM4260985	142.0067844755264
CENPU	GSM4260986	144.8201977882234
CENPU	GSM4260987	95.02871075666351
CENPU	GSM4260988	58.87616351834493
CENPU	GSM4260989	109
CENPU	GSM4260990	110.43742799473968
CENPU	GSM4260991	137.20749576014907
CENPU	GSM4260992	163.25163332673563
CENPU	GSM4260993	116.01637942734033
CENPU	GSM4260994	126.97508387094364
CENPU	GSM4260995	54.56016816824118
CENPU	GSM4260996	134.3992605322468
CENPU	GSM4260997	90
CENPU	GSM4260998	36.17099838611805
CENPU	GSM4260999	109
