Gene	sample	counts
CEP57L1	GSM1022678	253.44287971224136
CEP57L1	GSM1022679	78.50867029221132
CEP57L1	GSM1022680	157.24310194168874
CEP57L1	GSM1022681	177.1586448221509
CEP57L1	GSM1022682	76.93947900665346
CEP57L1	GSM1022683	239.16710688230765
CEP57L1	GSM1022684	99.85283838431032
CEP57L1	GSM1022685	153.58446445471444
CEP57L1	GSM1022686	176.7016757675412
CEP57L1	GSM1022687	135.76172673383877
CEP57L1	GSM1022688	140.63615641804634
CEP57L1	GSM1022689	197.1473406541256
CEP57L1	GSM1022690	99.13083394413977
CEP57L1	GSM1022691	113.49613685737609
CEP57L1	GSM1022692	204.84911036255664
CEP57L1	GSM1022693	184.94686221414435
CEP57L1	GSM1022694	146.81659370523988
CEP57L1	GSM1022695	175.58435027008062
CEP57L1	GSM1385778	181
CEP57L1	GSM1385779	115.6102360397876
CEP57L1	GSM1385780	170.16041829189365
CEP57L1	GSM1385781	116.97690760907722
CEP57L1	GSM1385782	222.17245427673944
CEP57L1	GSM1385783	154.50886600502284
CEP57L1	GSM1415906	263
CEP57L1	GSM1415907	222.86117742763847
CEP57L1	GSM1415908	194.23060423101023
CEP57L1	GSM1415909	211.11409682405105
CEP57L1	GSM1415910	175.15420127289332
CEP57L1	GSM1415911	205.082265486221
CEP57L1	GSM1415912	127.52021123714871
CEP57L1	GSM1415913	126.24336755037318
CEP57L1	GSM1415914	121.19454789049846
CEP57L1	GSM1415915	117.3525458674129
CEP57L1	GSM1415916	142.69304124626373
CEP57L1	GSM1415917	130.23750200967496
CEP57L1	GSM1415918	132.70986281000918
CEP57L1	GSM1415919	137.29402247901575
CEP57L1	GSM1415920	129.96576502125453
CEP57L1	GSM1415921	145.1028347002112
CEP57L1	GSM2769390	73.33584180594484
CEP57L1	GSM2769391	133.60708471741935
CEP57L1	GSM2769392	119.94875341686252
CEP57L1	GSM2769393	170.2839253623873
CEP57L1	GSM2769394	200.8233644601197
CEP57L1	GSM2769395	157.2632646058657
CEP57L1	GSM2769396	249.21924839969185
CEP57L1	GSM2769397	178.73528686401755
CEP57L1	GSM2769398	138.2180903182591
CEP57L1	GSM3103946	109.1489678640852
CEP57L1	GSM3103947	149.70241090512172
CEP57L1	GSM3103948	148.63752862002025
CEP57L1	GSM3103949	138.08381134103925
CEP57L1	GSM3103950	178.72548030458407
CEP57L1	GSM3103951	185
CEP57L1	GSM3103952	112.59418497282722
CEP57L1	GSM3103953	169.99625918092414
CEP57L1	GSM3103954	177.93902446598588
CEP57L1	GSM3103955	144.54307277305358
CEP57L1	GSM3103956	81.54826483911906
CEP57L1	GSM3103957	154.69532019621602
CEP57L1	GSM3103958	103.80100193536316
CEP57L1	GSM3103959	129
CEP57L1	GSM3103960	109
CEP57L1	GSM3103961	160.7175949138623
CEP57L1	GSM3103962	169.41483170969803
CEP57L1	GSM3103963	194.06422518676436
CEP57L1	GSM3103964	149.82951174979883
CEP57L1	GSM3103965	95
CEP57L1	GSM4260265	144.0160410834285
CEP57L1	GSM4260266	238.51070755485287
CEP57L1	GSM4260267	116.79110948194436
CEP57L1	GSM4260268	143.61088482258535
CEP57L1	GSM4260269	215.04060839054455
CEP57L1	GSM4260270	161.3794586915358
CEP57L1	GSM4260271	118.0777813596155
CEP57L1	GSM4260272	100.854853180992
CEP57L1	GSM4260273	226.1936751686261
CEP57L1	GSM4260274	83.85638037012743
CEP57L1	GSM4260275	138.61400889539834
CEP57L1	GSM4260276	192.34869751663365
CEP57L1	GSM4735786	107.6874717277112
CEP57L1	GSM4735787	187.19784874350935
CEP57L1	GSM4735788	86.47654900371063
CEP57L1	GSM4735790	216.51755555296455
CEP57L1	GSM4735793	165.8095303418033
CEP57L1	GSM4735798	130.91489731804475
CEP57L1	GSM4735800	107.06693247075236
CEP57L1	GSM4735803	248.62099504667793
CEP57L1	GSM4735804	150.36144148345926
CEP57L1	GSM4735785	123.25674122398657
CEP57L1	GSM4735789	177.2223247220867
CEP57L1	GSM4735791	147.95514882010872
CEP57L1	GSM4735792	123.06281491447486
CEP57L1	GSM4735794	201.54552327582795
CEP57L1	GSM4735795	230.58392316094807
CEP57L1	GSM4735796	233.3372011669262
CEP57L1	GSM4735797	145.8317029728802
CEP57L1	GSM4735799	146.76132930709622
CEP57L1	GSM4735801	175.97447907395048
CEP57L1	GSM4735802	116.52614800474998
CEP57L1	GSM5282507	183
CEP57L1	GSM5282509	192
CEP57L1	GSM5282510	241.10748502586847
CEP57L1	GSM5282511	115.25140163830343
CEP57L1	GSM5282512	139.47998087492354
CEP57L1	GSM5282515	145.0269047957957
CEP57L1	GSM5282516	115.81751992442707
CEP57L1	GSM5282519	86.97220257241531
CEP57L1	GSM5282521	92.47605368000885
CEP57L1	GSM5282523	215
CEP57L1	GSM5282524	136.43620983010652
CEP57L1	GSM5282526	246
CEP57L1	GSM5282528	151.3017489652774
CEP57L1	GSM5282529	231
CEP57L1	GSM5282513	140.6426727862329
CEP57L1	GSM5282533	198.58854177217657
CEP57L1	GSM5282534	112
CEP57L1	GSM5282536	154.09327086504274
CEP57L1	GSM5282525	167
CEP57L1	GSM5282530	137.58522337783654
CEP57L1	GSM5282514	161
CEP57L1	GSM5282520	108.25877777648228
CEP57L1	GSM5282535	160
CEP57L1	GSM5282522	179.00170746453745
CEP57L1	GSM5282531	83.7553240700208
CEP57L1	GSM5282508	116.33178348890888
CEP57L1	GSM5282518	211
CEP57L1	GSM5282517	83.45906177493592
CEP57L1	GSM5282527	193.01860281056096
CEP57L1	GSM5282532	201
