Gene	sample	counts
CERK	GSM1022678	2655.9889020586206
CERK	GSM1022679	901.4892198850844
CERK	GSM1022680	2723.835080475944
CERK	GSM1022681	2203.3617542563575
CERK	GSM1022682	884.7737093672076
CERK	GSM1022683	2811.489339518268
CERK	GSM1022684	1735.4589079110085
CERK	GSM1022685	2050.6212802881532
CERK	GSM1022686	1805.0586735345485
CERK	GSM1022687	1447.3343252598684
CERK	GSM1022688	1609.9359729978332
CERK	GSM1022689	2620.9971798965425
CERK	GSM1022690	1683.456875173948
CERK	GSM1022691	1979.614989667201
CERK	GSM1022692	2593.2110057608884
CERK	GSM1022693	2647.281594241328
CERK	GSM1022694	2100.6631663406138
CERK	GSM1022695	2430.1060936686704
CERK	GSM1385778	2519
CERK	GSM1385779	1860.8525730969848
CERK	GSM1385780	1652.8854824720197
CERK	GSM1385781	2093.3147660517848
CERK	GSM1385782	2477.221749998756
CERK	GSM1385783	1675.5689422881462
CERK	GSM1415906	2966
CERK	GSM1415907	2649.9937738042795
CERK	GSM1415908	2430.3727804671184
CERK	GSM1415909	2399.4818339116196
CERK	GSM1415910	3495.1689641140583
CERK	GSM1415911	2464.448221297839
CERK	GSM1415912	1678.0785690028365
CERK	GSM1415913	1609.2134796189544
CERK	GSM1415914	1826.6008343544547
CERK	GSM1415915	1930.0006641916073
CERK	GSM1415916	1992.126662140931
CERK	GSM1415917	1624.5682502818995
CERK	GSM1415918	1586.549093830581
CERK	GSM1415919	1512.083953804501
CERK	GSM1415920	1532.8994071723962
CERK	GSM1415921	1562.44036823781
CERK	GSM2769390	1838.313411825112
CERK	GSM2769391	1806.3632909636915
CERK	GSM2769392	2029.192341597202
CERK	GSM2769393	1697.3280542039909
CERK	GSM2769394	2080.853571779388
CERK	GSM2769395	1643.973120853636
CERK	GSM2769396	2797.7073016315267
CERK	GSM2769397	2411.1067833629154
CERK	GSM2769398	2392.8219669730147
CERK	GSM3103946	2434.1377164097835
CERK	GSM3103947	2367.7879850571107
CERK	GSM3103948	2262.9893394948804
CERK	GSM3103949	1937.345921816914
CERK	GSM3103950	1820.668856889724
CERK	GSM3103951	1638
CERK	GSM3103952	1903.623364252896
CERK	GSM3103953	2273.5452280657355
CERK	GSM3103954	2161.532729709745
CERK	GSM3103955	1367.0656519064853
CERK	GSM3103956	1393.8057423913465
CERK	GSM3103957	1852.4387396168104
CERK	GSM3103958	1717.5209086485145
CERK	GSM3103959	2113.387221112962
CERK	GSM3103960	2417
CERK	GSM3103961	1163.0325118133171
CERK	GSM3103962	1094.24905170252
CERK	GSM3103963	700.5742048967948
CERK	GSM3103964	2114.2803588685824
CERK	GSM3103965	1671
CERK	GSM4260265	2720.6509290480353
CERK	GSM4260266	2002.0981792154216
CERK	GSM4260267	2225.4628043793837
CERK	GSM4260268	2118.8415633005943
CERK	GSM4260269	1868.969113269171
CERK	GSM4260270	3145.8584401132116
CERK	GSM4260271	1574.5062243838297
CERK	GSM4260272	1454.1894715484796
CERK	GSM4260273	3150.787579577323
CERK	GSM4260274	901.845686923008
CERK	GSM4260275	1414.8291190260277
CERK	GSM4260276	2415.0644861440237
CERK	GSM4735785	1947.5103293705256
CERK	GSM4735786	3000.873458851134
CERK	GSM4735787	3511.224311428244
CERK	GSM4735788	2923.783780610429
CERK	GSM4735789	2962.3396820777907
CERK	GSM4735790	2405.1491197668356
