Gene	sample	counts
CES3	GSM1022678	111.64921495399072
CES3	GSM1022679	1.0886816601851197
CES3	GSM1022680	87.6217066343887
CES3	GSM1022681	30.933264405592933
CES3	GSM1022682	14.16320986909694
CES3	GSM1022683	112.29503146872284
CES3	GSM1022684	47.60167240747861
CES3	GSM1022685	67.41246613605117
CES3	GSM1022686	10.604724495698388
CES3	GSM1022687	14.41544679677725
CES3	GSM1022688	72.05072037524133
CES3	GSM1022689	143.94982135930982
CES3	GSM1022690	15.444522762248504
CES3	GSM1022691	1.0928326885818789
CES3	GSM1022692	7.160989308368871
CES3	GSM1022693	84.11930459882599
CES3	GSM1022694	1.0545664475046876
CES3	GSM1022695	5.1491054731713675
CES3	GSM1385778	41.26653429463462
CES3	GSM1385779	16.324751083360947
CES3	GSM1385780	57.07936362449995
CES3	GSM1385781	24.38542540841412
CES3	GSM1385782	33.36214294060046
CES3	GSM1385783	58.99314466177342
CES3	GSM1415906	156.98611237955132
CES3	GSM1415907	58.81828805243019
CES3	GSM1415908	50.181609998474336
CES3	GSM1415909	76.03098940816851
CES3	GSM1415910	25.374821580452434
CES3	GSM1415911	109.09265589329692
CES3	GSM1415912	14.190145223809832
CES3	GSM1415913	1.1954362057291898
CES3	GSM1415914	43.215444154697394
CES3	GSM1415915	1.1104272564901518
CES3	GSM1415916	17.746232377255726
CES3	GSM1415917	1.1335736061479336
CES3	GSM1415918	1.14248870104818
CES3	GSM1415919	52.604040445122806
CES3	GSM1415920	27.926981336277574
CES3	GSM1415921	20.499263531280985
CES3	GSM2769390	36.718997050905955
CES3	GSM2769391	25.07447245656272
CES3	GSM2769392	48.550608547037406
CES3	GSM2769393	51.34848839967419
CES3	GSM2769394	44.77788047967009
CES3	GSM2769395	24.934156659884632
CES3	GSM2769396	68.3625606293013
CES3	GSM2769397	49.247709157809915
CES3	GSM2769398	18.920902063584908
CES3	GSM3103946	13.125800848097176
CES3	GSM3103947	15.500321439284356
CES3	GSM3103948	61.39376978993411
CES3	GSM3103949	100.64765105612118
CES3	GSM3103950	24.190894176276466
CES3	GSM3103951	67
CES3	GSM3103952	117.63698789708246
CES3	GSM3103953	45.45527328887372
CES3	GSM3103954	19.083390135885622
CES3	GSM3103955	46.49567801140689
CES3	GSM3103956	1.0218297981950817
CES3	GSM3103957	1.0133047479406865
CES3	GSM3103958	13.2667447962236
CES3	GSM3103959	16.050490201229884
CES3	GSM3103960	20.042053069673894
CES3	GSM3103961	23.383780468889803
CES3	GSM3103962	26.19184490187644
CES3	GSM3103963	1.02246970304458
CES3	GSM3103964	1.0101171841971937
CES3	GSM3103965	71.19301175666438
CES3	GSM4260265	44.49185794927709
CES3	GSM4260266	48.374102233391184
CES3	GSM4260267	39.81758637300275
CES3	GSM4260268	34.7208761249116
CES3	GSM4260269	50.56128288003262
CES3	GSM4260270	34.286864053664665
CES3	GSM4260271	33.22141181587521
CES3	GSM4260272	31.985636501355422
CES3	GSM4260273	50.294134577305705
CES3	GSM4260274	33.77121991908772
CES3	GSM4260275	44.29303218795349
CES3	GSM4260276	32.2757490862277
CES3	GSM4735785	21.35900814578899
CES3	GSM4735786	19.989424894343284
CES3	GSM4735787	19.78084192140715
CES3	GSM4735788	20.169441642021216
CES3	GSM4735789	20.010016303260524
CES3	GSM4735790	20.18698109706453
CES3	GSM4735791	20.65495133641178
CES3	GSM4735792	58.215177988045255
CES3	GSM4735793	20.806343292351748
CES3	GSM4735794	20.387087592493486
CES3	GSM4735795	227.5247114782854
CES3	GSM4735796	1.1345222112631277
CES3	GSM4735797	1.1166577862322071
CES3	GSM4735798	32.00767893047576
CES3	GSM4735799	1.1303004052343573
CES3	GSM4735800	1.1336053776903567
CES3	GSM4735801	62.97538825347984
CES3	GSM4735802	29.132508982822912
CES3	GSM4735803	53.50806746999087
CES3	GSM4735804	11.637736461905078
CES3	GSM5282507	30.095118022582476
CES3	GSM5282508	32.2757490862277
CES3	GSM5282509	29
CES3	GSM5282510	30.05185676861207
CES3	GSM5282511	27.47710824851176
CES3	GSM5282512	40.4471435902519
CES3	GSM5282513	27.08520221457543
CES3	GSM5282514	32.629584847451085
CES3	GSM5282515	27.313724888151903
CES3	GSM5282516	27.55400842292594
CES3	GSM5282517	34.53096462435359
CES3	GSM5282518	25.845296034560462
CES3	GSM5282519	28.18492182135605
CES3	GSM5282520	32.431539122438934
CES3	GSM5282521	27.27316397332423
CES3	GSM5282522	27.301821923420032
CES3	GSM5282523	28.008284492964183
CES3	GSM5282524	27
CES3	GSM5282525	27
CES3	GSM5282526	25.945849181663466
CES3	GSM5282527	27
CES3	GSM5282528	27.1706732964608
CES3	GSM5282529	32
CES3	GSM5282530	32.18824612947565
CES3	GSM5282531	27.347305399919826
CES3	GSM5282532	34
CES3	GSM5282533	25.108549786130705
CES3	GSM5282534	27
CES3	GSM5282535	29
CES3	GSM5282536	29.030247711261634
CES3	GSM4260927	26.05466899057607
CES3	GSM4260928	12.909112142585409
