Gene	sample	counts
CHAMP1	GSM1022678	721.664893982573
CHAMP1	GSM1022679	41.22199731517146
CHAMP1	GSM1022680	426.5146155266988
CHAMP1	GSM1022681	550.8404385640894
CHAMP1	GSM1022682	94.94147109648118
CHAMP1	GSM1022683	598.6209708826337
CHAMP1	GSM1022684	189.45600864408476
CHAMP1	GSM1022685	421.4309398085929
CHAMP1	GSM1022686	250.65478906121763
CHAMP1	GSM1022687	249.6024919921304
CHAMP1	GSM1022688	265.52399033145485
CHAMP1	GSM1022689	565.6534622760751
CHAMP1	GSM1022690	247.51586768360752
CHAMP1	GSM1022691	234.03257470035237
CHAMP1	GSM1022692	541.6071575511573
CHAMP1	GSM1022693	552.6515480549516
CHAMP1	GSM1022694	266.87602215043523
CHAMP1	GSM1022695	437.2776153808229
CHAMP1	GSM1385778	708
CHAMP1	GSM1385779	234.0584585743042
CHAMP1	GSM1385780	154.4124816092017
CHAMP1	GSM1385781	504.93533836877424
CHAMP1	GSM1385782	617.7986116176945
CHAMP1	GSM1385783	218.8349948422267
CHAMP1	GSM1415906	647
CHAMP1	GSM1415907	572.454995176399
CHAMP1	GSM1415908	485.2640941407877
CHAMP1	GSM1415909	601.6310845614879
CHAMP1	GSM1415910	586.0525315800581
CHAMP1	GSM1415911	597.8067317433912
CHAMP1	GSM1415912	228.8710306955719
CHAMP1	GSM1415913	229.1904460127161
CHAMP1	GSM1415914	240.7408041289184
CHAMP1	GSM1415915	275.39886795555327
CHAMP1	GSM1415916	275.6145919750748
CHAMP1	GSM1415917	256.91876896073666
CHAMP1	GSM1415918	274.6473338801439
CHAMP1	GSM1415919	230.49719105783717
CHAMP1	GSM1415920	232.56955649931496
CHAMP1	GSM1415921	270.660644813743
CHAMP1	GSM2769390	230.06417578831903
CHAMP1	GSM2769391	151.0558225934931
CHAMP1	GSM2769392	219.20287640710515
CHAMP1	GSM2769393	512.0765055337697
CHAMP1	GSM2769394	350.1745555413819
CHAMP1	GSM2769395	431.0526800995329
CHAMP1	GSM2769396	511.3717884504819
CHAMP1	GSM2769397	492.615139142421
CHAMP1	GSM2769398	487.1029322794061
CHAMP1	GSM3103946	334.3151801376093
CHAMP1	GSM3103947	308.06286642395236
CHAMP1	GSM3103948	377.5826264961811
CHAMP1	GSM3103949	496.6249825829884
CHAMP1	GSM3103950	292.7647710396254
CHAMP1	GSM3103951	371
CHAMP1	GSM3103952	316.34119146715943
CHAMP1	GSM3103953	263.61408464022963
CHAMP1	GSM3103954	262.7942344241082
CHAMP1	GSM3103955	333.79893464481194
CHAMP1	GSM3103956	262.10948695412486
CHAMP1	GSM3103957	305.86070248198564
CHAMP1	GSM3103958	300.24025898451816
CHAMP1	GSM3103959	359.08525161767454
CHAMP1	GSM3103960	300
CHAMP1	GSM3103961	428.4555831421411
CHAMP1	GSM3103962	274.0660608315703
CHAMP1	GSM3103963	279.4078940350853
CHAMP1	GSM3103964	275.9075229307471
CHAMP1	GSM3103965	308
CHAMP1	GSM4260265	292.3350118445474
CHAMP1	GSM4260266	613.4647121573754
CHAMP1	GSM4260267	259.87910724482134
CHAMP1	GSM4260268	311.0706595651392
CHAMP1	GSM4260269	650.076213311016
CHAMP1	GSM4260270	420.05510059426734
CHAMP1	GSM4260271	243.14775951180548
CHAMP1	GSM4260272	277.9972516209987
CHAMP1	GSM4260273	482.33533097396537
CHAMP1	GSM4260274	161.10710577938684
CHAMP1	GSM4260275	339.89280438138024
CHAMP1	GSM4260276	386.1676993332009
CHAMP1	GSM4735785	346.2040185442522
CHAMP1	GSM4735786	379.9634850869804
CHAMP1	GSM4735787	486.5333207847806
CHAMP1	GSM4735788	382.492897748631
CHAMP1	GSM4735789	662.6037875957302
CHAMP1	GSM4735790	223.7234666186535
CHAMP1	GSM4735791	479.1892596895959
CHAMP1	GSM4735792	352.7239279981878
CHAMP1	GSM4735793	635.701462202581
CHAMP1	GSM4735794	696.2569852859242
CHAMP1	GSM4735795	402.662590651992
CHAMP1	GSM4735796	309.1280047279102
CHAMP1	GSM4735797	291.0541339787055
CHAMP1	GSM4735798	222.22402065084435
CHAMP1	GSM4735799	256.75950972926967
CHAMP1	GSM4735800	207.45950854563344
CHAMP1	GSM4735801	308.5707334912724
CHAMP1	GSM4735802	327.52648646161447
CHAMP1	GSM4735803	382.2325696625925
CHAMP1	GSM4735804	323.98972473810454
CHAMP1	GSM5282507	459
CHAMP1	GSM5282508	135.9206518281645
CHAMP1	GSM5282509	555.6794117212058
CHAMP1	GSM5282510	603.4171737286366
CHAMP1	GSM5282511	360.8019661219551
CHAMP1	GSM5282512	1.0334723239435966
CHAMP1	GSM5282513	161.06803270304204
CHAMP1	GSM5282514	504
CHAMP1	GSM5282515	186.0463417203788
CHAMP1	GSM5282516	187.4116103234947
CHAMP1	GSM5282517	393.35133301122136
CHAMP1	GSM5282518	405
CHAMP1	GSM5282519	250.5824123566822
CHAMP1	GSM5282520	220.7860115367128
CHAMP1	GSM5282521	646.1307549561348
CHAMP1	GSM5282522	395.9825804533318
CHAMP1	GSM5282523	462
CHAMP1	GSM5282524	176.75273874344902
CHAMP1	GSM5282525	308
CHAMP1	GSM5282526	401
CHAMP1	GSM5282527	519.1331766450297
CHAMP1	GSM5282528	194.2904958644768
CHAMP1	GSM5282529	509
CHAMP1	GSM5282530	692.6693653419576
CHAMP1	GSM5282531	466.9435715878157
CHAMP1	GSM5282532	335.30921352802164
CHAMP1	GSM5282533	503.35426238396366
CHAMP1	GSM5282534	250.7578572749124
CHAMP1	GSM5282535	510
CHAMP1	GSM5282536	397.4780864372966
CHAMP1	GSM4260927	333
CHAMP1	GSM4260928	399.8763020062325
CHAMP1	GSM4260929	329.48051369418573
CHAMP1	GSM4260930	429
CHAMP1	GSM4260931	411.6224872804472
CHAMP1	GSM4260932	299
CHAMP1	GSM4260933	343.7225441646382
CHAMP1	GSM4260934	336
CHAMP1	GSM4260935	252.87091326965975
CHAMP1	GSM4260936	269.8867428047128
CHAMP1	GSM4260937	400
CHAMP1	GSM4260938	153.98634248641156
CHAMP1	GSM4260939	388
CHAMP1	GSM4260940	311.88233480612246
CHAMP1	GSM4260941	336
CHAMP1	GSM4260942	367.8173957953914
CHAMP1	GSM4260943	273.773171780791
CHAMP1	GSM4260944	321.0252045877246
CHAMP1	GSM4260945	382.7337740265718
CHAMP1	GSM4260946	494.4840735011611
CHAMP1	GSM4260947	249.5740742155953
CHAMP1	GSM4260948	394.09004439239834
CHAMP1	GSM4260949	349.5969612252509
CHAMP1	GSM4260950	433
CHAMP1	GSM4260951	328.25355371781296
CHAMP1	GSM4260952	291.45830708627165
CHAMP1	GSM4260953	507.4434594585967
CHAMP1	GSM4260954	357.1555769553983
CHAMP1	GSM4260955	304.7963805279748
CHAMP1	GSM4260956	169.448249351679
CHAMP1	GSM4260957	407.0469760380277
CHAMP1	GSM4260958	187.8881797775187
CHAMP1	GSM4260959	191.0850551685859
CHAMP1	GSM4260960	267.4471212305388
CHAMP1	GSM4260961	464.1119389527618
CHAMP1	GSM4260962	646.955271769274
CHAMP1	GSM4260963	359
CHAMP1	GSM4260964	370
CHAMP1	GSM4260965	309.9796001254016
CHAMP1	GSM4260966	828.8866294300491
CHAMP1	GSM4260967	302.4750559880514
CHAMP1	GSM4260968	429
CHAMP1	GSM4260969	359.5437297656461
CHAMP1	GSM4260970	289.8829304892237
CHAMP1	GSM4260971	188.65156892203655
CHAMP1	GSM4260972	479.28168201447295
CHAMP1	GSM4260973	218.6608515437236
CHAMP1	GSM4260974	270.03516804033154
CHAMP1	GSM4260975	344
CHAMP1	GSM4260976	418
CHAMP1	GSM4260977	213.21774305240015
CHAMP1	GSM4260978	452
CHAMP1	GSM4260979	304.66098127822914
CHAMP1	GSM4260980	362.953069114285
CHAMP1	GSM4260981	451.2675069436719
CHAMP1	GSM4260982	314.95186873729
CHAMP1	GSM4260983	221.04648684523127
CHAMP1	GSM4260984	682.7326707821959
CHAMP1	GSM4260985	306.27716014855537
CHAMP1	GSM4260986	476.86952677634287
CHAMP1	GSM4260987	303.28531291859264
CHAMP1	GSM4260988	303.10048055072133
CHAMP1	GSM4260989	385
CHAMP1	GSM4260990	594.6329416873757
CHAMP1	GSM4260991	515
CHAMP1	GSM4260992	565.7838954303766
CHAMP1	GSM4260993	364.8911425825657
CHAMP1	GSM4260994	286.0063835443343
CHAMP1	GSM4260995	288.83437582003563
CHAMP1	GSM4260996	415.24049835857585
CHAMP1	GSM4260997	485
CHAMP1	GSM4260998	394.7819235710934
CHAMP1	GSM4260999	492
CHAMP1	GSM4261000	365.90317344923074
CHAMP1	GSM4261001	374
CHAMP1	GSM4261002	254.20292124862524
CHAMP1	GSM4261003	414.6270309832242
CHAMP1	GSM4261004	223.6197615315606
CHAMP1	GSM4261005	366
CHAMP1	GSM4261006	225.39111562907203
CHAMP1	GSM4261007	156.25943124755537
CHAMP1	GSM4261008	348
CHAMP1	GSM4261009	307.6084256498275
CHAMP1	GSM4261010	222.68945972023263
CHAMP1	GSM4261011	427.7873003090448
CHAMP1	GSM4261012	89.9070245716781
CHAMP1	GSM4261013	167.71466664504825
CHAMP1	GSM4261014	319.36315139333703
CHAMP1	GSM4261015	265.2596204736743
CHAMP1	GSM4261016	392
CHAMP1	GSM4261017	258.1061461482847
CHAMP1	GSM4261018	371.6124107258224
CHAMP1	GSM4261019	176.17056692621074
CHAMP1	GSM4261020	143.66871790619382
CHAMP1	GSM4261021	213.18769984645675
CHAMP1	GSM4261022	300.3606258108791
CHAMP1	GSM4261023	478
CHAMP1	GSM4261024	269.6449207304315
CHAMP1	GSM4261025	251.40513021470352
CHAMP1	GSM4261026	174.0183984941522
CHAMP1	GSM4261027	315.7250166781275
CHAMP1	GSM4818000	745.2727992930825
CHAMP1	GSM4818001	498.88811723911107
CHAMP1	GSM4818002	553.8679779621573
CHAMP1	GSM4818003	649.0209196764632
CHAMP1	GSM4818004	148.12619970578717
CHAMP1	GSM4818005	231.29600383710283
CHAMP1	GSM4818006	66.31225579758103
CHAMP1	GSM4818007	183.51370717928376
CHAMP1	GSM4818008	562.5787170291492
CHAMP1	GSM4818009	488.9448755118541
CHAMP1	GSM4818010	291.1703557762782
CHAMP1	GSM4818011	284.5741478523952
CHAMP1	GSM4818012	470.9630244898467
CHAMP1	GSM4818013	599.8487294433181
CHAMP1	GSM4818014	123.02645704368388
CHAMP1	GSM4818015	187.96332716400048
CHAMP1	GSM4818016	267.18109241622835
CHAMP1	GSM4818017	449.1376428473012
CHAMP1	GSM4818018	586.8266768372374
CHAMP1	GSM4818019	555.8576469300766
CHAMP1	GSM4818020	393.9699624453823
CHAMP1	GSM4818021	440.2987199000152
CHAMP1	GSM4818022	160.23028788894203
CHAMP1	GSM4818023	116.92275147990657
CHAMP1	GSM3056394	294.22993799996226
CHAMP1	GSM3056395	277.50850901144577
CHAMP1	GSM3056396	184.2944406631516
CHAMP1	GSM3056397	288.7943754956699
CHAMP1	GSM3056398	658.4830679708971
CHAMP1	GSM3056399	213.01139770555136
CHAMP1	GSM3056400	225.98286990522303
CHAMP1	GSM3056401	314.6272272177235
CHAMP1	GSM3056402	366.54892698629936
CHAMP1	GSM3056403	543.8081352843168
CHAMP1	GSM3056404	632.103160779459
CHAMP1	GSM3056405	225.76731807589988
CHAMP1	GSM3056406	229.7458924572807
CHAMP1	GSM3056407	253.23982545765287
CHAMP1	GSM3056408	349.24613327150325
CHAMP1	GSM3056409	412.6749916037589
CHAMP1	GSM3056410	207.02589076260188
CHAMP1	GSM3056411	191.51238237040744
CHAMP1	GSM3056412	158.70256289074513
CHAMP1	GSM3056413	166.27183026276924
CHAMP1	GSM3056414	611.4427792870827
CHAMP1	GSM3056415	294.6374539305924
CHAMP1	GSM3056416	240.5980698877717
CHAMP1	GSM3056417	449.8249699982724
CHAMP1	GSM3056418	824.5241532050347
CHAMP1	GSM3056419	314.8162953311561
CHAMP1	GSM3056420	472.14575788004294
CHAMP1	GSM3056421	306.0552018575777
CHAMP1	GSM3056422	269.1766369090142
CHAMP1	GSM3056423	87.48878253079057
CHAMP1	GSM3056424	325.28380795507695
CHAMP1	GSM3056425	229.4533590156292
CHAMP1	GSM3056426	410.5463067695975
CHAMP1	GSM3056427	203.52758353833516
CHAMP1	GSM3056428	578.1030730160627
CHAMP1	GSM3056429	318.45888503861335
CHAMP1	GSM3056430	413.69370415202866
CHAMP1	GSM3056431	262.24403725442346
CHAMP1	GSM3056432	454.64012917605027
CHAMP1	GSM3056433	189.86416526752137
CHAMP1	GSM3056434	380.5278144888155
CHAMP1	GSM3056435	219.1986424935157
CHAMP1	GSM3056436	141.43956769934164
CHAMP1	GSM3056437	247.55166090019503
CHAMP1	GSM3056438	322.8660322324255
CHAMP1	GSM3056439	346.01653049654493
CHAMP1	GSM3056440	122.86207056813969
CHAMP1	GSM3056441	125.2543224729074
CHAMP1	GSM3056442	507.102663608983
CHAMP1	GSM3056443	498.7959249899071
CHAMP1	GSM3056444	243.66902017761893
CHAMP1	GSM3056445	373.6485691355168
CHAMP1	GSM3056446	478.761596580936
CHAMP1	GSM3056447	585.3180906150659
CHAMP1	GSM3056448	598.8875334806186
CHAMP1	GSM3056449	313.5362511959875
CHAMP1	GSM3056450	800.6122031663051
CHAMP1	GSM3056451	193.64988613153588
CHAMP1	GSM3056452	428.1820713423804
CHAMP1	GSM3056453	456.61454513998706
CHAMP1	GSM3056454	257.4658053568391
CHAMP1	GSM3056455	441.9945299354037
CHAMP1	GSM3056456	409.765154486739
CHAMP1	GSM3056457	321.5399924018697
CHAMP1	GSM3056458	141.9838058287608
CHAMP1	GSM3056459	263.8156375392253
CHAMP1	GSM3056460	381.01483817315267
CHAMP1	GSM3056461	245.5425379374333
CHAMP1	GSM3056462	275.4455450842586
CHAMP1	GSM3056463	211.05038698978748
CHAMP1	GSM3056464	256.03458883410644
CHAMP1	GSM3056465	208.05758626651868
CHAMP1	GSM3056466	414.4179071098414
CHAMP1	GSM3056467	145.52815715241627
CHAMP1	GSM3056468	594.493184569451
CHAMP1	GSM3056469	249.1745985804768
CHAMP1	GSM3056470	266.45510187330365
CHAMP1	GSM3056471	191.97501452358668
CHAMP1	GSM3056472	297.23241565498284
CHAMP1	GSM3056473	248.4402908291232
CHAMP1	GSM3056474	293.4914620577094
CHAMP1	GSM3056475	308.47540854337876
CHAMP1	GSM3056476	393.5524790165271
CHAMP1	GSM3056477	126.6760884370555
CHAMP1	GSM3056478	294.7006978086305
CHAMP1	GSM3056479	219.2084477675398
CHAMP1	GSM3056480	282.89105341179527
CHAMP1	GSM3056481	225.26650782451
CHAMP1	GSM3056482	755.3717139773643
CHAMP1	GSM3056483	420.42125779323777
CHAMP1	GSM3056484	580.9604703790014
CHAMP1	GSM3056485	657.0556122738984
CHAMP1	GSM3056486	1425.155229683884
CHAMP1	GSM3056487	381.1878069796272
CHAMP1	GSM3056488	502.66492235365615
CHAMP1	GSM3056489	438.9670650691032
CHAMP1	GSM3056490	131.00986268310234
CHAMP1	GSM3056491	228.36357050875387
CHAMP1	GSM3056492	129.995927219895
CHAMP1	GSM3056493	453.5730748771219
CHAMP1	GSM3056494	301.59434264186484
CHAMP1	GSM3056495	334.06070433427834
CHAMP1	GSM3056496	212.2315046088602
CHAMP1	GSM3056497	300.5219963598993
CHAMP1	GSM3056498	439.869623199541
CHAMP1	GSM3056499	199.0778716643146
CHAMP1	GSM3056500	567.7328020566978
CHAMP1	GSM3056501	242.48389146779456
CHAMP1	GSM3056502	301.613750869844
CHAMP1	GSM3056503	256.75079483060927
CHAMP1	GSM3056504	203.95831288961256
CHAMP1	GSM3056505	148.48084322882258
CHAMP1	GSM3056506	261.36765332671376
CHAMP1	GSM3056507	518.3921078759889
CHAMP1	GSM3056508	399.9597940414866
CHAMP1	GSM3056509	285.32849517647344
CHAMP1	GSM3056510	285.3764219627433
CHAMP1	GSM3056511	504.9651485188056
CHAMP1	GSM3056512	431.7097432185586
CHAMP1	GSM3056513	546.5777212551912
CHAMP1	GSM3056514	579.4347562801648
CHAMP1	GSM3056515	666.1331897857394
CHAMP1	GSM3056516	460.7452055932871
CHAMP1	GSM3056517	127.07877546147328
CHAMP1	GSM3056518	208.35420015105896
CHAMP1	GSM3056519	406.3958407243108
CHAMP1	GSM3056520	535.4069822221791
CHAMP1	GSM3056521	561.5446607353454
CHAMP1	GSM3056522	361.2018061596909
CHAMP1	GSM3056523	698.0529287580542
CHAMP1	GSM3056524	305.66803910177305
CHAMP1	GSM3056525	259.1603223388205
CHAMP1	GSM3056526	217.80046288526228
CHAMP1	GSM3056527	519.6939541794728
CHAMP1	GSM3056528	280.3190550281458
CHAMP1	GSM3056529	171.11501242897765
CHAMP1	GSM3056530	419.2466341697494
CHAMP1	GSM3056531	525.422365942755
CHAMP1	GSM3056532	225.58019568453247
CHAMP1	GSM3056533	1218.0101137992426
CHAMP1	GSM3056534	217.34331815429263
CHAMP1	GSM3056535	214.2610825179898
CHAMP1	GSM3056536	456.1999073237616
CHAMP1	GSM3056537	370.4910950071164
CHAMP1	GSM3056538	470.709912230443
CHAMP1	GSM3056539	337.62268566014205
CHAMP1	GSM3056540	335.1865893490115
CHAMP1	GSM3056541	139.20679433946688
CHAMP1	GSM3056542	341.9108978246049
CHAMP1	GSM3056543	293.5495684941
CHAMP1	GSM3056544	343.55486759112455
CHAMP1	GSM3056545	490.021588966635
CHAMP1	GSM3056546	519.0206448065225
CHAMP1	GSM3056547	277.70882279944607
CHAMP1	GSM3056548	369.6173589245415
CHAMP1	GSM3056549	412.9216921133884
CHAMP1	GSM3056550	270.7539207122762
CHAMP1	GSM3056551	133.79467637020002
CHAMP1	GSM3056552	264.4209582860122
CHAMP1	GSM3056553	723.7917829873412
CHAMP1	GSM3056554	592.7182722704983
CHAMP1	GSM3056555	265.3299635527799
CHAMP1	GSM3056556	711.2428823537733
CHAMP1	GSM3056557	443.3968703335664
CHAMP1	GSM3056558	420.9018480831657
CHAMP1	GSM3056559	407.67412955992694
CHAMP1	GSM3056560	302.7832157606131
CHAMP1	GSM3056561	487.64597960994774
CHAMP1	GSM3056562	548.9623048109262
CHAMP1	GSM3056563	588.2707423671468
CHAMP1	GSM3056564	620.7103972996699
CHAMP1	GSM3056565	807.1515199896089
CHAMP1	GSM3056566	880.0444866323573
CHAMP1	GSM3056567	409.6923452516587
CHAMP1	GSM3056568	268.1704427502195
CHAMP1	GSM3056569	346.18238668037
CHAMP1	GSM3056570	445.47656655861977
CHAMP1	GSM3056571	308.7876250709155
CHAMP1	GSM3056572	668.0261410175071
CHAMP1	GSM3056573	819
CHAMP1	GSM3056574	707.3322599403028
CHAMP1	GSM3056575	628.6543295136632
CHAMP1	GSM3056576	354.7473068238125
CHAMP1	GSM3056577	274.4252116883041
CHAMP1	GSM3056578	666.3172769826693
CHAMP1	GSM3056579	1071.466730866195
CHAMP1	GSM3056580	1055.5963542423146
CHAMP1	GSM3056581	345.0791325835833
CHAMP1	GSM3056582	421.952465309065
CHAMP1	GSM3056583	334.4368074847231
CHAMP1	GSM3056584	575.3542298274875
CHAMP1	GSM3056585	121.52308420478629
CHAMP1	GSM3056586	457.5057963099008
CHAMP1	GSM3056587	420.7328703965288
CHAMP1	GSM3056588	477.58390946588986
CHAMP1	GSM3056589	401.20281674876634
CHAMP1	GSM3056590	191.38806232445407
CHAMP1	GSM3056591	472.0883112236256
CHAMP1	GSM3056592	426.117103698625
