Gene	sample	counts
CHGA	GSM1022678	29.311319223381815
CHGA	GSM1022679	31.458892687894004
CHGA	GSM1022680	26.593237418930865
CHGA	GSM1022681	26.62054164064372
CHGA	GSM1022682	55.550860747941115
CHGA	GSM1022683	26.379907191438097
CHGA	GSM1022684	33.494984953650345
CHGA	GSM1022685	26.72488886591077
CHGA	GSM1022686	27.26788500247556
CHGA	GSM1022687	35.03192870064988
CHGA	GSM1022688	27.28705038979378
CHGA	GSM1022689	29.61001878340465
CHGA	GSM1022690	31.62096988028466
CHGA	GSM1022691	27.912141936739275
CHGA	GSM1022692	26.419861343958896
CHGA	GSM1022693	26.22069388581887
CHGA	GSM1022694	27.104595999653576
CHGA	GSM1022695	26.563593457713537
CHGA	GSM1385778	46
CHGA	GSM1385779	24.808039388059893
CHGA	GSM1385780	24.4930143242182
CHGA	GSM1385781	25.196374170098515
CHGA	GSM1385782	26.118315287902536
CHGA	GSM1385783	24.43303340471463
CHGA	GSM1415906	33
CHGA	GSM1415907	26.15787324180382
CHGA	GSM1415908	30.392323223848916
CHGA	GSM1415909	30.182161432850563
CHGA	GSM1415910	26.18104092969332
CHGA	GSM1415911	26.07881715659089
CHGA	GSM1415912	29.9027477290697
CHGA	GSM1415913	30.248485260561516
CHGA	GSM1415914	33.129468458108036
CHGA	GSM1415915	28.079884575860333
CHGA	GSM1415916	36.89329183918324
CHGA	GSM1415917	28.7926206593929
CHGA	GSM1415918	29.02776699546236
CHGA	GSM1415919	31.178364007823383
CHGA	GSM1415920	36.031903119612174
CHGA	GSM1415921	31.842428801616823
CHGA	GSM2769390	32.25198726004473
CHGA	GSM2769391	28.521029440729464
CHGA	GSM2769392	28.183226966627807
CHGA	GSM2769393	27.875132357685047
CHGA	GSM2769394	27.48463081284102
CHGA	GSM2769395	31.695050007318592
CHGA	GSM2769396	28.466024009171953
CHGA	GSM2769397	29.222931983024974
CHGA	GSM2769398	29.33092925553413
CHGA	GSM3103946	21.21032864921388
CHGA	GSM3103947	28.33812717846446
CHGA	GSM3103948	20.777791590871445
CHGA	GSM3103949	35.59428202813228
CHGA	GSM3103950	25.949604705784974
CHGA	GSM3103951	35
CHGA	GSM3103952	43.18308327964399
CHGA	GSM3103953	17.17026604936362
CHGA	GSM3103954	22.06669144019229
CHGA	GSM3103955	14.835508206436083
CHGA	GSM3103956	27.752769206907335
CHGA	GSM3103957	25.403712830729702
CHGA	GSM3103958	25.617769537928172
CHGA	GSM3103959	25.07578572749124
CHGA	GSM3103960	35
CHGA	GSM3103961	25.097816585732115
CHGA	GSM3103962	22.167107861377012
CHGA	GSM3103963	22.599167899896607
CHGA	GSM3103964	21.22365561005747
CHGA	GSM3103965	39
CHGA	GSM4260265	25.464722286110405
CHGA	GSM4260266	25.266256678639845
CHGA	GSM4260267	26.30355336486046
CHGA	GSM4260268	26.18439895329454
CHGA	GSM4260269	25.39360208246156
CHGA	GSM4260270	25.304524132184778
CHGA	GSM4260271	30.529763526145977
CHGA	GSM4260272	26.73050496355757
CHGA	GSM4260273	26.18104092969332
CHGA	GSM4260274	33.56398037070559
CHGA	GSM4260275	26.554125342295333
CHGA	GSM4260276	26.283665399641947
CHGA	GSM4735785	25.03991329093648
CHGA	GSM4735786	24.07482136914752
CHGA	GSM4735787	46.78205007545967
CHGA	GSM4735788	43.20167715618146
CHGA	GSM4735789	34.38038520543883
CHGA	GSM4735790	24.15793301515977
CHGA	GSM4735791	15.832244262872113
CHGA	GSM4735792	21.377207757465925
CHGA	GSM4735793	24.697860862600272
CHGA	GSM4735794	30.454679597725193
CHGA	GSM4735795	107.93017893764734
CHGA	GSM4735796	16.327183348305116
CHGA	GSM4735797	16.110007415795508
CHGA	GSM4735798	25.555762374847102
CHGA	GSM4735799	16.182322041760692
CHGA	GSM4735800	25.516410141976305
CHGA	GSM4735801	30.751035296381097
CHGA	GSM4735802	15.498098728467562
CHGA	GSM4735803	23.76040297902602
CHGA	GSM4735804	24.432012029430837
CHGA	GSM5282507	27
CHGA	GSM5282508	23.68314387914987
CHGA	GSM5282509	15.045471436494744
CHGA	GSM5282510	14.007898675843348
CHGA	GSM5282511	22.02570142023563
CHGA	GSM5282512	39.27194830985667
CHGA	GSM5282513	17.33010478450452
CHGA	GSM5282514	38
CHGA	GSM5282515	29.808529888900473
CHGA	GSM5282516	15.79311322950798
CHGA	GSM5282517	19.824072485976675
CHGA	GSM5282518	29
CHGA	GSM5282519	14.225202448195931
CHGA	GSM5282520	17.70453866096282
CHGA	GSM5282521	45.19833579979321
CHGA	GSM5282522	25.71315457489168
CHGA	GSM5282523	31
CHGA	GSM5282524	50.50078249812829
CHGA	GSM5282525	38
CHGA	GSM5282526	42
CHGA	GSM5282527	17.103224811948653
CHGA	GSM5282528	33.745191386988076
CHGA	GSM5282529	33
CHGA	GSM5282530	19.38250065021678
CHGA	GSM5282531	15.495914986321315
CHGA	GSM5282532	23.09015542258831
CHGA	GSM5282533	37.49379980513696
CHGA	GSM5282534	38.11519430578669
CHGA	GSM5282535	17
CHGA	GSM5282536	27.377317178079103
CHGA	GSM4260927	28
CHGA	GSM4260928	14.732284810755932
CHGA	GSM4260929	21.9223825158558
CHGA	GSM4260930	8
CHGA	GSM4260931	25.037864189808225
CHGA	GSM4260932	11
CHGA	GSM4260933	35.70065072241411
CHGA	GSM4260934	16
CHGA	GSM4260935	38.28324583365367
CHGA	GSM4260936	4.058447260221246
CHGA	GSM4260937	10
CHGA	GSM4260938	9.427735254270097
CHGA	GSM4260939	18
CHGA	GSM4260940	24.145729146280452
CHGA	GSM4260941	19
CHGA	GSM4260942	11.37579574624922
CHGA	GSM4260943	8.111797682393808
CHGA	GSM4260944	16.85382324085554
CHGA	GSM4260945	52.23663057580507
CHGA	GSM4260946	30.299269209629973
CHGA	GSM4260947	19.434046762689796
CHGA	GSM4260948	21.426254840751753
CHGA	GSM4260949	32.903243409435376
CHGA	GSM4260950	65
CHGA	GSM4260951	30.456515293405324
CHGA	GSM4260952	25.662995592501904
CHGA	GSM4260953	50.45873049025446
CHGA	GSM4260954	22.13358505075708
CHGA	GSM4260955	45.92822172339346
CHGA	GSM4260956	20.41545172911795
CHGA	GSM4260957	48.9155164337544
CHGA	GSM4260958	6.262939325917291
CHGA	GSM4260959	19.311787490442196
CHGA	GSM4260960	20.10880610755931
CHGA	GSM4260961	110.26417556113132
CHGA	GSM4260962	38.11519430578669
CHGA	GSM4260963	60
CHGA	GSM4260964	26
CHGA	GSM4260965	34.55853650046707
CHGA	GSM4260966	0.9472990050629132
CHGA	GSM4260967	21.30106028084869
CHGA	GSM4260968	63
CHGA	GSM4260969	43.06512640647015
CHGA	GSM4260970	8.712328511971204
CHGA	GSM4260971	26.55096155199033
CHGA	GSM4260972	6.066856734360417
CHGA	GSM4260973	10.030314290996497
CHGA	GSM4260974	1.0151698046629003
CHGA	GSM4260975	18
CHGA	GSM4260976	10
CHGA	GSM4260977	9.315338288697095
CHGA	GSM4260978	48
CHGA	GSM4260979	38.79223674660682
CHGA	GSM4260980	47.01892031707783
CHGA	GSM4260981	17.41225107178155
CHGA	GSM4260982	28.08488001479019
CHGA	GSM4260983	31.433216019276006
CHGA	GSM4260984	19.84687996459872
CHGA	GSM4260985	32.043595830627446
CHGA	GSM4260986	11.707107858666356
CHGA	GSM4260987	33.69836810206585
CHGA	GSM4260988	18.246851671949777
CHGA	GSM4260989	45
CHGA	GSM4260990	32.11751999854653
CHGA	GSM4260991	42
CHGA	GSM4260992	28.289194771518822
CHGA	GSM4260993	37.60716511296638
CHGA	GSM4260994	47.19577286210137
CHGA	GSM4260995	27.752769206907335
CHGA	GSM4260996	11.626733954040125
CHGA	GSM4260997	21
CHGA	GSM4260998	38.25721733575544
CHGA	GSM4260999	19
CHGA	GSM4261000	6.1153733724105415
CHGA	GSM4261001	70
CHGA	GSM4261002	8.6170481779195
CHGA	GSM4261003	17.025747649069594
CHGA	GSM4261004	12.539425880274424
CHGA	GSM4261005	24
CHGA	GSM4261006	31.615948346159424
CHGA	GSM4261007	8.503914625717298
CHGA	GSM4261008	17
CHGA	GSM4261009	101.85028140245126
CHGA	GSM4261010	1.0604259986677744
CHGA	GSM4261011	30.411419453249632
CHGA	GSM4261012	1.1829871654168171
CHGA	GSM4261013	6.211654320186972
CHGA	GSM4261014	32.96651885350576
CHGA	GSM4261015	23.28614988891034
CHGA	GSM4261016	43
CHGA	GSM4261017	48.58468633379478
CHGA	GSM4261018	19.221331589266676
CHGA	GSM4261019	31.56813627001464
CHGA	GSM4261020	1.088399378077226
CHGA	GSM4261021	17.59315969606682
CHGA	GSM4261022	53.24118116380132
CHGA	GSM4261023	14
CHGA	GSM4261024	18.812436330030103
CHGA	GSM4261025	104.0652383265781
CHGA	GSM4261026	16.772857686183347
CHGA	GSM4261027	30.238452301567136
CHGA	GSM4818000	46.390458413371846
CHGA	GSM4818001	37.26135315478838
CHGA	GSM4818002	17.43658449140125
CHGA	GSM4818003	17.681659670672875
CHGA	GSM4818004	19.370349192295247
CHGA	GSM4818005	17.954484316122137
CHGA	GSM4818006	25.15292461287557
CHGA	GSM4818007	19.4983313877989
CHGA	GSM4818008	36.36056339865237
CHGA	GSM4818009	17.5730716357326
CHGA	GSM4818010	18.198147236017387
CHGA	GSM4818011	24.26601260756858
CHGA	GSM4818012	32.340808548659005
CHGA	GSM4818013	17.431501539378477
CHGA	GSM4818014	24.831028027165555
CHGA	GSM4818015	18.05297492535598
CHGA	GSM4818016	28.179255840774083
CHGA	GSM4818017	36.58134647625078
CHGA	GSM4818018	17.41021554316411
CHGA	GSM4818019	32.340808548659005
CHGA	GSM4818020	32.243065980184745
CHGA	GSM4818021	60.73085791724347
CHGA	GSM4818022	23.03964923893284
CHGA	GSM4818023	43.98011752913917
CHGA	GSM3056394	10.508212071427224
CHGA	GSM3056395	35.09989046785085
CHGA	GSM3056396	11.66420510526276
CHGA	GSM3056397	33.60516369404159
CHGA	GSM3056398	18.263012670995604
CHGA	GSM3056399	10.75815139927027
CHGA	GSM3056400	41.18379404814812
CHGA	GSM3056401	25.959342179680156
CHGA	GSM3056402	10.502834584134652
CHGA	GSM3056403	33.08338465608011
CHGA	GSM3056404	10.146118150553114
CHGA	GSM3056405	20.01877697224728
CHGA	GSM3056406	26.714638657823336
CHGA	GSM3056407	19.314901941685388
