Gene	sample	counts
CHST8	GSM1022678	2.0275430376979307
CHST8	GSM1022679	4.4862097309835045
CHST8	GSM1022680	1.0277326924293382
CHST8	GSM1022681	1.0299921210590168
CHST8	GSM1022682	13.16070035640125
CHST8	GSM1022683	1.0177323697119474
CHST8	GSM1022684	1.0622642381309608
CHST8	GSM1022685	1.0377328679372595
CHST8	GSM1022686	1.064467926310489
CHST8	GSM1022687	1.1313477227819897
CHST8	GSM1022688	2.130850854818884
CHST8	GSM1022689	3.0804271977207125
CHST8	GSM1022690	1.1264867493652244
CHST8	GSM1022691	2.2038084826674966
CHST8	GSM1022692	2.0382996055975786
CHST8	GSM1022693	4.042554365336489
CHST8	GSM1022694	4.224937948352227
CHST8	GSM1022695	5.134045329534521
CHST8	GSM1385778	4
CHST8	GSM1385779	1.1010498670455962
CHST8	GSM1385780	1.0838243203305329
CHST8	GSM1385781	1.0084216173196312
CHST8	GSM1385782	1.0053052229716717
CHST8	GSM1385783	1.080481580454705
CHST8	GSM1415906	5
CHST8	GSM1415907	3.025264851958893
CHST8	GSM1415908	2.033828316555081
CHST8	GSM1415909	4.021220891886687
CHST8	GSM1415910	24.159200175571492
CHST8	GSM1415911	1.0053052229716717
CHST8	GSM1415912	3.6434346067756778
CHST8	GSM1415913	2.475360148046533
CHST8	GSM1415914	1.1433447914197967
CHST8	GSM1415915	2.214198978630432
CHST8	GSM1415916	1.1147893847364354
CHST8	GSM1415917	1.1525442655723448
CHST8	GSM1415918	1.1641216035965718
CHST8	GSM1415919	1.1635086650764048
CHST8	GSM1415920	1.1301370871413436
CHST8	GSM1415921	1.0828569753747104
CHST8	GSM2769390	1.0945648030738035
CHST8	GSM2769391	1.0688566777393549
CHST8	GSM2769392	1.052182047516338
CHST8	GSM2769393	1.0383166180633372
CHST8	GSM2769394	1.0194079414219277
CHST8	GSM2769395	1.069818126570515
CHST8	GSM2769396	1.0213903622938192
CHST8	GSM2769397	1.0576052477160802
CHST8	GSM2769398	1.063216079371224
CHST8	GSM3103946	12.127663096009467
CHST8	GSM3103947	6.428937891630993
CHST8	GSM3103948	4.954584287334009
CHST8	GSM3103949	5.021229503310518
CHST8	GSM3103950	1.971236915124089
CHST8	GSM3103951	3
CHST8	GSM3103952	6.031831337830029
CHST8	GSM3103953	23.273297387864616
CHST8	GSM3103954	21.111409682405103
CHST8	GSM3103955	5.760774639505759
CHST8	GSM3103956	10.322565169508742
CHST8	GSM3103957	3.053197109135842
CHST8	GSM3103958	8.221861539434705
CHST8	GSM3103959	23
CHST8	GSM3103960	36
CHST8	GSM3103961	9.029078365947322
CHST8	GSM3103962	13.109481025155205
CHST8	GSM3103963	6.1935391017052455
CHST8	GSM3103964	6.074169395262115
CHST8	GSM3103965	7
CHST8	GSM4260265	2.0427807245876384
CHST8	GSM4260266	37.393627879362526
CHST8	GSM4260267	1.061737358926767
CHST8	GSM4260268	2.111924776802726
CHST8	GSM4260269	9.172348225189104
CHST8	GSM4260270	3.0448954470101097
CHST8	GSM4260271	1.1139413335812782
CHST8	GSM4260272	46.63181383637264
CHST8	GSM4260273	1.0053052229716717
CHST8	GSM4260274	15.109257724347284
CHST8	GSM4260275	17.192435211832354
CHST8	GSM4260276	1.012361565877019
CHST8	GSM4735786	1.0354564589203
CHST8	GSM4735787	1.0285596084808206
CHST8	GSM4735788	2.0837722651496535
CHST8	GSM4735790	7.286648504186308
CHST8	GSM4735793	1.0628816047551497
CHST8	GSM4735798	1.1094482823563114
CHST8	GSM4735800	2.207565617953657
CHST8	GSM4735803	1.023131666858757
CHST8	GSM4735804	1.044176676968467
CHST8	GSM4735785	2.1623989688418694
CHST8	GSM4735789	1.0363878638718522
CHST8	GSM4735791	1.056822491572205
CHST8	GSM4735792	1.079498376442762
CHST8	GSM4735794	1.0497162670616038
CHST8	GSM4735795	1.0386663205448112
CHST8	GSM4735796	1.1006471753156897
CHST8	GSM4735797	1.0882962908423894
CHST8	GSM4735799	1.0952338007992255
CHST8	GSM4735801	1.0665119943875787
CHST8	GSM4735802	7.218433947196901
CHST8	GSM5282507	1
CHST8	GSM5282509	1
CHST8	GSM5282510	1.0811994844209347
CHST8	GSM5282511	1.0477400148936675
CHST8	GSM5282512	1.0331850435179522
CHST8	GSM5282515	1.0285596084808206
CHST8	GSM5282516	1.0528865447675189
CHST8	GSM5282519	1.100913956612852
CHST8	GSM5282521	1.0275117075556537
CHST8	GSM5282523	1
CHST8	GSM5282524	1.0106385913341225
CHST8	GSM5282526	1
CHST8	GSM5282528	1.0223091146302523
CHST8	GSM5282529	1
CHST8	GSM5282513	1.0191498027987893
CHST8	GSM5282533	0.9640220474377502
CHST8	GSM5282534	1
CHST8	GSM5282536	1.013771518848965
CHST8	GSM5282525	1
CHST8	GSM5282530	1.0191498027987893
CHST8	GSM5282514	1
CHST8	GSM5282520	2.0818995726246596
CHST8	GSM5282535	1
CHST8	GSM5282522	1.028745445198491
CHST8	GSM5282531	1.0340163465434666
CHST8	GSM5282508	1.0294848096363618
CHST8	GSM5282518	1
CHST8	GSM5282517	1.043238272186699
CHST8	GSM5282527	1.0053052229716717
CHST8	GSM5282532	1
