Gene	sample	counts
CINP	GSM1022678	286.84444458936866
CINP	GSM1022679	141.0034373526499
CINP	GSM1022680	163.97491889578905
CINP	GSM1022681	254.96732537225344
CINP	GSM1022682	3.004543702776987
CINP	GSM1022683	211.73318512614745
CINP	GSM1022684	229.0733837125883
CINP	GSM1022685	188.6758207754675
CINP	GSM1022686	265.13253040951383
CINP	GSM1022687	114.96068695513073
CINP	GSM1022688	181.227535770886
CINP	GSM1022689	338.5900656180747
CINP	GSM1022690	107.33097470127085
CINP	GSM1022691	203.33675502139863
CINP	GSM1022692	351.84922447383144
CINP	GSM1022693	504.48851945293666
CINP	GSM1022694	314.4505072749066
CINP	GSM1022695	364.1033639817563
CINP	GSM1385778	278.8427372897026
CINP	GSM1385779	24.044295721603348
CINP	GSM1385780	1.0418298547102676
CINP	GSM1385781	128.54698259149868
CINP	GSM1385782	267.01289014840495
CINP	GSM1385783	1.0406685081874067
CINP	GSM1415906	449
CINP	GSM1415907	418.2631670372336
CINP	GSM1415908	330.7753415273343
CINP	GSM1415909	393.1271594027845
CINP	GSM1415910	358.16164900316
CINP	GSM1415911	376.1367859123686
CINP	GSM1415912	133.18911659659634
CINP	GSM1415913	127.46646457203455
CINP	GSM1415914	161.79348487593782
CINP	GSM1415915	170.54131015826
CINP	GSM1415916	156.0011370639072
CINP	GSM1415917	151.23222618004797
CINP	GSM1415918	128.84085474433377
CINP	GSM1415919	156.16457419899174
CINP	GSM1415920	154.26940184516673
CINP	GSM1415921	172.56680336220083
CINP	GSM2769390	1.0456446792577374
CINP	GSM2769391	73.42263924594818
CINP	GSM2769392	71.21813196449034
CINP	GSM2769393	133.86124801258626
CINP	GSM2769394	311.67082427284424
CINP	GSM2769395	113.18324338287869
CINP	GSM2769396	41.88078621275658
CINP	GSM2769397	1.0456446792577374
CINP	GSM2769398	1.047526139363344
CINP	GSM3103946	124
CINP	GSM3103947	187.53315139689707
CINP	GSM3103948	80.65143078042229
CINP	GSM3103949	332.4672167119262
CINP	GSM3103950	186.6540710105089
CINP	GSM3103951	115.817263696706
CINP	GSM3103952	120
CINP	GSM3103953	208
CINP	GSM3103954	191.77000530985575
CINP	GSM3103955	270.7732915191511
CINP	GSM3103956	198.48414969928103
CINP	GSM3103957	270.4634421466727
CINP	GSM3103958	89.89139284666835
CINP	GSM3103959	199.9543017993291
CINP	GSM3103960	259
CINP	GSM3103961	179.47651384148466
CINP	GSM3103962	320
CINP	GSM3103963	208.3783497083513
CINP	GSM3103964	93
CINP	GSM3103965	321
CINP	GSM4260265	1.0263259010476733
CINP	GSM4260266	74.29119033505125
CINP	GSM4260267	1.0379082793670698
CINP	GSM4260268	1.038948316513042
CINP	GSM4260269	1.0230798935918088
CINP	GSM4260270	1.0216766714505208
CINP	GSM4260271	1.0501613654387998
CINP	GSM4260272	1.0479148002729763
CINP	GSM4260273	1.016786983838062
CINP	GSM4260274	0.575569605707153
CINP	GSM4260275	1.0465449856483902
CINP	GSM4260276	1.0223186155344817
CINP	GSM4735785	299.99605866693327
CINP	GSM4735786	293.32183881704674
CINP	GSM4735787	235.64727835803492
CINP	GSM4735788	344.15295822889874
CINP	GSM4735789	282.06539685810964
CINP	GSM4735790	161.86641711759597
CINP	GSM4735791	219.87271711789697
CINP	GSM4735792	245.73775951267913
CINP	GSM4735793	212.50851441326165
CINP	GSM4735794	208.8823226033883
CINP	GSM4735795	330.85333281618944
CINP	GSM4735796	131.8401154535078
CINP	GSM4735797	31.604019547565414
CINP	GSM4735798	192.56527144940023
CINP	GSM4735799	216.5390532055522
CINP	GSM4735800	74.83947100862804
CINP	GSM4735801	119.14133333799538
CINP	GSM4735802	584.2028719415389
CINP	GSM4735803	347.7060083873543
CINP	GSM4735804	234.35779831671712
CINP	GSM5282507	1.0045505879962513
CINP	GSM5282508	1.020131613169304
CINP	GSM5282509	1.0100156499625657
CINP	GSM5282510	1.0488429247731252
CINP	GSM5282511	1.0295288940925316
CINP	GSM5282512	1.0223186155344817
CINP	GSM5282513	1.0164098679180102
CINP	GSM5282514	1.0045505879962513
CINP	GSM5282515	1.024130326068477
CINP	GSM5282516	1.032174835782654
CINP	GSM5282517	1.0275807028156494
CINP	GSM5282518	1.0045505879962513
CINP	GSM5282519	1.0528894166961578
CINP	GSM5282520	1.0210351304622294
CINP	GSM5282521	1.023224069826938
CINP	GSM5282522	1.022581557181457
CINP	GSM5282523	1.0030314290996496
CINP	GSM5282524	1.011545386933744
CINP	GSM5282525	1.0069631126805123
CINP	GSM5282526	1.0045505879962513
CINP	GSM5282527	1.0121809652873912
CINP	GSM5282528	1.020131613169304
CINP	GSM5282529	1.0060720477616854
CINP	GSM5282530	1.019228895401757
CINP	GSM5282531	1.0254177019347264
CINP	GSM5282532	1.010650267145594
CINP	GSM5282533	1
CINP	GSM5282534	1.0091218838436145
CINP	GSM5282535	1.0091218838436145
CINP	GSM5282536	1.0148727745034103
CINP	GSM4260927	829.2540619664484
CINP	GSM4260928	651.9976933898234
CINP	GSM4260929	532.7919163344038
CINP	GSM4260930	917.3873439145732
CINP	GSM4260931	758.998350626341
CINP	GSM4260932	791.3481735309583
CINP	GSM4260933	853
CINP	GSM4260934	726.0204042426494
CINP	GSM4260935	748.8918479548851
CINP	GSM4260936	701.5947961655634
CINP	GSM4260937	908.9180360616808
CINP	GSM4260938	701.4761837831834
CINP	GSM4260939	774.5189578580344
CINP	GSM4260940	795.1537349934488
CINP	GSM4260941	845.2782950479257
CINP	GSM4260942	713
CINP	GSM4260943	775.633189400737
CINP	GSM4260944	752.7123362877497
CINP	GSM4260945	977.8391054444623
CINP	GSM4260946	692.9577537273759
