Gene	sample	counts
CITED2	GSM1022678	428.3269882780371
CITED2	GSM1022679	1.0886816601851197
CITED2	GSM1022680	1329.7882536277816
CITED2	GSM1022681	195.91067456875524
CITED2	GSM1022682	1.0116578477926386
CITED2	GSM1022683	1144.38845705853
CITED2	GSM1022684	836.7316194292351
CITED2	GSM1022685	487.4439859068315
CITED2	GSM1022686	1242.873710895851
CITED2	GSM1022687	504.5406378872038
CITED2	GSM1022688	524.4868615550656
CITED2	GSM1022689	234.4325662137331
CITED2	GSM1022690	1840.104569102179
CITED2	GSM1022691	885.1944777513218
CITED2	GSM1022692	1469.0258066882427
CITED2	GSM1022693	2683.709862381822
CITED2	GSM1022694	999.728992234444
CITED2	GSM1022695	2171.8926885836827
CITED2	GSM1385778	918.935263682961
CITED2	GSM1385779	598.5742063899014
CITED2	GSM1385780	1039.2752056158952
CITED2	GSM1385781	973.3848975525304
CITED2	GSM1385782	745.0878590067434
CITED2	GSM1385783	1022.1903065940012
CITED2	GSM1415906	2314.5388363651796
CITED2	GSM1415907	2488.622049666615
CITED2	GSM1415908	1179.7798922090292
CITED2	GSM1415909	1962.6132732561896
CITED2	GSM1415910	1191.6016214180463
CITED2	GSM1415911	1953.566634237373
CITED2	GSM1415912	587.7085146861239
CITED2	GSM1415913	456.6566305885505
CITED2	GSM1415914	500.38935337018034
CITED2	GSM1415915	457.4960296739426
CITED2	GSM1415916	634.4278074868922
CITED2	GSM1415917	379.74715805955776
CITED2	GSM1415918	414.7233984804893
CITED2	GSM1415919	433.4115506239466
CITED2	GSM1415920	428.9584333252235
CITED2	GSM1415921	504.929228033658
CITED2	GSM2769390	1247.396785529348
CITED2	GSM2769391	930.8897899498908
CITED2	GSM2769392	1026.7937211862804
CITED2	GSM2769393	1034.1585563694384
CITED2	GSM2769394	2063.853218472067
CITED2	GSM2769395	1319.4324565855618
CITED2	GSM2769396	407.11435359837645
CITED2	GSM2769397	3.143470797307016
CITED2	GSM2769398	1.0511612257547172
CITED2	GSM3103946	897.6028426121838
CITED2	GSM3103947	2018.6889215632689
CITED2	GSM3103948	287.54837075081383
CITED2	GSM3103949	560.8671522562881
CITED2	GSM3103950	300.6582561908646
CITED2	GSM3103951	1
CITED2	GSM3103952	1445.8289623590135
CITED2	GSM3103953	844.457965988854
CITED2	GSM3103954	565.4709813949266
CITED2	GSM3103955	524.1330975831322
CITED2	GSM3103956	2450.347856071806
CITED2	GSM3103957	1.0133047479406865
CITED2	GSM3103958	503.1157834260181
CITED2	GSM3103959	828.6065566384927
CITED2	GSM3103960	1210.5400054083034
CITED2	GSM3103961	1248.0010242840815
CITED2	GSM3103962	527.8664126378175
CITED2	GSM3103963	684.032231336824
CITED2	GSM3103964	1086.8860901961805
CITED2	GSM3103965	913.4765311312852
CITED2	GSM4260265	1783.7190323301086
CITED2	GSM4260266	623.8243600514405
CITED2	GSM4260267	1060.7813395269193
CITED2	GSM4260268	661.7390508512564
CITED2	GSM4260269	602.6904919299889
CITED2	GSM4260270	1801.068799995444
CITED2	GSM4260271	130.80930902500864
CITED2	GSM4260272	1.031794725850175
CITED2	GSM4260273	1748.2241179071464
CITED2	GSM4260274	321.0863678460956
CITED2	GSM4260275	181.29241081580963
CITED2	GSM4260276	2150.3717828699205
CITED2	GSM4735785	1009.4941744693956
CITED2	GSM4735786	1051.022919444681
CITED2	GSM4735787	869.3159475986826
CITED2	GSM4735788	912.9326216914868
CITED2	GSM4735789	813.0385571640593
CITED2	GSM4735790	927.5386577756492
CITED2	GSM4735791	990.3505614458492
CITED2	GSM4735792	878.8252830887601
CITED2	GSM4735793	887.0072666739429
CITED2	GSM4735794	922.783964712863
CITED2	GSM4735795	773.7937192210813
CITED2	GSM4735796	493.5171618994605
CITED2	GSM4735797	472.3462435762237
CITED2	GSM4735798	1232.295638823317
CITED2	GSM4735799	562.88960180671
CITED2	GSM4735800	2507.535095451069
CITED2	GSM4735801	1416.9462357032965
CITED2	GSM4735802	688.7757480938845
CITED2	GSM4735803	824.2300392973593
CITED2	GSM4735804	647.4813376987189
CITED2	GSM5282507	1363.6850353982684
CITED2	GSM5282508	1317.254009581668
CITED2	GSM5282509	833
CITED2	GSM5282510	753.3689610614128
CITED2	GSM5282511	220.83453666396488
