Gene	sample	counts
CLCN3P1	GSM1022678	4.042940582535422
CLCN3P1	GSM1022679	11.932683433339106
CLCN3P1	GSM1022680	4.091267295220133
CLCN3P1	GSM1022681	2.0477339723572094
CLCN3P1	GSM1022682	16.16025039940105
CLCN3P1	GSM1022683	4.058447260221246
CLCN3P1	GSM1022684	2.0934365596031466
CLCN3P1	GSM1022685	2.055760681993136
CLCN3P1	GSM1022686	2.097529615575043
CLCN3P1	GSM1022687	2.1894955437906174
CLCN3P1	GSM1022688	2.0990038761379832
CLCN3P1	GSM1022689	2.0420702609244588
CLCN3P1	GSM1022690	4.361513086935815
CLCN3P1	GSM1022691	6.44126352386291
CLCN3P1	GSM1022692	4.064594052916753
CLCN3P1	GSM1022693	4.033952905510596
CLCN3P1	GSM1022694	2.0849689230502753
CLCN3P1	GSM1022695	6.130060028703124
CLCN3P1	GSM1385778	7
CLCN3P1	GSM1385779	4.314441632706068
CLCN3P1	GSM1385780	4.259654665081427
CLCN3P1	GSM1385781	4.031419867215763
CLCN3P1	GSM1385782	5.022752939981257
CLCN3P1	GSM1385783	4.2492232008199355
CLCN3P1	GSM1415906	8
CLCN3P1	GSM1415907	8.048576382093483
CLCN3P1	GSM1415908	4.0523097631798555
CLCN3P1	GSM1415909	7.042504334331798
CLCN3P1	GSM1415910	4.027852450722049
CLCN3P1	GSM1415911	2.006062858199299
CLCN3P1	GSM1415912	5.75052840943648
CLCN3P1	GSM1415913	5.81701639626183
CLCN3P1	GSM1415914	4.417262461081071
CLCN3P1	GSM1415915	2.1599911212200253
CLCN3P1	GSM1415916	2.1701936375990143
CLCN3P1	GSM1415917	2.214816973799454
CLCN3P1	GSM1415918	4.465810306994209
CLCN3P1	GSM1415919	2.2270260005588134
CLCN3P1	GSM1415920	4.367503408437839
CLCN3P1	GSM1415921	5.307071466936137
CLCN3P1	GSM2769390	4.300264968005964
CLCN3P1	GSM2769391	4.225337694922883
CLCN3P1	GSM2769392	4.17529288394486
CLCN3P1	GSM2769393	4.1296492381755625
CLCN3P1	GSM2769394	4.071797157457929
CLCN3P1	GSM2769395	7.395511668374338
CLCN3P1	GSM2769396	4.066574858453136
CLCN3P1	GSM2769397	4.174704569003568
CLCN3P1	GSM2769398	4.19013275079059
CLCN3P1	GSM3103946	1.0100156499625657
CLCN3P1	GSM3103947	0.914133134789176
CLCN3P1	GSM3103948	2.149426716297046
CLCN3P1	GSM3103949	1.6949658108634418
CLCN3P1	GSM3103950	3.326872398177561
CLCN3P1	GSM3103951	1
CLCN3P1	GSM3103952	3.012773252068185
CLCN3P1	GSM3103953	2.0200312999251313
CLCN3P1	GSM3103954	3.009094287298949
CLCN3P1	GSM3103955	2.119358315205155
CLCN3P1	GSM3103956	6.167282045979408
CLCN3P1	GSM3103957	18.29067323812539
CLCN3P1	GSM3103958	10.247107815171267
CLCN3P1	GSM3103959	4.012125716398598
CLCN3P1	GSM3103960	7
CLCN3P1	GSM3103961	2.6890517770427267
CLCN3P1	GSM3103962	8.060766495046186
CLCN3P1	GSM3103963	8.217879236326038
CLCN3P1	GSM3103964	5.053251335727969
CLCN3P1	GSM3103965	1
CLCN3P1	GSM4260265	3.055766674333249
CLCN3P1	GSM4260266	4.042601068582376
CLCN3P1	GSM4260267	2.104284269188837
CLCN3P1	GSM4260268	1.0473759581317816
CLCN3P1	GSM4260269	2.031488166596925
CLCN3P1	GSM4260270	2.0243619305747824
CLCN3P1	GSM4260271	6.542092184174138
CLCN3P1	GSM4260272	6.415321191253818
CLCN3P1	GSM4260273	12.083557352166148
CLCN3P1	GSM4260274	10.44212722644174
CLCN3P1	GSM4260275	2.1243300273836265
CLCN3P1	GSM4260276	4.043640830714146
CLCN3P1	GSM4735785	4.354767528858519
CLCN3P1	GSM4735786	4.186925455503916
CLCN3P1	GSM4735787	4.158404451151971
CLCN3P1	GSM4735788	4.214797771334777
CLCN3P1	GSM4735789	3.125489564130803
CLCN3P1	GSM4735790	4.2013796548103945
CLCN3P1	GSM4735791	15.832244262872113
CLCN3P1	GSM4735792	3.2065811636198887
CLCN3P1	GSM4735793	4.2952801500174385
CLCN3P1	GSM4735794	3.150484096316399
CLCN3P1	GSM4735795	3.113370546278289
CLCN3P1	GSM4735796	3.265436669661023
CLCN3P1	GSM4735797	3.2220014831591017
CLCN3P1	GSM4735798	4.444480413016887
CLCN3P1	GSM4735799	3.2364644083521386
CLCN3P1	GSM4735800	4.437636546430662
CLCN3P1	GSM4735801	3.1811415823842513
CLCN3P1	GSM4735802	3.0996197456935124
CLCN3P1	GSM4735803	10.33060999088088
CLCN3P1	GSM4735804	4.249045570335798
CLCN3P1	GSM5282507	2
CLCN3P1	GSM5282508	2.05940381557825
CLCN3P1	GSM5282509	1.0030314290996496
CLCN3P1	GSM5282510	1.0775306673725653
CLCN3P1	GSM5282511	5.244214623865626
CLCN3P1	GSM5282512	4.133889295774386
CLCN3P1	GSM5282513	3.058253785500798
CLCN3P1	GSM5282514	6
CLCN3P1	GSM5282515	2.055760681993136
CLCN3P1	GSM5282516	2.105748430601064
CLCN3P1	GSM5282517	3.1301167083121064
CLCN3P1	GSM5282518	5
CLCN3P1	GSM5282519	1.094246342168918
CLCN3P1	GSM5282520	2.0828869012897435
CLCN3P1	GSM5282521	3.0817047136222646
CLCN3P1	GSM5282522	13.370840378943672
CLCN3P1	GSM5282523	2
CLCN3P1	GSM5282524	2.0200312999251313
CLCN3P1	GSM5282525	7
CLCN3P1	GSM5282526	7
CLCN3P1	GSM5282527	3.0182161432850565
CLCN3P1	GSM5282528	11.248397128996023
CLCN3P1	GSM5282529	10
CLCN3P1	GSM5282530	5.100658065846521
CLCN3P1	GSM5282531	18.595097983585585
CLCN3P1	GSM5282532	1.0039198009821009
CLCN3P1	GSM5282533	2.8120349853852717
CLCN3P1	GSM5282534	4.012125716398598
CLCN3P1	GSM5282535	2
CLCN3P1	GSM5282536	3.0419241308976783
CLCN3P1	GSM4260927	8
CLCN3P1	GSM4260928	9.119985835229862
CLCN3P1	GSM4260929	7.0925355198357005
CLCN3P1	GSM4260930	1
CLCN3P1	GSM4260931	1.001514567592329
CLCN3P1	GSM4260932	7
CLCN3P1	GSM4260933	1.6604953824378657
CLCN3P1	GSM4260934	6
CLCN3P1	GSM4260935	8.059630701821826
CLCN3P1	GSM4260936	3.043835445165934
CLCN3P1	GSM4260937	7
CLCN3P1	GSM4260938	6.2851568361800645
CLCN3P1	GSM4260939	1
CLCN3P1	GSM4260940	1.0060720477616854
CLCN3P1	GSM4260941	8
CLCN3P1	GSM4260942	5.6878978731246095
CLCN3P1	GSM4260943	1.013974710299226
CLCN3P1	GSM4260944	2.4076890344079347
CLCN3P1	GSM4260945	2.0091011759925026
CLCN3P1	GSM4260946	1.2119707683851988
CLCN3P1	GSM4260947	6.137067398744146
CLCN3P1	GSM4260948	7.652233871697055
CLCN3P1	GSM4260949	2.056452713089711
CLCN3P1	GSM4260950	1
CLCN3P1	GSM4260951	10.15217176446844
CLCN3P1	GSM4260952	10.998426682500815
CLCN3P1	GSM4260953	12.376669742892602
CLCN3P1	GSM4260954	1.0060720477616854
CLCN3P1	GSM4260955	1.043823220986215
CLCN3P1	GSM4260956	6.124635518735386
CLCN3P1	GSM4260957	8.734913648884714
CLCN3P1	GSM4260958	1.043823220986215
CLCN3P1	GSM4260959	2.0328197358360205
CLCN3P1	GSM4260960	11.05984335915762
CLCN3P1	GSM4260961	4.009606384041138
CLCN3P1	GSM4260962	2.006062858199299
CLCN3P1	GSM4260963	4
CLCN3P1	GSM4260964	5
CLCN3P1	GSM4260965	5.236141894010162
CLCN3P1	GSM4260966	3.7891960202516537
CLCN3P1	GSM4260967	10.224508934807371
CLCN3P1	GSM4260968	3
CLCN3P1	GSM4260969	2.003029135184658
CLCN3P1	GSM4260970	6.33623891779724
CLCN3P1	GSM4260971	13.275480775995163
CLCN3P1	GSM4260972	9.100285101540626
CLCN3P1	GSM4260973	4.012125716398598
CLCN3P1	GSM4260974	3.0455094139887016
CLCN3P1	GSM4260975	1
CLCN3P1	GSM4260976	3
CLCN3P1	GSM4260977	2.070075175266022
CLCN3P1	GSM4260978	1
CLCN3P1	GSM4260979	10.407673273479878
CLCN3P1	GSM4260980	0.8248933388961022
CLCN3P1	GSM4260981	4.353062767945388
CLCN3P1	GSM4260982	4.012125716398598
